"","Quantiseq_Macrophage_M2","Epidish_CCLE_TIL10_Macrophages.M2","DeconRNASeq_CCLE_TIL10_Macrophages.M2","DeconRNASeq_CD226_M2","Epidish_TIL10_Macrophages.M2","DeconRNASeq_TIL10_Macrophages.M2","CBSX__TIL10__Macrophages.M2","CBSX__CCLE.TIL10__Macrophages.M2","CBSX__CD226__M2"
"R3388_YZ_21",0.0758193045851437,0.0512969265360723,0.120778151529806,0.0606743387825361,0,0.130809471386089,0.124471341778429,0.11512475999529,0.148896573911635
"R3388_YZ_23",0.0677052106101386,0.146256520124272,0.0531424202546837,0.0112895102863834,0,0.0667041196207532,0.266958845170126,0.160489596802889,0.164264871423978
"R3388_YZ_24",0.0722640754325019,0.274568348241945,0.0793977020469093,0.042158743893329,0.152234940867247,0.0889477926595784,0.0372583924469142,0.275622290980543,0.199717389558464
"R3388_YZ_25",0.0552762533538232,0,0.04115882445509,0.0897827980355324,0,0.0519618002392687,0,0,0.314436270301537
"R3388_YZ_26",0.0885033053887124,0.253472314713707,0.121462173791492,0,0.152497228881315,0.12209124072214,0.278585842174467,0.315705428854258,0.347235010110865
"R3388_YZ_27",0.0900430104604055,0.347911396078108,0.0516189415988903,0.0167320960439297,0.195851613845579,0.0631546211775287,0.105294962050529,0.341950224759064,0.177021227143116
"R3388_YZ_28",0.0760019003804067,0.0486736934200509,0.059777075093135,0,0.0196889583806816,0.0913087348817385,0.0969745924941795,0.136235118520244,0.251301378855139
"R3388_YZ_29",0.0225598471761019,0,0.0699968494520858,0.0262012077734828,0,0.086720342494902,0.088544869757889,0,0.119182557525077
"R3388_YZ_30",0.0659540550085178,0.0828040040505474,0.102865084296027,0,0.0832470823129079,0.137076375960806,0.498102178441021,0.0505990164066184,0.261671452216182
"R3388_YZ_31",0.0674102629933748,0.000492161353286996,0.127047293786149,0.0606802186489716,0,0.145789761934608,0,0.0409663218760486,0.107982983987685
"R3388_YZ_32",0.0614726192298302,0.00216230589492158,0.0742655119449366,0.0644283362643425,0,0.0813641681834082,0,0,0.312945867493428
"R3388_YZ_33",0.0514049454094635,0,0.0826683174594405,0.0598804083915817,0,0.0923346193447548,0.0296080824790883,0,0.0946576779197858
"R3388_YZ_34",0.0678052594005167,0.163386622641414,0.0864923914307419,0.0861678330159002,0.088826696697626,0.0966479476128531,0,0.0925100612506568,0.160194687660822
"R3388_YZ_35",0.0582465040893765,0,0.0686485047925987,0.0067277612565782,0,0.0768866382887666,0,0,0.0249488624786371
"R3388_YZ_36",0.0351808383591472,0,0.0611946821853703,0.0224121065681476,0,0.0743753757184626,0,0,0.128644014765487
"R3388_YZ_37",0.106391419461539,0.13191568292603,0.121514494463932,0,0,0.135347641167284,0,0.150201411671842,0.360396062363164
"R3388_YZ_38",0.0795576274934085,0.0835518169658762,0.0485051412362801,0.0423157365356206,0.0455794409640731,0.0537898621640638,0.0417975458986006,0,0.143885138120119
"R3388_YZ_39",0.110905691990628,0.177477455706396,0.0761206398927475,0.0643306173941381,0.0673346654006249,0.0933343448932027,0,0.152268155220509,0.170940915302483
"R3388_YZ_40",0.0461445299292131,0,0.0598085795679201,0,0,0.130434038210626,0,0,0.0990070991252191
"R3388_YZ_41",0.0819389394204933,0.0589004622967808,0.0383009417239069,0.0899922842709058,0,0.04474906205641,0,0.0350998867452966,0.0559215084270413
"R3388_YZ_42",0.0847134641469923,0.111102897531931,0.116677171968788,0.0957050804533013,0.133410014017999,0.159874709127711,0.145643940880017,0.0625764038424111,0.177149081426956
"R3388_YZ_43",0.0592462054829641,0.0403396785334323,0.0701128606419998,0.0554150554490526,0,0.0850944657674482,0,0.0862483650323342,0.341586485109093
"R3388_YZ_44",0.0727300979643035,0.0412158049637113,0.0659351465150294,0,0.0451378272972532,0.103224549957942,0,0,0.243653322481609
"R3388_YZ_47",0.0635292115359148,0.0744193848869689,0.095590039826701,0.040743009286368,0,0.109707238660089,0,0.119566228869078,0.224553479399126
"R3388_YZ_48",0.0692700947797613,0,0.0523938937922499,0.0229510578005707,0,0.0825985752816117,0,0,0.0595752249231822
"R3388_YZ_49",0.0934344478701007,0.157832516589295,0.0876003334181693,0.0520465262863257,0.108918627684686,0.1033183850989,0,0.118371581612549,0.128802774190015
"R3388_YZ_50",0.0696395524586403,0.176299775555023,0.0893543479327539,0.037196652146834,0.100316051741937,0.104000548362872,0,0.135379207884356,0.171646573430394
"R3388_YZ_51",0.0606849182431672,0.0289513678595893,0.0503952386784514,0,0.129441478239567,0.0965273725734476,0.255080123273458,0.140719629293669,0.176357994159286
"R3388_YZ_52",0.0702692097454499,0.19927625134313,0.0253455579493629,0.0278358825333535,0,0.0384594860435001,0,0.253600982367642,0.214145443033821
"R3388_YZ_54",0.0837398484770271,0.0942008976299907,0.0864041939155455,0.0331984454001178,0,0.0960964222691336,0.00968680486923981,0.147136255927061,0.0772033089009748
"R3388_YZ_55",0.041758908179525,0,0.0226965594305012,0,0,0.0612954622970614,0,0,0.074538514404649
"R3388_YZ_57",0.0621285495313048,0.142903688831567,0.0506425355737545,0.0171773891274456,0,0.0671081119528915,0.0427714335677411,0.182312025732697,0.207637838481615
"R3388_YZ_58",0.0620032259830716,0.0855507716419838,0.0684418220110125,0,0.049315229663198,0.0837448392196596,0.215534475131075,0.0682009513867184,0.0793661424272448
"R3388_YZ_60",0.0603009129487901,0.0133114906361676,0.0532259728097401,0.0633074254698796,0,0.0576311405178242,0.0841036284732916,0,0.0943327243082226
"R3388_YZ_61",0.0940350552881264,0.0539278513272208,0.102276243100162,0.0271286928844379,0.00142431325724013,0.115206012541459,0.15412486921137,0.228774137981247,0.23756862452436
"R3388_YZ_62",0.104686341199468,0.107224412242845,0.0653342800999394,0.0854425679241612,0,0.0712424124540715,0,0.171303028988144,0.154285752223188
"R4163_YZ_1",0.0375539765179503,0.0277571514528362,0.0636518171902934,0.0122395590821288,0,0.077469369408754,0,0,0.071189751124596
"R4163_YZ_2",0,0,0,0.0135439802186734,0,0,0,0.0263470420901584,0.153969473790281
"R4163_YZ_3",0.0165362186548545,0.0431291675637523,0,0.01217045042145,0,0,0,0,0.156985296957048
"R4163_YZ_5",0.0188432286260506,0.0617489366990032,0,0.0542971731451107,0,0.029762388319962,0.0231081535297584,0.0565966528421573,0.319103369034398
"R4163_YZ_7",0.0467001768441295,0.264640903609754,0.0497322640954631,0,0.175187232686539,0.0598682642137171,0.152187392808469,0,0.135434331848853
"R4163_YZ_8",0,0,0,0,0,0,0,0,0.0835258397201122
"R4163_YZ_9",0.0178631752274734,0.158640309541578,0.0121339804903127,0.0721912117331145,0.00144886532123103,0.0244197017199676,0.109163306222846,0.209768991856576,0.369784520592335
"R4163_YZ_16",0.0311560041624698,0.0746671439149072,0.042917534118529,0.0883677412066618,0,0.0571362576025655,0,0.0721824396636284,0.346136902087249
"R4163_YZ_17",0,0,0,0,0,0,0,0,0.191624454963662
"R4163_YZ_18",0,0,0,0.0110163997834658,0,0,0.0133583850490864,0,0.171417445410269
"R4163_YZ_19",0,0,0,0,0,0,0,0,0.0984764751306318
"R4163_YZ_20",0.0495739694841299,0.0659045066953651,0.0410969525061808,0.031446421570378,0,0.0570285103517505,0,0.111053859038884,0.201131336098987
"R4163_YZ_21",0.0294044458450417,0,0.0571789024395325,0.000492896717020005,0,0.0661403808477738,0,0,0.0269448032501762
"R4163_YZ_22",0.0536782745186082,0.014905658822651,0.0309032151436533,0.0444272963215234,0,0.0344060185200216,0,0.0556479603798013,0.124175080959057
"R4163_YZ_23",0.0469403894829201,0.0672922624795167,0.0287439714141956,0.0252519185202095,0,0.0373005690440309,0,0.0689454070894006,0.278146440029428
"R4163_YZ_25",0.0856669979272261,0.0987263343092826,0.0777357795049493,0.0292845362380335,0.00433946156656786,0.0893455497240794,0.188673094428878,0.142587350658271,0.134707789524223
"R4163_YZ_26",0.0802238993859025,0.136020931437261,0.0972351630887452,0.0950721765880154,0,0.107526152298916,0,0.162245850632642,0.0488718454590254
"R4163_YZ_28",0,0,0,0,0,0,0,0,0.120787233428595
