"","Quantiseq_Macrophage_M2","Epidish_CCLE_TIL10_Macrophages.M2","DeconRNASeq_CCLE_TIL10_Macrophages.M2","DeconRNASeq_CD226_M2","Epidish_TIL10_Macrophages.M2","DeconRNASeq_TIL10_Macrophages.M2","CBSX__TIL10__Macrophages.M2","CBSX__CCLE.TIL10__Macrophages.M2","CBSX__CD226__M2"
"R3388_YZ_1",0.0809563808823107,0.190619673228027,0.0923142734535481,0.0793454337177165,0,0.0951264740531878,0,0.248920015607186,0.168614401282005
"R3388_YZ_2",0.115372675346219,0.354300141999779,0.0574318458387971,0.0890179537596116,0.288196521284033,0.0647902596031216,0.367039589468174,0.35941361514335,0.30919313537263
"R3388_YZ_3",0.0757988942414507,0.173519343326659,0.0632474542611108,0.146697604080953,0,0.0717866021948842,0,0.202073399663311,0.197883306963375
"R3388_YZ_4",0.0940781519413453,0.301804642016755,0.119505877939595,0.0101396703415239,0.221763474942073,0.157375224505272,0.00466319385022045,0.404291795726547,0.180027124728398
"R3388_YZ_5",0.0630276811268354,0.0197330882135168,0.118584924834149,0,0,0.15461400190917,0.0253954197802695,0,0.149338519504115
"R3388_YZ_6",0.0183010633677242,0.0300167201952782,0.0087227126411863,0.036552370012226,0,0.0267472267868527,0,0,0.0564694282392661
"R3388_YZ_7",0.122913307028173,0.227027563673642,0.0949645976866114,0.100358347455879,0.0660681097368312,0.103954919630827,0,0.211516816129506,0.245502277886617
"R3388_YZ_9",0.0598826419309302,0,0.0367337155494155,0,0,0.0812428932895312,0.0619335212563322,0.0135261153244697,0.178082371591747
"R3388_YZ_10",0.10885350850982,0.203751852295523,0.131538390260552,0.113434469920183,0.0785811913491835,0.132514185831003,0,0.148769532185916,0.0735977377588497
"R3388_YZ_11",0.127613060306618,0.167508028883412,0.134278383181917,0.0425647470301576,0.338617696457926,0.154587279903246,0.125984836980386,0.19430888308735,0.199499055351553
"R3388_YZ_12",0.0809247314937653,0.0632911972784742,0.0847141783008669,0.00437432107717188,0,0.0958724056279653,0.150649933283134,0.0520672018204919,0.147982114084449
"R3388_YZ_13",0.0828501934098169,0.21503017753781,0.0515684195842034,0.0383060346646673,0.177651748489217,0.0719328515726236,0.0145083567444366,0.0174145443215296,0.256763390506787
"R3388_YZ_14",0.0605274459378365,0.06965216878021,0.0414706470488127,0.0620567303392034,0.138998971953585,0.0684017151356386,0,0.124523258054677,0.142625531137153
"R3388_YZ_15",0.0473823067970537,0.107681099066899,0.0928974237395834,0.0403419772276253,0,0.106525137256524,0,0.122141119738749,0.1501401535797
"R3388_YZ_16",0.0702491171846416,0.219985177889084,0.0733542225096295,0.0916914146553661,0.0487950419287412,0.0726597026751014,0,0,0.33452299096296
"R3388_YZ_17",0.0538939897543552,0.00332121690640852,0.0954398054682852,0.0421695453738559,0,0.107856167924977,0,0,0
"R3388_YZ_19",0.0525776421249607,0.00202279478202484,0.0715843990608137,0,0,0.103614619492709,0,0,0.101076533940904
"R3388_YZ_20",0.0893405012398453,0,0.101392453523017,0.027621782731847,0,0.173270049406829,0.1381156138154,0.0155344939785471,0.181191352885321
