"","DeconRNASeq_BPRNACan_CD4","Epidish_BPRNACan3DProMet_CD4","Epidish_BPRNACanProMet_CD4","Epidish_CBSX.LM22_CD4.memory.resting","DeconRNASeq_CBSX.LM22_CD4.memory.resting","DeconRNASeq_CBSX.LM22_CD4.memory.activated","Epidish_CBSX.melanoma_CD4","DeconRNASeq_CBSX.melanoma_CD4","Epidish_CBSX.HNSCC_CD4","DeconRNASeq_CBSX.HNSCC_CD4","Epidish_CCLE.TIL10_CD4","Epidish_LM22_CD4.memory.resting","DeconRNASeq_LM22_CD4.memory.resting","DeconRNASeq_LM22_CD4.memory.activated","Epidish_melanoma_CD4","DeconRNASeq_melanoma_CD4","Epidish_TIL10_CD4","CBSX_LM22_CD4.memory.resting","CBSX_scRNA.melanoma_CD4","CBSX_HNSCC_CD4","CBSX_TIL10_CD4","CBSX_CCLE.TIL10_CD4","CBSX_CD226_CD4"
"LUNG-NSCLC2-0553",0.0211688793540543,0.0121798017773925,0.0089727452516153,0.371128004323517,0.0574154062946966,0,0,0.0397580674882303,0.131432401414501,0.014016391535714,0.550677138968185,0.371128004323517,0.0574154062946966,0,0,0.0397580674882303,0.68859969977303,0.297131955505931,0,0.110960457295956,0,0.595973994072138,0.0690762194596815
"LUNG-NSCLC2-0560",0.0020989076706523,0.0346489849592872,0.0391210014996266,0.470513446709191,0,0,0.0413477693298657,0.0275276259712141,0.114091384849603,0.0112528530247941,0.298109551559427,0.470513446709191,0,0,0.0413477693298657,0.0275276259712141,0.205893444549487,0.30296220668338,0.0571227036458509,0.0592579676296347,0,0.392892539139197,0.0306981046996015
"LUNG-NSCLC2-0565",0.0516822482513792,0.0390298834206462,0.0472695341933811,0.480810140363789,0.257571600211572,0.018626003229246,0.0500384828606283,0.0882034638772682,0.331487444397357,0.0253236530921061,0.223458002908091,0.480810140363789,0.257571600211572,0.018626003229246,0.0500384828606283,0.0882034638772682,0.252655826977639,0.440317250338512,0.0603352562009021,0.337933413791243,0.379350954076773,0.214335392904805,0.0668884675796048
"LUNG-NSCLC2-0566",0.043292273251503,0.0469753450232399,0.0653410148249362,0.489094501919304,0.206588600156326,0,0.0932521130082205,0.075039094216147,0.390632519500721,0.0948118796479676,0.0339586500671001,0.489094501919304,0.206588600156326,0,0.0932521130082205,0.075039094216147,0,0.478821487890022,0.0564517077185824,0.302908637695332,0.0282641062195181,0.363393907596417,0.0294361030011754
"LUNG-NSCLC2-0568",0,0.006892915867413,0.0145225700000883,0.434243762451236,0.151598699528942,0.0223834767347622,0,0,0.126679410092148,0.0153116952080485,0.089779573224871,0.434243762451236,0.151598699528942,0.0223834767347622,0,0,0,0.428063014802017,0.00070962110551579,0.0506007727663145,0.115849538547621,0.211989925395576,0.0758721880922903
"LUNG-NSCLC2-0569",0.009798147283013,0.010556341188938,0.0170482635742418,0.330085223651264,0.0841701764576467,0.0188012256847635,0,0.0522159621240002,0.418208670628913,0.0519750773436701,0.0733012014983883,0.330085223651264,0.0841701764576467,0.0188012256847635,0,0.0522159621240002,0.173185213403327,0.320213979598737,0.0426113716565665,0.259376115679978,0.170313914704455,0.0611863024376881,0.0282465202000368
"LUNG-NSCLC2-0571",0.0158481451433538,0.0108948413197794,0.0228828048030896,0.469144239219289,0.0205064594486805,0,0,0.0403353157258751,0.182541096148957,0.0245809686998897,0.0480893705464054,0.469144239219289,0.0205064594486805,0,0,0.0403353157258751,0,0.447297777748979,0.0566866070147398,0.121413176451019,0,0.0082254443624184,0.285004151350605
"LUNG-NSCLC2-0580",0,0.0233236767933167,0.0318405189141281,0.477930286135621,0.111415870364411,0.000927347381089398,0.0059159093017923,0.0246730345958379,0.226077043140692,0.0350547795075902,0.250416132628104,0.477930286135621,0.111415870364411,0.000927347381089398,0.0059159093017923,0.0246730345958379,0.332863181482413,0.36824216063034,0.0857435158805947,0.147530239805534,0.408670499755759,0.235171507352374,0
"LUNG-NSCLC2-0584",0.014122618023911,0.0338760211425787,0.0427119210112963,0.520827661587893,0,0,0.0103722365298042,0.0281912658415672,0.246694943167837,0.0357680548104856,0.244765050843056,0.520827661587893,0,0,0.0103722365298042,0.0281912658415672,0.105086230587612,0.451187428807919,0,0.111023452188412,0,0.114949610966226,0.0363846165298857
"LUNG-NSCLC2-0585",0.0111285227303479,0.0207309465753511,0.0338266834120804,0.534018594423978,0.236247903701691,0.0036091381666681,0,0.0399532801075054,0.0707972364409127,0.0119242328080194,0.0982252727480623,0.534018594423978,0.236247903701691,0.0036091381666681,0,0.0399532801075054,0,0.541644828385731,0,0.110512955123356,0.556745607044701,0,0.101804895649604
"LUNG-NSCLC2-0588",0.0196903076948352,0.045769081146195,0.0731819028041253,0.456200860005058,0,0,0.036626554147905,0.0540250467027351,0.138967847745327,0.0260720859620749,0.0938578863096073,0.456200860005058,0,0,0.036626554147905,0.0540250467027351,0,0.419047221996007,0.0585459678078358,0.110760521464742,0,0.0331876523794075,0
"LUNG-NSCLC2-0590",0.0201905892866699,0.0107315421297037,0.0132463038408294,0.406789540124802,0.0599025834472124,0,0,0.0411492076390738,0.181117569582549,0.0156203274420877,0.0422517051415188,0.406789540124802,0.0599025834472124,0,0,0.0411492076390738,0.0181800754514171,0.306828493654543,0,0.161289732075136,0.488409631079805,0,0.139590396506605
"LUNG-NSCLC2-0592",0.0086852173145491,0.030569559683815,0.0384412200821403,0.462621356496762,0.202585957788581,0.0117654505735837,0,0,0.304712602579092,0.0529238228719197,0,0.462621356496762,0.202585957788581,0.0117654505735837,0,0,0,0.485676453251779,0,0.144517538111427,0.293128780668685,0.266546624296126,0.0191586007858047
