"","Quantiseq_T_cell_CD8.","DeconRNASeq_BPRNACan_CD8","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD8","Epidish_CCLE_TIL10_T.cells.CD8","DeconRNASeq_CCLE_TIL10_T.cells.CD8","DeconRNASeq_CD226_CD8CD226negPostAct","DeconRNASeq_CD226_CD8CD226plusNoAct","DeconRNASeq_CD226_CD8CD226plusPostAct","DeconRNASeq_TIL10_T.cells.CD8","CBSX__LM22__T_cells_CD8","CBSX__NSCLC.scRNAseq__T_cells_CD8","CBSX__scRNA.melanoma__T_cells_CD8","CBSX__CCLE.TIL10__T.cells.CD8","CBSX__CD226__CD8CD226plusNoAct","CBSX__CD226__CD8CD226plusPostAct"
"LP.01.01",0,0.047756691630203,0.0288316412412359,0,0.0297920206323117,0,0,0,0.0576470613864414,0,0,0,0,0.0251417180731016,0.0237324782574525
"LP.01.02",0,0.0295333273729347,0.046886290926827,0,0.02670109286021,0,0.135781209209315,0.08770710272663,0.0457934598616182,0,0.0772849284801023,0,0,0.0611667917853925,0.0681997631459433
"LP.01.03",0,0.0440800245215862,0.03210646410992,0,0.0252385804737943,0.10020483765698,0,0.0228414258103018,0.0441426515291193,0,0.0996827929770407,0,0,0.0403183598454936,0.0403344374960542
"LP.01.04",0.00259187580855067,0.00751675703033435,0.0654914350116129,0,0.0221530187929778,0,0.0477148475411553,0.271083168617387,0.0565565590102147,0.0559887635906717,0.0742540780061185,0,0.00478441259555676,0.0511168841241707,0.0991302677398828
"LP.01.10",0.01057637191209,0.0327254066944354,0.051691545504934,0,0.0274507301503647,0.0391305822698249,0,0.0659857359873354,0.0515887416625662,0,0.0959887979339223,0.0153263369926775,0.0446014775658243,0.0415975277301444,0.040839895538544
"LP.01.12",0.00466007120388919,0.0299299869334078,0.061205662326931,0.0124675816777173,0.0367787651039694,0.141498222467892,0,0,0.0518181077148932,0.0314745148245739,0.0940657607769253,0,0,0.0459677842451458,0.0247653390643091
"LP.01.14",0.0333085783237468,0.0114909487717521,0.0546060813183686,0.0474906347057215,0.00786035063800763,0.0276152684809467,0,0.161002946242109,0.0285295220299038,0.0765616843937015,0.117185915715105,0.051527398813128,0.157943011712407,0.0378987185353258,0.0491759853880579
"LP.01.16",0.0215861747823798,0.00739867925045251,0.0596253765709016,0.0276521176336405,0.0241059444591195,0.07853113204955,0,0.106857102317683,0.0589749394158871,0.0630570430558349,0.163707008335974,0.0340856891928905,0,0.0386299969139202,0.0531651780880118
"LP.01.18",0.0127318343265423,0.0391978496571343,0.0568643579268389,0,0.00498821159696588,0.0229091434328716,0,0.128822324354651,0.0301470305520862,0.0137265215285236,0.04395663117106,0,0.0133241485726255,0.0314230896916012,0.0584367433853002
"LP.01.19",0.00562183600239521,0.031705106857622,0.0485568415007576,0,0.0181528057092832,0.134311581428999,0,0.0139221681512178,0.0394244104248914,0,0.143923033757162,0.00298663679462688,0,0.0344450350815189,0.0578714432205787
"LP.01.20",0,0,0.0791062275381657,0,0.0292638056776576,0.0108296771174254,0.0931896278811083,0.202515196294968,0.0606766517407313,0.00345013887932599,0.127371516244751,0.0638023020231595,0.00010782163048542,0.047743078221921,0.0675957483323131
"LP.01.22",0,0.0283445944616907,0.0785970700510889,0,0.0139965757637438,0,0.109142282079002,0.215104530744169,0.051966097412589,0,0,0,0,0.0304314841884266,0.0684172618337364
"LP.01.24",0.012760979115421,0.0377990452496329,0.0414664290604886,0.0193857305130976,0.0349861775036452,0.134923973793662,0.0119655315691928,0.0576792487204151,0.053901669116406,0.025515138154352,0.122662448601759,0,0,0.0340592856113422,0.048759940799208
"LP.01.25",0.011544133827185,0.0252295096581061,0.0468801826740963,0.00498776599612412,0.0181868677292326,0.0765094250383563,0.0284120919820349,0.0842977070107992,0.0418528850861748,0,0.103402596350649,0,0,0.0524701728190823,0.0534594175268745
"LP.01.28",0,0.0375871929169563,0.0502138844712441,0,0.0304397739235243,0.0968633570264656,0.0553290491608634,0.056305780847625,0.0538587414075418,0.00826708833429384,0.123078342618265,0,0,0.0278863791988752,0.0319321007651825
"LP.01.31",0,0.0260381573788637,0.0772727343891363,0,0.00494417750773916,0,0.138650271686143,0.152161769502697,0.0330024815054622,0.0075411646097512,0.0615974917365931,0,0,0.0664975568738361,0.0563348630947223
"LP.01.35",0.0114026820988519,0.0170185236353109,0.06839343028573,0.00588182695391164,0.0304716599207523,0.167899013403733,0,0,0.0466284420589962,0,0.0563790976681906,0.00136409805170688,0,0.0157132307468661,0.045401014264441
"LP.01.40",0.0198685265761629,0.0111817692493507,0.0833120019895373,0,0.0388592036181542,0,0.0833796125099713,0.188840501313881,0.0648136719248665,0.0186906507360324,0.119096200232869,0.0222725964237233,0,0.0632465524127565,0.0479515843624152
"LP.01.42",0.00481101476247945,0.000412304399225891,0.0741562873772029,0,0.0274405747369554,0,0.126470172161134,0.177638337713343,0.0407697346244988,0,0.193733239797975,0,0,0.0535122759674635,0.0788073933446094
"LP.01.46",0.00766482352467499,0.0361169916847206,0.042658692878266,0.00255969172571861,0.0179812569573186,0,0.0695116538091114,0.225736563748603,0.0436725906608416,0.0187410918163525,0.113658585132219,0.0074853655160378,0.0172256385750101,0.0797450807630919,0.0631873305326603
"LP.01.58",0.00292037063957627,0,0.0836317620753837,0,0.0157801409763232,0,0.0419940668249942,0.212750322604343,0.0430666464912214,0.00029636983705582,0.055143658073621,0.0219549854076888,0,0.0320935499771434,0.0876532536046673
"LP.01.61",0,0.0531728053213349,0.0553479044933286,0,0.0264398651318839,0.0761418615250966,0.0531547069570399,0.111919656166685,0.0491787988613483,0,0.0989389363718263,0,0,0.0399928824480968,0.0196269614925834
"LP.01.66",0.0391238177765289,0.0329957748623438,0.0474449599465981,0.0469473762220703,0.0365547683074196,0.0572386423880468,0,0.116717332608886,0.0652619468327041,0,0.0841240566667132,0.039783066493419,0.0177383058811716,0.0167994027309915,0.0744484862001576
"LP.01.67",0,0.0349532545546593,0.0366150096322633,0,0.0205058490484778,0.102506848558197,0.0443110737181458,0.0630511843395323,0.035009654114287,0,0.106119183477732,0,0,0.0641349327896997,0.05462881568551
"LP.01.68",0,0.0249841578725979,0.0318402248508566,0,0.0332066043551285,0.133867049680451,0,0.00406248390346003,0.0514224233961958,0,0.0625543488926454,0,0,0.050493763258113,0.0298403545912996
"Test.FFPE.01",0.00832318303944931,0.03466338991552,0.0533570063504861,0,0.0227894462349221,0,0.0517180920846571,0.305232445621668,0.0426132332466267,0.110575164251579,0.161707973176366,0,0.0159758500154627,0.0708472903089817,0.104181893276733
"Test.FFPE.03",0.0233610601244166,0.0271536311272528,0.0209418165315321,0.0450402661023536,0.0221104978469466,0.0213737622794043,0,0,0.060067246677537,0.090633752693087,0.0164105168313191,0,0.0108828226567245,0.0261114022677851,0.0461306727490336
"Test.FFPE.04",0.00732493570998427,0.0408659803659389,0.0599900953536991,0,0.0378795135733924,0.0393143063519794,0.0979967935603313,0.125433537996513,0.0616908169493778,0,0.178763884697978,0,0.0346396742945341,0.0516836416947711,0.0553785425503796
"Test.FFPE.05",0.0468917566528452,0.0245593409317241,0.0570189509216899,0.113450659271413,0.0691129649561552,0.078454213570657,0,0.131832974367837,0.0894275731755271,0.0680469001459829,0.101656263780899,0.0364973196308412,0.0693046136579018,0.0387173086737411,0.07214565016095
