"","Quantiseq_NK_cell","DeconRNASeq_BPRNACan_NK","DeconRNASeq_BPRNACanProMet_NK","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NK.cells","Epidish_CBSX_LM22_NK.cells.resting","DeconRNASeq_CBSX_LM22_NK.cells.resting","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_NK.cells","Epidish_CCLE_TIL10_NK.cells","DeconRNASeq_CCLE_TIL10_NK.cells","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NK.cells","Epidish_LM22_NK.cells.resting","DeconRNASeq_LM22_NK.cells.resting","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_NK.cells","DeconRNASeq_TIL10_NK.cells","CBSX__LM22__NK_cells_resting","CBSX__LM22__NK_cells_activated","CBSX__CCLE.TIL10__NK.cells"
"LP.01.04",0.0448577762407114,0.0605955574460631,0.0837393664697518,0.00371909934285366,0.0690694494951613,0.223848811262433,0.027720136846905,0.0352480525042672,0.0614707031083265,0.00718560076099606,0.230018347233978,0.00371909934285366,0.0690694494951613,0.223848811262433,0.027720136846905,0.0352480525042672,0.0614707031083265,0.276364882563769,0.0657699098068966,0.00585479255325116,0.00368742856989146
"LP.01.12",0.0355960261022135,0.0616236152567146,0.0981561647815204,0,0,0.155631788202048,0.00574996048445286,0,0.0343926045039534,0.0375166924005162,0.109540877221204,0,0,0.155631788202048,0.00574996048445286,0,0.0343926045039534,0.107598360019414,0.0243331309848515,0,0.046786639413548
"LP.01.14",0.0501249986618971,0.0401358693421159,0.0643144437189162,0,0.0272965551212074,0.120544272440572,0.0144151130388754,0.0279067942986024,0,0.039263287288423,0.263280147257272,0,0.0272965551212074,0.120544272440572,0.0144151130388754,0.0279067942986024,0,0.283336542329059,0.0230917474568143,0.0129121852158368,0.0485430882569572
"LP.01.15",0.0281379755831084,0.0516264609201871,0.0914247262429668,0.0724788177156833,0.0377943270352848,0.157846879298953,0.0494796666377347,0.0143642075330744,0.0372319308969397,0.00676318014084002,0.110812751434855,0.0724788177156833,0.0377943270352848,0.157846879298953,0.0494796666377347,0.0143642075330744,0.0372319308969397,0.13481154083036,0.0674507676243897,0,0
"LP.01.17",0.0414241128315075,0.0391051976961977,0.0759449572033004,0.0154876997960662,0.0372351301012187,0.218156546397154,0.0579704911353914,0,0.034596557761337,0,0.077971216396332,0.0154876997960662,0.0372351301012187,0.218156546397154,0.0579704911353914,0,0.034596557761337,0.093651822070507,0.0637266597140038,0,0
"LP.01.18",0.0272879156229419,0.03626143544397,0.070470516793504,0.00187440941185147,0.0962004167138784,0.0879451726388086,0.0205845605400729,0,0,0.00887754541871399,0.216695935903963,0.00187440941185147,0.0962004167138784,0.0879451726388086,0.0205845605400729,0,0,0.239825734289683,0.030389253534853,0,0
"LP.01.20",0.0316283783739952,0.0515522281105433,0.0690737635371788,0.0544779595000783,0.0793841756188073,0.210305429357356,0,0.0320728099676318,0.0311654832894075,0.0427007708672382,0.0956522499963901,0.0544779595000783,0.0793841756188073,0.210305429357356,0,0.0320728099676318,0.0311654832894075,0.112422974358785,0,0.0208582922601943,0
"LP.01.22",0.0510289408285318,0.0618575173347929,0.0827822573536691,0.022600556611609,0.109851493281611,0.215323953552591,0,0,0.102081709680075,0.0113613464612156,0.314826448041617,0.022600556611609,0.109851493281611,0.215323953552591,0,0,0.102081709680075,0.350244401292826,0,0.0413072357321218,0
"LP.01.25",0.048359004911714,0.0444487375581919,0.0761694495787986,0,0.0419269925998008,0.135098192949892,0,0.0113743657897551,0.00845984077970184,0.0486877906865762,0.18052257665349,0,0.0419269925998008,0.135098192949892,0,0.0113743657897551,0.00845984077970184,0.194437794192485,0.0106904453022887,0.00262338317466924,0.013922080699148
"LP.01.28",0.0468090113668751,0.0530285592213044,0.0924744745217634,0.00454386805188377,0.0299776304958986,0.158800428296379,0,0.007886364199092,0.0317236594424078,0.0453161382654482,0.106563855934064,0.00454386805188377,0.0299776304958986,0.158800428296379,0,0.007886364199092,0.0317236594424078,0.112841507601339,0,0.0222313841316968,0.0403584647731556
