"","Epidish_BPRNACan_Mono","DeconRNASeq_BPRNACan_Mono","Epidish_BPRNACan3DProMet_Mono","DeconRNASeq_BPRNACan3DProMet_Mono","Epidish_BPRNACanProMet_Mono","DeconRNASeq_BPRNACanProMet_Mono","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_Monocytes","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_Monocytes","Epidish_CBSX_LM22_Monocytes","DeconRNASeq_CBSX_LM22_Monocytes","Epidish_CD226_Mono","DeconRNASeq_CD226_Mono","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_Monocytes","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_Monocytes","Epidish_LM22_Monocytes","DeconRNASeq_LM22_Monocytes","CBSX__LM22__Monocytes","CBSX__NSCLC.scRNAseq__Monocytes","CBSX__CD226__Mono"
"LP.01.04",0.0149704720703911,0.133927997619064,0.0126821424218364,0.127942480370854,0.0106736751710794,0.118593493465022,0.0309156883849144,0.248494475548794,0.0246268344427841,0.0207653665994501,0.275619726856417,0.0626530882324774,0.0309156883849144,0.248494475548794,0.0246268344427841,0.0207653665994501,0.0467251600898971,0.0126035042152689,0.0856926211417962
"LP.01.12",0.0768518932329075,0.116678232167824,0.0875602979964891,0.117570518950041,0.0868554607535483,0.106993746106768,0.0151470580553243,0.210718998641558,0.0374184578674066,0.0621248208775492,0.517953528499139,0.0723948567369147,0.0151470580553243,0.210718998641558,0.0374184578674066,0.0621248208775492,0.0298125765138389,0.0305165619830124,0.0831510613175652
"LP.01.14",0.029295295426287,0.119611435468344,0.032295267418922,0.118281674948096,0.0266770105441523,0.105046569673078,0,0.169119952233148,0.0217081051584704,0.00126106398831706,0.24658511184537,0.0236893354912627,0,0.169119952233148,0.0217081051584704,0.00126106398831706,0.029292726635136,0,0.0792829651170056
"LP.01.15",0.033133632089992,0.0946446014340179,0.0293222731665901,0.0909916603129878,0.0224158509339435,0.0851139351063658,0.195130148697291,0.291447478178007,0,0.00223549740377021,0.215929746070083,0.047770824822637,0.195130148697291,0.291447478178007,0,0.00223549740377021,0,0.181981189899467,0.0839836118929986
"LP.01.17",0.0477457241115194,0.127671754909466,0.0536027836776497,0.128488225860435,0.0469618312946115,0.115939143293005,0,0.227282572509083,0.0962016668623156,0.0429649463776502,0.466907989868951,0.131383977287085,0,0.227282572509083,0.0962016668623156,0.0429649463776502,0.110002837265412,0,0.102447231618819
"LP.01.18",0.041232031541067,0.130820567500348,0.0414336150097747,0.128280055994869,0.0354568083188681,0.114380618283414,0,0.177503216475086,0.0143524018695058,0.0153344265142663,0.163880657168247,0.0891498190003005,0,0.177503216475086,0.0143524018695058,0.0153344265142663,0.0160185687986691,0,0.0867780256087025
"LP.01.20",0.021452781038676,0.128997763244452,0.02018112670157,0.127535241488275,0.0170734200492649,0.112235217995585,0.0227812386081363,0.262230391020483,0.0310834209410508,0.00860046092331971,0.270889166003671,0.0441615928122154,0.0227812386081363,0.262230391020483,0.0310834209410508,0.00860046092331971,0.027260991513783,0.0208402880237663,0.0851448346040427
"LP.01.22",0.00736195648415733,0.072302014394707,0.00706229087770192,0.0682098313418858,0.0046519333932484,0.0628959785041968,0.0644126336904724,0.265026749962693,0.0221943192633172,0.052184811153494,0,0,0.0644126336904724,0.265026749962693,0.0221943192633172,0.052184811153494,0.0183217570433398,0.0605776814041542,0.0685137215528261
"LP.01.25",0.0470706929823851,0.138064462301053,0.0516494824267056,0.137462179567089,0.040766816322773,0.122590927854585,0.00111666061803354,0.225596414971473,0.0500495800266342,0.0160508029060211,0.302806114938866,0.0544424295925961,0.00111666061803354,0.225596414971473,0.0500495800266342,0.0160508029060211,0.0547198987055677,0.0163252234320132,0.0782303341587623
"LP.01.28",0.0383443469641112,0.147112198039609,0.0444532992605212,0.147552029993532,0.0372231201404068,0.134128147706644,0.00806462054774971,0.326296506304153,0.048772416741955,0.0184133881839485,0.372004451052365,0.0302253991855991,0.00806462054774971,0.326296506304153,0.048772416741955,0.0184133881839485,0.0498538402745087,0.032570518404681,0.0875275223840862
