"","DeconRNASeq_BPRNACan_CD8","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","Epidish_CBSX_LM22_T.cells.CD8","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD8","DeconRNASeq_CCLE_TIL10_T.cells.CD8","DeconRNASeq_CD226_CD8CD226negPostAct","DeconRNASeq_CD226_CD8CD226plusNoAct","DeconRNASeq_CD226_CD8CD226plusPostAct","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","Epidish_LM22_T.cells.CD8","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD8","DeconRNASeq_TIL10_T.cells.CD8","CBSX__LM22__T_cells_CD8","CBSX__NSCLC.scRNAseq__T_cells_CD8","CBSX__scRNA.melanoma__T_cells_CD8","CBSX__CCLE.TIL10__T.cells.CD8","CBSX__CD226__CD8CD226plusPostAct"
"LP.01.04",0.00751675703033435,0,0,0.0516962383522295,0,0.0221530187929778,0,0.0477148475411553,0.271083168617387,0,0,0.0516962383522295,0,0.0565565590102147,0.0559887635906717,0.0742540780061185,0,0.00478441259555676,0.0991302677398828
"LP.01.12",0.0299299869334078,0.0248468272776404,0.0326465348629045,0.0225859507205065,0,0.0367787651039694,0.141498222467892,0,0,0.0248468272776404,0.0326465348629045,0.0225859507205065,0,0.0518181077148932,0.0314745148245739,0.0940657607769253,0,0,0.0247653390643091
"LP.01.14",0.0114909487717521,0.044229730087763,0.0352070544713096,0.0718863051777284,0.0460906149041784,0.00786035063800763,0.0276152684809467,0,0.161002946242109,0.044229730087763,0.0352070544713096,0.0718863051777284,0.0460906149041784,0.0285295220299038,0.0765616843937015,0.117185915715105,0.051527398813128,0.157943011712407,0.0491759853880579
"LP.01.15",0.0136696430694762,0,0.0179669911654652,0.00905273565775302,0,0.0303958419444144,0,0.0926376325017393,0.197774752975356,0,0.0179669911654652,0.00905273565775302,0,0.0537658254160104,0.0363034771476991,0,0,0.019475953901088,0.0679437571860859
"LP.01.17",0.0314245570620972,0,0.0181354934150342,0.00144120818370941,0,0.0506381816337219,0.131875538931629,0.0337851441176464,0.12268894472314,0,0.0181354934150342,0.00144120818370941,0,0.0736183577661389,0,0,0,0,0.0768312547007366
"LP.01.18",0.0391978496571343,0.00688998108055278,0,0.0137655483633052,0.0385961857747135,0.00498821159696588,0.0229091434328716,0,0.128822324354651,0.00688998108055278,0,0.0137655483633052,0.0385961857747135,0.0301470305520862,0.0137265215285236,0.04395663117106,0,0.0133241485726255,0.0584367433853002
"LP.01.20",0,0,0,0,0.0349777699174236,0.0292638056776576,0.0108296771174254,0.0931896278811083,0.202515196294968,0,0,0,0.0349777699174236,0.0606766517407313,0.00345013887932599,0.127371516244751,0.0638023020231595,0.00010782163048542,0.0675957483323131
"LP.01.22",0.0283445944616907,0,0,0,0,0.0139965757637438,0,0.109142282079002,0.215104530744169,0,0,0,0,0.051966097412589,0,0,0,0,0.0684172618337364
"LP.01.25",0.0252295096581061,0.0135921229964703,0.0204533255541377,0,0,0.0181868677292326,0.0765094250383563,0.0284120919820349,0.0842977070107992,0.0135921229964703,0.0204533255541377,0,0,0.0418528850861748,0,0.103402596350649,0,0,0.0534594175268745
"LP.01.28",0.0375871929169563,0,0.0465354885782098,0,0,0.0304397739235243,0.0968633570264656,0.0553290491608634,0.056305780847625,0,0.0465354885782098,0,0,0.0538587414075418,0.00826708833429384,0.123078342618265,0,0,0.0319321007651825
