"","Epidish_BPRNACan_Mono","DeconRNASeq_BPRNACan_Mono","Epidish_BPRNACan3DProMet_Mono","DeconRNASeq_BPRNACan3DProMet_Mono","Epidish_BPRNACanProMet_Mono","DeconRNASeq_BPRNACanProMet_Mono","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_Monocytes","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_Monocytes","Epidish_CBSX_LM22_Monocytes","DeconRNASeq_CBSX_LM22_Monocytes","Epidish_CD226_Mono","DeconRNASeq_CD226_Mono","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_Monocytes","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_Monocytes","Epidish_LM22_Monocytes","DeconRNASeq_LM22_Monocytes","CBSX__LM22__Monocytes","CBSX__NSCLC.scRNAseq__Monocytes","CBSX__CD226__Mono"
"R3388_YZ_1",0.0342031969098082,0.113590213326126,0.037540321987728,0.117220541990679,0.0355504964857346,0.103539229088607,0.0412803330419141,0.275022890190174,0.0655591523169473,0.102126767954309,0.34414025194995,0.0537532328577158,0.0412803330419141,0.275022890190174,0.0655591523169473,0.102126767954309,0.0830336749028723,0.0359373213022717,0.100831639378206
"R3388_YZ_2",0.0450397987287759,0.106779714523571,0.0569524704854853,0.109218469682982,0.063504418318312,0.0993261683594166,0.0165469263013075,0.162549193892845,0.0510250770320606,0,0.274859950303027,0.0472023069452616,0.0165469263013075,0.162549193892845,0.0510250770320606,0,0.0401539825866968,0,0.0906506573363679
"R3388_YZ_3",0.0346332424185956,0.102998434133392,0.0444779955422592,0.106869341520842,0.0407481340591038,0.0936326138115806,0.0713164014182137,0.277221028097869,0.0446357620851171,0.141232885577624,0.390076372508043,0.0453267372278357,0.0713164014182137,0.277221028097869,0.0446357620851171,0.141232885577624,0.0481212536504993,0.0670644697872738,0.113751391366764
"R3388_YZ_4",0.0129432577601583,0.0855283010765515,0.012101380496647,0.0784122410897527,0.0105832662254075,0.0730547342650375,0.0293011940570863,0.158684380381101,0.0502677589135563,0.0112727612443091,0,0.0562145384868592,0.0293011940570863,0.158684380381101,0.0502677589135563,0.0112727612443091,0.0493554103459984,0.00642680655230648,0.0895589329071006
"R3388_YZ_5",0.024044622171678,0.0951889647687675,0.0238539733365216,0.0943504747256688,0.0206716592261885,0.0815766044653495,0,0.20710679672557,0.023618640119523,0.00772367978122248,0.300270973692877,0.0628274043543406,0,0.20710679672557,0.023618640119523,0.00772367978122248,0.0512711887767024,0,0.0795157547702385
"R3388_YZ_6",0.0124945770002745,0.0995552655894042,0.0131917144402228,0.0977825808664856,0.00718172718866261,0.0853001305899003,0.0287542929074879,0.238855819275307,0.0742221121495568,0.0134925661916235,0.120239687518107,0.0253613660291171,0.0287542929074879,0.238855819275307,0.0742221121495568,0.0134925661916235,0.0420664878473777,0.0281778751078252,0.107787146416496
"R3388_YZ_7",0.0418278380787961,0.100745656280212,0.0427788703975127,0.103622915841534,0.0525707229696463,0.0910211119111217,0.0604679375781272,0.247215481783526,0.0526061058341318,0.116190248403007,0.323340989980616,0.0685140591349592,0.0604679375781272,0.247215481783526,0.0526061058341318,0.116190248403007,0.0353632529017481,0.0600042604587098,0.111924701819142
"R3388_YZ_9",0.0399983631381218,0.142473557807748,0.0463666415904436,0.137828800396565,0.0338565137913482,0.122823807062661,0.0200382015131421,0.230809060822046,0.0523941325751507,0,0.173953666304434,0.0616685503065241,0.0200382015131421,0.230809060822046,0.0523941325751507,0,0.0374813752492937,0.0258947606663272,0.129459121899468
"R3388_YZ_10",0.035507040614022,0.101111585115628,0.0399700954090961,0.102791704845673,0.0329416965678579,0.0892468939916807,0.0333683665011347,0.230732988927606,0.0891593134893626,0.0384904890298164,0.423921231140693,0.0308011371343151,0.0333683665011347,0.230732988927606,0.0891593134893626,0.0384904890298164,0.0646398002318941,0.0152789442254056,0.11402309438339
"R3388_YZ_11",0.0140253031295081,0.0911949946157268,0.0136266666498948,0.0870702793901034,0.00901601396163112,0.077734971617031,0.0458012009783499,0.262827307963606,0.102005718087071,0.04208311509685,0.0489649946994204,0.00716242060426948,0.0458012009783499,0.262827307963606,0.102005718087071,0.04208311509685,0.113147432390015,0.0321492350237364,0.0897252744968579
"R3388_YZ_12",0.00632704924784995,0.116847825135035,0.00783222420171412,0.122354230825165,0.00632016739954225,0.110558025182409,0.0735002029760613,0.27208794768076,0.108787935420586,0.057889098388078,0,0.0539092969652305,0.0735002029760613,0.27208794768076,0.108787935420586,0.057889098388078,0.0598727091870145,0.0347271565436491,0.0983719248697364
"R3388_YZ_13",0.0380235556077571,0.112102013427917,0.0425803841878546,0.112347970489927,0.0404778556239169,0.1012855285976,0.162723675820846,0.259141661935823,0.0482558550531059,0.0164674116829349,0.210967989365871,0.0471226528255108,0.162723675820846,0.259141661935823,0.0482558550531059,0.0164674116829349,0.0460517766790041,0.176308885740391,0.095463530783005
"R3388_YZ_14",0.0428243585267472,0.118270047468388,0.0383291196760618,0.113192931291917,0.0309720866024041,0.100178723638005,0.00935653544545766,0.140623316135528,0.0796586447034462,0.0235110489506794,0.196461142767956,0.0915774468388189,0.00935653544545766,0.140623316135528,0.0796586447034462,0.0235110489506794,0.0519581626118989,0,0.095953085985111
"R3388_YZ_15",0.00522358165141866,0.0829718057104447,0.00454790230029799,0.0830511657058085,0.00410354074119084,0.0770371786653086,0.0495068309669226,0.191841352410877,0.0557935047316293,0.0116622723124713,0.371803779915992,0.0829169625504632,0.0495068309669226,0.191841352410877,0.0557935047316293,0.0116622723124713,0.00096865804161734,0.115724805005202,0.120856169106437
"R3388_YZ_16",0.0415104262505359,0.128849668052922,0.050844612274404,0.127654152747413,0.0436984322738709,0.115365874000465,0.00873436415190728,0.277196400639892,0.0275981894339909,0,0.151442473133004,0.0239506267076029,0.00873436415190728,0.277196400639892,0.0275981894339909,0,0.047751952342069,0,0.0564391089781271
"R3388_YZ_17",0.0305960523911753,0.140535716827715,0.0396579665689307,0.143624318240968,0.0220023828426242,0.13210761323112,0.0362482601395074,0.258767539224988,0.1237166272416,0.0584509034427972,0.312599880597689,0.0487758881304432,0.0362482601395074,0.258767539224988,0.1237166272416,0.0584509034427972,0.124695550169088,0.00671528926575313,0.114378400086348
"R3388_YZ_19",0.0203609593571296,0.113254260614714,0.0200448561109723,0.114830326181342,0.016705037781398,0.0991116288896616,0.0340067751161361,0.207681146113952,0.0178206741555753,0,0,0.0161393914660588,0.0340067751161361,0.207681146113952,0.0178206741555753,0,0,0.018583042669317,0.132248492617687
"R3388_YZ_20",0.00862553874375821,0.0999322582534842,0.0106621537771522,0.104549513669983,0.00973149268633949,0.0932320888276385,0.0782056349419654,0.25995187047184,0.0587160322861219,0,0.172806325018489,0.0522180531786945,0.0782056349419654,0.25995187047184,0.0587160322861219,0,0.112295290638087,0.0770712386667374,0.101375532220202
"R3388_YZ_21",0.0273598583180718,0.0990906368199469,0.027004576789976,0.0984814122739337,0.0219055009006521,0.0860052843217761,0.00888920613301067,0.113906935408276,0.0903952975558209,0.0219148722556952,0.223174288458904,0.0734978068382073,0.00888920613301067,0.113906935408276,0.0903952975558209,0.0219148722556952,0.031308311580892,0,0.107970276108277
"R3388_YZ_23",0.0260207163116088,0.109456376799899,0.0292566738844383,0.109260310797479,0.0229901123710143,0.097485202432078,0.0545704483756614,0.243756492120386,0.0629009167286207,0.121999381522136,0.119573846102387,0.050811755153359,0.0545704483756614,0.243756492120386,0.0629009167286207,0.121999381522136,0.0175536501820138,0.0392272486521066,0.108477443975747
"R3388_YZ_24",0.026659794419578,0.115258625682527,0.0335649705106865,0.118056290725454,0.0395002756579634,0.104611285738607,0.0430444154002508,0.220807626289767,0.0616564324163266,0,0.263115426258277,0.0348732583288494,0.0430444154002508,0.220807626289767,0.0616564324163266,0,0.0698831057048555,0.042412625932614,0.09089225313862
"R3388_YZ_25",0.0651388093153155,0.140305517901302,0.0666804555367021,0.147007990737519,0.0552007241549777,0.131090277740803,0.0388687405222724,0.29047683920382,0.00836475704089163,0.117935971688047,0.4373920568279,0.106206546174177,0.0388687405222724,0.29047683920382,0.00836475704089163,0.117935971688047,0.00586756909431297,0.0472380906944502,0.104495236326494
"R3388_YZ_26",0.13406615121222,0.124832472604707,0.121010144882413,0.133129337271217,0.107070106576537,0.119872421674811,0.0596754600540086,0.248402534088732,0.205659414534757,0.051289703573277,0.452684330830588,0.0982083627430564,0.0596754600540086,0.248402534088732,0.205659414534757,0.051289703573277,0.200557202535266,0.0482481067005259,0.0929010096564798
"R3388_YZ_27",0.0612801684059604,0.126402680140929,0.0782694922498844,0.129598696704138,0.0554191176919364,0.114078171909399,0.0220846009306536,0.18264059284838,0.0776901372534507,0.00623807721334053,0.371611906413856,0.0614977959815684,0.0220846009306536,0.18264059284838,0.0776901372534507,0.00623807721334053,0.0946881787052746,0.00951378692858281,0.102520931166538
"R3388_YZ_28",0.0367811387745836,0.126536893632213,0.0392710347668938,0.129165604253191,0.0328502726633018,0.119454925653395,0.0630183210150182,0.163588982264518,0.0234201153739454,0,0.183174773276542,0.0502146655928121,0.0630183210150182,0.163588982264518,0.0234201153739454,0,0.0525083320080585,0.0243204864734935,0.0839574005194718
"R3388_YZ_29",0.0258456684470748,0.148190652378097,0.0302460292393883,0.153338952433339,0.0279877456481603,0.136857952224936,0.0198358851855251,0.345681166267406,0.0762272905930169,0.0243466175518143,0.282927653502736,0.0267804820586027,0.0198358851855251,0.345681166267406,0.0762272905930169,0.0243466175518143,0.0981071120564953,0,0.118656380270891
"R3388_YZ_30",0.0232423104013782,0.110876384611064,0.0264857784678851,0.116234806987971,0.0273515599670437,0.105896016335187,0.232784183833954,0.256884974524193,0.0506938307588871,0.0303969779084039,0.399058991549691,0.109072531095043,0.232784183833954,0.256884974524193,0.0506938307588871,0.0303969779084039,0.0546859825579752,0.191262051941538,0.0959984900303941
"R3388_YZ_31",0.0055358525282037,0.107258764932365,0.0080559280752535,0.111231001820558,0.00410393988752424,0.100265899907081,0.129897332811521,0.28161162034025,0.0435730996085873,0.0238435296877866,0.445681330029906,0.0699535404629014,0.129897332811521,0.28161162034025,0.0435730996085873,0.0238435296877866,0.0635780487861557,0.129601208574041,0.112427453426849
"R3388_YZ_32",0.0398004316683068,0.126848272282201,0.0497659852009546,0.13518283756835,0.0372018941738299,0.11974561807976,0.0859327432999531,0.263533981864049,0.179110434572341,0.135809726000792,0.507533533859729,0.087875408273714,0.0859327432999531,0.263533981864049,0.179110434572341,0.135809726000792,0.232484211596643,0.0837343413914891,0.134454491377093
"R3388_YZ_33",0.00786947538232961,0.0908996787249859,0.0103123559152008,0.0915597613582316,0.00427559848449099,0.0780599944974403,0.0189777248077669,0.255366110891613,0.126581738829564,0.0394021024357649,0.180254197018953,0.0259043498238153,0.0189777248077669,0.255366110891613,0.126581738829564,0.0394021024357649,0.0797026322344563,0,0.128716130898619
"R3388_YZ_34",0.0347263665437834,0.0955461255572238,0.0383433210668083,0.095988228705106,0.0278848195272722,0.0829595045374522,0.0263339960198377,0.141107105088022,0.117068972222711,0.00246575120154504,0.36799992133453,0.126973150765773,0.0263339960198377,0.141107105088022,0.117068972222711,0.00246575120154504,0.114670685014443,0.0113045058432518,0.116841144127209
"R3388_YZ_35",0.0447378058100858,0.109641824240833,0.0545449830353641,0.105980070321331,0.0556140930413797,0.0980516865138026,0,0.214095786053599,0.00820262788526549,0.0250727912301324,0.257847378710904,0.0749038318808844,0,0.214095786053599,0.00820262788526549,0.0250727912301324,0.0342068664450847,0,0.14985772947416
