"","Epidish_BPRNACan_Mono","DeconRNASeq_BPRNACan_Mono","Epidish_BPRNACan3DProMet_Mono","DeconRNASeq_BPRNACan3DProMet_Mono","Epidish_BPRNACanProMet_Mono","DeconRNASeq_BPRNACanProMet_Mono","Epidish_CCLE_TIL10_Monocytes","DeconRNASeq_CCLE_TIL10_Monocytes","Epidish_CD226_Mono","DeconRNASeq_CD226_Mono","Epidish_TIL10_Monocytes","DeconRNASeq_TIL10_Monocytes","CBSX__LM22__Monocytes","CBSX__NSCLC.scRNAseq__Monocytes","CBSX__TIL10__Monocytes","CBSX__CCLE.TIL10__Monocytes","CBSX__CD226__Mono"
"J1_p1_rep1_B",0,0.0342398809070635,0,0.0117789356056121,0,0.0127435103902273,0,0,0.0056531227746201,0.0475868752178394,0,0,0,0,0,0,0.106907666133768
"J1_p1_rep2_B",0,0.0327518531264717,0,0.0095834555753942,0,0.0116533526630505,0,0,0.0063494308642973,0.0492297444862074,0,0,0,0,0.0052469986937929,0,0.104953028961874
"J4_p1_rep1_B",0,0.01272332639957,0,0,0,0,0,0,0.0162430386095443,0.0797653808220635,0,0,0,0,0,0,0.0949536396188375
"J4_p1_rep2_B",0,0.0131446340910905,0,0,0,0,0,0,0.0131191860125856,0.0817052137329838,0,0,0,0,0,0,0.0987609815591191
"J8_p1_rep1_B",0,0.0112420504020472,0,0,0,0,0,0,0.0435753792821091,0.0869761350837989,0,0,0,0,0,0,0.101243553119834
"J8_p1_rep2_B",0,0.0176091241271849,0,0,0,0,0,0,0.0407214030637896,0.0918629711361671,0,0,0.0035168762546702,0,0,0,0.115852570157722
"J11_p1_rep1_B",0,0.0217402543632766,0,0,0,0.00085259589811353,0,0,0.0293828772985804,0.0818234700520114,0,0,0,0,0,0,0.114772339846156
"J11_p1_rep2_B",0,0.0216814121882934,0,0,0,0,0,0,0.0283489092603787,0.0882962185278846,0,0,0,0,0.0161673826867935,0,0.110553880533419
"J14_p1_rep1_B",0,0.0218184214931295,0,0,0,0.0031605286208321,0,0,0.0167285763397987,0.0582732602590521,0,0,0.0075691374328281,0,0.009019520904983,0,0.107002918812622
"J14_p1_rep2_B",0,0.0200499985129186,0,0,0,0.00069449152324277,0,0,0.0066607073731663,0.0613379509394681,0,0,0,0,0.0060127244247815,0,0.105650141767698
"J1_p2_rep1_B",0,0.0404960736663184,0,0.0154966191917023,0,0.0169061332360619,0,0.0032956892517449,0.0230120286785239,0.0520482449337046,0,0,0.0135357485262277,0,0,0,0.0996248683214225
"J1_p2_rep2_B",0,0.0399142685295012,0,0.0142534021163072,0,0.0155612154159739,0,0.0023851554006051,0.0197523258052992,0.0523959745209205,0,0.0003252657580641,0.0143996493186593,0,0,0,0.100016809652745
"J4_p2_rep1_B",0,0.0399574598285218,0,0.0092928025227672,0,0.0107935522202942,0,0,0.0038409829697436,0.057457384366525,0,0.0039273014017691,0.0066472941713447,0,0,0,0.0979940570621361
"J4_p2_rep2_B",0,0.0422287104832828,0,0.0084876466910044,0,0.0090160883339506,0,0.0001717015052738,0.0034553461228193,0.053550189482962,0,0.0015728538292052,0.0083505679902522,0,0,0,0.0959032508996978
"J8_p2_rep1_B",0,0.0291438102005828,0,0,0,0,0,0,0.0037648950305063,0.0570515921073677,0,0.0052594041753671,0.0109969060915372,0,0,0,0.100875616722984
"J8_p2_rep2_B",0,0.0295480297328062,0,0,0,0,0,0.00018085151953806,0.0033253534624557,0.0532876992912659,0,0.0035160199775369,0.012058301117383,0,0,0,0.0929483283120588
"J11_p2_rep1_B",0,0.0249997533157772,0,0,0,0,0,0.001557508353928,0.004979744423128,0.0283045735439518,0,0.006518863186342,0.0139567062829285,0,0,0,0.087948125586843
"J11_p2_rep2_B",0,0.0239876415391377,0,0,0,0,0,0.00023645646482878,0.0033644358561937,0.0446579076835693,0,0.0060084494255988,0,0,0,0,0.0930493509965513
"J14_p2_rep1_B",0,0.0156470396269721,0,0,0,0,0,0,0.0043286761352899,0.0322510777193428,0,0.0060266307661296,0.0133288411300297,0,0,0,0.0881968715800122
"J14_p2_rep2_B",0,0.011055587105281,0,0,0,0,0,0,0,0.0168526901280382,0,0.0060315636922441,0.0126948550694458,0,0,0,0.0849592522960343
"J1_p3_rep1_B",0,0.0207111511114883,0,0,0,0.0032332553960493,0,0,0.0192152763208004,0.0547014632841298,0,0.0032290483782013,0.0092131843641242,0,0.0325192424698275,0,0.0873487697946899
"J1_p3_rep2_B",0,0.0204888673892544,0,0,0,0.0038209027689455,0,0,0.0168537667541214,0.0545900310087496,0,0.0036210327800907,0.0095268135512153,0,0.021335886282549,0,0.0842359380513731
"J4_p3_rep1_B",0,0.0187946210203492,0,0,0,0.0046212683910996,0,0,0.0226892464738228,0.0651717720602306,0,0.0010624791793513,0.0121346626120025,0,0,0,0.112046184244681
"J4_p3_rep2_B",0,0.0181150923522543,0,0,0,0.0034856230216524,0,0,0.0171141689487498,0.0572257491030646,0,0,0.0124633731485772,0,0.003129552602386,0,0.108658937725434
"J8_p3_rep1_B",0,0.0226156774793708,0,0.0014288115926189,0,0.00894924628509,0,0,0.0170195339510366,0.064473186160074,0,0,0.0144467547457718,0,0,0,0.113525983631651
"J8_p3_rep2_B",0,0.0225911892542147,0,0.00092278690590297,0,0.0085022312686559,0,0,0.0186626417181274,0.0597232330519049,0,0,0.0138258247674573,0,0.0034253876590513,0,0.113784435974099
"J11_p3_rep1_B",0,0.0258274429013478,0,0.003870141988574,0,0.010015852398993,0,0,0.0123866562804027,0.0559511633102549,0,0.00047938708063569,0.0112650643622203,0,0.0082992425919055,0,0.115289383409435
"J11_p3_rep2_B",0,0.0262049358390696,0,0.0039374641967258,0,0.0086044333049727,0,0,0.0104793898790232,0.0553332966799514,0,0,0.0103415892301585,0,0.0053253314614719,0,0.114785140026455
"J14_p3_rep1_B",0,0.0284284640688476,0,0.0072944200440639,0,0.0116632864353601,0,0,0.0157186653131253,0.0640604412336824,0,0.0021108752868436,0,0,0,0,0.111220328817678
"J14_p3_rep2_B",0,0.0269546501682221,0,0.0056379748726551,0,0.0090599563256933,0,0,0.0126919395033994,0.0605150298149366,0,0.00091795677869271,0,0,0,0.004396604811889,0.111412980432461
"J1_p1_rep1_hetero",0.0379483447276678,0.058149960787089,0.0296397151780585,0.0286629104725307,0.0138981990000191,0.0358644469679795,0.0487909058485232,0.0219765329222711,0.107575237770046,0.0776485568965986,0.0859963988052316,0.0255156302431029,0.071255285392339,0.000786598151322,0.0928427017589583,0.0589653539657732,0.0949121418915701
"J2_p1_rep1_hetero",0.0219022865740574,0.0601839940830754,0.0206485588015855,0.0231373159350928,0.0100457211293183,0.0370949436451455,0.041663016292417,0.0067042265830594,0.0559571664973997,0.0879295413052132,0.0482687779121853,0.0085455563379788,0.0599405303896887,0,0.0728476774245872,0.0405902360989215,0.0921145153907922
"J3_p1_rep1_hetero",0.0042518955191706,0.0541164908698936,0.0039375235150938,0.0181933476653564,0.0013547927199946,0.0342326768911359,0.0176568457961262,0,0.0275134374874556,0.0913454170911643,0.0239440350574825,0.0019334403473289,0.0123843648218576,0,0.0472342866803118,0.0328119296256039,0.090793335452099
"J4_p1_rep1_hetero",0,0.0444098361448812,0,0.0085428082779479,0,0.0205485747892328,0.0148905497118928,0,0.0179680440375939,0.0918477401299605,0.0194968726326917,0.0014653392346424,0.0083473912861748,0,0.0519133293417845,0.0236837383768618,0.0901015573309491
"J5_p1_rep1_hetero",0,0.0375519713803772,0,0.0010986203086232,0,0.0124903435349412,0.013831619503793,0,0.0246047957128704,0.0958883927369296,0.0191331604040674,0.0025149689318041,0.0098285783630605,0,0.0519915920743435,0.012633087741516,0.0879960910985171
"J6_p1_rep1_hetero",0,0.036495718723095,0,0.000263615309118,0,0.0095357054571336,0.0097683593712252,0,0.0148760336068085,0.0927783132852067,0.0173523097563129,0.0010652609530053,0.0121351427043128,0,0.0391210836782728,0.0238686542109752,0.0874028006894372
"J7_p1_rep1_hetero",0,0.0373513403856263,0,0.0027539142664156,0,0.0138195128546219,0.0115316708486639,0,0.0089430074704678,0.0943800633000451,0.0180201372019238,0.0016492119083126,0.0111528112762906,0,0.0405181309122207,0.0216987905891599,0.0927709607050508
"J8_p1_rep1_hetero",0,0.0347839775464874,0,0,0,0.0107226209314286,0.0112303684383099,0,0.0147741252324152,0.0912809747570284,0.0171866208056305,0.0005757631018568,0.0112793236034567,0,0.0392528442105872,0.0209864092088089,0.0872608123644459
"J9_p1_rep1_hetero",0,0.0388352587574882,0,0.0004384696954065,0,0.012026110831223,0.0114068996086553,0,0.0156265168341083,0.0860660452883443,0.0171753688666677,0.0012608816502367,0.0094251319032143,0,0.0385270177782546,0.0217379448000333,0.0888506798916239
"J11_p1_rep1_hetero",0,0.0311257644513834,0,0,0,0.0006119442467807,0.0076551042544622,0,0.015734406302586,0.0799875460994436,0.0137887209725751,0,0,0,0.0350186710360588,0.0163968087396014,0.0903744754332634
"J13_p1_rep1_hetero",0,0.0330251097639824,0,0,0,0.0074776038239037,0.0086144309235297,0,0.0051331663339554,0.0863816567078505,0.0149170601122958,0.0002614095657442,0.0098281369937302,0,0.0345306654419685,0.0191603061927846,0.0875646821805138
"J1_p1_rep2_hetero",0.036569968141002,0.0577024754478181,0.0299452496489373,0.0283365822286933,0.0147714988313172,0.0359711736822753,0.0495604127929393,0.0201500235451832,0.0978820642449794,0.0801793302292817,0.0745750673381508,0.0229606995761078,0.0653274295075247,0,0.0793893684713556,0.048631476574807,0.0958755313370387
"J2_p1_rep2_hetero",0.0209244607951104,0.0603305536077383,0.0187543609172972,0.0233062331470598,0.008458050049298,0.0364685902498735,0.0443288704825055,0.0068570567693788,0.0635700940219876,0.0862318342433174,0.0505012760325179,0.0083581251231569,0.0615741635055283,0,0.0800888105952248,0.0583593559686002,0.094107595993686
"J3_p1_rep2_hetero",0.0028990257619976,0.0538084467940735,0.00309976257449,0.0175177867770547,0.0007974307228282,0.0322217829473596,0.0187990758763097,0,0.0343418166500181,0.0909902807177242,0.0249986962326391,0.001008113529703,0.0169141449304131,0,0.0535109105221848,0.0277380549241904,0.0907069272443205
"J4_p1_rep2_hetero",0,0.0436093027565979,0,0.0071372530016143,0,0.0181492279445421,0.0154656306189443,0,0.0206414601356646,0.0912213690976248,0.0198534678292712,0.0016911959070089,0.0081638388756702,0,0.0507744986769195,0.0168990763129051,0.0927798909004983
"J5_p1_rep2_hetero",0,0.03632559877917,0,0.0007507566958954,0,0.0118791444779616,0.0110314810649053,0,0.0257234288212141,0.0964290508978613,0.0171087685308975,0.0015530564516669,0.0059940926287216,0,0.0460083356980547,0.0028868564493703,0.0892483634552688
"J6_p1_rep2_hetero",0,0.0366788519265663,0,0.0008975776892174,0,0.0102437873295646,0.0116846194211905,0,0.01302638281025,0.0913544376675774,0.0187942993399511,0.0011176781577113,0.0137806218398409,0,0.0433810340094938,0.0292290405649808,0.092251447069638
"J7_p1_rep2_hetero",0,0.0371273000475532,0,0.0012876290342804,0,0.0123785051933051,0.0103219677997619,0,0.0078462850967504,0.0938545060954982,0.0169504820204239,0.0012264049582042,0.0131183039076202,0,0.0378578977916867,0.0225661766430759,0.0915360698823404
