"","MCP_Endothelial_cells","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Endothelial.cells","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_Endothelial.cells","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Endothelial.cells"
"Gide_PD1_10_Post",32.7579195179024,0.0803255336919399,0.0622538640475078,0.0803255336919399
"Gide_PD1_10_Pre",26.1112295427655,0.062089184968305,0.0612207630899234,0.062089184968305
"Gide_PD1_11_Pre",39.7996256928344,0.109431588242237,0.0274305305338689,0.109431588242237
"Gide_PD1_12_Pre",47.5148393147673,0.116615316437262,0.0708883337963298,0.116615316437262
"Gide_PD1_13_Post",14.9397896851054,0.0919513461177097,0.0683064035108459,0.0919513461177097
"Gide_PD1_13_Pre",21.667987476196,0.0889510701308843,0.0594092555473146,0.0889510701308843
"Gide_PD1_14_Pre",38.9549584721668,0.128809177713651,0.0779527186070482,0.128809177713651
"Gide_PD1_15_Pre",59.742790838539,0.153478711912772,0.0730430589482789,0.153478711912772
"Gide_PD1_16_Pre",17.5268488651535,0.0910363757267607,0.0796473548415934,0.0910363757267607
"Gide_PD1_17_Post",60.7668014484563,0.0978711109948856,0.0724671785519543,0.0978711109948856
"Gide_PD1_17_Pre",44.6862438987134,0.0981568952254139,0.0696365062526847,0.0981568952254139
"Gide_PD1_18_Pre",20.5971311005263,0.117711297356724,0.0704496149706968,0.117711297356724
"Gide_PD1_19_Pre",23.7723878152864,0.095694687558347,0.0583942378349181,0.095694687558347
"Gide_PD1_2_Pre",60.1126977374398,0.0979801097490069,0.0619765551413025,0.0979801097490069
"Gide_PD1_21_Pre",33.6402675054067,0.107105331820546,0.0745955064692757,0.107105331820546
"Gide_PD1_23_Pre",33.9610116133399,0.0845328226143092,0.0673920334890897,0.0845328226143092
"Gide_PD1_25_Post",30.5595766221162,0.0833293969126497,0.0182719754323072,0.0833293969126497
"Gide_PD1_25_Pre",32.7894098319194,0.0680266915133439,0.0535050752422598,0.0680266915133439
"Gide_PD1_27_Pre",17.8735312197711,0.163152951455768,0.0910906627350249,0.163152951455768
"Gide_PD1_29_Post",17.3058005107102,0.137165337496949,0.0912065544327561,0.137165337496949
"Gide_PD1_29_Pre",20.216001220506,0.132377999914308,0.0873198775279219,0.132377999914308
"Gide_PD1_3_Pre",22.3566659532383,0.0909337371015319,0.0491134955241513,0.0909337371015319
"Gide_PD1_30_Pre",18.0434083152886,0.125864650448984,0.0687417529155828,0.125864650448984
"Gide_PD1_34_Pre",26.262030313469,0.0993472461403936,0.0858349423958018,0.0993472461403936
"Gide_PD1_35_Pre",23.3610286679901,0.105528057569492,0.0179342008787964,0.105528057569492
"Gide_PD1_36_Pre",17.8251784439576,0.129576377199876,0.0760788922797153,0.129576377199876
"Gide_PD1_38_Pre",24.9473558769135,0.0866918460857161,0.0594005006429014,0.0866918460857161
"Gide_PD1_4_Pre",59.4916038187928,0.081084741996949,0.0683823012307831,0.081084741996949
"Gide_PD1_40_Pre",27.8961474985209,0.0920676076422729,0.0673570266086216,0.0920676076422729
"Gide_PD1_41_Post",46.0909245442418,0.100602600824953,0.0666248204625002,0.100602600824953
"Gide_PD1_41_Pre",29.1202898286877,0.144375626167272,0.0928028796193458,0.144375626167272
"Gide_PD1_42_Pre",69.5752538230615,0.171151162852233,0.081139246839848,0.171151162852233
"Gide_PD1_44_Pre",23.5430522956559,0.0765454133945673,0.0723514046458233,0.0765454133945673
"Gide_PD1_45_Pre",25.5617660512623,0.10306492764837,0.0701630097315391,0.10306492764837
"Gide_PD1_46_Pre",23.4898390283992,0.0531725276202809,0.0760801169558594,0.0531725276202809
"Gide_PD1_47_Post",22.0067976145556,0.139665647407528,0.0963207927330675,0.139665647407528
"Gide_PD1_47_Pre",53.070713400099,0.0851363640549212,0.0642455495412217,0.0851363640549212
"Gide_PD1_48_Post",19.8956264338713,0.061684800047214,0.0464757438980999,0.061684800047214
"Gide_PD1_48_Pre",17.0728808832657,0.110065628442305,0.0813608168453516,0.110065628442305
"Gide_PD1_49_Pre",26.2429676170582,0.08736582567343,0.0634158694571473,0.08736582567343
"Gide_PD1_5_Pre",16.76745705716,0.0933138601178662,0.0757207502943326,0.0933138601178662
"Gide_PD1_50_Pre",16.4384521853723,0.111118499705246,0.0734022969110831,0.111118499705246
"Gide_PD1_52_Pre",20.8909094063015,0.0955615165936298,0.0725808669629872,0.0955615165936298
"Gide_PD1_53_Pre",39.5358491353817,0.114512943133574,0.0682809802301005,0.114512943133574
"Gide_PD1_54_Pre",19.11654715706,0.0647609942358773,0.0748766702406266,0.0647609942358773
"Gide_PD1_6_Pre",17.5724587819908,0.113553440741838,0.0876861478648929,0.113553440741838
"Gide_PD1_7_Pre",16.7577052033335,0.105176911372981,0.0732925385970265,0.105176911372981
"Gide_PD1_8_Post",18.0702438756383,0.125808046874419,0.0917728645434824,0.125808046874419
"Gide_PD1_8_Pre",11.4399954582331,0.175918065479854,0.0950867972343366,0.175918065479854
"Gide_PD1_9_Pre",58.8246901979217,0.0975482382402405,0.0685597369051272,0.0975482382402405
