"","Epidish_BPRNACan_cancer","DeconRNASeq_BPRNACan_cancer","Epidish_CCLE_TIL10_Cancer.cells","DeconRNASeq_CCLE_TIL10_Cancer.cells","CBSX__CCLE.TIL10__Cancer.cells"
"R3388_YZ_1",0.925754978714817,0.413935135123463,0,0.0520036849624968,0
"R3388_YZ_2",0.886860561034686,0.44854541640853,0,0.0536014863903652,0
"R3388_YZ_3",0.937398006165989,0.434337654494566,0,0.0499146622715854,0
"R3388_YZ_4",0.937471074567852,0.458953662297905,0,0.290030849556737,0.0229660247655354
"R3388_YZ_5",0.845652215297713,0.493513657931825,0.059327656210431,0.225702403759372,0.056648930506234
"R3388_YZ_6",0.925531381287889,0.348747709897415,0.296378880614216,0.117427540935785,0.315921210821695
"R3388_YZ_7",0.915921576909824,0.448222835549057,0,0.0283112436561871,0
"R3388_YZ_9",0.883398495441662,0.540159972732699,0.545220350438364,0.307390556225868,0.409199750224885
"R3388_YZ_10",0.886732158381655,0.420656991492147,0,0.00508673212724675,0
"R3388_YZ_11",0.97329169326225,0.454536212085983,0.176740882547973,0.196253588185268,0.217824228539389
"R3388_YZ_12",0.981086306519267,0.546743948042799,0,0.0415166344831365,0
"R3388_YZ_13",0.916818277502459,0.478131934766512,0.187177749903664,0.20709589353865,0.255083309556987
"R3388_YZ_14",0.870950261354676,0.41915073068658,0.172804550470091,0.107914715548802,0.160057683565926
"R3388_YZ_15",0.97696343670443,0.506635127399662,0,0.0952848230053196,0
"R3388_YZ_16",0.83673840732803,0.42378795849146,0,0.0209560417355492,0
"R3388_YZ_17",0.834278188659154,0.501335810818878,0,0.0492370223396007,0
"R3388_YZ_19",0.92173955728293,0.568366031051487,0.252512494688725,0.22955447149094,0.251889949744532
"R3388_YZ_20",0.985441768002477,0.52621311072368,0.566614316153539,0.38757916899761,0.54672412101827
"R3388_YZ_21",0.860434280393658,0.48126816475847,0,0.0327799713908766,0
"R3388_YZ_23",0.948426823140574,0.420060332157784,0,0.0499587855220801,0
"R3388_YZ_24",0.933092490886846,0.517494180786086,0,0.0737817314137607,0
"R3388_YZ_25",0.831445907235081,0.453462873555701,0,0.0370520206326301,0
"R3388_YZ_26",0.769774484151404,0.424232002791348,0,0,0
"R3388_YZ_27",0.833053038999869,0.436266273417292,0,0.0710411015914338,0
"R3388_YZ_28",0.894766926206022,0.520014412794077,0.276606447003782,0.163973798793293,0.304573344872871
"R3388_YZ_29",0.938119522121416,0.445672765609358,0.0231599371304518,0.199892657009125,0.00416236966095098
"R3388_YZ_30",0.947549946269788,0.48938699111747,0.292934203587601,0.228927885243892,0.349247706255762
"R3388_YZ_31",0.955546625158925,0.52290540866245,0.0373259432243597,0.124966399177431,0.0290729923896455
"R3388_YZ_32",0.940139659776308,0.490446285044449,0,0.100318642641976,0.0406812626776717
"R3388_YZ_33",0.977437259536728,0.485357107582478,0,0.0946704139759671,0
"R3388_YZ_34",0.922702792642505,0.5086392555525,0,0.0464793956781253,0
"R3388_YZ_35",0.788259893023954,0.507310533447116,0,0.012672303369114,0
"R3388_YZ_36",0.978136241501261,0.57306267601074,0,0.0667786341996184,0
"R3388_YZ_37",0.910368295187365,0.498083938847601,0,0.0531076228922182,0.016425692234197
"R3388_YZ_38",0.855524526044657,0.450476548444021,0,0.0636829022535217,0
"R3388_YZ_39",0.855449907157134,0.470596924263848,0.0347164795250023,0.0855840144198788,0.0710433263636584
"R3388_YZ_40",0.862656503509232,0.483099067281366,0.708387717755622,0.412636272882113,0.63994298703944
"R3388_YZ_41",0.745564576728104,0.412419099094707,0,0.0560416287647525,0
"R3388_YZ_42",0.941120380017622,0.492699555254647,0.163149382192665,0.30357718752054,0.221705513251841
"R3388_YZ_43",0.898759367245508,0.484792132517406,0.0136478041569119,0.109508641554397,0.0227409093515986
"R3388_YZ_44",0.901952368385898,0.489215657653596,0.416637144443175,0.211584373544971,0.401051789388172
"R3388_YZ_47",0.953539427909543,0.457485716484366,0.0967201104241068,0.132345514468223,0.188747817711511
"R3388_YZ_48",0.963785329406831,0.563305066766186,0.24517452057942,0.15901956929786,0.278777603961606
"R3388_YZ_49",0.891640896352373,0.480597300222524,0.126078246846785,0.0728963860060441,0.0638008066562898
"R3388_YZ_50",0.820324131975197,0.463390201136104,0,0.0320471993820464,0.0218694071073039
"R3388_YZ_51",0.928261126604134,0.454768501301449,0.723663727574939,0.300329275993169,0.435840104275948
"R3388_YZ_52",0.901725138712084,0.485928055886691,0,0.0202447694633087,0
"R3388_YZ_54",0.867425330335315,0.495537359755594,0,0.0244972919072582,0
"R3388_YZ_55",0.90990319739113,0.520201735992247,0.341232592826534,0.243722544438225,0.369817245926991
"R3388_YZ_57",0.943276339022854,0.497973142331318,0,0.0588312321147031,0.0172679437680989
"R3388_YZ_58",0.922549087674424,0.497123573262343,0.13247861144619,0.132473296294965,0.259072766070417
"R3388_YZ_60",0.854942922262134,0.398822468473507,0,0.0433345421071107,0
"R3388_YZ_61",0.962430437906557,0.489851136147402,0,0.0638015621641235,0.00542516512578435
"R3388_YZ_62",0.907988804455428,0.369636598098416,0,0.0374260737098461,0
"R4163_YZ_1",0.853313119041884,0.330301054221304,0,0.0531456164261935,0
"R4163_YZ_2",0.588701136146899,0.360560117129579,0,0,0
"R4163_YZ_3",0.437786842603986,0.305531519842084,0.0235417659097318,0,0.0371637578397652
"R4163_YZ_5",0.615954010239305,0.408763374546887,0,0,0
"R4163_YZ_7",0.825168596189592,0.361879847146509,0,0.0294057766239344,0
"R4163_YZ_8",0.428773991429035,0.241273032155836,0,0,0
"R4163_YZ_9",0.879795265982628,0.51010997564637,0.00835743541233889,0.0558023794582096,0.00328195791505776
"R4163_YZ_16",0.864649562943538,0.421214560877723,0,0.0866054569783926,0
"R4163_YZ_17",0.496384910492769,0.252476844741416,0,0,0
"R4163_YZ_18",0.703795961180002,0.35426015319624,0,0,0
"R4163_YZ_19",0.751518006286315,0.441937130389945,0,0,0
"R4163_YZ_20",0.9007546722082,0.514388272367727,0,0.0858155118338495,0
"R4163_YZ_21",0.845635853265932,0.498215560980261,0,0.0345515896789093,0
"R4163_YZ_22",0.825714562980314,0.44127153036207,0,0,0
"R4163_YZ_23",0.733933557087443,0.463393504279042,0.0148297542386814,0.020520101426762,0.018527215003507
"R4163_YZ_25",0.791804764818842,0.460265157744656,0,0.0039556481807238,0
"R4163_YZ_26",0.940943129718501,0.505082160288077,0,0.0741890933526146,0.0148171959499323
"R4163_YZ_28",0.660215580407919,0.326710041541478,0.00989110281746464,0,0.0150481004192124
