"","MCP_B_lineage","Epidish_BPRNACan_B","DeconRNASeq_BPRNACan_B","Epidish_BPRNACan3DProMet_B","DeconRNASeq_BPRNACan3DProMet_B","Epidish_BPRNACanProMet_B","DeconRNASeq_BPRNACanProMet_B","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_B.cells","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_B.cells","DeconRNASeq_CCLE_TIL10_B.cells","Epidish_CD226_B","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_TIL10_B.cells","CBSX__NSCLC.scRNAseq__B_cells","CBSX__HNSCC__B_cells","CBSX__TIL10__B.cells","CBSX__CCLE.TIL10__B.cells","CBSX__CD226__B"
"Patient130",890.373912739397,0.0149412636211938,0.0793786302606247,0.0146896854992988,0.0650669432212959,0.0228606702767601,0.0641390474132765,0.943100853962513,0.439223318890756,0.0500404185787216,0.0973278979824108,0.139294652778405,0.0341075642169939,0.2240670049547,0.943100853962513,0.439223318890756,0.0500404185787216,0.106811685012419,0.900708333682399,0.0953871199272765,0,0,0.212182698561685
"Patient131",17.8263909700355,0.00722281867733716,0.0930539514015467,0.00693801063384302,0.0786486219839386,0.00768194853006806,0.0710820218335183,0.841575945682311,0.347651333767483,0,0,0.0953595804684441,0.0895886451759926,0,0.841575945682311,0.347651333767483,0,0.140837792529519,0.826632814572097,0,0.0129092435937303,0.0181017073563462,0.195243505888128
"Patient132",1197.88473401767,0.0702110032571237,0.0778212462403848,0.0773467700490491,0.0699951629938163,0.069041466838257,0.0580687703866759,0.811309470798457,0.439767512357501,0.07654105632587,0.0385735477547167,0.132108579123645,0.0959590754406104,0.307472485254279,0.811309470798457,0.439767512357501,0.07654105632587,0.165976173972853,0.759500663476116,0.0380807029699822,0.0758214472472025,0.0841886701779712,0.239998913573183
"Patient133",1324.18732938888,0.0162205666273898,0.0707363844235674,0.0169090503667582,0.0550445243955032,0.0198206623103827,0.0499638962363674,0.912266722969537,0.390998340525217,0.0690308965194692,0.0158547813678716,0.124017451862744,0.0450410686334095,0.143787105121773,0.912266722969537,0.390998340525217,0.0690308965194692,0.148741907228175,0.834832772909854,0.0187774117599376,0,0.018423964586782,0.194812179011869
"Patient134",1889.82410955557,0.05241679860139,0.0703215546557623,0.0518892541812223,0.0601631622604019,0.0425767502112245,0.0479404370068633,0.65040868871449,0.439083415670565,0.09240021744733,0.150416383692844,0.178489832896833,0.0464759389659783,0.189984718309397,0.65040868871449,0.439083415670565,0.09240021744733,0.101693906920246,0.633044799816394,0.139618944970359,0.0113508260021336,0.0127886150855986,0.231136298982131
"Patient135",132.781817776826,0.0174941704842201,0.0759335556005316,0.017593128695267,0.0658475486047186,0.0216125263661795,0.0624916180894161,0.857935378419004,0.420016000718448,0.0738456414290219,0.00141886743192253,0.114412407922342,0.0255560324585265,0.0842498917128971,0.857935378419004,0.420016000718448,0.0738456414290219,0.117605566364902,0.805579123241789,0.011772934563762,0.0167672122498573,0.0185190172471279,0.229905492340047
"Patient137",2663.41033877235,0.0439246952785817,0.0578485625514921,0.0438478873359162,0.0492330183809221,0.0500470503819171,0.0405219386127086,0.629585774579601,0.688997657672771,0.0845133909502339,0.0784385633650068,0.139625878262699,0.0224863505446516,0.208997059818887,0.629585774579601,0.688997657672771,0.0845133909502339,0.0874597566808714,0.718131201947389,0.0747251260235059,0.0224189966093691,0.00412181238193191,0.226145514041681
"Patient13",13.9870264888154,0.00824566775152808,0.0707490378617534,0.0111798617761232,0.0670881655329054,0.0184997543648986,0.073314563536888,0.840041438908959,0.34802196210867,0.0673412386168457,0,0.136873675727377,0.0411686468605748,0.0303564112972907,0.840041438908959,0.34802196210867,0.0673412386168457,0.171139152099702,0.82362919118644,0.00010860639237571,0,0.00079510189172612,0.189861547549081
"Patient140",0.8546578689499,0.00781804778672689,0.0754278459859887,0.00912442646016696,0.0683455866514865,0.010374465201985,0.0643397933263521,0.829262649662153,0.348974452528441,0.0720447906135076,0,0.130007852784629,0.0565059867601672,0,0.829262649662153,0.348974452528441,0.0720447906135076,0.166612612351385,0.810382099405913,0,0,0.00323161890164855,0.192736682050941
"Patient141",0.877211428822556,0.00449697673916856,0.0994419935956893,0.00487331584043912,0.090390009396048,0.00739281569494614,0.0816965869943725,0.474696479569658,0.327968704557297,0.057917824277299,0.00181651825545398,0.129202497155224,0.0254691558940506,0,0.474696479569658,0.327968704557297,0.057917824277299,0.109794244230573,0.670287521769711,0,0,0.0250363945813607,0.188593806136563
"Patient142",39.0051769714077,0.0113571811885228,0.0869514638004781,0.0133458027472218,0.0734618874351232,0.0150576699443237,0.0701759713929526,0.835037424987503,0.395566598842594,0.0143319691546075,0.00147845916333544,0.105919294218656,0.0664944097270417,0.0626501904139879,0.835037424987503,0.395566598842594,0.0143319691546075,0.120778234383411,0.783368135566314,0.0100332386797272,0,0.00314904180683884,0.196918521068497
"Patient143",0,0.0013892027221741,0.0996360153302118,0,0.0890130779209728,0,0.0716157993634591,0.996159399897081,0.391642807900307,0.0357944176250206,0,0.126566365347165,0.106686131307578,0.581234761501089,0.996159399897081,0.391642807900307,0.0357944176250206,0.174795394472337,0.171424112560127,0.0529825335626426,0,0.0861982244798409,0.319037213942348
"Patient144",10.8685048926489,0.00670446368670135,0.0844789709487004,0.00745571618451654,0.0726328528182096,0.00964090138458027,0.0626522692027449,0.922104527906844,0.348426197199348,0.0512261822071334,0,0.121766791417472,0.108624564502213,0,0.922104527906844,0.348426197199348,0.0512261822071334,0.185168648706499,0.81564487901827,0,0.00945040576898063,0,0.17653917984972
"Patient145",12.4911808486252,0.00999692179755149,0.0735167887234529,0.00998771688913987,0.0592265034665695,0.0121909937029914,0.052117852213189,0.86757603726494,0.44813255316157,0.0398151786051126,0,0.0937152068565607,0.0775648585421146,0.101885250210355,0.86757603726494,0.44813255316157,0.0398151786051126,0.123286863464641,0.7887256155624,0,0,0,0.20805765370079
"Patient146",34.3066658069285,0.0114048682487845,0.0840812684918866,0.0139920591841943,0.0769617921970832,0.0134192547060075,0.0669877959966511,0.860431165180673,0.352983057949671,0.0573473946569587,0,0.125396071888033,0.05001144019935,0.0462882452797585,0.860431165180673,0.352983057949671,0.0573473946569587,0.152779374656445,0.815833383329058,0.00369119489736828,0.00466340876068341,0,0.195980867544171
"Patient147",3.15143246366873,0.00636235085813765,0.0720517436094107,0.00740907993048042,0.0636517545729288,0.00725262241326077,0.0531414946918042,0.898487137399494,0.335517350878586,0.0648869905942632,0,0.137705945560231,0.0499393400034943,0.0309959182045951,0.898487137399494,0.335517350878586,0.0648869905942632,0.158748170587598,0.814037466353072,0,0,0.0060460737556399,0.204047858215352
"Patient148",46.2649438991765,0.0289640010711141,0.0972747008829574,0.0332787214331573,0.0908595610289729,0.0425578961582269,0.0818722836635435,0.929374414190724,0.340605658413744,0.0631480013502197,0.000499083971594078,0.136935897616622,0.0773299380631238,0.087036240970022,0.929374414190724,0.340605658413744,0.0631480013502197,0.174454016357913,0.856803752422453,0.0115727422527607,0.0062124538508456,0.0174785879951216,0.216042668354134
"Patient149",381.33389949647,0.0371338826862213,0.0719080660937356,0.0349448041890254,0.0597692159343943,0.0283350318522096,0.0472006838773608,0.806406565385731,0.498119255263792,0.0442510830788328,0.00352347658610958,0.0986292642640772,0.0828258475782691,0.162802455183627,0.806406565385731,0.498119255263792,0.0442510830788328,0.131522246650419,0.779083404948217,0.00280968885901368,0.0353560869880737,0.0177751128344771,0.223144000148
"Patient14",14.1498923076939,0.0168265364032368,0.0680145818629594,0.0185563111511756,0.0540653845726773,0.0195113916946227,0.0446396010091714,0.909677619597953,0.388051381901309,0.0509667239046447,0,0.117165156963156,0.0388383140152279,0,0.909677619597953,0.388051381901309,0.0509667239046447,0.107969520257502,0.856237511707362,0,0.00637706369197853,0.0101241893176697,0.189794994511768
"Patient150",329.761838323764,0.0158029800408081,0.109423954406072,0.015263962076527,0.0991754274133852,0.0136855403835746,0.0860388402068507,0.937942910207588,0.353909279227798,0.0853961993661664,0.21920134885313,0.180100645522399,0.0420428196602905,0.0591162450789785,0.937942910207588,0.353909279227798,0.0853961993661664,0.110177632887465,0.81806596932074,0.215728746919046,0.00028880107312402,0.0106265268342004,0.20154319650871
"Patient154",443.333519311099,0.0160044805059036,0.0656903517519498,0.0172950671035362,0.0569929020716943,0.0188473357502877,0.0477989834231479,0.855152634314453,0.349038924227928,0.0641894500328724,0.00476867606483029,0.109477560284803,0.0836270228819843,0.0239521113843294,0.855152634314453,0.349038924227928,0.0641894500328724,0.109953591522129,0.881509839188175,0.00339330724600055,0,0,0.213146494104463
"Patient155",1.82137172679067,0.00438955193734871,0.0453375551353676,0.0044289324039516,0.0355550148716923,0.00368349654285996,0.0276410774696274,0.545372689892901,0.330530288868915,0.0666694344237737,0,0.107316489107996,0.0257320830019955,0.0381242045759686,0.545372689892901,0.330530288868915,0.0666694344237737,0.0989253567658184,0.538678927329056,0,0,0,0.188590769882126
"Patient156",1.46782360164961,0.0123373200034369,0.0668414713351801,0.0115526596645716,0.0515616001410172,0.0130839423599874,0.0458512119573634,0.911642405231996,0.339975404823397,0.0662760373259132,0,0.13019869273812,0.058425845150411,0.0308448147391057,0.911642405231996,0.339975404823397,0.0662760373259132,0.124898078145196,0.799029633098651,0,0,0,0.178136602648114
"Patient158",78.2450981705036,0.0158500375966232,0.0659622674512136,0.019271143228128,0.0634105611913095,0.02252468656789,0.0646314493374242,0.900896896834483,0.398684723300762,0.0605128526800787,0.00487143706466858,0.14066373264834,0.0222531948463205,0.0765698226486164,0.900896896834483,0.398684723300762,0.0605128526800787,0.131573150173961,0.83524721351357,0.0164226804590632,0.00765472189402839,0.0100573370014878,0.194200175023467
"Patient159",282.764456128563,0.0140463451037657,0.102882254457057,0.0148010164212993,0.0910470645252392,0.0186109113931612,0.082537027902652,0.873579970145309,0.340541888944114,0.066230919506557,0.0100143228766255,0.136170158590832,0.0168626241984094,0.08824483287071,0.873579970145309,0.340541888944114,0.066230919506557,0.12548761953006,0.738152455085258,0.0178555371367223,0,0.0136590351660246,0.213588284727812
"Patient15",40.7133006180174,0.0509547468166662,0.0978975923837033,0.0550467439959169,0.0898012360182688,0.0702754595172965,0.0908724931401189,0.77861038704691,0.353613350760713,0.0757666728988052,0,0.133641303750706,0.0189129445577014,0,0.77861038704691,0.353613350760713,0.0757666728988052,0.0938768287429828,0.757757077479824,3.888807641318e-05,0,0,0.220146553484889
"Patient162",761.17376303092,0.0256731074663621,0.127261816579511,0.036917176774367,0.119945845590392,0.0503365719610555,0.117162060027789,0.940383268548588,0.400800576438626,0.0623951781944434,0.0580603429491122,0.141059642054703,0.0869323885273756,0.142559388324095,0.940383268548588,0.400800576438626,0.0623951781944434,0.135332152326826,0.875045577338304,0.0609165578345739,0.0146988873979945,0,0.239975720377026
"Patient163",119.957214134436,0.0496581983925429,0.104873063555357,0.0526015394180856,0.102038023001411,0.0534673758542196,0.100783351002984,0.855215816602839,0.361773500050862,0.0790079760693002,0.0285544414974076,0.143840798603248,0.0491897655210149,0.0532530641471754,0.855215816602839,0.361773500050862,0.0790079760693002,0.153852792708365,0.813276380549341,0.0515129936498677,0,0.0147448446673654,0.253698953599188
"Patient165",39.9557204788404,0.0141116935959829,0.074699059711537,0.0126852485274149,0.0642690066085475,0.0121690322549768,0.0604069747493031,0.814518785686033,0.357941550151728,0.0261314958052232,0.000110333677554219,0.117320931924387,0.0118292042597438,0.0536712393816611,0.814518785686033,0.357941550151728,0.0261314958052232,0.126649188925752,0.774349938461326,0,0.0010197299556994,0.0219292085150644,0.188634493342407
"Patient166",2.78728673200249,0.00679836080242988,0.0819292307311013,0.00959658223103962,0.071157292002515,0.00794295901397186,0.0606953542237792,0.857131410617062,0.329897036032943,0.0565331126315736,0,0.136800684032434,0.0543173727324141,0.0090586145665296,0.857131410617062,0.329897036032943,0.0565331126315736,0.151379472010364,0.727448338544212,0,0,0.0178588157419332,0.206425698047656
"Patient167",30.3551871691046,0.0142346417500909,0.0696859565092886,0.0172738099207651,0.0567582792346426,0.0194506297490727,0.0499941572418594,0.90794204013242,0.348641145989234,0.0617818737094042,0,0.138148970859649,0.104711286741366,0.217783061493275,0.90794204013242,0.348641145989234,0.0617818737094042,0.185778536386176,0.850395915991582,0,0,0.00259610539494875,0.240437206537564
"Patient168",13.9536092970527,0.00504110943468647,0.0741367820084017,0.00398941124223623,0.0627165802164176,0.00651092278606308,0.0590715425086831,0.635512234608206,0.333684468027963,0.0435105895155603,0,0.132671410279532,0.0448328753216796,0,0.635512234608206,0.333684468027963,0.0435105895155603,0.155398341272178,0.710570693436574,0,0,0.00104382987992198,0.151548242179557
"Patient169",10.122571889731,0.0128355475207427,0.0762214744979773,0.0196232008221799,0.0733326484963971,0.0244011425504737,0.074845368024118,0.895130900183392,0.481776332075196,0.0666170249669699,0,0.101291380473785,0,0.0830629740913474,0.895130900183392,0.481776332075196,0.0666170249669699,0.0755506879391671,0.839228076038525,0,0,0.00369845399200169,0.233589233856285
"Patient170",3.75535968363737,0.00916688597932037,0.0857613262528729,0.00813602309393896,0.0759639920338788,0.00704905446117837,0.0615618261848877,0.876418963090886,0.348520810977551,0.0697315252388802,0,0.12958839202115,0.0683909273570405,0.0895828980838366,0.876418963090886,0.348520810977551,0.0697315252388802,0.151348771421833,0.894693741810715,0,0.00783842695539158,0.0056400908486185,0.205265194857562
"Patient172",17.6601028037087,0.0112769095653174,0.0438174276181593,0.0126085254369337,0.0370022094760058,0.0138932202492772,0.0290090023641655,0.646893000256341,0.448316745096045,0.0666610216190786,0,0.0910957447658206,0.0542565266310461,0.156115467955375,0.646893000256341,0.448316745096045,0.0666610216190786,0.0905263780013985,0.612424062000439,0,0,0.00546357135071201,0.225212186271716
"Patient173",6.60391400403211,0.00987117143653786,0.0777829801707625,0.0113824986529758,0.0689525234817839,0.0170788807430633,0.0649355090012056,0.89240928243548,0.354622351605568,0.0308565082849365,0,0.122466362377257,0.0299301968423497,0.0358295236832916,0.89240928243548,0.354622351605568,0.0308565082849365,0.131255949469425,0.803752115400504,0,0,0.00247744324306976,0.191236468480797
"Patient179",2.35809098090322,0.0197883949703854,0.116573201989132,0.0213464906102577,0.108548561157837,0.0228911133163651,0.112910319364966,0,0.327393570752326,0.0753601427389405,0,0.136320120308358,0.0389640443525771,0,0,0.327393570752326,0.0753601427389405,0.193888096796962,0,0.00154660148858994,0.0659609934681287,0.0239125479997492,0.196198203156631
"Patient17",537.63422630406,0.0168199141623926,0.0450168014088771,0.0173266410738069,0.0312913284788718,0.0183517334709796,0.0296841897381984,0.932912978547851,0.463814178762178,0.044365055188857,0.075479052184745,0.132938112046034,0.0921873898832043,0.213905592869944,0.932912978547851,0.463814178762178,0.044365055188857,0.187586574157103,0.868241608173875,0.0763694578822263,0.0389845591741074,0.0278739948222885,0.218635752858199
"Patient181",8.44234169931704,0.0132170068720846,0.0730957485881495,0.0132504995578493,0.0619848576612614,0.0189837609761723,0.051645798019233,0.86914382175906,0.381541587154536,0.0415431260573655,0,0.113754065551929,0.0440297537057283,0.122505679951014,0.86914382175906,0.381541587154536,0.0415431260573655,0.10829602990508,0.746548824408452,0,0,0,0.216323240526088
"Patient183",268.520425611349,0.0841640378702902,0.101183620347004,0.101806924648995,0.103662335609694,0.105258210657019,0.103588506612685,0.855633746935955,0.3500602333567,0.0579819793776254,0,0.132765056526538,0.0672885427925367,0.0467075063578441,0.855633746935955,0.3500602333567,0.0579819793776254,0.115037845939724,0.764266949421157,0,0,0.0230717391003536,0.250065555263521
"Patient184",9.1816454607,0.00653454398665957,0.0823180162503226,0.00644459755528818,0.0658695862146776,0.00389760880231865,0.0529008907618138,0.899810339764697,0.357178648568451,0.0633152417718695,0,0.108401247092995,0.0477536508590067,0.115986533603069,0.899810339764697,0.357178648568451,0.0633152417718695,0.100906395463431,0.887908720724343,0,0.00530707506059386,0.0223024523951553,0.210397951764148
"Patient185",41.3293376507822,0.00945594912200816,0.0555421776733082,0.00833522545828577,0.044737205795378,0.0106813733663545,0.0461427309197266,0.90068270610873,0.341135661020192,0.052472508668322,0,0.125633679910945,0.0325265180934756,0.00834978328992355,0.90068270610873,0.341135661020192,0.052472508668322,0.108640096870155,0.82024707096345,0,0,0,0.192619004681161
"Patient187",875.310288996436,0.015364137232245,0.0811938861778121,0.0161957961291155,0.07177651261527,0.0138423121381497,0.0614487781073947,0.93205662651497,0.397049617373677,0.0571607640078216,0.00081020666619722,0.114196362698336,0.0707465527488115,0.0456837407879589,0.93205662651497,0.397049617373677,0.0571607640078216,0.126976909232955,0.901216952935187,0.0014075053470323,0.0343539015353031,0.00101322479934474,0.211445484968662
"Patient188",54.4453002658189,0.00882174080062247,0.06161165199046,0.0109158007331618,0.0566293883696858,0.0120166558985762,0.0596463295094218,0.929579882106068,0.336141792477906,0.0758276058854396,0,0.133962456041624,0.049495788159241,0.0595643158914133,0.929579882106068,0.336141792477906,0.0758276058854396,0.152735677790237,0.784591064588775,0.00014142157450452,0,0.00216480784925808,0.234148673082177
"Patient18",31.274594870911,0.012015666308192,0.089764601067618,0.0142353218204191,0.0823201909405117,0.0217968888169799,0.0824919941638212,0.90364622797384,0.34175517601815,0.0094899860699737,0.0089747604136786,0.135400226368776,0.0359133211596637,0.0758113386870543,0.90364622797384,0.34175517601815,0.0094899860699737,0.115889816411537,0.81405044215453,0.0113436101172277,0,0.00647845496817526,0.193158659603526
"Patient1",223.533702444439,0.0288323676185927,0.121415866794801,0.0337024825178822,0.12017872893814,0.0444548418001144,0.111363180516059,0.881360999510551,0.33536361244096,0.0759468089125584,0.00745144272762486,0.140747894055191,0.0688405541913917,0.0197354868917946,0.881360999510551,0.33536361244096,0.0759468089125584,0.130737708265943,0.739970397623184,0.0178251041790228,0,0.0244621491033035,0.217165046478168
"Patient20",34.8568649651617,0.00523971284826042,0.0659167600832526,0.00538441714448452,0.0520394041547005,0.00665060654223401,0.0429349848108826,0.914608893366199,0.447894957278903,0.0551055363892281,0,0.10846424284394,0.0567888590369751,0.223604315351522,0.914608893366199,0.447894957278903,0.0551055363892281,0.118116340414082,0.888515625888742,0,0,0.0144538704524354,0.217425379910722
"Patient21",26.7674984085741,0.00768700575450342,0.0875662759704527,0.0108044333075941,0.0783333548302653,0.0157612566798245,0.0797972209432581,0.81724295913923,0.335466311559272,0.0654999961425586,0,0.140723689024504,0.0395432460455886,0.011032535431835,0.81724295913923,0.335466311559272,0.0654999961425586,0.150416172481842,0.730674740654072,0,0,0.0264047553387021,0.184792851546757
"Patient22",0.872323248988244,0.00633389030092584,0.0925375897873756,0.00997940900320811,0.0872741049141377,0.0128259294260163,0.0781094815006699,0.865706023822823,0.333052250271826,0.0677194956327246,0,0.14011841872823,0.0684955482057067,0.0113827018055296,0.865706023822823,0.333052250271826,0.0677194956327246,0.138509788699068,0.792587989435664,0,0,0.0214549943910515,0.196877750792714
"Patient23",72.7962893340914,0.0103281567417126,0.101651236584571,0.0122451130661303,0.092826360845624,0.0113211669304969,0.078865572334086,0.909695625930948,0.33959870916581,0.0644775854588437,0.00624691617249629,0.133848687367601,0.0523916434970927,0.0214283398142629,0.909695625930948,0.33959870916581,0.0644775854588437,0.149491371855016,0.763212607466663,0.0144970419872907,0,0,0.170808451980447
"Patient24",125.046079191494,0.00451014594581009,0.0765669693682088,0.00551371574999152,0.0676904019005615,0.00847138130140496,0.0618157339529389,0.770203502437539,0.329059857414446,0.0611049608510317,0.0118239695077737,0.108451700198007,0.0211200084130116,0,0.770203502437539,0.329059857414446,0.0611049608510317,0.0985080765634538,0.65692013024373,0.0123841242658842,0,0.0287951439248829,0.198730491498443
"Patient25",6.28866614761811,0.0111157163615551,0.0689036507018418,0.0133958107942976,0.0599870486669761,0.015080685394219,0.0488105449261107,0.955662311820477,0.365595054675835,0.070899995034429,0,0.121722422310165,0.0728000336661899,0.119686845908997,0.955662311820477,0.365595054675835,0.070899995034429,0.128143871792623,0.902670095931789,0,0,0,0.223217457077084
"Patient27",949.915256306872,0.160185749786558,0.14570372976737,0.168976339263933,0.1414185880213,0.158410130910041,0.134178253369861,0.66465201313231,0.356631812245529,0.077220988147634,0.154237749504018,0.152281043934267,0.0837659414001608,0.134249681459566,0.66465201313231,0.356631812245529,0.077220988147634,0.213519285876253,0.630648941305642,0.187675436769014,0.230220417150557,0.0292207272049337,0.244468931751985
