"","MCP_B_lineage","Epidish_BPRNACan_B","DeconRNASeq_BPRNACan_B","Epidish_BPRNACan3DProMet_B","DeconRNASeq_BPRNACan3DProMet_B","Epidish_BPRNACanProMet_B","DeconRNASeq_BPRNACanProMet_B","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_B.cells","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_B.cells","DeconRNASeq_CCLE_TIL10_B.cells","Epidish_CD226_B","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_TIL10_B.cells","CBSX__NSCLC.scRNAseq__B_cells","CBSX__HNSCC__B_cells","CBSX__TIL10__B.cells","CBSX__CCLE.TIL10__B.cells","CBSX__CD226__B"
"Patient100",1609.19850267339,0.0222220339569951,0.0359463557493496,0.0244783241518724,0.0285245562945454,0.0248203411486123,0.0175539558112728,0.512762843272683,0.528276195674393,0.0447170523651641,0.0216987424667276,0.0942028613393471,0.0611958213310623,0.104680686556891,0.512762843272683,0.528276195674393,0.0447170523651641,0.0956207357706357,0.619309116435128,0.0214156977158138,0,0.0127188375908456,0.182742880824192
"Patient102",89.4222247826066,0.0111953757388516,0.120811196558176,0.0112035477477312,0.111779852694438,0.0162976020464318,0.103763432975545,0.7130016668329,0.337858672085494,0,0,0.119153404264599,0.0652179519935085,0,0.7130016668329,0.337858672085494,0,0.124213687062115,0.638958067380519,0,0,0,0.179537820259853
"Patient105",14.9504771978767,0.0157700331749107,0.106143371710827,0.0255361381296837,0.10209909345027,0.0344367873912655,0.0986509933002596,0.409098359175249,0.328945585972863,0.0800755877008901,0.00844852274012445,0.139595883432147,0.065503040048264,0,0.409098359175249,0.328945585972863,0.0800755877008901,0.160579386755585,0.412039645459551,0.0288859611985424,0,0.0090742588715349,0.208221350917331
"Patient106",338.082724515293,0.0170872808135759,0.0725818448099779,0.0170578179837362,0.0642161428267747,0.0217975878524484,0.061967130693603,0.942409475063247,0.348941745616336,0.0582967767254856,0.0262859345446912,0.137157709286171,0.048829659041018,0.120791019444481,0.942409475063247,0.348941745616336,0.0582967767254856,0.111186688894614,0.873145322097676,0.0276412237967862,0.00297682482273758,0.00679695439485825,0.220322349210385
"Patient107",100.590510360222,0.000717311368697269,0.0916734847013977,0.00140222985383239,0.0859673504557193,0.00234715057634389,0.0843182950599946,0.540332030519642,0.325109600670176,0.0466730903172873,0,0.123684160435517,0.0396714040573116,0.0300654775295514,0.540332030519642,0.325109600670176,0.0466730903172873,0.0503136920993182,0,0.0233492354889966,0.150204981791539,0,0.23073603156995
"Patient108",3.39215489855556,0,0.0920598598996362,0,0.0888862612367393,0.00846720811012035,0.0882927428708075,0.629137082033171,0.329047857663358,0.0707628672958275,0.0138503162242102,0.137735366309324,0.0603329809581641,0,0.629137082033171,0.329047857663358,0.0707628672958275,0.0865757462273361,0.774595816615414,0.0249945001255143,0.040377654916479,0.0328506708215702,0.208960755069548
"Patient10",118.825146586317,0.019708877187544,0.0727523862156125,0.0227627888869206,0.0664894394364457,0.0240524407276815,0.0724751790982263,0.849919208446008,0.356687081192319,0.0586785984847878,0.0190391190485266,0.126485355968577,0.0208051202517512,0.0660150171533229,0.849919208446008,0.356687081192319,0.0586785984847878,0.146569049944868,0.627489406265714,0.0276133896466755,0.00812804348013145,0.0131531206496863,0.18833888418068
"Patient112",260.800308848073,0.011269592687499,0.0563430031011111,0.0124904898183399,0.046743874192157,0.0156538869069738,0.0504607638191887,0.820439313905447,0.344437558564179,0.0759323778518599,0.000976060125294946,0.129423357120251,0.0332450563123199,0.206207873647115,0.820439313905447,0.344437558564179,0.0759323778518599,0.116725727992702,0.672011124005967,0.00630284341790259,0,0,0.242455535162825
"Patient116",19.1579700353382,0.0140180180688644,0.0708525934829913,0.0139895624090676,0.0626313619448328,0.0188106739231841,0.0563008620508533,0.937694738170057,0.35196584889943,0.0678449461225517,0,0.120203122259473,0.0385330405749465,0.0514033431628985,0.937694738170057,0.35196584889943,0.0678449461225517,0.134256578187294,0.870375174184527,0,0,0,0.211654248403698
"Patient117",412.164324104785,0.0100499485986589,0.0365175046258542,0.0106421609306934,0.0224326050378214,0.0107691776401652,0.0117290652230116,0.972812180366625,0.489744824642653,0.0158962459123911,0.00669401914087933,0.102562862265579,0.0609918610762627,0.132406430435513,0.972812180366625,0.489744824642653,0.0158962459123911,0.104526540215334,0.928015596496154,0.00846482198377965,0,0.00883879564685914,0.200107879925175
"Patient11",19.448578863078,0.00878048964304455,0.0891076414562967,0.0113582117276225,0.0783179490921423,0.0140003041082693,0.0705166808465982,0.916932279391624,0.353716468196724,0.0606980037787768,0,0.134263336135347,0.0358599438034893,0.0497666550134597,0.916932279391624,0.353716468196724,0.0606980037787768,0.12586587860217,0.851578103017455,0,0,0.0202027864308529,0.193636398422869
"Patient121",170.110784349665,0.0102965211145092,0.0745372862203044,0.0124046228062648,0.0661262077826885,0.0164552483801334,0.0597567584684969,0.815346758067409,0.372049072391474,0.0647423664091951,0.0123728447434654,0.128015443626473,0.0462194023124792,0.141794401055361,0.815346758067409,0.372049072391474,0.0647423664091951,0.131426020606679,0.696073973300126,0.0130089097944851,0,0.0030763121141097,0.222349579599367
"Patient125",6821.44510485787,0.098626382001924,0.0785880831286386,0.102086680562618,0.0726014763094269,0.101455169330684,0.0737872537472451,0.441973625922892,0.618959624565367,0.104840464297449,0.203222375809619,0.284586191138124,0.0547063430573469,0.28785484552898,0.441973625922892,0.618959624565367,0.104840464297449,0.0912871835290341,0.435265750219212,0.202599754619197,0.0688204720380669,0.0477863712729985,0.214678524687042
"Patient126",155.237958707448,0.0123150734781235,0.0765570877862762,0.016053611443835,0.0692455832556028,0.0135062810082496,0.0628221977087684,0.941217973618777,0.452403238847031,0.0626249629397545,0.013252009638618,0.122321178029948,0.0734830925204323,0.19500872545216,0.941217973618777,0.452403238847031,0.0626249629397545,0.121434968346297,0.918653544266856,0.0177790303248689,0.0410343804016533,0,0.207914506740566
"Patient127",10.7863975249238,0.00984680364529985,0.101451966275165,0.0133714503869399,0.0934322761488821,0.0278712777741879,0.0938783769943833,0.849767907635269,0.327963059474893,0.070840898188944,0,0.138145510143007,0.0777154798399738,0.0688764726755643,0.849767907635269,0.327963059474893,0.070840898188944,0.16513539194939,0.85736180825442,0,0,0.00806136499451593,0.219586374590205
