"","Quantiseq_Macrophage_M1","DeconRNASeq_BPRNACan_M1","DeconRNASeq_BPRNACan3DProMet_M1","DeconRNASeq_BPRNACanProMet_M1","Epidish_CBSX_LM22_Macrophages.M1","DeconRNASeq_CBSX_LM22_Macrophages.M1","Epidish_CCLE_TIL10_Macrophages.M1","DeconRNASeq_CCLE_TIL10_Macrophages.M1","Epidish_CD226_M1","DeconRNASeq_CD226_M1","Epidish_LM22_Macrophages.M1","DeconRNASeq_LM22_Macrophages.M1","Epidish_TIL10_Macrophages.M1","DeconRNASeq_TIL10_Macrophages.M1","CBSX__LM22__Macrophages_M1","CBSX__TIL10__Macrophages.M1","CBSX__CCLE.TIL10__Macrophages.M1","CBSX__CD226__M1"
"Gide_PD1_10_Post",0.00958703158852212,0.10404350466761,0.15850343588439,0.151883547701629,0.0745278229606714,0.119304720404684,3.58236655352703e-05,0.183052488213717,0.261518946982033,0.462137187883956,0.0745278229606714,0.119304720404684,0.149914441030867,0.34834598435174,0.0794767836925295,0.0627841841331438,0,0.261801648215441
"Gide_PD1_10_Pre",0.00611139851928305,0.105055231231022,0.156146420605825,0.150542406797375,0.022584030147659,0.0696748243613531,0,0.0913432215079726,0.366227375007133,0.416731435187766,0.022584030147659,0.0696748243613531,0.168982434854035,0.22091038773386,0.0226687692969155,0,0,0.206268047857903
"Gide_PD1_11_Pre",0.00156681231428673,0.106682837926948,0.165573889074036,0.159242428328968,0.0171286223688369,0.0787433817118816,0,0.1784798654267,0.272928764261963,0.327589684501816,0.0171286223688369,0.0787433817118816,0,0.159012147143262,0.0281619206621838,0,0,0.13111428127168
"Gide_PD1_12_Pre",0,0.113220993377094,0.151296284990027,0.147315256178726,0.00691856118505479,0.0601083625225021,0.0260349527096456,0.104357392079691,0.669170510567906,0.461710614537419,0.00691856118505479,0.0601083625225021,0.097839927996472,0.155627289368401,0.0124043145816526,0.427464173026322,0.0394537031094356,0.240250135178963
"Gide_PD1_13_Post",0.00942293628174481,0.0972997962692535,0.137908687698863,0.131932347312038,0.0167870085376803,0.0780420409285577,0.0217327380650313,0.114068480901318,0.593566188254005,0.36897921402368,0.0167870085376803,0.0780420409285577,0.206383129137181,0.239437616823536,0.00481344607029887,0.288687674831791,0.0138330005113045,0.131535681496469
"Gide_PD1_13_Pre",0.00424518692526048,0.0950139852616689,0.148464224923795,0.1402599382645,0,0.0777824990977684,0,0.125533237391599,0.510360173791044,0.315347590945062,0,0.0777824990977684,0,0.218298498177078,0.0163596990287894,0.122268724547659,0,0.119221077917897
"Gide_PD1_14_Pre",0.025670027231024,0.0785158644195918,0.12801892901908,0.120242757179177,0,0.0673335965345914,0,0.118778149067657,0.514367254821229,0.352037480808662,0,0.0673335965345914,0,0.231826814596771,0,0.00307534236695029,0,0.145606856612955
"Gide_PD1_15_Pre",0,0.106092032152298,0.163375920564528,0.15828570657793,0,0.0742631711618829,0,0.121381765532509,0.315715800061639,0.30471034949677,0,0.0742631711618829,0,0.135808261120755,0.00250991446417732,0,0,0.153894606609666
"Gide_PD1_16_Pre",0.00601741162821086,0.0876010761010006,0.13775870986759,0.130570147444232,0,0.0874593229330787,0.115232323502099,0.17972664873325,0.64195490303693,0.454530626382166,0,0.0874593229330787,1,0.21942949564629,0.00552033202485667,0,0.00463462741891389,0.181275172387019
"Gide_PD1_17_Post",0.0540562451726609,0.0847285660950468,0.123860586106204,0.120630535101876,0.109588159024036,0.121342907603726,0.32072153574881,0.299980601210375,0.32286473354392,0.46363071418214,0.109588159024036,0.121342907603726,0.548823646502958,0.29939317370043,0.12077959827364,0.311176441801761,0.291972980052835,0.209280402867473
