"","Epidish_BPRNACan_Mono","DeconRNASeq_BPRNACan_Mono","Epidish_BPRNACan3DProMet_Mono","DeconRNASeq_BPRNACan3DProMet_Mono","Epidish_BPRNACanProMet_Mono","DeconRNASeq_BPRNACanProMet_Mono","Epidish_CD226_Mono","DeconRNASeq_CD226_Mono","CBSX__LM22__Monocytes","CBSX__NSCLC.scRNAseq__Monocytes","CBSX__CCLE.TIL10__Monocytes","CBSX__CD226__Mono"
"LP.01.01",0.0214019385908005,0.0875936311239386,0.0214084367205812,0.0870602069032288,0.019344964225991,0.0777508792081654,0.268688057736331,0.0704867150902251,0.0372009875606767,0,0,0.109772002847071
"LP.01.02",0.0304598216445847,0.109115145157424,0.0372656585429224,0.109025854974633,0.0301754391366618,0.097471865619729,0.470720235849715,0.00677206482529724,0.0770586297406647,0.0323508973407916,0.145976381253754,0.0848370719332031
"LP.01.03",0.0656040545202232,0.127508737824608,0.0671429382840454,0.127098555040469,0.0540907076383398,0.116685305473883,0.381092905131586,0.040707125713825,0.0746607958950896,0.0180420005873322,0.241488684552286,0.0683723227603663
"LP.01.04",0.0149704720703911,0.133927997619064,0.0126821424218364,0.127942480370854,0.0106736751710794,0.118593493465022,0.275619726856417,0.0626530882324774,0.0467251600898971,0.0126035042152689,0,0.0856926211417962
"LP.01.08",0.0237171685890433,0.102558174463776,0.0220943435259286,0.0999891494678822,0.0220906087146283,0.0901523205579181,0.141154887919659,0.0453869449634681,0.0165198578132301,0,0,0.0833128121689377
"LP.01.10",0.0342886920738769,0.115774737851569,0.0357850137003624,0.114158660863532,0.0262971939841325,0.0988314546018645,0.43108494467524,0.0842168895165963,0.0371401477835146,0.0159454804069518,0,0.0909711336436996
"LP.01.12",0.0768518932329075,0.116678232167824,0.0875602979964891,0.117570518950041,0.0868554607535483,0.106993746106768,0.517953528499139,0.0723948567369147,0.0298125765138389,0.0305165619830124,0,0.0831510613175652
"LP.01.14",0.029295295426287,0.119611435468344,0.032295267418922,0.118281674948096,0.0266770105441523,0.105046569673078,0.24658511184537,0.0236893354912627,0.029292726635136,0,0,0.0792829651170056
"LP.01.15",0.033133632089992,0.0946446014340179,0.0293222731665901,0.0909916603129878,0.0224158509339435,0.0851139351063658,0.215929746070083,0.047770824822637,0,0.181981189899467,0,0.0839836118929986
"LP.01.16",0.0627729199260552,0.149894895579038,0.0699988931185751,0.149915380213553,0.06512727923183,0.133752291943574,0,0.0132454518823316,0.0179682611882155,0.030883077369931,0,0.0749984410895887
"LP.01.18",0.041232031541067,0.130820567500348,0.0414336150097747,0.128280055994869,0.0354568083188681,0.114380618283414,0.163880657168247,0.0891498190003005,0.0160185687986691,0,0,0.0867780256087025
"LP.01.19",0.0341730290513498,0.161003629177462,0.0344544608276947,0.161486632974934,0.0311018856444216,0.143243742615753,0.301677785233965,0.0722335557857816,0.0328160478264913,0.0187207458554884,0,0.098649398346442
"LP.01.20",0.021452781038676,0.128997763244452,0.02018112670157,0.127535241488275,0.0170734200492649,0.112235217995585,0.270889166003671,0.0441615928122154,0.027260991513783,0.0208402880237663,0,0.0851448346040427
"LP.01.22",0.00736195648415733,0.072302014394707,0.00706229087770192,0.0682098313418858,0.0046519333932484,0.0628959785041968,0,0,0.0183217570433398,0.0605776814041542,0,0.0685137215528261
"LP.01.23",0.0366043686128367,0.112881672060849,0.0356537340946886,0.111771562538065,0.0294919239554327,0.0997497893341934,0.277233862399011,0.0757316093285396,0.0399279769817177,0.0150485494120585,0,0.0780653070954653
"LP.01.24",0.0673643075835143,0.158179431597719,0.0668830922906803,0.157868959135197,0.0561419641416626,0.142502043343012,0.348934386916441,0.0549344157696279,0.023984602912887,0.0157981096200201,0.0842381673489344,0.0794497563415693
