"","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Dendritic.cells","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_Dendritic.cells","Epidish_CCLE_TIL10_Dendritic.cells","Epidish_TIL10_Dendritic.cells","DeconRNASeq_TIL10_Dendritic.cells","CBSX__LM22__Dendritic_cells_activated","CBSX__HNSCC__Dendritic_cells","CBSX__TIL10__Dendritic.cells","CBSX__CCLE.TIL10__Dendritic.cells"
"LP.01.01",0.0399812243337285,0.00481576652105669,0.0314810565496787,0,0.0206936536097656,0.0377352440752649,0.0424993864934396,0.1993733114796,0
"LP.01.02",0.0780315230171558,0.0363447722747831,0,0,0.0797280901825841,0.0141084158834473,0.0541777991841664,0,0
"LP.01.03",0.138852965826757,0.0816336408757357,0,0,0.0441271758303098,0.0835585864696627,0.118543458620137,0.172882590603529,0
"LP.01.04",0.173589251137838,0.0712020692629764,0.0503701109161251,0.0699105232556785,0.0582568324499897,0.0463833096310897,0.158330628558148,0.135300026690417,0.0957190524448048
"LP.01.08",0,0.0177487667506519,0.0659811062595625,0.0556734298310594,0.0474350417999865,0.0273100398109947,0,0.172185139948428,0.173612532978377
"LP.01.10",0.0994434841826216,0.0378560859366996,0.0309530163353318,0,0,0.045152495927622,0.110368999550264,0,0
"LP.01.12",0,0.0209787322768568,0.0733169506599395,0,0.0246917531949377,0.0144819921631902,0.00939754091296455,0.0867097404188195,0.0797371132573306
"LP.01.14",0.0484438159457568,0.0359734045697374,0.029516986489484,0.0157505591653073,0,0.0229964692246502,0.0409007202478644,0.106227732489344,0
"LP.01.15",0.0743194686013377,0.0559954648658635,0,0,0.0384934431201413,0.0292883284957179,0.0937826684766849,0.0838806609771308,0.0481504995089833
"LP.01.16",0.164614882011225,0.0513752091665591,0.0409328769478249,0.16834486404932,0.00112302027793713,0.00270042454981211,0.150645690753056,0.133796547748412,0.108911916376518
"LP.01.18",0.122111451768803,0.059685085065402,0,0,0,0.101987922540103,0.126980326851241,0.17107125709391,0.022313963509388
"LP.01.19",0.0572948070559034,0.0235564621905252,0,0,0.00587691611361079,0.0402133772238778,0.0353287720330447,0.136806930890976,0.00473295926965634
"LP.01.20",0.0949983326167249,0.0453639322730577,0.307284614313646,0.509224190135005,0.0875968573154727,0.0688208486148756,0.0757001986878162,0.231354956794801,0.187452743201057
"LP.01.22",0.255537931992062,0.0599148027631805,0,0,0.0791537737351043,0.119257821027901,0.175844696643091,0,0.305782126633538
"LP.01.23",0.0111199601554486,0.0337531830182685,0,0,0.00861550202317611,0.0412886616095352,0.00618310667900788,0,0.0305016922015789
"LP.01.24",0.088117616500399,0.0342183050541158,0,0,0.0536332407677925,0,0.0788832514931386,0,0
