"","Epidish_CBSX_LM22_Macrophages.M0","DeconRNASeq_CBSX_LM22_Macrophages.M0","Epidish_LM22_Macrophages.M0","DeconRNASeq_LM22_Macrophages.M0","CBSX__LM22__Macrophages_M0"
"Gide_PD1_10_Post",0.349947742858564,0.17489956066136,0.349947742858564,0.17489956066136,0.318455590801382
"Gide_PD1_10_Pre",0.640753217480684,0.21013927539769,0.640753217480684,0.21013927539769,0.604118921728676
"Gide_PD1_11_Pre",0.175188186382956,0.123778696922885,0.175188186382956,0.123778696922885,0.154880975314396
"Gide_PD1_12_Pre",0.472121135844778,0.414164260369903,0.472121135844778,0.414164260369903,0.371024729893152
"Gide_PD1_13_Post",0.182944999476452,0.0766224229235344,0.182944999476452,0.0766224229235344,0.248366480570509
"Gide_PD1_13_Pre",0.084902596168696,0.0945095337234438,0.084902596168696,0.0945095337234438,0.0533976793956005
"Gide_PD1_14_Pre",0.0706823758746601,0.0651400225316541,0.0706823758746601,0.0651400225316541,0.182683130544798
"Gide_PD1_15_Pre",0.00358499485445018,0.0624074118808978,0.00358499485445018,0.0624074118808978,0
"Gide_PD1_16_Pre",0.458234192029196,0.190218433401899,0.458234192029196,0.190218433401899,0.408024733454317
"Gide_PD1_17_Post",0.126678642328041,0,0.126678642328041,0,0.127551452474849
"Gide_PD1_17_Pre",0.381422734628108,0.134258542793415,0.381422734628108,0.134258542793415,0.338183027577481
"Gide_PD1_18_Pre",0.273504389684306,0.509746006549338,0.273504389684306,0.509746006549338,0.364784312318242
"Gide_PD1_19_Pre",0.257276168423293,0.127679833590074,0.257276168423293,0.127679833590074,0.238468321790099
"Gide_PD1_2_Pre",0.318767221364807,0.0746387424943727,0.318767221364807,0.0746387424943727,0.31138521255139
"Gide_PD1_21_Pre",0.163457724227599,0.0482042266829379,0.163457724227599,0.0482042266829379,0.0620534806414615
"Gide_PD1_23_Pre",0.385743570241685,0.749440730400654,0.385743570241685,0.749440730400654,0.517158841313131
"Gide_PD1_25_Post",0.0745036892733068,0,0.0745036892733068,0,0
"Gide_PD1_25_Pre",0.157616568112012,0.0786815012162217,0.157616568112012,0.0786815012162217,0.174480555531436
"Gide_PD1_27_Pre",0.365304996327699,0.134702005555458,0.365304996327699,0.134702005555458,0.183785326280394
"Gide_PD1_29_Post",0.0788773490158791,0.0974990087395228,0.0788773490158791,0.0974990087395228,0.138758768492124
"Gide_PD1_29_Pre",0.503564658256737,0.119781647591466,0.503564658256737,0.119781647591466,0.452400257467219
"Gide_PD1_3_Pre",0.205144652907444,0.100905812733868,0.205144652907444,0.100905812733868,0.180553409364345
"Gide_PD1_30_Pre",0.0924139167942785,0.069978307158116,0.0924139167942785,0.069978307158116,0.0795921407245842
"Gide_PD1_34_Pre",0.134165410840227,0.0556165272134001,0.134165410840227,0.0556165272134001,0.13685216658817
"Gide_PD1_35_Pre",0.147611110808061,0.0910423574949357,0.147611110808061,0.0910423574949357,0.156120946011087
"Gide_PD1_36_Pre",0.096795240238637,0.0800406997553376,0.096795240238637,0.0800406997553376,0.112127262700376
"Gide_PD1_38_Pre",0.159871972994946,0.0423866625130028,0.159871972994946,0.0423866625130028,0.151529578043577
