"","Epidish_BPRNACan_CD4","DeconRNASeq_BPRNACan_CD4","Epidish_BPRNACan3DProMet_CD4","Epidish_BPRNACanProMet_CD4","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD4","Epidish_CBSX_LM22_T.cells.CD4.memory.resting","Epidish_CBSX_LM22_T.cells.CD4.memory.activated","DeconRNASeq_CBSX_LM22_T.cells.CD4.naive","DeconRNASeq_CBSX_LM22_T.cells.CD4.memory.activated","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD4","Epidish_CCLE_TIL10_T.cells.CD4","Epidish_CD226_CD4","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD4","Epidish_LM22_T.cells.CD4.memory.resting","Epidish_LM22_T.cells.CD4.memory.activated","DeconRNASeq_LM22_T.cells.CD4.naive","DeconRNASeq_LM22_T.cells.CD4.memory.activated","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","Epidish_TIL10_T.cells.CD4","CBSX__LM22__T_cells_CD4_naive","CBSX__LM22__T_cells_CD4_memory_resting","CBSX__LM22__T_cells_CD4_memory_activated","CBSX__scRNA.melanoma__T_cells_CD4","CBSX__HNSCC__T_cells_CD4","CBSX__TIL10__T.cells.CD4","CBSX__CCLE.TIL10__T.cells.CD4","CBSX__CD226__CD4"
"Gide_PD1_10_Post",0.0128244616552015,0.012885580532701,0.0330056389328526,0.0575272382893722,0.0174499817451669,0.25145097259699,0.036138957139337,0.0230146337600372,0.0265934068396394,0,0.0428237107203666,0.0845375452867803,0.0746584617827002,0,0.0174499817451669,0.25145097259699,0.036138957139337,0.0230146337600372,0.0265934068396394,0,0.0428237107203666,0.0332163381944062,0.0392925485588811,0.231648957671001,0.0121354002170573,0.00948289599974256,0.0927059765670625,0.0215972552565512,0,0.157200603782651
"Gide_PD1_10_Pre",0.000237157633913036,0.0105142086318977,0.0176618581206273,0.0292315295715338,0.0206081960449682,0.111393812223436,0,0,0.0179529628315006,0,0.025614325631725,0,0,0,0.0206081960449682,0.111393812223436,0,0,0.0179529628315006,0,0.025614325631725,0,0,0.174902349669608,0,0,0,0,0.0252622502066674,0.193613719853532
"Gide_PD1_11_Pre",0.00194547822462849,0.0157601771047391,0.0150387384032769,0.0257613954286102,0.0448619776810274,0.217649501274261,0,0.0578503904047177,0.0218907056194672,0,0.0542658876893017,0.00116243481865417,0,0.0951492951152671,0.0448619776810274,0.217649501274261,0,0.0578503904047177,0.0218907056194672,0,0.0542658876893017,0,0,0.176635477446433,0,0,0.00774222015285672,0,0,0.297143619920852
"Gide_PD1_12_Pre",0.00035671777753512,0.0221920037972224,0.0103108256528001,0.0237972487285832,0.0325547065834965,0.14087398731285,0,0.000102691418595396,0.0212359124059439,0,0.0438009110828396,0,0.245038816262989,0.067244864055233,0.0325547065834965,0.14087398731285,0,0.000102691418595396,0.0212359124059439,0,0.0438009110828396,0,0.0729814921667671,0.196330837506121,0,0,0,0.3698953858867,0.335736674510328,0.201349624677106
"Gide_PD1_13_Post",0,0.0306105948043223,0.0106586767731851,0.0235318280332209,0.0392522778939246,0.268964158611583,0,0,0.0221233636168541,0,0.0370399201357083,0,0.0305953544116409,0.185030580299807,0.0392522778939246,0.268964158611583,0,0,0.0221233636168541,0,0.0370399201357083,0,0,0.262915324709918,0,0,0,0,0,0.307729603897145
"Gide_PD1_13_Pre",0,0.0344912016749575,0.0153215187716118,0.0253476451338324,0.0448089417144344,0.323206206349788,0,0,0.0171873561013283,0,0.0329428460827087,0,0.0219615137113415,0.356331028675193,0.0448089417144344,0.323206206349788,0,0,0.0171873561013283,0,0.0329428460827087,0,0,0.257855442346763,0,0,0,0,0,0.354475034801142
"Gide_PD1_14_Pre",0,0.0745904852725308,4.31596070230177e-05,0.013929946431123,0.0387237595490883,0.161088706545457,0.0869284038462539,0,0.0276863980006572,0,0.0494172166387259,0,0.0143267289462492,0.143625505408165,0.0387237595490883,0.161088706545457,0.0869284038462539,0,0.0276863980006572,0,0.0494172166387259,0,0.0912198951342005,0.160687156118838,0,0,0,0,0,0.327065695787449
"Gide_PD1_15_Pre",0.0130637477241659,0.0286741093106135,0.0466924163471474,0.0772631773957596,0.04912666192043,0.236703570580432,0,0.0292119350411682,0.00865427080161209,0,0.0597175155478656,0,0.0816440225284928,0.0806049450014403,0.04912666192043,0.236703570580432,0,0.0292119350411682,0.00865427080161209,0,0.0597175155478656,0,0.119997468951203,0.0965599835354873,0,0.0714555979464399,0,0,0.361312205049885,0.317117188777841
"Gide_PD1_16_Pre",0,0.0240881013861413,0,0.0068134182241831,0.0402543232934839,0.186605593081112,0,0.0691255746382896,0.0261279427567118,0,0.0260923921542382,0,0.126163262265374,0.0816859898499629,0.0402543232934839,0.186605593081112,0,0.0691255746382896,0.0261279427567118,0,0.0260923921542382,0,0,0.275675687893296,0,0,0,0,0.0419602963257178,0.34944520320563
"Gide_PD1_17_Post",0,0.0101702887500448,0.0183931221352049,0.0344532986429057,0,0.244537792199877,0.0420217336494218,0,0.0537923186600124,0.141810188408187,0.0638189206170567,0.0517684835339366,0,0,0,0.244537792199877,0.0420217336494218,0,0.0537923186600124,0.141810188408187,0.0638189206170567,0,0,0.238464963511656,0.0509807915594994,0.088408000314307,0.0248414533386763,0,0,0.160473718646875
"Gide_PD1_17_Pre",0,0.012443915779223,0.00795354473130568,0.0143823867943484,0.0150442826684232,0.0932203753658484,0.031317672401103,0,0.0327014375774738,0,0.0503706047793264,0.0257927965669226,0.049866329783816,0,0.0150442826684232,0.0932203753658484,0.031317672401103,0,0.0327014375774738,0,0.0503706047793264,0,0,0.0746621087407986,0.0296766716489258,0.00273352750527209,0.0338430914333815,0,0.0285064643173612,0.138648258154859
"Gide_PD1_18_Pre",0,0.0149255332741839,0.00388204837941504,0.0104044322251609,0.0209392559600854,0.111195764492043,0.0691482091444887,0,0.0213808166282392,0.0189110096512003,0.0576049755502182,0.0408893817811145,0.0433637431530749,0,0.0209392559600854,0.111195764492043,0.0691482091444887,0,0.0213808166282392,0.0189110096512003,0.0576049755502182,0,0.026659189931049,0.163456496170082,0.00106102890524123,0.0194772093158524,0.0209745548344674,0.00805870244799978,0.0183589502155706,0.213361336664955
"Gide_PD1_19_Pre",0,0.0244336149128656,0.00359706178050639,0.0112047808089216,0.0402009507937117,0.168477797493568,0.0834991751889114,0,0.0383904670921963,0,0.0372817913905538,0,0.0556217045955245,0.277289008527621,0.0402009507937117,0.168477797493568,0.0834991751889114,0,0.0383904670921963,0,0.0372817913905538,0.0611374475163162,0,0.179170167973726,0.0629546631534891,0,0,0,0,0.296002326358365
