"","Epidish_BPRNACan_cancer","DeconRNASeq_BPRNACan_cancer","Epidish_BPRNACan3DProMet_cancer","DeconRNASeq_BPRNACan3DProMet_cancer","Epidish_BPRNACanProMet_cancer","DeconRNASeq_BPRNACanProMet_cancer","Epidish_CCLE.TIL10_cancer","DeconRNASeq_CCLE.TIL10_cancer","CBSX_CCLE.TIL10_cancer"
"LUNG-NSCLC2-0553",0.957225609924501,0.477211047830651,0.921048155232391,0.523856271867529,0.912066809280765,0.42180512545054,0.0750804881152901,0.164160599665456,0.0648680621635144
"LUNG-NSCLC2-0560",0.949967327700923,0.460053512697839,0.894733678982097,0.467946441592176,0.875699798428782,0.463417653383956,0,0.0307301178913137,0
"LUNG-NSCLC2-0565",0.909763690994323,0.477368367873605,0.860557368789317,0.508549654796687,0.842975360185781,0.312393462810061,0.261996817127842,0.23900843384552,0.326976724455515
"LUNG-NSCLC2-0566",0.810625772591029,0.450098103682365,0.763845681907859,0.465687263717026,0.744434610334159,0.457015951106029,0.340736249078155,0.218614537395798,0.221633788651358
"LUNG-NSCLC2-0568",0.940471963396986,0.53497345876187,0.901739251285326,0.551201675968728,0.868533979854533,0.547392114889712,0.357669956942969,0.126477184813175,0.367173109411255
"LUNG-NSCLC2-0569",0.86988399411446,0.493434334239064,0.83682145824953,0.532950766288782,0.811772896080982,0.513911334223511,0.672054895201164,0.414923699734779,0.748599981421689
"LUNG-NSCLC2-0571",0.971312456891603,0.518306552042577,0.942188013219032,0.541014856461307,0.917047140666449,0.533873144822568,0.315445401188913,0.197876180078701,0.312002942358511
"LUNG-NSCLC2-0580",0.920235840945698,0.511352818567818,0.873496013166392,0.526830951894757,0.854677189163016,0.528259317646141,0.237636455949532,0.131045690971821,0.240847019986529
"LUNG-NSCLC2-0584",0.874873079918944,0.353061742634125,0.789422302805136,0.378534895624845,0.760614287603363,0.382251930701032,0,0.0189954027719935,0
"LUNG-NSCLC2-0585",0.978865403180593,0.545166314919838,0.937536704047583,0.557226764544006,0.915735511029695,0.554920654883257,0.597225098795058,0.237273752633658,0.625280206408666
"LUNG-NSCLC2-0588",0.937093336994145,0.336667346792474,0.857430227533211,0.352279947560959,0.79486471283896,0.344341062411076,0,0.0355710892333963,0
"LUNG-NSCLC2-0590",0.915825384415789,0.505275063278916,0.903955208922521,0.554149205945273,0.879518530515601,0.549337549110034,0.808730269001571,0.441236291432699,0.63874783565472
"LUNG-NSCLC2-0592",0.830372107061428,0.396904303719769,0.745119244657255,0.404395802347237,0.707417961078996,0.415438056655488,0.264977866370357,0.135507678596829,0.302117675646785
