"","MCP_Myeloid_dendritic_cells","DeconRNASeq_CBSX_LM22_Dendritic.cells.resting","DeconRNASeq_CBSX_LM22_Dendritic.cells.activated","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Dendritic.cells","DeconRNASeq_LM22_Dendritic.cells.resting","DeconRNASeq_LM22_Dendritic.cells.activated","DeconRNASeq_TIL10_Dendritic.cells","CBSX__HNSCC__Dendritic_cells"
"Gide_PD1_10_Post",7.98671135334961,0.0671294485367155,0.0183109430974236,0,0.0671294485367155,0.0183109430974236,0,0.00077532681526162
"Gide_PD1_10_Pre",3.88400390445684,0.0731296209196144,0.0341151244172088,0.0470287947260792,0.0731296209196144,0.0341151244172088,0,0.0478569875897345
"Gide_PD1_11_Pre",9.4902271164356,0.0896586964405952,0.0113389049750068,0,0.0896586964405952,0.0113389049750068,0,0
"Gide_PD1_12_Pre",2.43670046822021,0,0,0,0,0,0.00170870929982618,0
"Gide_PD1_13_Post",0.920861189020749,0.0846156519788336,0.0537998673293116,0,0.0846156519788336,0.0537998673293116,0.0350150697355569,0
"Gide_PD1_13_Pre",1.17735329048984,0.090988957479618,0.0435904754951783,0,0.090988957479618,0.0435904754951783,0.0690722037152672,0
"Gide_PD1_14_Pre",1.51647148710553,0.0919185974730673,0.0380878136643298,0,0.0919185974730673,0.0380878136643298,0,0
"Gide_PD1_15_Pre",6.32284848562747,0.0796250247828497,0.0401643581042241,0.0575919743955027,0.0796250247828497,0.0401643581042241,0,0.0602517094423397
"Gide_PD1_16_Pre",1.83672616902711,0.0463399325359962,0.0126332106390748,0,0.0463399325359962,0.0126332106390748,0.0503323682459164,0
"Gide_PD1_17_Post",8.46841017424449,0.0226533810193554,0.0163802721399585,0,0.0226533810193554,0.0163802721399585,0,0
"Gide_PD1_17_Pre",3.70075941399659,0.0555499865095938,0.0292552981234088,0,0.0555499865095938,0.0292552981234088,0,0
"Gide_PD1_18_Pre",1.85261865459154,0,0,0,0,0,0.072881598863533,0
"Gide_PD1_19_Pre",0.824106795995488,0.0853949126810778,0.0563035907320101,0.00641306879321888,0.0853949126810778,0.0563035907320101,0.0221687066843572,0
"Gide_PD1_2_Pre",8.85008729151798,0.0834830668304706,0.0367156299285944,0,0.0834830668304706,0.0367156299285944,0,0
"Gide_PD1_21_Pre",1.98879893478881,0.0616825299581472,0.0846273673806975,0,0.0616825299581472,0.0846273673806975,0,0.0273075634515699
"Gide_PD1_23_Pre",4.13607139100292,0,0,0,0,0,0,0
"Gide_PD1_25_Post",6.83551296485477,0.0795472149476362,0.00261266847552811,0,0.0795472149476362,0.00261266847552811,0,0
"Gide_PD1_25_Pre",3.52087840733542,0.0734770773180874,0.0346367690781109,0,0.0734770773180874,0.0346367690781109,0,0
"Gide_PD1_27_Pre",1.06265870190528,0.0425885953708597,0.0523333114612034,0.406023984623508,0.0425885953708597,0.0523333114612034,0.115557134202366,0.130515886368001
"Gide_PD1_29_Post",1.040206157469,0.0729842955029912,0.0463255498384052,0.313991319985192,0.0729842955029912,0.0463255498384052,0.0244283746498026,0.252801617907287
"Gide_PD1_29_Pre",0.578978237019674,0.0681153738516748,0.0447017751496239,0.352451342156477,0.0681153738516748,0.0447017751496239,0.0391336582235218,0.33027948670403
"Gide_PD1_3_Pre",2.06785305066568,0.0802356444665336,0.0394439546008146,0.0124577517699067,0.0802356444665336,0.0394439546008146,0,0.00854660321714041
"Gide_PD1_30_Pre",2.91780375958219,0.0769570494671926,0.0826504039769959,0,0.0769570494671926,0.0826504039769959,0.0336562387341105,0
"Gide_PD1_34_Pre",2.62543687458921,0.0665886655867003,0.0439070175379357,0,0.0665886655867003,0.0439070175379357,0.017159076034039,0
"Gide_PD1_35_Pre",8.92702605005048,0.0712473051400214,0.0417077268585927,0.0183550707825374,0.0712473051400214,0.0417077268585927,0,0.027050742631813
"Gide_PD1_36_Pre",2.87566571067853,0.0520448530314419,0.0884728573281328,0.216615859774576,0.0520448530314419,0.0884728573281328,0,0.204346277934715
"Gide_PD1_38_Pre",4.88321842583071,0.0688382054306345,0,0,0.0688382054306345,0,0,0
"Gide_PD1_4_Pre",11.4704379501613,0.124815416354527,0.00308440400248345,0,0.124815416354527,0.00308440400248345,0,0.0277710215734126
"Gide_PD1_40_Pre",6.16328103155425,0,0,0,0,0,0.0306348958000611,0.00089552710860046
"Gide_PD1_41_Post",8.4024991938156,0.0642017048831981,0,0.0547673418630099,0.0642017048831981,0,0,0.036544794462199
"Gide_PD1_41_Pre",2.25966626337768,0.0729732214196259,0.0414697359404487,0.0104392148752774,0.0729732214196259,0.0414697359404487,0,0.0354528780841992
"Gide_PD1_42_Pre",3.93637150755383,0.0735421650911863,0.0444952098381762,0,0.0735421650911863,0.0444952098381762,0,0
"Gide_PD1_44_Pre",5.2695543957396,0.129380467897836,0.0802313828777125,0.0188423559157529,0.129380467897836,0.0802313828777125,0,0.0217995034823769
"Gide_PD1_45_Pre",5.0161767667693,0.0808427545253882,0.0297528381077345,0.220202902323011,0.0808427545253882,0.0297528381077345,0,0.183291587796682
"Gide_PD1_46_Pre",3.48047195991329,0.0423176417304532,0.0395623691481541,0.137539222600261,0.0423176417304532,0.0395623691481541,0.0123516728087992,0.136016700649007
"Gide_PD1_47_Post",7.00968489885688,0.102193461642356,0.0348171849261701,0.22007010956911,0.102193461642356,0.0348171849261701,0,0.234749384446891
"Gide_PD1_47_Pre",9.87852969611558,0.117021566592654,0.0209484820393349,0,0.117021566592654,0.0209484820393349,0,0
"Gide_PD1_48_Post",10.5294116250588,0,0,0.0200579125128364,0,0,0,0.0604304541979966
"Gide_PD1_48_Pre",4.26428115462468,0.0338988064752405,0.0220070007298881,0.0287642349796253,0.0338988064752405,0.0220070007298881,0,0.0233935704494883
"Gide_PD1_49_Pre",2.08790957818176,0.0848875411166516,0.057562732572526,0.042243937040422,0.0848875411166516,0.057562732572526,0,0.0724972601186198
"Gide_PD1_5_Pre",1.84752743297904,0.0754204963767894,0.0392254871659007,0.0689394295860301,0.0754204963767894,0.0392254871659007,0.0285487374289056,0.0131915268267563
