"","Quantiseq_T_cell_CD8.","DeconRNASeq_BPRNACan_CD8","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD8","Epidish_CCLE_TIL10_T.cells.CD8","DeconRNASeq_CCLE_TIL10_T.cells.CD8","DeconRNASeq_CD226_CD8CD226negNoAct","DeconRNASeq_CD226_CD8CD226negPostAct","DeconRNASeq_CD226_CD8CD226plusPostAct","DeconRNASeq_TIL10_T.cells.CD8","CBSX__LM22__T_cells_CD8","CBSX__NSCLC.scRNAseq__T_cells_CD8","CBSX__scRNA.melanoma__T_cells_CD8","CBSX__CCLE.TIL10__T.cells.CD8","CBSX__CD226__CD8CD226plusNoAct","CBSX__CD226__CD8CD226plusPostAct"
"R3388_YZ_11",0,0.0241063189867858,0.0536344010353918,0,0.0233942660349233,0,0.0377468846826904,0.144011582137178,0.0604896899098726,0,0,0,0,0.101042920053545,0.0973810503486721
"R3388_YZ_12",0,0.0129083518764847,0.0727434149200424,0,0.0201394786370461,0.0829421257942908,0.0405222165535916,0.0885794112889295,0.0294454919112478,0.0119136058896679,0.00857828931804399,0.0303686318740511,0.00608609611973327,0.0216625466324569,0.0365698505683271
"R3388_YZ_13",0.0100864290535722,0.0314412612373574,0.0500682799726884,0,0.0182037435836229,0,0.102114144479477,0.0927276523673912,0.051806182486585,0,0,0,0,0.0366304159144816,0.0597126633279904
"R3388_YZ_14",0.0310176459452681,0.0387017940193462,0.0575175370064118,0.035303183754462,0.0276571231021486,0,0.075940781402642,0,0.0598744139256196,0.0740141371389743,0.0783091755763925,0,0.0319132784973257,0.0148974208132483,0.0802724395189621
"R3388_YZ_15",0,0.0361213925610389,0.0487538413970208,0,0.0397417739698457,0,0.0685697341436194,0.0602482074327091,0.0654017060109775,0,0,0,0,0.0305450273542402,0.0620798030238997
"R3388_YZ_16",0.00250336709539832,0.0374023641754494,0.0302119492381864,0,0.0386898009240748,0.0568768930270391,0.135054501308679,0.0224565177389153,0.0596043300619645,0,0.113161915796385,0,0.0183154305658759,0.0241614028624101,0.0535031171883793
"R3388_YZ_17",0.00341089517351101,0.0112830255503505,0.0699032088481116,0,0.0419998731802611,0.0429836049922322,0.136877274320017,0.0834921509263643,0.0601480553250667,0,0.121526845940376,0,0,0.00858968556929897,0.0759231416196174
"R3388_YZ_19",0.00535013337640021,0.00341826010912089,0.0607940670042041,0,0.0317576297926912,0.0618159826633619,0.0502153593400833,0.196566755818032,0.0568500333228246,0.0486200535695529,0,0.024065403664595,0,0.040256967865816,0.114107725633801
"R3388_YZ_20",0,0,0.0723444852628889,0,0.0255677930965428,0.0456170158061542,0.00157934986441948,0.199578106920453,0.0541129459881532,0,0,0.00040488224553045,0.00021301595128178,0.0367686713545182,0.0858713890480005
"R3388_YZ_21",0.00711829103062574,0.0448681123030275,0.0413336474472438,0.000840663185938953,0.0299802611437065,0,0.0890078433220271,0,0.050764564137855,0.0355586525244479,0,0,0.0390532933665631,0.00301446808751866,0.0589849544811401
"R3388_YZ_23",0,0.0349871012410435,0.0319429495069293,0,0.00668695938701012,0.0132971272447255,0.0662618389610044,0.101108183512714,0.0266587369235287,0,0.220208195514539,0,0,0.0717128324688195,0.123444894142622
"R3388_YZ_24",0,0.0264420096207158,0.034179912658241,0,0.0334946341034812,0.0182633294313285,0.103170193716795,0.0316105402673292,0.0831582332713806,0,0.0973581315916168,0,0,0.0288569125059189,0.06408545485158
"R3388_YZ_25",0.00492283948846297,0.0226888364351571,0.0366568310971036,0,0.0323669264876789,0.0873323718551579,0.13082903268881,0.0146733318025996,0.045633575861911,0,0.318234630582863,0,0,0.0219300921590258,0.0475244635355496
"R3388_YZ_26",0,0,0.0507537706006497,0,0.0241999915281387,0.0195485563514088,0.0601248968981057,0,0.0399222194250564,0,0.106739676281941,0,0,0.0213673129534569,0.0342210181852543
"R3388_YZ_27",0.00212534731276628,0.0308949526657885,0.027123512292636,0,0.0451880728692579,0,0.144004597411908,0.0558287937020689,0.064898776890761,0,0.0700969987491354,0,0,0.0572714870848028,0.107842471122389
"R3388_YZ_28",0.0491121124843677,0.0150137826686915,0.0604405055440161,0.0375360475500519,0.0339176950549559,0,0.116073343585037,0,0.0611128173901628,0.0084634668810512,0,0.0207720769730033,0.00902418774989348,0.0542020542508078,0.0515131995666912
"R3388_YZ_29",0.00225232889184497,0.0310828840382618,0.0228325689986469,0,0.0420019763700391,0,0.0592874558889942,0.313656957024848,0.0897574329895304,0,0,0,0,0.0441521761849888,0.0776350938255245
"R3388_YZ_30",0.00915482838149197,0,0.0614087694997223,0,0.0087706069158731,0,0.0715598086357974,0.074504259277217,0.0748017197334868,0,0,0,0,0.0414434519400294,0.0441731736025218
"R3388_YZ_31",0.0147377649980817,0.0107909434044023,0.0758936438924518,0,0.0697106122172555,0.0941402082735008,0.115484692658449,0.114317685192089,0.0910227364373996,0.0120711329468631,0.203850195509466,0,0.00929221207590386,0.0486417796054835,0.0740501963102502
"R3388_YZ_32",0,0.0210750099987295,0.0500889377976692,0,0.0324292397632123,0.00241482744881971,0.0894814160119475,0.0996301749920046,0.0490797408766563,0,0,0,0,0.0401910558871547,0.0738970783932584
"R3388_YZ_33",0,0.0207762652156164,0.0588089127429257,0,0.0499955023856336,0.0621936748649236,0.0682695059195039,0.139756192628189,0.0701515086648938,0,0,0,0,0.0424250976270242,0.0673700923831285
"R3388_YZ_34",0.00817074812686713,0.0208885434389463,0.0441063734382823,0,0.0265093134369955,0,0.0810259726280829,0,0.0480322945270807,0.028413738607527,0,0,0.0140756253450935,0.0192818639134182,0.0686740709900189
"R3388_YZ_35",0.0459971935152856,0.0265375106916193,0.0677390328408282,0.046186830405415,0.0577783747038396,0.055242577024201,0.197649586675006,0,0.073593426779536,0,0,0.0160317417823612,0.0336318174057439,0.052889150787149,0.0545883348159848
"R3388_YZ_36",0.00110388760105252,0.0253396956636641,0.0698831552354431,0,0.0307909676585919,0.0282951743571463,0,0.179900303752448,0.0525161811819106,0,0.113355390065826,0,0,0.0594392360727545,0.0812042630052626
"R3388_YZ_37",0.00691432202518299,0.00742981376604123,0.0494786577035045,0,0.0206726770312685,0.0585745778665374,0.0805971705735247,0,0.0388456094383453,0.00791521693370339,0.174028270409401,0,0.00785238223483902,0.0324256973866978,0.0312133912677259
"R3388_YZ_38",0.0181297712525385,0.0351373197494614,0.0393249618492298,0.0126331016379817,0.0448583031440737,0,0.125404992491704,0.0403178066634175,0.063039932453134,0.0427344673274079,0.156246737405945,0.0455658557150561,0.0195331275093778,0.0353414386187846,0.0725317044424567
"R3388_YZ_39",0.0138153028967269,0.0383054247259719,0.0463097220597181,0,0.0288688815519515,0,0.122692355493106,0.0430875460189754,0.0475991511972592,0.00533097512225754,0.191004611841527,0,0.00155691642890154,0.069506234703248,0.0914645557697306
"R3388_YZ_40",0.023507586605238,0.0236366415845741,0.0507227211232564,0,0.0223857636411586,0,0.0419337889583072,0.150272823042599,0.0835252255555965,0.0626118933091522,0,0.0100522269777975,0,0.0569351108857408,0.0940073132491733
"R3388_YZ_41",0.0230293171968123,0.0362967610568424,0.0447226547081283,0.031120483192697,0.0357667369905997,0.0253076313275993,0.174121487723819,0,0.056143513753037,0.0194207757472215,0.120122977537786,0.0432338060738921,0.0155807978153023,0.0575612377478356,0.0635093832445333
"R3388_YZ_42",0,0.0297580355489371,0.0556706679419635,0,0.00875990665487547,0,0.0780296614879498,0.171869888757183,0.0457043308496485,0,0,0,0,0.0786062318034754,0.0863862066141907
"R3388_YZ_43",0.00133825069943527,0.028352575934666,0.037429034518265,0,0.0200378824066458,0.00545762154088201,0.0904192770966606,0.10095630703111,0.0619640054444939,0.0111880630413009,0,0,0,0.0689322189592636,0.0572991800853061
"R3388_YZ_44",0.0128499472593549,0.000322344771578414,0.0537264632859559,0,0,0,0.0488669778290977,0.115158668321135,0.0246201637183429,0.0331041839424467,0,0.0381600202343475,0.0107855899794803,0.0456467745875445,0.0982556162292526
"R3388_YZ_47",0,0.0205077817212462,0.0515611644052566,0,0.0366428733993489,0,0.0183340704259335,0.129471345549071,0.0579873373656911,0,0.100352347473597,0,0,0.0796537353368486,0.0776533427328377
"R3388_YZ_48",0.000229375592572628,0,0.0743296041367922,0,0.0311008115366997,0.0995307721117818,0.0582267819466493,0.166899160146105,0.0523182316938006,0,0,0,0,0.0595423019692694,0.126224075778758
"R3388_YZ_49",0.0339194741163393,0.0366701705925462,0.0560632695545454,0.0867262117967026,0.0346489882964819,0.0161573064024975,0.177840131080421,0.051510952292323,0.0591869438085227,0.0469830716443294,0.184924742766491,0.0344588287477712,0.0392529172403785,0.0686577309339825,0.0740233054072312
"R3388_YZ_50",0.00571275905438432,0.0350636635054128,0.0336676671811298,0,0.0238291344229939,0,0.110397988762856,0,0.0969478560289506,0.00039149401885172,0,0,0,0.0451740969222494,0.0456410390375262
"R3388_YZ_51",0.0101992611501732,0.0200147197415982,0.0477983671100383,0,0.0121437988195692,0,0.0719795452632132,0.11889778248206,0.0524801144106639,0.0744046251469219,0.161600569088865,0,0.0102415686328904,0.0533297393852418,0.108130852081095
"R3388_YZ_52",0.0134223132031137,0.0151927490067777,0.0492293616399816,0,0.0246751726301103,0,0.0967491679567038,0,0.0485898143013743,0.00935975500778523,0.0996148835030492,0,0.00106633132385941,0.0314402926959711,0.0390611829504508
"R3388_YZ_54",0.0159109194366827,0.0302328116101553,0.0558223447243806,0.015708733024989,0.0246425692932699,0.0847360830146952,0.0996419510282056,0.0523633843764808,0.050360499629428,0.0549379360404586,0.0734633857689001,0,0.00968600025706721,0.0740275463591072,0.059904614325936
"R3388_YZ_55",0.0155131283493447,0.0128443669023621,0.0684123065475138,0,0.0262108683308737,0,0.0619689903773975,0.187039401946449,0.0530336076881216,0.00765165913718257,0,0,0,0.0905135659892632,0.0922315436704574
"R3388_YZ_57",0,0.00509256386223407,0.0456179091352506,0,0.0198986412146284,0,0.0672636008241088,0.0872802727310781,0.0411986026880057,0,0,0,0,0.0287486384377173,0.0999840419633614
"R3388_YZ_58",0,0.012289554585605,0.0557830440245295,0,0.0511066784969142,0.036224888017298,0.014321585362134,0.223993823137128,0.0741476108939165,0.0422819122796524,0.168408739265522,0,0.0252818662658496,0.0385111255365297,0.168922234170269
"R3388_YZ_60",0.0010900404908476,0.0188154401364029,0.0418740530110627,0,0.0381748160685248,0,0.130158876666002,0.0113329562335886,0.0520624422246757,0,0,0.0272925898585633,0.00888649309177832,0.0672438007672991,0.0474174319964553
"R3388_YZ_61",0,0.000936268331610174,0.0684001664341851,0,0.0367616822934135,0.0244376560839314,0.0924868456254031,0.0324745829476133,0.0874888048932579,0.00962436886902598,0,0.00037566374820586,0,0.0450057207115064,0.0503112719227386
"R3388_YZ_62",0,0.0525372048543254,0.0479345027906029,0,0.0492541418530255,0,0.107431225686845,0,0.0650994435661886,0.043213030874217,0.220164280592153,0,0,0.11374131539653,0.0334939451013685
"R4163_YZ_1",0.0296945807314584,0.0775247135569236,0.0294620610830001,0.0320602891342741,0.0404373862130572,0,0.128471902141726,0,0.0541932063242668,0,0.0439195912478434,0,0.0145216877626777,0,0.00638354780179129
"R4163_YZ_2",0.110452968694179,0.0675315838802423,0.0294797160221562,0.0410558923744565,0.0787072173707426,0.196282946707133,0.0818901401232301,0,0.103732089278297,0.100427148963209,0.15405404113454,0,0.0785227476326625,0,0
"R4163_YZ_3",0.0990439690816697,0.0718021865567692,0.0210353706561968,0.0321419536435903,0.0683694505036906,0,0.114037464576711,0,0.0853894935724684,0.116634243623453,0.0455756638130659,0,0.0282708528534938,0,0.0517151961983046
"R4163_YZ_5",0.0060727289989662,0.0400003209400292,0,0,0,0,0.00220981871675565,0,0.0482161631224663,0.0181867378397808,0.121906045964971,0,0,0,0.0173142709997972
"R4163_YZ_7",0.0162591470500881,0.047828856601836,0,0.00317042402178771,0.0351297379777539,0.0157990463854727,0.0966256755678379,0,0.0493557665714459,0,0,0,0.00199343099654023,4.268883633872e-05,0.0563630474051925
"R4163_YZ_8",0.0732338475915579,0.118026666189905,0.0889252951523162,0.142025875445612,0.062259341619665,0.389343065557165,0.130362000567263,0,0.0613844769306382,0,0.108164189788542,0,0.0171881594003755,0,0
"R4163_YZ_9",0.0139832377573316,0.0187793353503405,0.0209139650455922,0,0.0268276552102694,0,0,0,0.0415764865546876,0.0363467745976097,0.0247036328209891,0,0,0.00012587948181372,0.0136104228055421
"R4163_YZ_16",0,0.032884594964746,0.00632786586492804,0,0.00555296101000986,0,0.0276802080991187,0,0.025961124570674,0,0.189779288115575,0,0,0,0.0137394731774884
"R4163_YZ_17",0.217387908055362,0.0891927018686925,0.0839992632034765,0.0564281482119284,0.128861099908052,0.232228909058827,0.0612741552277439,0,0.146561239250288,0.138165627230422,0.437609561021116,0,0.0484840937558091,0,0
"R4163_YZ_18",0.173360258436366,0.084916936822884,0.106565870606137,0.0421081642436406,0.0885600911313675,0.172291499033181,0.0498078504031532,0,0.102503080937786,0.0933431210373335,0.389203435527243,0.0626290455263191,0.0445468711357726,0,0.0123803934673364
"R4163_YZ_19",0.071200370993982,0.0547234709542611,0.0704921409894475,0.0319137173389223,0.0362602929902268,0.18967858049144,0.0036294699869996,0,0.0562473466838348,0,0.0750769881711688,0,0.132476521556943,0,0.00911365756974558
"R4163_YZ_20",0,0.0215085396044833,0.0168376604486169,0,0.00865403391889961,0.102217442878044,0,0,0.0267542142516319,0,0.128258280087963,0,0,0,0.0301640225215296
"R4163_YZ_21",0.102265463455988,0.0439417063580164,0.0590438453731423,0.0374725546794809,0.0917183557730423,0.21770099182106,0.063007577456741,0,0.107003788356428,0.076399862175104,0.246392866942872,0,0.0181092466272216,0,0.00593420394736279
"R4163_YZ_22",0.0426612126273943,0.0389589474681971,0.044530674498769,0.0227468033646136,0.0506501458580953,0.176832317840678,0.0647643114172044,0,0.0660005746900974,0.0815310831477601,0.124210513025068,0,0.0555444144205077,0,0.0268146245523975
"R4163_YZ_23",0.0491950079323298,0.0375059424286982,0.0485559307795862,0.0308019996739301,0.0416199330780726,0.0573691660314532,0.0550330541622382,0,0.0565964006075669,0.0922644633793423,0.141930987642849,0.0301143786509434,0,0,0.0158195384299564
"R4163_YZ_25",0.0424751861293602,0.0365029710792719,0.0322045438516818,0.0188892649053804,0.0483897217378916,0.0257207180039194,0.0307365160383297,0,0.0784799202518056,0,0.105870171248072,0,0,0,0.0154541160391311
"R4163_YZ_26",0.00703896713018282,0.0274420261737946,0.0546352947860823,0.005771936548001,0.0489834851101885,0.217208594564656,0.0943459416875331,0,0.0692310506563684,0.0475759114351804,0.0145383534818282,0,0.0576869788754896,0.0254318730325432,0.0531422292930947
"R4163_YZ_28",0.165489110363217,0.0984267558086707,0.116184167930899,0.0381918166400715,0.113810250017118,0.206092804318302,0.190708027320183,0,0.124466171848742,0.0957990108741858,0.189415750201002,0.0372573469768728,0.033438195002364,0,0.0494430933369682
