"","Quantiseq_T_cell_CD8.","MCP_CD8_T_cells","Epidish_BPRNACan_CD8","Epidish_BPRNACan3DProMet_CD8","Epidish_BPRNACanProMet_CD8","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","Epidish_CBSX_LM22_T.cells.CD8","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD8","Epidish_CCLE_TIL10_T.cells.CD8","DeconRNASeq_CCLE_TIL10_T.cells.CD8","DeconRNASeq_CD226_CD8CD226plusPostAct","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","Epidish_LM22_T.cells.CD8","Epidish_TIL10_T.cells.CD8","DeconRNASeq_TIL10_T.cells.CD8","CBSX__LM22__T_cells_CD8","CBSX__NSCLC.scRNAseq__T_cells_CD8","CBSX__HNSCC__T_cells_CD8","CBSX__TIL10__T.cells.CD8","CBSX__CCLE.TIL10__T.cells.CD8","CBSX__CD226__CD8CD226plusPostAct"
"Pt11_Pre_AD153352.6",0.0680775786285095,7.83224879164221,0,0,0,0.0044683238705815,0.0609567773373241,0.00730874893162185,0.0324387811821704,0.0386202085061794,0.215073685556073,0.0044683238705815,0.0609567773373241,0.0419818842693556,0.0647660659803234,0.0651983134223627,0,0,0,0,0.112245166110301
"Pt28_Pre_AD297619.6",0.014425598991813,3.32683310296448,0.0059363216293589,0.00564865492558287,0.0034374184627938,0.0721463321932653,0.0502511909162752,0.0768767341892198,0,0.0491399273881985,0.360030537008659,0.0721463321932653,0.0502511909162752,0,0.0864464427383567,0.0560013280096312,0.322734823703179,0,0.0831292893751239,0.018838619165018,0.11276207333362
"Pt44_Pre_AD467790.6",0.0594141790473553,7.7219961009594,0.00705019081353448,0.00798199715513923,0.00575095478306054,0.189929135700087,0.0703899679427863,0.0842939990317602,0.0259954893534798,0.0597875528469145,0.199351417155445,0.189929135700087,0.0703899679427863,0.0886052557955804,0.0937137921894123,0.0664317505561964,0.12104973074846,0.0206123762619349,0,0,0.118380508042898
"Patient100",0.168458150357912,32.7373125323,0.108278050338209,0.095370030504786,0.098221674921121,0.282092869522015,0.259822565958515,0.102183923470557,0.143984698068838,0.119995478765181,0.0686127767193832,0.282092869522015,0.259822565958515,0.265677724606187,0.140044700495645,0.295473228001562,0.267858701259273,0.181227860936369,0.25844215813203,0.160885370436673,0.0497131999449016
"Patient102",0,0.416790874206,0,0,0,0.0922443037957794,0,0.0722194119050289,0,0.0332886660053571,0.0973317443913053,0.0922443037957794,0,0,0.0597417474648721,0.0546513506396472,0.120930500188609,0,0,0,0.0399320684494379
"Patient105",0.0133333537294562,0.703198324484,0.0021410721697689,0.00700381157245327,0.0039458276000523,0.414370974802385,0.321658293198697,0.0953695101799611,0.0307814434216099,0.0614692781962543,0.154720878771131,0.414370974802385,0.321658293198697,0.229426082835641,0.113837649869166,0.247659528187606,0.534449104668086,0,0.243095360479065,0.0132285551136079,0.016673490087369
"Patient106",0.00344251574163717,0.902715320172,0.00402406006967517,0.000934000314694921,0,0.0423631817952926,0.0553164381960068,0.093651403966997,0.00852118218946036,0.0383756036146315,0.17093270074692,0.0423631817952926,0.0553164381960068,0.0292429130524438,0.0708248687791631,0.0378506960677968,0.105309830815197,0,0,0.0119119534274036,0.0221684056983822
"Patient107",0,0,0,0,0,0,0,0.0945235497125707,0.00272589166779445,0.0375267604729897,0.0649899025269855,0,0,0,0.0257984016069971,0.00423497281420196,0.235327139318626,0.12650558566427,0,0.0382308177345596,0.0180136881860151
"Patient108",0,0,0,0.00264713618753826,0.00115279522449622,0.283175538156147,0.0487336402600374,0.103568629829755,0,0.0307624937539847,0,0.283175538156147,0.0487336402600374,0,0.0431620935945114,0.0168863837307431,0.130132332906294,0,0.116404279966169,0.0346280924735755,0.0113113708579837
"Patient10",0.00210318593826884,1.32734923844,0.00267544933376929,0.00502309949580044,0.00410841619837049,0,0.0671046396840389,0.0607867037576,0,0.0179496537813561,0.271933460038865,0,0.0671046396840389,0,0.0626472698779017,0.0612903875819735,0,0.02135311830113,0,0.0127340039214272,0.0702557507724333
"Patient112",0.00965669822292718,1.94680101802,0.000886462635882288,0,0,0.0282263739461798,0.124611413130318,0.0913079085198519,0.0159315686996006,0.033916732996894,0.225456883287434,0.0282263739461798,0.124611413130318,0.00985527664168483,0.0739669048148104,0.104181199343495,0.0226718633896716,0.0217676891489317,0.0555847299883793,0.0469501930848973,0.0257602206855471
"Patient116",0,0.0236323643528,0,0,0,0,0,0.0660242399290048,0,0.0312621836971576,0.200501618425325,0,0,0,0.0631235171414813,0.0208719208306052,0.09295161993503,0,0,0,0.0466037006049439
"Patient117",0.00394819310233692,0.886650313584,0.00386986369177084,0.00114275172734105,7.36148703180095e-05,0.0123244617976013,0.0724459082116934,0.0571214027428531,0.00942397981707996,0.0353048315836804,0.0977800272600312,0.0123244617976013,0.0724459082116934,0,0.0604796726267199,0.0382605910763788,0.0600668627152553,0.00674019356113566,0,0.00999480324478651,0.0265925647564758
"Patient11",0.00271669313583731,0.628616604739,0.00038955451036655,0,0,0.0616371629420333,0.0820787441493713,0.0923111138317765,0.002383689961201,0.0142808376692148,0.216267593254603,0.0616371629420333,0.0820787441493713,0,0.0627041939278057,0.104902929915948,0.115694783288676,0.0189551977607441,0.00527938615755892,0.0173451231862915,0.0388713582551877
"Patient121",0.0286930156908442,3.44706852837,0.00760042852631701,0.00529336874307658,0.00466328411474292,0,0.19480036071765,0.0872156525744198,0.0369719641364558,0.0422864878542719,0.176036906827336,0,0.19480036071765,0.133900516860103,0.09159306348803,0.193939519007974,0,0,0.0150698821766349,0.0609590858419542,0.0322566352111404
"Patient125",0.382507306443629,61.0870078121,0.216999091051781,0.202723992642984,0.193643209616393,0.433741279095124,0.422562458283309,0.127263840969865,0.282115429130783,0.374477778925582,0.13219970716416,0.433741279095124,0.422562458283309,0.339057012932269,0.409110680450812,0.453824879248444,0.456772535781307,0.265020399045899,0.445561610495951,0.340069983700022,0.0113564424185988
"Patient126",0.0291903491664684,3.39058705849,0.00750529321765232,0.0103817792324526,0.00949934190616076,0.0366808088628765,0.166936185570556,0.0867782952716474,0.0470167767065197,0.0357894573653058,0.193762120281977,0.0366808088628765,0.166936185570556,0.150434034653432,0.0845344974413225,0.161393063862171,0.0436607092562222,0,0,0.102551460273854,0.0402431646056726
"Patient127",0,0.624493906235,0,0,0,0,0,0.0946886299745975,0,0.0113565312358574,0.135995267632032,0,0,0,0.053647756933654,0.0150067104417347,0.090044107107268,0,0,0.00988642337985631,0.0387582143138149
"Patient130",0.0140455475299623,3.23818008225,0.0060985648906245,0.0027438211512801,0.000938975103309408,0.0568991460374871,0.198033580211622,0.0839044963882468,0.0413622228088767,0.0416219117762821,0.128577095617802,0.0568991460374871,0.198033580211622,0.154941883322213,0.0868388692804814,0.124758124016209,0.0864798081723066,0.018710278651509,0.0784882510734694,0.00689296167427239,0.0429938097327308
"Patient131",0,0,0,0,0,0.0649188865709893,0.0157870663628509,0.0644066452837078,0,0.0487007480546839,0,0.0649188865709893,0.0157870663628509,0,0.0719293600656598,0.0943625924505364,0.0906213256439591,0,0.00757934862924162,0.0121156522727599,0.0240982075649574
"Patient132",0.0174924625430672,2.39782093706,0.0188333586227224,0.0148945027729169,0.0130450686032079,0.0525524723229959,0.0893859284980484,0.0914372714641892,0.0257481529959089,0.0313825037746319,0.142125170590412,0.0525524723229959,0.0893859284980484,0.0324082216005579,0.0669685120903597,0.0685520559707547,0.0485266397871491,0.00561891365822726,0,0.00719877723554783,0.0104794539593192
"Patient133",0.0105434674359563,1.37220367761,0.00515197341826707,0.00186383241766856,0,0.038413776402437,0.121006787060204,0.0800966822101667,0.0145113616421565,0.0277404467748822,0.098829795102187,0.038413776402437,0.121006787060204,0.0458965132845422,0.0720396264477962,0.138043730524506,0.126654658512902,0.0383274221302327,0,0.0175645448823604,0.0432696916016281
"Patient134",0.0194701162331211,2.39162403517,0.016887398842072,0.012972918508097,0.0115872329323912,0.0406165463186664,0.10417646924127,0.050737162190719,0.039554175827809,0.0369761159186904,0.119078600628013,0.0406165463186664,0.10417646924127,0.0690703599993518,0.0668283312175267,0.111843119856776,0.0281156180972356,0,0,0.0195444206008645,0.0175911019840147
"Patient135",0.00342364210161873,0.252662263671,0.00714189584433276,0.00451572735867039,0.00320001344673838,0.140033608411615,0.0819975565049024,0.0633092436404253,0,0.0100669827470763,0.0834975112882165,0.140033608411615,0.0819975565049024,0,0.0554920256373116,0.118035184074716,0.1673748697126,0.0142415015015053,0,0.0200870329566942,0.0250767232198899
"Patient137",0.118191950606584,3.85261053603,0.0514604540480276,0.0452949033571837,0.0467128614621657,0.0824803405473644,0.100865014135186,0.0726788966896292,0.0366112365712454,0.108937377134211,0.0131714947914683,0.0824803405473644,0.100865014135186,0.0697413542478662,0.166524161174941,0.146513792279081,0.0637418709256376,0.0404300917594447,0.0408219220061468,0.210455016954608,0.0176086323409801
"Patient13",0,0.503855421065,0,0,0,0,0.0436346454088646,0.0795784223705005,0,0.0310365450164849,0.137488151023609,0,0.0436346454088646,0,0.0853268809046353,0.0784525142581205,0.080957337023925,0,0.0174606885209334,0.00638366470237056,0.0341374685918402
"Patient140",0,0.0986143694942,0,0,0,0.0824280122015964,0,0.0898622297621051,0,0.00759859712717989,0.143717211260178,0.0824280122015964,0,0,0.0565622797211216,0.0252053333184282,0.128793186841373,0.00689119506170776,0,0.00420687532355223,0.0341520726683379
"Patient141",0,0,0,0,0,0.141452023082376,0,0.0877330136941628,0,0.00891011288015589,0.131676445243279,0.141452023082376,0,0,0.0571870050595515,0,0,0,0,0.0234006796674828,0.0389408552961351
"Patient142",0.0034474777974256,0,0.0137609704615754,0.00850924614271911,0.00634042766302626,0.14343772116352,0.141808875968627,0.0700339625961125,0,0.0433896800040527,0.131551487738152,0.14343772116352,0.141808875968627,0,0.0743963394717837,0.178182869929924,0.152221775140956,0,0,0.00393880869415921,0.0425040435920734
"Patient143",0,0,0,0,0,0.00384060010291898,0,0.0700356259650503,0,0.0510910777906661,0.129199864635132,0.00384060010291898,0,0,0.108631481508333,0.075306610072198,0.319074184288513,0.108472786184976,0,0,0.0155048346363243
"Patient144",0,0.324325411253,0,0,0,0,0.0944942117550671,0.0654846375455298,0,0.0346608340952381,0.0645867364081609,0,0.0944942117550671,0,0.0648541915627067,0.0532401445798635,0,0,0.0663909686127793,0,0.0517226728776785
"Patient145",0.00877910946575718,3.67259406996,0.00580986692714169,0.00363855289144108,0.00341148328861808,0.117032688051677,0.166926878300098,0.0502298779911017,0.0238086727406747,0.0546659652482792,0,0.117032688051677,0.166926878300098,0.0632471580472327,0.0771957562602365,0.169779816942012,0.184384519270247,0,0.0381148593146407,0.0193368554493223,0.0315892885190979
"Patient146",0,0.756764686917,0,0.00201273462336266,0.00180554960362293,0,0.0131582120379725,0.0769262013140096,0,0.0225410599763136,0.172787135833669,0,0.0131582120379725,0,0.0646092038470337,0.0313464631400094,0.154060720735886,0,0.0490691224507641,0,0.0528409160229138
"Patient147",0,0.0845391719016,0,0,0,0.0135779758713317,0,0.0887550091168995,0,0.0284278537103191,0.166826073758477,0.0135779758713317,0,0,0.0692783957637506,0.0131061791645723,0.1248420206493,0,0,0.00535729197717755,0.0308642883973308
"Patient148",0,0.546599372996,0,0.00141024241114959,0,0.0476919890038076,0.0234944694828012,0.0969707166253822,0,0.0364842950111504,0.1054449254969,0.0476919890038076,0.0234944694828012,0,0.076383284462622,0.0586844850689069,0.110798528233339,0.0193610999510471,0,0.0152065144785927,0.0250081288204825
"Patient149",0.014094694697893,5.54212520409,0.027609006040854,0.0240806871892278,0.02473460097467,0.103323679205959,0.128234850341676,0.0705665938157173,0.0254421060477849,0.0557504733059982,0.10802643249668,0.103323679205959,0.128234850341676,0.0433187144193863,0.084981775957158,0.126131368047249,0.11143586687414,0,0.00765075702383381,0.00459579457309489,0.039032826530648
"Patient14",0.0196987903012553,1.91983463471,0.00383805370542634,0.0002348880844559,0,0.076106896460802,0.130911788459297,0.0688578744466985,0.0154516418869557,0.0352923455568978,0.10161689479412,0.076106896460802,0.130911788459297,0.0423656868478485,0.0721964177811363,0.114976215547802,0.112715280214585,0,0,0.015719963418364,0.0526197624178622
"Patient150",0,0.427441311322,0.00229859161191361,0,0,0.0337522976564317,0.037229692032781,0.0813903484202787,0,0.0286002949941025,0.165961897991646,0.0337522976564317,0.037229692032781,0,0.0565272050025321,0.0393274196996897,0.144959200378162,0,0,0.0138170425089172,0.0429500792317271
"Patient154",0,0.341964969929,0,0,0,0,0,0.0680851935580331,0,0.0318484170442993,0.094597692092869,0,0,0,0.0516328415069662,0,0,0,0,0,0.0303492763370988
"Patient155",0,0.386460012757,0,0,0,0,0,0.0676849930244939,0,0.0139795877086753,0.22549138086061,0,0,0,0.0490383765487815,0,0.0590608114743531,0,0,0,0.0329187551488435
"Patient156",0,0,0,0,0,0,0,0.082168683981057,0,0.0335082190435112,0.172822964653361,0,0,0,0.0683623389202755,0,0.0508014556321991,0,0,0,0.0541325653029301
"Patient158",0.00119434879369798,0.941427512245,0.0082215946619168,0.0117781272644008,0.00913760167858315,0,0.0549450992188861,0.0688520082206233,0,0.0220455225515154,0.257643285694859,0,0.0549450992188861,0,0.0745597925025363,0.0865492611258306,0,0.0642402352064681,0,0.0112017090581117,0.0689308730567469
"Patient159",0.00243664087248129,1.3091403603,0.00151744751633026,0,0,0,0.0213264977646967,0.093309255054455,0.00332109745410596,0.0187917860372407,0.201969282707602,0,0.0213264977646967,0,0.0609317932134029,0.0302303346876866,0.171455840922573,0.0190028718159649,0,0.0203210848465939,0.0181578196874886
"Patient15",0.0734701985188692,6.01829947543,0.0396026764347266,0.0288747023532023,0.0249125567753398,0.208691787669906,0.338824529255279,0.0932107645891719,0.0469613153259531,0.0831921269511463,0.0861928529835851,0.208691787669906,0.338824529255279,0.183432689158992,0.148782790826418,0.253932154376609,0.230044797326631,0.00880458941412012,0.0745320216949054,0.0509734813700973,0.0291893122693383
"Patient162",0.00272427039374658,2.89525099979,0.00509896453828796,0.00840932154057908,0.00602451489918787,0.0596167314514121,0.151695023097551,0.0854749103101643,0.056377814843787,0.0451371599644686,0.0831613121575429,0.0596167314514121,0.151695023097551,0.161146057364364,0.065110477094066,0.161778692634529,0.0972272985994915,0.0144794651062974,0.245860186662559,0.025303317768573,0.0240822889252
"Patient163",0.0028544808916152,0.689719211477,0.00444166460571285,0.00939196759139212,0.00594014836057258,0,0.0907795482013118,0.0918070562044266,0,0.0431908442001463,0.0867392899719891,0,0.0907795482013118,0,0.092591690530627,0.0360265366329728,0,0,0.0572828696907786,0.00498463996820855,0.0265041606119535
"Patient165",0,0.236615847346,0,0,0,0.0960331263247072,0.0124509996911038,0.0716397270863068,0,0.0105112308121416,0.0772006478713601,0.0960331263247072,0.0124509996911038,0,0.0526439257131251,0.0147607640171014,0.17248172326588,0,0,0.0220542506230543,0.0519573611834949
"Patient166",0,0,0,0,0,0,0,0.0841455181354097,0,0.0205742585789684,0.127159556104734,0,0,0,0.0639724448296393,0,0,0,0,0.0176003546462413,0.0239023083061432
"Patient167",0.0138909892746589,2.24798820758,0.0103575531471625,0.00666151001647803,0.00588323144867157,0.0900163313128372,0.154344545712714,0.0952270959855919,0.0195656549893773,0.0305393511418356,0.160693836329599,0.0900163313128372,0.154344545712714,0,0.0675446577692188,0.0915111036977635,0.124467328120299,0,0,0.0102466263531926,0.0260801514339737
"Patient168",0,0.0205200136721,0,0,0,0.1576259361157,0,0.076585042129582,0,0.0309452053515533,0.0965211061410442,0.1576259361157,0,0,0.0851883324408223,0.00479748055178647,0.0899841969313785,0,0,0.00340174877539356,0.0517781237941124
"Patient169",0.0163621133287773,2.94729996096,0.0153500241850113,0.0200065544184874,0.0182386301384776,0.104869099816608,0.159241586649768,0.0573824064621934,0.0181001313038254,0.0247610558103626,0.133331915398392,0.104869099816608,0.159241586649768,0.109982225567412,0.0814681775878444,0.161205817754575,0.067380660926368,0,0,0.0184702242086725,0.0233198938270931
"Patient170",0.00123402070014154,0.704717205019,0.00249996601975944,0,0,0.0171521962975212,0.0653501393055993,0.0881592694925499,0,0.0320461190929048,0.018190512491114,0.0171521962975212,0.0653501393055993,0,0.069038095748835,0.0765861057391816,0.0660545967042176,0,0.0338462180041494,0.00738467766302988,0.0213737098254297
"Patient172",0.0160345703260303,4.60668124282,0.0250127428824128,0.0190776053031516,0.0189591165912589,0.042889188185419,0.060779930002712,0.0644372095938972,0.0233754808640539,0.0433272966938507,0.108148696239754,0.042889188185419,0.060779930002712,0,0.0684392121473117,0.0726439540579444,0.0561073639992827,0,0,0.0265097096522323,0.0247171679769721
"Patient173",0,0.209619625196,0,0,0,0.0327540501225971,0,0.0629998316876095,0,0.0180263978033882,0.122411968584831,0.0327540501225971,0,0,0.0610894247788699,0.00396388001011829,0.147954293096311,0,0,0.00250113047264371,0.0406355853956666
"Patient179",0,0,0,0,0,0,0,0.109335675849023,0,0.0114897541293865,0.0825422285733947,0,0,0,0.0560435698639673,0,0,0.0177595331840559,0,0.0169767997305924,0.0143658748002851
"Patient17",0.00838688665510174,2.86909820305,0.00434533469165471,0.00184810192441179,0.0016040175834042,0.0054143778035772,0.0414761293144244,0.0729731334881423,0.0107096484552155,0.0149281920529152,0.187516526723405,0.0054143778035772,0.0414761293144244,0,0.0530718554199057,0.0574898703367586,0.00036059639188417,0,0,0.0218531514113702,0.0410446439244087
"Patient181",0.0227033601640374,3.13829546228,0.016642396147819,0.0108099437534429,0.00874250531133339,0.0721169728257826,0.0851795206649815,0.0825166661998661,0.0279245832399427,0.0453375673250385,0.115449722917371,0.0721169728257826,0.0851795206649815,0.0426534926085222,0.0757116533266965,0.100191204217242,0.0602238422386863,0.028635582055475,0.00034918393613389,0.0455227250842234,0.0432939598808285
"Patient183",0.0704725599682192,6.78418766918,0.0357238681176932,0.0459244077416495,0.0433156193168707,0.144366253064045,0.137783575823357,0.0950263104348994,0.0750164486946753,0.141257687446684,0.011526996626874,0.144366253064045,0.137783575823357,0.116530042633538,0.176960052455051,0.14762105950606,0.125015486707243,0.0366352987052648,0.10637511627491,0.0336449830862901,0.0135845310456658
"Patient184",0,0,0,0,0,0,0.000194073671485565,0.0752533291048488,0,0.0310467089278647,0.185722441464375,0,0.000194073671485565,0,0.0534502315454294,0,0,0,0.00573382713463022,0.0161836186906663,0.0663242632301178
"Patient185",0.00895097214049669,1.90765175671,0.00651765710103044,0.000938025211165664,0,0.0728351774210756,0.101449613768306,0.0896072290041128,0,0.0269220395905082,0.102329355107204,0.0728351774210756,0.101449613768306,0,0.0573368834194809,0.157822585594507,0.157738584054067,0,0.00389117204662408,0,0.0263573788279065
"Patient187",0,0.260517629583,0.00400677006020942,0.0060369900210642,0.00523421113160821,0.0259235606862739,0.00841129515596805,0.0543736013616115,0,0.0373603618190561,0.175605159004783,0.0259235606862739,0.00841129515596805,0,0.065371120568416,0.0619063288241008,0.07827485150012,0,0,0,0.0336664348742089
"Patient188",0,0.41158252339,0,0.00155122105706688,8.26761897445521e-05,0,0.0917877400316386,0.0817891223459075,0,0.0331180736370711,0.226583075666753,0,0.0917877400316386,0,0.0801986088057284,0.172107762449263,0.158007371181413,0,0.055153196995864,0.00783800564676826,0.0244445117529155
"Patient18",0,0.472350796938,0,0.000163705954424567,0,0.0537350803599447,0.0603372306871408,0.0882614207790224,0,0.0290412677195592,0.103892808052634,0.0537350803599447,0.0603372306871408,0,0.0605246291381384,0.088030321632589,0.147171905229007,0,0,0.0121130539166432,0.0417899495954904
"Patient1",0.000756676208569972,0.846718569864,0,0.00206414541185275,0.000269006674609943,0.105263589868575,0.138431612158717,0.0940119201048301,0.0207568128338995,0.0358379862682712,0.0902809237680086,0.105263589868575,0.138431612158717,0.0325233881960043,0.0648896329587935,0.135436220561467,0.231059577586674,0,0.0154524571526932,0.0285622785712981,0.0120426148463905
"Patient20",0.00696826418137324,2.74389784127,0.00620659087468765,0.00340467594987374,0.00371783088134785,0.0553244417770497,0.13842048005171,0.0791380851412816,0.0219224502386949,0.0305806168486971,0.110097013612111,0.0553244417770497,0.13842048005171,0.0580836919440465,0.0663437680360232,0.137247396158544,0.0962260146637502,0.00157111623463031,0.0706184643738914,0.0167335271635183,0.0324034745767315
"Patient21",0,0.2699243537,0,0,0,0.0701059337464216,0.0390183467264971,0.0903752399683707,0.00113725392132126,0.0230297416029347,0.19970833539531,0.0701059337464216,0.0390183467264971,0,0.0743956963139186,0.0704076760757546,0.153884299236736,0,0.0153792127134403,0.0199222004774633,0.0579351367510937
"Patient22",0,0.179335490274,0,0,0,0,0,0.0944098086711772,0,0.0306217100398451,0.139223883465559,0,0,0,0.073915690411396,0.0373752954222161,0.0904154066905036,0,0,0.0165918580277976,0.0404044056489461
"Patient23",0,0.178505613734,0,0,0,0.0349166574555478,0,0.0869678231213695,0,0.0186152506106095,0.135603209293713,0.0349166574555478,0,0,0.0616537275449841,0.0190472089843544,0.127161574638799,0,0,0,0.0496481566175291
"Patient24",0,0.387868958731,0,0,0,0,0.0738027695295384,0.0675157368649685,0.0025402478935807,0.0114703092613814,0.122388965758071,0,0.0738027695295384,0,0.0596085499418092,0.0951479406106668,0.297907683654878,0,0,0.0224811509143338,0.0397937370329493
"Patient25",0.00210291846550755,0.403311130607,0.00153570430202394,0,0,0.00283912513495312,0.0259053944327538,0.0854037644297513,0,0.0396640413999606,0.0832328533491074,0.00283912513495312,0.0259053944327538,0,0.0679747303603964,0.0315754660392749,0.0729508054913488,0,0,0,0.0322258337740322
"Patient27",0.0421092755871927,2.99707244788,0.0116114692327501,0.00660764687320652,0.00264078107630163,0.0596041343933555,0.152266630231353,0.0908768662515635,0.0283803501449622,0.0622751901321832,0.0796151221845663,0.0596041343933555,0.152266630231353,0.105497185433718,0.12406684556574,0.135574127284476,0,0.0400285132037898,0.0222932350111789,0.016944640370065,0.0206008729416864
"Patient30",0.104535930159866,2.52371148827,0.0804459639398116,0.0655285538851751,0.0600604566518634,0.143634267522422,0.360650127300668,0.0933528498227124,0.0502364777076319,0.118000076873092,0.0597154633734471,0.143634267522422,0.360650127300668,0.119729757621627,0.144276604914696,0.405072737187089,0.149798592621496,0.0801693198262612,0.0917119873290778,0.0475042300190282,0.0163472473174819
"Patient31",0,0.1314437016,0,0,0,0,0.00284399891065936,0.0774387575555341,0,0.0331366339195308,0.206111056564794,0,0.00284399891065936,0,0.0697947268701002,0.0384630978366308,0.0945128072168352,0,0,0.0209593008334899,0.0192556157207838
