"","Quantiseq_T_cell_CD8.","MCP_CD8_T_cells","Epidish_BPRNACan_CD8","Epidish_BPRNACan3DProMet_CD8","Epidish_BPRNACanProMet_CD8","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","Epidish_CBSX_LM22_T.cells.CD8","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD8","Epidish_CCLE_TIL10_T.cells.CD8","DeconRNASeq_CCLE_TIL10_T.cells.CD8","DeconRNASeq_CD226_CD8CD226plusPostAct","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","Epidish_LM22_T.cells.CD8","Epidish_TIL10_T.cells.CD8","DeconRNASeq_TIL10_T.cells.CD8","CBSX__LM22__T_cells_CD8","CBSX__NSCLC.scRNAseq__T_cells_CD8","CBSX__HNSCC__T_cells_CD8","CBSX__TIL10__T.cells.CD8","CBSX__CCLE.TIL10__T.cells.CD8","CBSX__CD226__CD8CD226plusPostAct"
"Pt66_Pre_AD667850.6",0,1.32634551636709,0,0,0,0,0.0546879191573587,0.0210156192338758,0,0.0291632382453924,0.329998509092738,0,0.0546879191573587,0,0.0603581167409816,0.135921083458107,0,0,0,0,0.0855726935165606
"Pt94_Pre_AD732850.6",0.0173285596814045,3.97523372599651,0.00257187842444185,0.00276489299197662,0.00280878004851019,0.0674916680971948,0.0630406972886104,0.058533258541381,0,0.0281776334451606,0.354242152842447,0.0674916680971948,0.0630406972886104,0,0.0779221480397032,0,0.212443515155925,0,0.0149226031724769,0,0.0953579142645802
"Pt84_Pre_AD486532.5",0,0.057105821570177,0,0,0,0,0,0.0620016275025137,0,0.0523918037363108,0.355008844013964,0,0,0,0.0944088166727976,0.0232708182644484,0,0,0,0,0.116795163779077
"Pt62_Pre_AD608303.5",0.00126067411434124,0.557585429824347,0,0,0,0,0.102845289064169,0.0316668930598162,0.00585286626068289,0.0564204308525692,0.321853817107765,0,0.102845289064169,0,0.0873782892906251,0.111182323026766,0.242198971320922,0,0.0382849570973819,0.00828034941162601,0.08663495112802
"Pt72_Pre_AD793922.5",0,0,0,0,0,0,0,0.0564770753575554,0,0.0241370832447723,0.177128231600486,0,0,0,0.0696413488824248,0.013822352257648,0,0,0,0,0.0826190431185919
"Pt3_Pre_E9024733.3",0,0.356593748254442,0,0,0,0,0,0.0782094574235289,0,0.0441722302851588,0.296175896691769,0,0,0,0.0685440387856923,0,0,0,0,0,0.151351454968544
"Pt5_Pre_E9021022.6",0.0551851302679497,9.48654820732101,0.00749984555454983,0.00760500439989454,0.00568187824975354,0.199284696338412,0.12114382430188,0.0171547231427324,0.0288902006154319,0.0422499864700545,0.298281619028477,0.199284696338412,0.12114382430188,0.064069321666296,0.100817466110103,0.136797117821199,0.198347053969124,0,0.0582617795269444,0.0159495561841083,0.123414366974533
"Pt9_Pre_E9021024.6",0.00209303438959635,2.88158370523144,0,0,0,0,0,0.07003383489889,0,0.0296088047167977,0.280136634806903,0,0,0,0.0632579209936571,0,0,0,0,0.00821261368333547,0.189808788073133
"Pt18_Pre_E9024732.6",0.0595999881488887,15.0363892617253,0.0196949188189038,0.0166046170371155,0.0140561894320577,0.0202510497034968,0.0310072460571211,0.0154153432649174,0.0324305948383205,0.0121956029229824,0.345473942359408,0.0202510497034968,0.0310072460571211,0.0709382431750736,0.0481530546589755,0.0413540471005334,0.0487305746392679,0,0.0667916060062149,0.0115056204298416,0.143712185182668
"Pt24_Pre_AD436687.5",0.029178655008592,5.39411910832203,0.00466685846094449,0.00496162674354657,0.00404386029280786,0.0555568114728018,0.0155932713781108,0,0.00589608990822938,0.0351157161591578,0.0100261389785097,0.0555568114728018,0.0155932713781108,0,0.0538152685833908,0,0.0634568650578936,0,0,0,0.0475623630583785
"Pt27_Pre_AD453873.5",0.0082079829300597,1.94013765690148,0,0,0,0,0.0273501154232401,0.0530428584715499,0,0.0196143996071031,0.0881519758965834,0,0.0273501154232401,0,0.0655670811674142,0.0102853186986336,0,0,0,0,0.0822759704584447
"Pt29_Pre_AD497504.5",0.00202255336506272,2.01537456912002,0,0,0,0,0,0.0426385971842355,0,0.00587931817249551,0.336897874103308,0,0,0,0.0367743859481053,0.0170811658681872,0,0,0,0,0.123002460729409
"Pt30_Pre_AD497503.5",0.00318963961853829,0.90414446991993,0,0,0,0,0.0734462264519173,0.0770127015003166,0,0.038021006443347,0.458216254784168,0,0.0734462264519173,0,0.0640102037887676,0,0.303272977284123,0,0.0102095919033273,0,0.10074471867092
"Pt31_Pre_AD453872.5",0.0292435562248268,6.97038329206336,0,0,0,0.0334859626332812,0.0430603802815823,0.0412173971094244,0.0457025652501573,0.0349769957784424,0.276806023429179,0.0334859626332812,0.0430603802815823,0.0170063069746905,0.0660820744359174,0.0786766410454211,0.266105620372195,0,0.0143214017112861,0.0337617434272979,0.096488068260227
"Pt8_Pre_AD153354.6",0.0233299434391959,4.22046309546006,0.0027066570153903,0.00230718597523566,0.0012393555172341,0.0760743366735005,0.0920634467345798,0.0609776368911086,0,0.0472712160386476,0.19913927999856,0.0760743366735005,0.0920634467345798,0,0.0742961353672031,0.0966941132169112,0.178700525316083,0,0.0588366713339338,0,0.116625360219881
