"","DeconRNASeq_BPRNACan_NK","DeconRNASeq_BPRNACan3DProMet_NK","DeconRNASeq_BPRNACanProMet_NK","Epidish_CD226_NK","DeconRNASeq_CD226_NK","CBSX__LM22__NK_cells_resting","CBSX__LM22__NK_cells_activated","CBSX__scRNA.melanoma__NK_cells","CBSX__TIL10__NK.cells","CBSX__CD226__NK"
"J1_p1_rep1_B",0.0519666673410867,0.0599040914211202,0.0553681014078364,0,0,0,0,0,0,0
"J1_p1_rep2_B",0.0515847243870762,0.0580711794215267,0.0534843658192446,0,0,0,0.0006746389985771,0.0141590575767029,0,0
"J4_p1_rep1_B",0.0534267654856555,0.0169201418963274,0.0125981142384846,0,0,0,0.0114070481955302,0.0248830631813991,0,0.0067473781809856
"J4_p1_rep2_B",0.0527530671536718,0.0166873153164533,0.0127470696864798,0,0,0,0.0128399547656176,0.0231312527434455,0,0.0043622873024339
"J8_p1_rep1_B",0.0502520480361994,0.0084255188164953,0.0045356889147309,0,0,0,0.032928443290725,0.0205625961338808,0,0.0025602178242338
"J8_p1_rep2_B",0.0498554015890476,0.0139342911849723,0.0099405491441758,0,0,0,0.0457214746757185,0.0241320100522542,0,0.0041414006055478
"J11_p1_rep1_B",0.0519868433136872,0.02452299986183,0.021173358086342,0,0,0,0,0.0165719918687948,0,0.007006191430966
"J11_p1_rep2_B",0.0510035552564343,0.023660172811045,0.0213908497498054,0,0,0,0,0.0157803090448582,0,0.0089059049238242
"J14_p1_rep1_B",0.0436041366258524,0.0356961183727792,0.0322539786270504,0,0,0,0.0207442877709204,0.0104368718687585,0,0.008373747999158
"J14_p1_rep2_B",0.0421090885652727,0.0345232043328212,0.0316752417064089,0,0,0,0.058955610605811,0.0099436425510459,0,0.009862086297166
"J1_p2_rep1_B",0.0384523987355337,0.0351457531799279,0.0355227395331025,0,0,0.0444795338142391,0,0.0093103317976297,0,0
"J1_p2_rep2_B",0.0371734417578972,0.0342631958299543,0.0346773553712123,0,0,0.0471350425624053,0,0.0085953374235399,0,0
"J4_p2_rep1_B",0.0378690569807255,0.0314563717545676,0.0357577867914625,0,0,0.0427091734809802,0,0.006801198216778,0,0.004943987823172
