"","DeconRNASeq_BPRNACan_NK","DeconRNASeq_BPRNACan3DProMet_NK","DeconRNASeq_BPRNACanProMet_NK","Epidish_CD226_NK","DeconRNASeq_CD226_NK","CBSX__LM22__NK_cells_resting","CBSX__LM22__NK_cells_activated","CBSX__scRNA.melanoma__NK_cells","CBSX__TIL10__NK.cells","CBSX__CD226__NK"
"J4_p2_rep2_B",0.0390219859538992,0.0313732903657776,0.0350899120265738,0,0,0.0454844713995667,0,0.0074833390627303,0,0.0094487554749128
"J8_p2_rep1_B",0.0422012080664781,0.0142447765969318,0.0167831649936357,0,0,0.0333517733236558,0,0.0074658332301051,0,0.007941047186413
"J8_p2_rep2_B",0.0441914880051495,0.0151320320612047,0.0168506920352542,0,0,0.0387069089871239,0,0.0043568198787613,0,0.0070880030982439
"J11_p2_rep1_B",0.0304480263505285,0.0055107884195694,0,0,0,0.0495803441493559,0,0.013932273181553,0,0.0025536002157002
"J11_p2_rep2_B",0.0382261499366976,0.0063302158566121,0.0044651852412538,0,0,0.0464926557566416,0,0.0094426062944707,0,0.00048299151551373
"J14_p2_rep1_B",0.0318212926637848,0.0058404785347657,0.003181945980235,0,0,0.0514947532709232,0,0.0125377126949528,0,0.0017632436140262
"J14_p2_rep2_B",0.0190395066235743,0,0,0,0,0.0558251805192713,0,0.0122579557265385,0,0.0076902293481495
"J1_p3_rep1_B",0.042015338864545,0.0355372130506926,0.0331637761888278,0,0,0.0402729325431127,0,0.0153956038918391,0,0.0104652656521577
"J1_p3_rep2_B",0.0413525607040979,0.0352717457659932,0.0318346769682655,0,0,0.0342887670676848,0,0.0181415416982187,0,0.0092788644767409
"J4_p3_rep1_B",0.0416528116129708,0.0288875262421223,0.0259032932443285,0,0,0.0058309109098454,0,0.0180386051700553,0,0.007051285040908
"J4_p3_rep2_B",0.0412052837512643,0.0274027041107351,0.024726553238289,0,0,0.0153019022101922,0,0.0153214006306384,0,0.0085183047793472
"J8_p3_rep1_B",0.0413357488547131,0.0289249027545959,0.0268897004769723,0,0,0.007446962016952,0,0.0240188456390129,0,0.0082058043196754
"J8_p3_rep2_B",0.0413697569767928,0.0305214649896568,0.0286981901203492,0,0,0.0217542954873249,0,0.0153442326642882,0,0.007827979203329
"J11_p3_rep1_B",0.0405581949204588,0.0337449896942336,0.0324996199733904,0,0,0.0047974793151006,0,0.0188172521487848,0,0.0073724087967673
"J11_p3_rep2_B",0.0405698565217721,0.0350399796523221,0.0337126952176737,0,0,0.0189865759151571,0,0.020308880306162,0,0.0082870853160448
"J14_p3_rep1_B",0.0426416860097496,0.0348973144888903,0.0331193932606269,0,0,0.0077960569551851,0,0.0176817568099171,0,0.0113609166775446
"J14_p3_rep2_B",0.0414030603432899,0.0338161922044701,0.0327073351130531,0,0,0,0,0.0198802221116055,0,0.0106085791318353
"J1_p1_rep1_hetero",0.0043478162814308,0,0,0,0.0169838049373245,0.0578256610827828,0,0.0243861566596699,0,0.0174824902768629
"J2_p1_rep1_hetero",0.0310875997843553,0.0119876168742803,0,0,0,0.0423998191792769,0,0.0010823589560012,0,0.0206810422666991
"J3_p1_rep1_hetero",0.0365534214883716,0.0198417721726007,0.0046860836106797,0,0,0.0113398687931274,0,0.0068236525461097,0,0.0217823161250446
"J4_p1_rep1_hetero",0.0368984794027893,0.0131878366431293,0.0003419683572351,0,0,0,0.021739133552822,0.0182994736702989,0,0.0214655503085584
"J5_p1_rep1_hetero",0.0398708484077357,0.0107975362764742,0,0,0,0,0.04670271554758,0.0177183475686632,0,0.0200359877213336
"J6_p1_rep1_hetero",0.0449137604259473,0.0145409415796266,0.0029257802764443,0,0,0,0.0360190297779979,0.0162119549351072,0,0.0209609923230936
"J7_p1_rep1_hetero",0.0458034140080333,0.0173871122097548,0.0061027209406526,0,0,0,0.0350328208525408,0.0164416318850881,0,0.0200570180822487
"J8_p1_rep1_hetero",0.0437252729979142,0.0176036104922351,0.0042081608529712,0,0,0,0.0390269253959886,0.0129147644418265,0,0.0202061186956363
"J9_p1_rep1_hetero",0.0431220276268853,0.0160035034420191,0.004684983408737,0,0,0,0.0253689528918192,0.0118616592104354,0.0020455841127005,0.0200123747118741
"J11_p1_rep1_hetero",0.0332349394829693,0.0061782316298961,0,0,0.02124772698063,0,0.0279756002491706,0.0146174201479745,0,0.0194640208219454
"J13_p1_rep1_hetero",0.0420780162538541,0.0179260987154808,0.0091241215644816,0,0.0153915248758158,0,0.0238572460766411,0.015669494133615,0,0.0207105728993276
"J1_p1_rep2_hetero",0.0045826177223826,0,0,0,0.0110307162783439,0.0603253382827746,0,0.019566587564841,0,0.0179226609819478
"J2_p1_rep2_hetero",0.0301935468116362,0.012528398055221,0,0,0,0.0571103788984222,0,0.0005043890305962,0.0085526686554586,0.0198193710551839
"J3_p1_rep2_hetero",0.0330148160813197,0.0190310777722533,0.0033827311436865,0,0,0.0285693917429075,0,0.0049170526688193,0.0062519828056922,0.0217145479507283
"J4_p1_rep2_hetero",0.0365787803763445,0.0124586995198614,0.0001717179394195,0,0,0,0.0239911425713801,0.0153852085695863,0,0.0216795260198206
"J5_p1_rep2_hetero",0.0388903640388234,0.0096692344039976,0,0,0,0,0.0349133166649763,0.0160993336313233,0,0.0203767037948696
"J6_p1_rep2_hetero",0.0446203864068931,0.0137633469945556,0.0023991718170106,0,0,0,0.0374212320796325,0.0162782667082785,0,0.0198528348905552
"J7_p1_rep2_hetero",0.0454765298200084,0.0168149079745394,0.0056955753397664,0,0,0,0.0401815713330919,0.012901230996199,0,0.0207893468663854
"J8_p1_rep2_hetero",0.0433833133484556,0.0163282977122466,0.0036378919850168,0,0,0,0.0443389230661046,0.0143679745198627,0,0.0194683964400342
"J9_p1_rep2_hetero",0.04201568188602,0.0165193489846321,0.0052707220406398,0,0,0,0.0276314287246161,0.0147067527323773,0,0.0198767482537308
"J11_p1_rep2_hetero",0.0343136501457589,0.0077499501747716,0,0,0.0170510485154921,0,0.0308130509730617,0.0154458866980159,0,0.0195532160098118
"J13_p1_rep2_hetero",0.0431514306205772,0.0169354358526698,0.0082671781497203,0,0.0184625963629676,0,0.033268066226198,0.0159526348993949,0,0.0207613739068393
"J1_p2_rep1_hetero",0,0,0,0,0.0386137033855814,0.0263807437514934,0,0.0078870108404108,0,0.0179640022369004
"J2_p2_rep1_hetero",0.0187662431240374,0,0,0.0069293073227918,0.0266467952117233,0,0.014374767405497,0.007910647939277,0,0.0202953320543164
"J3_p2_rep1_hetero",0.0363343458494848,0.0008135819424136,0,0.0084217079703256,0,0,0.0872620899127774,0.0165390081065063,0,0.0222392007149074
"J4_p2_rep1_hetero",0.0394073566036353,0.0030614597554639,0,0.0082155975919105,0.0013527317569116,0,0.0478308241703855,0.0197181508587818,0,0.01955085589574
"J5_p2_rep1_hetero",0.0383493043054154,0.0039514976731267,0,0.0044821811871844,0.004471745465384,0,0.0077195611957167,0.0132058623746207,0,0.019855681744225
"J6_p2_rep1_hetero",0.035212738956982,0.0081206732487996,0,0,0,0,0.0354290887688393,0.0114914533610149,0,0.0187457122464198
"J7_p2_rep1_hetero",0.0320657064119228,0.0102884655668292,0,0,0.0013721238050723,0,0.0431921544894865,0.0067153176479931,0,0.0193154794302598
"J8_p2_rep1_hetero",0.027820277956325,0.0067739394345208,0,0.0011004926268484,0.0179182246321274,0,0.0465642743666382,0.0089640894922449,0,0.0200720970688435
"J9_p2_rep1_hetero",0.0325254802148561,0.0205730214249002,0.0036754788170056,0.0095023127318866,0.0395056468012881,0,0.0470212062521753,0.0075261549560254,0.0003973300082161,0.0232359964261965
"J10_p2_rep1_hetero",0.0255117095595079,0.001425199983233,0,0,0.0344809778930896,0,0.025669336994993,0.0080646156213943,0,0.0193826535368034
"J11_p2_rep1_hetero",0.0320529130675528,0.0139523457089999,0,0.008477245949574,0.0369982649672162,0,0.0511240746982953,0.0062426788322252,0,0.0209006097101101
"J12_p2_rep1_hetero",0.0311012288040056,0.0079694799384153,0,0.0060101753349741,0.027540221284874,0,0.0408270234371448,0.0062196691836082,0,0.019509486218509
"J13_p2_rep1_hetero",0.0318251085526434,0.0106607192811723,0,0.004580229530249,0.0322963284815543,0,0.0454347305114694,0.0060045337043636,0,0.0200016933108079
"J1_p2_rep2_hetero",0,0,0,0,0.0397667133248884,0,0.0029420195303522,0.006542601027217,0,0.0202358282934168
"J2_p2_rep2_hetero",0.0191096729000967,0,0,0.0069138194740353,0.0263109466729192,0,0.0229471519273502,0.0075944062226808,0,0.0210282378350242
"J3_p2_rep2_hetero",0.0372279227290013,0.00051022508496,0,0.0068126834400182,0.0002070533503333,0,0.0978588521377512,0.0156441703836863,0,0.0226304047347554
"J4_p2_rep2_hetero",0.0378880191471719,0.0023899472734713,0,0.0080467026104132,0.002658120828289,0,0.0546164293695854,0.0135902963958654,0,0.019910698532536
"J5_p2_rep2_hetero",0.0381132798093865,0.0048025304315064,0,0.0025663918134702,0.0031085667311911,0,0.0330015738657327,0.0160297030409419,0,0.0198602652927856
"J6_p2_rep2_hetero",0.0350519402511875,0.0078001100860555,0,0,0,0,0.0323977242990516,0.0070238270073172,0,0.0178463975564209
"J7_p2_rep2_hetero",0.0319997582870954,0.0126555312885878,0,0,0.0001974250123739,0,0.0414774340354825,0.0086306326586458,0,0.0197824543111144
"J8_p2_rep2_hetero",0.0287056333381262,0.0078203071629276,0,0.0024822391502028,0.0174377823795763,0,0.0427161199720336,0.0067268720683279,0,0.0199863024536411
"J9_p2_rep2_hetero",0.0328312823221073,0.0211111977265857,0.0048079123768702,0.0092775668993192,0.0431900614189119,0,0.0417718583582757,0.0057950975217905,0.0019995107503299,0.0234601863501286
"J10_p2_rep2_hetero",0.0243992768440632,0.0013749159253639,0,0,0.0341583524370765,0,0.0357214681713818,0.0081140346318329,0,0.0193626735636659
"J11_p2_rep2_hetero",0.0322290118826379,0.0139799235020774,0,0.0074221533546651,0.0370360187925749,0,0.0439378146197859,0.0074991742778286,0,0.0210361690264987
"J12_p2_rep2_hetero",0.031452830254907,0.0089846755903314,0,0.0054546782802213,0.0271892403391329,0,0.0569188386331866,0.0079905527871609,0,0.0203955394305185
"J13_p2_rep2_hetero",0.032217706698106,0.0110927442926048,0,0.0040523767183703,0.0320362748733425,0,0.0499083560077779,0.0062643933468279,0.0029605468685246,0.0202511632430567
"J1_p1_rep1_auto",0.0508092509769055,0.0619234665552513,0.0574553424688386,0,0,0.0169777617615129,0,0.0095450581258518,0,0
"J1_p1_rep2_auto",0.0488010062893148,0.0552812228894155,0.0503752906336907,0,0,0.0318125781254644,0,0.010773881628584,0,0
"J4_p1_rep1_auto",0.0505887691431519,0.0332708997334512,0.0302213524917633,0,0,0,0.0135009089939777,0.0295245118264599,0,0.0071155371196489
"J4_p1_rep2_auto",0.0500177602368359,0.0317358109603102,0.0287933394291187,0,0,0.005402486854097,0,0.0277668376343123,0,0.0069144908012183
"J8_p1_rep1_auto",0.0490409665971006,0.0362620175262049,0.0343475380919446,0,0,0,0.0172715570043398,0.0213201838165188,0,0.0040708984029811
"J8_p1_rep2_auto",0.0476083465770869,0.0303914277911065,0.0291050284987814,0,0,0,0.0188262633664421,0.0190912846698165,0,0.0090764383645024
"J11_p1_rep1_auto",0.0488060348531111,0.0372229802029544,0.0356237181759409,0,0,0,0.0238634416923856,0.0134524833365696,0,0.0100681630818476
"J11_p1_rep2_auto",0.0466563208677368,0.0374251659503576,0.0367642092536429,0,0,0,0.0252084142499027,0.0201749056047253,0,0.0099123378691734
"J14_p1_rep1_auto",0.0467158198749267,0.0389849023373255,0.0384152649081635,0,0,0,0.0138204153813532,0.0226567082001344,0,0.0099647158732165
"J14_p1_rep2_auto",0.0462423409948509,0.0388537375089812,0.0372830437763303,0,0,0,0.0329778873823302,0.0240668978985656,0,0.0137440894215955
"J1_p2_rep1_auto",0.0392759388466088,0.0392392343751376,0.0365694532536426,0,0,0.0701250908469371,0,0.0187492613417476,0,0.0010739122400025
"J1_p2_rep2_auto",0.0401257558323608,0.0396191602367963,0.039200675139326,0,0,0.0677643974281104,0,0.0143929919176244,0,0
"J4_p2_rep1_auto",0.0334725476805771,0.0368093867551881,0.0361307823289628,0,0,0.0515566271817662,0,0.0102286254114095,0,0
"J4_p2_rep2_auto",0.033852583916392,0.0336612056294045,0.0362206657247816,0,0,0.0489860040057433,0,0.0099997542513525,0,0.00020264243416036
"J8_p2_rep1_auto",0.0386192096890162,0.0200756239997509,0.0230295474323066,0,0,0.0447410704516738,0,0.0050022106337986,0,0.0060446386610217
"J8_p2_rep2_auto",0.040919189032693,0.0156346371169112,0.0185455074837125,0,0,0.0276827927924057,0,0.0042009952623137,0,0.003933165382713
"J11_p2_rep1_auto",0.0386761072463402,0.0364120985223999,0.0405510509903456,0,0,0.0451974100357739,0,0.0101264272225535,0,0.003818715596865
"J11_p2_rep2_auto",0.0390829562383935,0.0257010964188041,0.0300993485832999,0,0,0.0439986849782265,0,0.0112440064390627,0,0.0054306930988568
"J14_p2_rep1_auto",0.0304869237378591,0.0331022084889961,0.0352190984806758,0,0,0.0433937859727323,0,0.0018856091463864,0,0.0018739763035831
"J14_p2_rep2_auto",0.0302845474593393,0.0284771023159053,0.0330176647722704,0,0,0.0428417783671479,0,0.0017859114055779,0,0.0073364281551134
"J1_p3_rep1_auto",0.0502915525683564,0.0433901810583666,0.0388796830571887,0,0,0.0637790138287432,0,0.0158281470482686,0,0.0092055353028124
"J1_p3_rep2_auto",0.0486588433437562,0.0404028294507105,0.0363112528154304,0,0,0.0681541671189508,0,0.0179251731658967,0,0.0088113792825659
"J4_p3_rep1_auto",0.0441410517537828,0.0368069184927316,0.0335194611442858,0,0,0.0585866990490668,0,0.0156159814996232,0,0.0101594095171867
"J4_p3_rep2_auto",0.0439299477693448,0.0376075045484385,0.0334544441745592,0,0,0.0033856379759763,0,0.0132073958778112,0,0.0083825102433199
"J8_p3_rep1_auto",0.0418811692070646,0.0354694721008907,0.0323469782717125,0,0,0.0175523310310835,0,0.0158849957565792,0,0.0097331714973536
"J8_p3_rep2_auto",0.0455837787174574,0.035765866072007,0.0325582654746094,0,0,0.0078373342308562,0,0.0183764200424952,0,0.0092093020177329
"J11_p3_rep1_auto",0.0406332739180784,0.0348079309686935,0.0325903819809322,0,0,0,0,0.0227086340599583,0,0.0084987602316463
"J11_p3_rep2_auto",0.0380261702738931,0.0312812233071793,0.0288474965617822,0,0,0.0483693215511065,0,0.0213723070745716,0,0.0078708128034395
"J14_p3_rep1_auto",0.0463483430469999,0.0391440614281093,0.0368402435379,0,0,0.0244648156357939,0,0.0114711410968077,0,0.0119243749223439
"J14_p3_rep2_auto",0.0341753565329013,0.0317253214997265,0.0301709097034875,0,0,0.0188947944875907,0,0.0060199141830595,0,0.0126992996078999
