"","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD4","Epidish_CBSX_LM22_T.cells.CD4.memory.resting","DeconRNASeq_CBSX_LM22_T.cells.CD4.memory.resting","DeconRNASeq_CBSX_LM22_T.cells.CD4.memory.activated","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD4","Epidish_CCLE_TIL10_T.cells.CD4","Epidish_CD226_CD4","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD4","Epidish_LM22_T.cells.CD4.memory.resting","DeconRNASeq_LM22_T.cells.CD4.memory.resting","DeconRNASeq_LM22_T.cells.CD4.memory.activated","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","Epidish_TIL10_T.cells.CD4","CBSX__LM22__T_cells_CD4_memory_resting","CBSX__scRNA.melanoma__T_cells_CD4","CBSX__HNSCC__T_cells_CD4","CBSX__TIL10__T.cells.CD4","CBSX__CCLE.TIL10__T.cells.CD4","CBSX__CD226__CD4"
"LP.01.04",0.0560074667222775,0.268192636770111,0,0,0.0393674581108532,0.0472826538313456,0.013481556120069,0.0406129466640295,0.0484204841505865,0.0560074667222775,0.268192636770111,0,0,0.0393674581108532,0.0472826538313456,0.096217638656494,0.208834173126167,0.0494542619920042,0.0326099732843333,0.0235505807142885,0.0278318271726042,0.292018779175847
"LP.01.12",0,0.211665058973515,0.151849079542035,0,0.0811285291172895,0.0484822062416698,0.124411946668955,0.0948414995267457,0,0,0.211665058973515,0.151849079542035,0,0.0811285291172895,0.0484822062416698,0,0.180415532516185,0.0804900918537232,0.0917936758070498,0.188683226784669,0.142585273326678,0.159215498822748
"LP.01.14",0,0.255198154509392,0,0,0.102619448081357,0.036954336320998,0.219519744246862,0.0915290619207134,0,0,0.255198154509392,0,0,0.102619448081357,0.036954336320998,0.0221079899932704,0.232407239960412,0.0507476510864387,0.197093317617122,0.128824078552182,0.0232983360410215,0.255946999089447
"LP.01.15",0.00937259225792082,0.264658131363619,0,0,0.0974597441541109,0.051685486954953,0.0483089712201614,0.135248831918149,0.0333803550885194,0.00937259225792082,0.264658131363619,0,0,0.0974597441541109,0.051685486954953,0.0974499392608588,0.240920319062325,0.0434404835192156,0.0253525132688867,0.26736938563821,0.184917628078316,0.310705325776128
"LP.01.17",0.0587167007847181,0.319778235355133,0.163016693196437,0,0.101877694530265,0.0461581573414981,0.140080532810231,0.4602171551287,0,0.0587167007847181,0.319778235355133,0.163016693196437,0,0.101877694530265,0.0461581573414981,0.694850266768199,0.298003107905065,0.120603701090443,0.142199898598679,0.53627238483974,0.352029611052282,0.262849488478681
"LP.01.18",0,0.256968096938738,0.0302711129183565,0.0445040651090826,0.0231103985482422,0.0200063510253604,0.14620018645855,0,0.0128875638077904,0,0.256968096938738,0.0302711129183565,0.0445040651090826,0.0231103985482422,0.0200063510253604,0,0.236459180118149,0.0467695291317218,0.113468792466889,0.172516822354225,0.0597605558745297,0.314503547368515
"LP.01.20",0.0479590876910708,0.333805556749692,0,0.000941073685439359,0,0.038557281580603,0.0603389963622828,0.128774231063872,0,0.0479590876910708,0.333805556749692,0,0.000941073685439359,0,0.038557281580603,0.0178775572112231,0.265248328931637,0,0.0489301990461166,0.339621618314866,0.403501124417348,0.192874319519304
"LP.01.22",0.0619869915014701,0.365627156694791,0.0547033442005518,0.00764716126464089,0,0.0476592472328021,0,0.165965223838502,0.121267137054174,0.0619869915014701,0.365627156694791,0.0547033442005518,0.00764716126464089,0,0.0476592472328021,0.272179413972349,0.207431414450778,0,0.0485284340399592,0.265632498423439,0,0.300457475841353
"LP.01.25",0,0.340240880357984,0,0.000865555384705036,0.0843197411238034,0.0404715368097865,0.162257711336669,0.0497343375138911,0,0,0.340240880357984,0,0.000865555384705036,0.0843197411238034,0.0404715368097865,0,0.304301398419206,0.112128962461202,0.0930231019886716,0.286355162439208,0.282413856319698,0.238389122703721
"LP.01.28",0,0.274893886886584,0,0,0.0628742349695477,0.058694590325739,0.110346718118931,0.11819380630464,0,0,0.274893886886584,0,0,0.0628742349695477,0.058694590325739,0,0.225560774999569,0.0270851825397649,0.0942378018678782,0.221225038350834,0.138780859376566,0.197785401271072
