"","Quantiseq_Macrophage_M2","DeconRNASeq_BPRNACan_M2","DeconRNASeq_BPRNACan3DProMet_M2","DeconRNASeq_BPRNACanProMet_M2","Epidish_CCLE_TIL10_Macrophages.M2","DeconRNASeq_CCLE_TIL10_Macrophages.M2","DeconRNASeq_CD226_M2","Epidish_TIL10_Macrophages.M2","DeconRNASeq_TIL10_Macrophages.M2","CBSX__TIL10__Macrophages.M2","CBSX__CCLE.TIL10__Macrophages.M2","CBSX__CD226__M2"
"LP.01.04",0.0663405941374228,0.098009958145094,0.102167487092084,0.114726387632092,0.0204103900835788,0.0942911550035459,0,0,0.129236527832151,0.254661914232061,0.0680632270909492,0.10262770292
"LP.01.12",0.101939755285167,0.11091313647033,0.119411581387959,0.127115264878095,0.135686678202253,0.0866463041516029,0.113473880879295,0,0.0915716637736671,0,0.0871776265295396,0.309124470925949
"LP.01.14",0.0814172098444662,0.0783552814434804,0.0851402288691863,0.091902501844566,0.0593305930521615,0.0488897182581095,0.0207550174902815,0.100390549033996,0.0752612762406438,0.0734732626688856,0.0239132799984307,0.160507429357321
"LP.01.15",0.0811657114214696,0.085645099354947,0.0901399688301477,0.115741994127004,0.150564000833045,0.0840435835750807,0,0.286131143953327,0.107598340415081,0.123740225686609,0.0757043747519091,0.106186655936631
"LP.01.17",0.0707808468434322,0.110691809198377,0.118618707559317,0.126015049827259,0.0279281033695204,0.06819845817274,0,0,0.0845028963159623,0,0.0350609071650038,0.117750518005646
"LP.01.18",0.067068748128684,0.0910249505050964,0.0957940901887053,0.0993403386753521,0.110696022173402,0.0355626335266943,0.00716968881557661,0.124993545090333,0.0651424299217733,0.11721418843744,0.0648085683497585,0.14706783040469
"LP.01.20",0.0381204151136289,0.0798053513457093,0.0863945097484229,0.0926259127151091,0,0.0478257367507736,0.045072842706971,0,0.0634690641900461,0,0.00340829491400177,0.210695752399485
"LP.01.22",0.0932441350021567,0.110711458515065,0.113697408998031,0.11195192635525,0.309701642765725,0.101589283050379,0.0812012404984583,0.485377262192793,0.128417731140825,0.414350707176276,0.159321420722963,0.168010685062636
"LP.01.25",0.0928555267883845,0.091301012337934,0.098036093356869,0.104363842835242,0.135678810664154,0.0501755012722706,0.0363242834901116,0.0543009527482769,0.0654817166601016,0,0.00087898540118153,0.220140998403835
"LP.01.28",0.103115121026923,0.104444674975694,0.112065650118652,0.11888714637053,0.462333875025323,0.131255637652125,0.102607682615855,0.366788714103751,0.143420640044009,0.288350370840255,0.470231512847331,0.268681053804241
"LP.01.29",0.0506237615341509,0.0935197373786148,0.0976583442935107,0.128070655263998,0,0.0467841800519285,0.0183722704417502,0,0.0878086307692253,0,0,0.143880499051378
"LP.01.31",0.0993260879785858,0.101052890463737,0.109172255176365,0.113423854930326,0.287937914088097,0.0771440583226796,0.0478496726497729,0.102528723529298,0.0970944275926234,0.0868110963405247,0.274140499863056,0.167578410139768
"LP.01.37",0.0309969867798797,0.100579859543184,0.104929127664703,0.111033492388674,0,0.0313980865736503,0,0,0.0589656355747745,0,0,0.167565862674701
"LP.01.38",0.0545390829732773,0.108560508416248,0.110476419005867,0.110869114848531,0.00298576336722743,0.0555779813027173,0.0319340690556973,0.189995130152035,0.117271919529078,0.180444703398573,0.0321880340486381,0.133477255154625
"LP.01.40",0.0158984747637315,0.108240500297347,0.116276681236496,0.124875717349743,0.00357248531988029,0.0203553634326325,0,0.126828416560308,0.0530970516911445,0,0,0.155179774864169
"LP.01.43",0.0373964462940128,0.071490468051864,0.0799806528932212,0.0859793802790455,0.0441905417892504,0.0284921084717216,0,0.0252550314992015,0.056689302520641,0,0.118145107195149,0.11815227659287
"LP.01.45",0.0463685126296867,0.121972543247003,0.127601484675103,0.130859866982565,0,0.0836452990467997,0.0332283750977333,0,0.144948401460255,0,0,0.128030678603535
"LP.01.47",0.116454228242003,0.0865753648081334,0.0951565243023572,0.10617722857792,0.0570885024881298,0.154043751485247,0.0161821618656659,0,0.174734642684717,0.0302344760163456,0.133857328884721,0.155712996840919
"LP.01.48",0.016837654934333,0.099031698757882,0.103189262424473,0.107799657950301,0.0417659034579105,0.0727324885459748,0,0.0766160159420703,0.157740454206857,0.0560996543949513,0.0319571852142958,0.14842900641993
"LP.01.52",0.0976207031918571,0.09873538018814,0.106918276764301,0.111209833632531,0.306400770716167,0.0878734063874989,0.0271860579127334,0.213892166578336,0.104070154077045,0.626559084529583,0.065423404551499,0.275604308749892
"LP.01.57",0.0680888695908376,0.074818430763494,0.0823815038091571,0.0922582333620061,0.0361861000534651,0.0642567579184742,0.0448585508218743,0,0.0768571305359,0,0.0320606837259284,0.25613199324891
"LP.01.61",0.0506724966572904,0.106973512054198,0.113445816415575,0.11612496904092,0,0.054521093777451,0.123211194005456,0,0.107082324989859,0.136797359163478,0,0.301780801748046
"LP.01.63",0.027637356465271,0.0834269880697839,0.0883540217474957,0.092194503481823,0,0.0323814890997612,0,0,0.062448640019452,0,0,0.116373536707204
"LP.01.64",0.0407593350444033,0.0907885729662891,0.098554155996606,0.103698225958222,0,0.00688287092681058,0.0468392309170499,0,0.0450886360584158,0,0.0459021769089662,0.181966761986141
"LP.01.66",0.0593361206207161,0.0818216482316681,0.0878164094910793,0.094047720082722,0.019320516713408,0.0504524413148924,0.0320952579549347,0.0147296407135638,0.0736498212333253,0.169570823005868,0.0771832824582874,0.221383898360384
"LP.01.70",0.106408896370405,0.0828701270814099,0.0867101279377456,0.0924121485189622,0.0155962079699276,0.133513441343912,0,0.120465961074452,0.194734528628145,0.0350899525269633,0.00906598708912302,0.162107561885623
"LP.01.72",0.013394324631812,0.0931079215500545,0.0976157929163231,0.0990140653697585,0,0.00923791268877727,0,0,0.0281917407252425,0,0,0.114795638745089
"Test.FFPE.01",0.0773863527723223,0.0803444941981925,0.083042903635779,0.0923482163413628,0,0.0651895484708205,0,0,0.113209013886584,0.0447144490131475,0.0469167533655963,0.120860976412635
"Test.FFPE.02",0.0507371245726869,0.0684856244846214,0.0740701515703191,0.0866435095595104,0.0249890293160308,0.0385419956508138,0.00565397892257607,0.025084811803759,0.0624638052804087,0,0.0381092590942263,0.136064390116547
"Test.FFPE.04",0.0675687655213891,0.0968179788849878,0.100462113000988,0.118448599118444,0.0984719026773229,0.105641283146701,0.0285417266364817,0.203713606004092,0.133073628439627,0,0.270947826819242,0.132315957323265
"Test.FFPE.05",0.0439755409547953,0.0889752484832029,0.0955652769571318,0.102852400037008,0,0,0,0,0,0,0,0.134633721779688
"Test.FFPE.06",0.0309482435993463,0.0794522751243998,0.0837128467118597,0.0880614522591507,0.0395062729929109,0.0540959361014914,0.082488366061899,0.0688966586146273,0.0999905760882066,0.272138122390442,0.144446204521828,0.228229536411528
"Test.FFPE.07",0.0751300916588456,0.0758460564137217,0.0826225157117551,0.0892594698419365,0.06968230738179,0.0774228052795647,0,0.181785989706865,0.126895365703107,0,0.00521496627019146,0.120830056334726
"IP.108b",0.0235166523471771,0.0926771894663806,0.10244468332192,0.109474057082927,0,0.0567982921405157,0.0586800224945877,0,0.0772732996466106,0,0,0
"IP.115b",0.0260017132212208,0.102229646179437,0.108177098413971,0.117808437482444,0.00264558623872799,0.0560660520224011,0.0319240835583803,0.106014736982442,0.124510750814282,0.0252404639971267,0,0.11732889256464
"IP.124b",0.0264459630193694,0.081934244578235,0.0913902561100031,0.0983895817019591,0.0212327898299986,0.0535559120802934,0.0115905921753701,0,0.0658873751421388,0,0.0750683356697902,0.111396324264401
"IP.127",0.0605095011716584,0.134641654099089,0.139836877576795,0.140135767172761,0.0166005222028486,0.0724799991745165,0.108076641795181,0.00559154657832827,0.0945295979281106,0,0,0.0945724430691103
"IP.138b",0.0803700539823128,0.0928130353319075,0.0964201989612758,0.143098499720729,0,0.122599363921905,0.043761688411386,0,0.139597947998389,0,0.0367095565826488,0.183041156900285
