"","Epidish_CBSX.melanoma_Endothelial","DeconRNASeq_CBSX.melanoma_Endothelial","Epidish_CBSX.HNSCC_Endothelial","DeconRNASeq_CBSX.HNSCC_Endothelial","Epidish_melanoma_Endothelial","DeconRNASeq_melanoma_Endothelial","CBSX_scRNA.melanoma_Endothelial","CBSX_HNSCC_Endothelial"
"LUNG-NSCLC2-0553",0.0193082010973801,0.138607804275625,0.202737225403752,0.12980434892284,0.0193082010973801,0.138607804275625,0.009061228252861,0.290658312202075
"LUNG-NSCLC2-0560",0.0225051566395438,0.1355418659119,0.231279159991417,0.150977869106876,0.0225051566395438,0.1355418659119,0.0378731820665031,0.271944653959051
"LUNG-NSCLC2-0565",0.0118712347444916,0.174295209753875,0.156543110441464,0.111178223797603,0.0118712347444916,0.174295209753875,0.0079183593062841,0.153371320571231
"LUNG-NSCLC2-0566",0,0.0744933840093935,0.0550100394234139,0.101941842644667,0,0.0744933840093935,0,0.0698704737003358
"LUNG-NSCLC2-0568",0.0014994448522788,0.0726932733665143,0.149339038691667,0.111466133260976,0.0014994448522788,0.0726932733665143,0.0045218459118095,0.2005097383176
"LUNG-NSCLC2-0569",0,0.0842477234495186,0.0140339581311691,0.0739446422598956,0,0.0842477234495186,0,0.0421520177851651
"LUNG-NSCLC2-0571",0.000956275471726053,0.119321877870381,0.136110017697786,0.131421517608703,0.000956275471726053,0.119321877870381,0.0056351102120365,0.137320768729061
"LUNG-NSCLC2-0580",0.0113973221060553,0.0832178053273158,0.203895970742352,0.147651465621669,0.0113973221060553,0.0832178053273158,0.0083421492890084,0.233489455862619
"LUNG-NSCLC2-0584",0.0142244529791933,0.114799242186956,0.244255716551834,0.196943972315063,0.0142244529791933,0.114799242186956,0.0072424888731641,0.370229906692237
"LUNG-NSCLC2-0585",0,0.112328642466608,0.106153132729376,0.104678261116165,0,0.112328642466608,0,0.074725600579773
"LUNG-NSCLC2-0588",0.15598539792325,0.186862916722109,0.280703417105069,0.194153483330115,0.15598539792325,0.186862916722109,0.151471860041687,0.27453579037801
"LUNG-NSCLC2-0590",0.0108553484499105,0.139797959778952,0.169295364146601,0.111400123647068,0.0108553484499105,0.139797959778952,0,0.150644926909042
"LUNG-NSCLC2-0592",0,0.0525329649037045,0.074501965363982,0.101697692810192,0,0.0525329649037045,0,0.0703578859292643
"LUNG-NSCLC2-0593",0.0174362206668149,0.104464090203212,0.125818103960585,0.141930976983314,0.0174362206668149,0.104464090203212,0.0100702199116916,0.149345996682894
"LUNG-NSCLC2-0595",0,0.113923780420086,0.0421687608864703,0.0997520529819331,0,0.113923780420086,0,0.100055476856132
"LUNG-NSCLC2-0596",0.0040284111429012,0.085202112364863,0.0540090263064172,0.10518160840439,0.0040284111429012,0.085202112364863,0.0035233885002038,0.0617959617963352
"LUNG-NSCLC2-0599",0.0403933407417272,0.116721621948572,0.19069623347192,0.141740036167698,0.0403933407417272,0.116721621948572,0.026079591406839,0.192199244302523
"LUNG-NSCLC2-0602",0.0051220641663461,0.0665707481185673,0.0385463306791125,0.0990131556820902,0.0051220641663461,0.0665707481185673,0.0060793604664178,0.0376220457050989
"LUNG-NSCLC2-0603",0.0058709682598589,0.0784431665866416,0.140292676246466,0.10023953976746,0.0058709682598589,0.0784431665866416,0.0044879954644859,0.152987469477101
"LUNG-NSCLC2-0608",0,0.0965776361217088,0.128858906194188,0.10676429495648,0,0.0965776361217088,0,0.135857466873008
"LUNG-NSCLC2-0610",0.0070972299858043,0.0863852894408551,0.183037906850456,0.1356975871743,0.0070972299858043,0.0863852894408551,0.0074272130547925,0.187041652652475
"LUNG-NSCLC2-0611",0,0.0909455448313234,0.113387851498989,0.129670512078755,0,0.0909455448313234,0.0014681105995118,0.159116439649629
"LUNG-NSCLC2-0622",0,0.0768559665542428,0.116305266924566,0.112950612566986,0,0.0768559665542428,0,0.0713542237818274
"LUNG-NSCLC2-0623",0.0047998683887418,0.0850243397357941,0.0565963683839959,0.103807175223691,0.0047998683887418,0.0850243397357941,0.0013655251572159,0.0410165282224915
"LUNG-NSCLC2-0630",0.0058335995326096,0.0934125451815535,0.138843949463545,0.140970074292446,0.0058335995326096,0.0934125451815535,0.0069604614374478,0.1556064993286
"LUNG-NSCLC2-0631",0,0.0636082915463819,0.0404628491909999,0.103796111724716,0,0.0636082915463819,0,0.0550486272485373
"LUNG-NSCLC2-0632",0,0.0782104706207943,0.0487265594359357,0.110623939292689,0,0.0782104706207943,0,0.085960018310738
"LUNG-NSCLC2-0633",0.000621899547140708,0.0968742373981714,0.100578523512183,0.114761813769213,0.000621899547140708,0.0968742373981714,0.00015298689986921,0.111981599231264
"LUNG-NSCLC2-0635",0.0128669211094387,0.116142971151579,0.201858306707389,0.109914190872936,0.0128669211094387,0.116142971151579,0.0100497099158378,0.263040816008659
