"","Quantiseq_Macrophage_M1","DeconRNASeq_BPRNACan3DProMet_M1","DeconRNASeq_BPRNACanProMet_M1","Epidish_CCLE_TIL10_Macrophages.M1","DeconRNASeq_CCLE_TIL10_Macrophages.M1","Epidish_CD226_M1","DeconRNASeq_CD226_M1","Epidish_TIL10_Macrophages.M1","DeconRNASeq_TIL10_Macrophages.M1","CBSX__LM22__Macrophages_M1","CBSX__TIL10__Macrophages.M1","CBSX__CCLE.TIL10__Macrophages.M1","CBSX__CD226__M1"
"LP.01.01",0.0399366870169486,0.0811213817336537,0.0806595404691746,0.310950813473238,0.17401586111353,0.456312544461277,0.125222163220729,0.539712162818114,0.181194397470271,0.026587456191741,0.432079755460601,0.235084902886458,0.217056700145595
"LP.01.02",0.0262221268589591,0.0841371045696047,0.0843584757643354,0.429932145217798,0.136965951320237,0.309433435662201,0.221679345133585,1,0.129878942550259,0.00561505026417627,0.552269114167298,0.446677969414051,0.142713439638622
"LP.01.03",0.0402598883210336,0.0866435248744301,0.0902723182258686,0.417765968451301,0.159749415737827,0.392826477190602,0.197282441534545,0.868358256484023,0.14977231840847,0,0.345068671777261,0.401917246360292,0.17033430462376
"LP.01.04",0.0479033521311572,0.0679487678591376,0.0837967448296863,0.187133981625649,0.150919520636928,0.292635798021565,0.187182152328781,0.833871838087827,0.164550219005183,0.00546927972101873,0.490519937432036,0.195455363152014,0.131194975261383
"LP.01.08",0.0282530166161461,0.0611220387574772,0.0696615529297409,0.358593685113668,0.167989002442114,0.500754095611478,0.201653784577426,0.635958255331725,0.188111010131458,0.0091000267210428,0.556436331390023,0.233691189677206,0.161818180345344
"LP.01.10",0.0611625736542219,0.0675957297979751,0.0636366717171475,0.320915097211776,0.303705158464843,0.356534716557375,0.211235172028102,0.632055038311858,0.312948123098759,0.064880298456697,0.543191239305901,0.362901743002636,0.179752305492474
"LP.01.12",0.0751902494325504,0.0874532438632478,0.0867959753937466,0.626706978635714,0.279059998438574,0.306778271396496,0.272805395993034,1,0.267239555018411,0.00305935354945507,0.704280661789566,0.619911510629646,0.200794494708986
"LP.01.14",0.2079128248375,0.0742595348110395,0.0756865700905245,0.309249876985141,0.384555917720728,0.42635346093734,0.281560062773957,0.765397886042975,0.386030879601682,0.0369122645967671,0.465051528542862,0.331510202800405,0.1999540342311
"LP.01.15",0.025276608104999,0.0847310064974435,0.0950670802367694,0.246821608193844,0.217019352548925,0.243154780929063,0.173169764207308,0.61291851604882,0.22319879582121,0.0156440805354847,0.437036107613036,0.261994250796126,0.148890787725337
"LP.01.16",0.105513717638772,0.0630344462552448,0.0652912196349583,0.53416530976446,0.339745574859442,0.676659067206404,0.325955872651057,0.775572450956667,0.376132757638305,0.0585317633203418,0.761042104507499,0.445505209940305,0.166685135217171
"LP.01.18",0.187167265358801,0.0789104492283286,0.0773725954664267,0.524596841049004,0.324107535235538,0.561142517888421,0.28048011176108,0.870182098547512,0.325471488085628,0.0207651747465575,0.428389556508496,0.479977945613496,0.136956569053107
"LP.01.19",0.156613129693027,0.0820661427066418,0.0772207474114497,0.585425951550455,0.3633645755546,0.565224340858892,0.232488514479988,0.988493839753392,0.347925122795233,0.0397996353843879,0.401348649566751,0.490128115780858,0.175978802261893
"LP.01.20",0.0463348894997112,0.038595818088226,0.0341187341902611,0.282532555655968,0.28144723743797,0.412403394700897,0.265701686069763,0.472898252653772,0.28522045829598,0.0336177683668838,0.429023424890333,0.182255747673914,0.175920433049104
"LP.01.22",0,0.0819492014983937,0.0801312850587481,0.0978451402653366,0.0537767856445102,0.525749951314855,0.239516767911994,0.242443323834858,0.0661596722003532,0.0208110632485549,0.167147580852761,0.120300283404513,0.146183308440685
"LP.01.23",0.0708424959291855,0.080500609151599,0.0788205422141434,0.690563424713066,0.298167301375104,0.535561910505448,0.264712473123041,0.994179360874674,0.299260411373062,0.0139817815119333,0.573847479984635,0.674677329097845,0.200041459301734
"LP.01.24",0.0576438019172101,0.0766033095794022,0.0789899557575418,0.383761322359353,0.259857048214725,0.354531293192886,0.307001748708338,0.903386394052906,0.247947548697057,0.0358144709099296,0.427941384098219,0.307324827883036,0.204472056232303
"LP.01.25",0.121051612648888,0.0519297736461961,0.0513049857864461,0.648174958500131,0.248665039252656,0.397464559183769,0.251502155623395,0.934318543114702,0.244691835911841,0.0167230293302101,0.641369934170209,0.468100667664634,0.139968209545092
"LP.01.28",0.0271282315743318,0.0686483841418992,0.067759864574259,0.307548030767785,0.218592710185135,0.400439146320893,0.29166732399468,0.633211285896249,0.212342563943901,0.00399967405048218,0.490424590808911,0.293597746936287,0.193931397094062
"LP.01.31",0.0384384854362773,0.0816265718056506,0.0807838140567844,0.499541030388161,0.0862043553185634,0.529893747164935,0.279450984471943,0.897471276470702,0.0945858784406975,0.0100845927557601,0.547037674332632,0.523458612761556,0.150084298794308
