"","DeconRNASeq_BPRNACan_M0","DeconRNASeq_BPRNACan3DProMet_M0","DeconRNASeq_BPRNACanProMet_M0","Epidish_CBSX_LM22_Macrophages.M0","DeconRNASeq_CBSX_LM22_Macrophages.M0","Epidish_LM22_Macrophages.M0","DeconRNASeq_LM22_Macrophages.M0","CBSX__LM22__Macrophages_M0"
"Pt66_Pre_AD667850.6",0.0495468772282645,0.0399793766947912,0.0363895481256733,0.0616264558373953,0.110322989695714,0.0616264558373953,0.110322989695714,0.227369160008518
"Pt94_Pre_AD732850.6",0.116255430232719,0.127017224984771,0.0818619201357262,0.0750854512823985,0.0250712564259556,0.0750854512823985,0.0250712564259556,0.0705369897634404
"Pt84_Pre_AD486532.5",0.129959996569693,0.13133042597524,0.119114621973241,0,0.152043521033735,0,0.152043521033735,0.110417562550974
"Pt62_Pre_AD608303.5",0.0761821544598637,0.0669149696596043,0.0503898678347525,0.0788691076676101,0.116712539455926,0.0788691076676101,0.116712539455926,0.110504614218301
"Pt72_Pre_AD793922.5",0.172258962870021,0.200290493205539,0.204641131812377,0.160850023823103,0.136260691490004,0.160850023823103,0.136260691490004,0.219629262241555
"Pt3_Pre_E9024733.3",0.0123840380606263,0.00905220406632637,0.014713815249836,0.163531178790049,0.149784948309884,0.163531178790049,0.149784948309884,0.216354144748827
"Pt5_Pre_E9021022.6",0.0723206840021417,0.068414795516878,0.056884391891472,0.00250996337817355,0.0461380205869558,0.00250996337817355,0.0461380205869558,0
"Pt9_Pre_E9021024.6",0.0197207008202581,0.019524681190428,0.0205340387369879,0.428877033878912,0.496837906013422,0.428877033878912,0.496837906013422,0.458786169194005
"Pt18_Pre_E9024732.6",0.0742972130591692,0.0636542733679815,0.0549431540083351,0.0628702462655085,0.0384631787635532,0.0628702462655085,0.0384631787635532,0.056890798704574
"Pt24_Pre_AD436687.5",0.00198258263069628,0,0,0.499125138744098,0.303844066457583,0.499125138744098,0.303844066457583,0.487899811432765
"Pt27_Pre_AD453873.5",0.0124884529673499,0.00931118104056263,0,0.0768056866719321,0.0594459051895354,0.0768056866719321,0.0594459051895354,0.0774220098154431
"Pt29_Pre_AD497504.5",0.110772675698684,0.107720028892651,0.100873640440639,0.0429135790295654,0.0354560110348133,0.0429135790295654,0.0354560110348133,0.0906285287552702
"Pt30_Pre_AD497503.5",0.0589064486393965,0.0408414117468874,0.0373030251869107,0.0436514833014018,0.0649806318674265,0.0436514833014018,0.0649806318674265,0.0593978524766951
"Pt31_Pre_AD453872.5",0.157743292374203,0.138395097789422,0.131040867619621,0,0.034507225561042,0,0.034507225561042,0
"Pt8_Pre_AD153354.6",0.114397473557057,0.120523441930277,0.121722101247954,0.0818490217518736,0.0528955544478011,0.0818490217518736,0.0528955544478011,0.0873085772462414
"Pt11_Pre_AD153352.6",0.0885572831390904,0.0870620728958353,0.085475590087269,0.00446892761098812,0.00249313812091721,0.00446892761098812,0.00249313812091721,0
"Pt28_Pre_AD297619.6",0.089050464622124,0.0764954067693241,0.0749807905812676,0.0222056829690247,0.0519541613125763,0.0222056829690247,0.0519541613125763,0.0170620036031904
"Pt44_Pre_AD467790.6",0.00921166838407747,0.00936800594327583,0.0139352369108918,0.0487788274108237,0,0.0487788274108237,0,0.0377809220451442
"Patient100",0.114511119114677,0.123648374158432,0.129878231437749,0.0330614770161483,0.0275625467838871,0.0330614770161483,0.0275625467838871,0.0423731067664112
"Patient102",0.0120622123911183,0.0136799960551264,0.0162149720552899,0.218097375687071,0.0420027840908075,0.218097375687071,0.0420027840908075,0
"Patient105",0.0711426155531304,0.0712165059981383,0.0785065903902149,0.000877470453572191,0.0737554464578212,0.000877470453572191,0.0737554464578212,0
"Patient106",0.20167393855993,0.202659904378533,0.199959275837803,0.531555033838919,0.103330896489581,0.531555033838919,0.103330896489581,0.507294861682149
"Patient107",0,0,0,0.00574740029745317,0.128172296639882,0.00574740029745317,0.128172296639882,0
"Patient108",0.249338628480494,0.244748175369614,0.242365702696533,0.0764543989614806,0.0291478620873497,0.0764543989614806,0.0291478620873497,0.0154174593196492
"Patient10",0.0487465091969243,0.042506968631229,0.0547786905911392,0.0469907279915152,0.0864522283891705,0.0469907279915152,0.0864522283891705,0.0342007461305535
"Patient112",0.100781824344277,0.108726721472081,0.104630772486829,0.0143400946426625,0.0462388038786601,0.0143400946426625,0.0462388038786601,0.0336797301929555
"Patient116",0.124713164576282,0.129651474983633,0.130419935152242,0.0875252744942296,0.0778571497325051,0.0875252744942296,0.0778571497325051,0.0724776855591259
"Patient117",0.128365688048971,0.135764018926668,0.13288117269983,0.0698031975860324,0.0211132687448077,0.0698031975860324,0.0211132687448077,0.0349149373773761
"Patient11",0.0546712701654305,0.0522153233932281,0.0607069474098393,0.147877372067143,0.0869204684182365,0.147877372067143,0.0869204684182365,0.147427149521141
"Patient121",0.0924994808559698,0.0958997512824343,0.0960416648274765,0.0518665674718883,0.0638761353991528,0.0518665674718883,0.0638761353991528,0.038898782448325
"Patient125",0.0783559895725995,0.079521914010233,0.0767089486161119,0.0285293320817455,0.0366887763791512,0.0285293320817455,0.0366887763791512,0.0300422620670588
"Patient126",0.0883908142341205,0.091541679855114,0.0928318787663082,0.0074145200684432,0.00136405741664537,0.0074145200684432,0.00136405741664537,0.0930633036911008
"Patient127",0.00205887214508451,0.00200052137452785,0.00807694116938431,0.0512489250793931,0.0888194537227504,0.0512489250793931,0.0888194537227504,0.0386960858045936
"Patient130",0.144057419140512,0.142376760685389,0.140888870195315,0.0767730722316254,0.0487166534686627,0.0767730722316254,0.0487166534686627,0.0327409834044071
"Patient131",0.00790429315191465,0.0107007218694266,0.0178674696998502,0.0731274771985417,0.0575034939009016,0.0731274771985417,0.0575034939009016,0.0397382672054624
"Patient132",0.0896268034177383,0.0950001305652618,0.0981636565979154,0.0558712951089673,0.0360494258756959,0.0558712951089673,0.0360494258756959,0.063991471315345
"Patient133",0.0243471543829215,0.0341236741793,0.0408409212571145,0.105474232398332,0.0423067678975158,0.105474232398332,0.0423067678975158,0.117534267843811
"Patient134",0.0276268698238221,0.0353689715763987,0.0516961454127421,0.0202438509732373,0.0370847865004884,0.0202438509732373,0.0370847865004884,0
"Patient135",0.0792880620878423,0.0840551666818157,0.0915142656446444,0.0402693143002617,0.0601721656879052,0.0402693143002617,0.0601721656879052,0.0277987542622637
"Patient137",0,0,0.00483658126277457,0.153436914109042,0.0507990497216567,0.153436914109042,0.0507990497216567,0.126455276259695
"Patient13",0,0,0,0.208857259485693,0.0753064368837391,0.208857259485693,0.0753064368837391,0.174173739469875
"Patient140",0.141515135192891,0.146476221440574,0.143303231913329,0.0734981159773231,0.145359601275879,0.0734981159773231,0.145359601275879,0.0875847272801901
"Patient141",0,0,0.00355147631471709,0.715672959052645,0.127640564747976,0.715672959052645,0.127640564747976,0.614762520582354
"Patient142",0.0324288767419911,0.0361966909256169,0.0426487203975874,0.0211736852793562,0.0518732248191721,0.0211736852793562,0.0518732248191721,0
"Patient143",0,0,0,0,0,0,0,0.1057005767362
"Patient144",0.121457679862326,0.113869650636141,0.115384808005825,0.00437787686416171,0.093928201904004,0.00437787686416171,0.093928201904004,0
"Patient145",0.0549317467655908,0.0570068246155817,0.0672165986208366,0.0111474898513879,0.036452366412779,0.0111474898513879,0.036452366412779,0
"Patient146",0.208363389505452,0.212164725635089,0.211688546121824,0.444101082201679,0.223925613577989,0.444101082201679,0.223925613577989,0.410132474542535
"Patient147",0.173581158819147,0.182641660663226,0.184859631288191,0.142583242513179,0.132798012895472,0.142583242513179,0.132798012895472,0.0974752341276832
"Patient148",0.0850679808219184,0.0853337203688186,0.0912645396362538,0.139359892668258,0.177140077703942,0.139359892668258,0.177140077703942,0.147427543097088
"Patient149",0,0,0,0.0189154822409045,0,0.0189154822409045,0,0.0213726188648669
"Patient14",0.0518179365120455,0.0509052344476051,0.0660373271423786,0.0874736981777074,0.0579653366262048,0.0874736981777074,0.0579653366262048,0.0851462886643153
"Patient150",0.129595560113496,0.129931669690133,0.121099697487158,0,0.0419089050655383,0,0.0419089050655383,0
"Patient154",0.113542975225534,0.122905208170091,0.125040241362412,0,0.0471138957728823,0,0.0471138957728823,0
"Patient155",0.0657769597623294,0.0682824663546647,0.0677626677037823,0.360076481785467,0.127763937984688,0.360076481785467,0.127763937984688,0.371643100566341
"Patient156",0.0950300902205464,0.0761397700666919,0.0814215769489065,0.533979011762774,0.165424797702977,0.533979011762774,0.165424797702977,0.47795527100043
"Patient158",0.00799316076688486,0,0.0148398385486835,0.274780197774273,0.103404711000162,0.274780197774273,0.103404711000162,0.236532161183691
"Patient159",0.0258491463410613,0.0369571259478851,0.0457948833228223,0.217618624853345,0.0573700146544256,0.217618624853345,0.0573700146544256,0.210925928541282
"Patient15",0.176924000791756,0.180639242533458,0.181653631607072,0.0333217015055689,0.0149706740595287,0.0333217015055689,0.0149706740595287,0.027440014158678
"Patient162",0.000162885733859613,0.00164211094062462,0.00428978553834666,0.0128378600762569,0.0499477914862276,0.0128378600762569,0.0499477914862276,0.0009661779986479
"Patient163",0.00833246504728907,0.011134817879524,0.02001881319107,0.0391498542422553,0.0392072646270776,0.0391498542422553,0.0392072646270776,0.0410289431463556
"Patient165",0.0891613110103962,0.0789326987608563,0.104094184906532,0.518942796050889,0.165241206483357,0.518942796050889,0.165241206483357,0.512883451203206
"Patient166",0.071584984303252,0.0823540844556359,0.0929306269927292,0.236591866268376,0.117089861680421,0.236591866268376,0.117089861680421,0.224329112525664
