"","Quantiseq_B_cell","MCP_B_lineage","Epidish_BPRNACan_B","DeconRNASeq_BPRNACan_B","Epidish_BPRNACan3DProMet_B","DeconRNASeq_BPRNACan3DProMet_B","Epidish_BPRNACanProMet_B","DeconRNASeq_BPRNACanProMet_B","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_B.cells","DeconRNASeq_CCLE_TIL10_B.cells","Epidish_CD226_B","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_TIL10_B.cells","CBSX__NSCLC.scRNAseq__B_cells","CBSX__HNSCC__B_cells","CBSX__CD226__B"
"Gide_PD1_10_Post",0.024199297115905,2.20266014850103,0.011089588247474,0.129657739577877,0.026335034003293,0.0742188294227568,0.0366879902806313,0.0740169348746775,0.765767966482174,0.3792164209791,0.0281868965696843,0.0575494646180969,0,0.0651456026919864,0.271577867421062,0.765767966482174,0.3792164209791,0.0281868965696843,0.0575494646180969,0.0939199705244951,0.694251162538328,0,0.140105311779917
"Gide_PD1_10_Pre",0.0262493752032323,1.45720277006473,0.012198612132468,0.120031232327001,0.0289520557847266,0.0636850517480123,0.0424089121858737,0.0662526877918414,0.829164437462898,0.361536735392753,0.00146633008809885,0.0464327621209141,0,0.0832431239474057,0.25349481798193,0.829164437462898,0.361536735392753,0.00146633008809885,0.0464327621209141,0.121045413137206,0.737232296570805,0,0.126738418535981
"Gide_PD1_11_Pre",0.0197988473133,1.87553685476451,5.72898576286967e-05,0.134425750485956,0.0157716071311672,0.072832546276226,0.021203200994773,0.0717621802937904,0.585498987512072,0.339556504425931,0.0209686883330894,0.0699841840176362,0,0.0645357317540119,0.194116854152749,0.585498987512072,0.339556504425931,0.0209686883330894,0.0699841840176362,0.120793000011741,0.739127758631209,0,0.211801271175972
"Gide_PD1_12_Pre",0.0261313957696758,0.965975735147303,0.000901729467568139,0.0987021022602539,0.00907132438390581,0.0387234114972442,0.0177858569689228,0.0426099366635576,0.754730480145234,0.336071241873579,0,0.0688668188306324,0.0102769680851074,0.0835694123767041,0.084595210651502,0.754730480145234,0.336071241873579,0,0.0688668188306324,0.119166058210991,0.75095996131085,0.0381563786925336,0.165697054411179
"Gide_PD1_13_Post",0.0155534376801468,1.53527529464009,0.0053817175947031,0.113919235604032,0.0170025029491103,0.0627306056824155,0.0293216078451532,0.0658196152728562,0.824745071171992,0.34168282273562,0,0.0383947140799827,0.0598671362286006,0.0646193904522682,0.0203900462451556,0.824745071171992,0.34168282273562,0,0.0383947140799827,0.102022449749327,0.624171069894593,0.00958284275696049,0.143889187878626
"Gide_PD1_13_Pre",0.0314654450360676,1.37614635127277,0.00281987409431208,0.127396824840348,0.0148159087763851,0.0775669624962673,0.019801802559799,0.0777438350686749,0.591964011903973,0.336640098159327,0.00389346705372552,0.0661973728471987,0.0504326800689554,0.0768849786168822,0.0498422859491468,0.591964011903973,0.336640098159327,0.00389346705372552,0.0661973728471987,0.117740576530097,0.622742515901878,0.0152546108974179,0.150774150827961
"Gide_PD1_14_Pre",0.0243893220333635,1.06878288512955,0.00541712642564459,0.102114131366876,0.0142126054030563,0.0457416093359951,0.0340545400349081,0.0472265320972798,0.629537391386658,0.335362064603646,0,0.0218164010626819,0,0.0818984125979378,0.0747088782864292,0.629537391386658,0.335362064603646,0,0.0218164010626819,0.0854368272780809,0.521686700697398,0,0.160240895941261
"Gide_PD1_15_Pre",0.0456151507747722,3.93049217243771,0.010295933165086,0.137752763011509,0.0296861751634532,0.0827990326404716,0.0655498066757734,0.079380290415282,0.79524815856622,0.337576221366499,0.0652553881683178,0.0729128466996422,0,0.0887584875052801,0.14268344770163,0.79524815856622,0.337576221366499,0.0652553881683178,0.0729128466996422,0.117621734090519,0.584907592892402,0,0.243197971763854
"Gide_PD1_16_Pre",0.0403119030945615,0.771395408264834,0,0.093034980052396,0.00477147354106101,0.0276301161474963,0.0165070362325653,0.0304222683779705,0.795459570296169,0.32888209834378,0,0.0552163354922381,0,0.0971854339522912,0.0387025956580556,0.795459570296169,0.32888209834378,0,0.0552163354922381,0.146810937440853,0.749199612021268,0,0.194227700651102
"Gide_PD1_17_Post",0.0284793457013994,2.84119397670982,0.00944626758669558,0.0954427055006984,0.0259665254278717,0.03884047515678,0.0283248220826021,0.0378199732110976,0.698352489846121,0.40395991184575,0,0.000412107554452271,0,0.0868993565631444,0.0670935294854757,0.698352489846121,0.40395991184575,0,0.000412107554452271,0.111004013662971,0.523644465904374,0,0.140062050918683
"Gide_PD1_17_Pre",0.0205418780851482,2.06845017654146,0.00479929198209766,0.0900374716350675,0.014154482635723,0.0302098570867075,0.0171427435499379,0.031123030295649,0.885919998752608,0.350294682832088,0,0.0378393505286939,0,0.0667546349738929,0.152061687021977,0.885919998752608,0.350294682832088,0,0.0378393505286939,0.0966927745697126,0.717804838980704,0,0.132276178483007
"Gide_PD1_18_Pre",0.0313569046287184,1.35015156533974,0.00678456020181164,0.102668419050628,0.0156934796497517,0.0390166797750101,0.0193582032479872,0.0373031657094759,0.841888565015681,0.36971617804086,0,0.0433405581971318,0.0126925398031343,0.076158405211996,0.263050606816276,0.841888565015681,0.36971617804086,0,0.0433405581971318,0.138108149195704,0.764777888738632,0,0.177988816335832
