"","DeconRNASeq_BPRNACan_M2","DeconRNASeq_BPRNACan3DProMet_M2","DeconRNASeq_BPRNACanProMet_M2","Epidish_CCLE_TIL10_Macrophages.M2","DeconRNASeq_CCLE_TIL10_Macrophages.M2","Epidish_CD226_M2","DeconRNASeq_CD226_M2","Epidish_TIL10_Macrophages.M2","DeconRNASeq_TIL10_Macrophages.M2","CBSX__TIL10__Macrophages.M2","CBSX__CCLE.TIL10__Macrophages.M2","CBSX__CD226__M2"
"J1_p1_rep1_B",0.0998717439136646,0.119241644985165,0.114568877716327,0,0,0.0020867525074893,0.0504229751730046,0,0.001696985394902,0,0,0.1507974289189
"J1_p1_rep2_B",0.0977513495545982,0.115093220919032,0.110684231079652,0,0,0.0014957586624678,0.0502037066450293,0,0.0031373092414399,0,0,0.140424411119493
"J4_p1_rep1_B",0.0827927413593671,0.117642962128155,0.110463246260128,0,0,0.00081642777392289,0.0399120017542418,0,0,0,0,0.0788956215758768
"J4_p1_rep2_B",0.0826128113426183,0.116904973061075,0.110018986362192,0,0,0.00087747906852416,0.0427699741507064,0,0,0,0,0.0814066784012699
"J8_p1_rep1_B",0.078634331555026,0.110404513252203,0.103480755496717,0,0,0,0.0328717549983987,0,0,0,0,0.071893378946433
"J8_p1_rep2_B",0.0787793160258717,0.106996611983331,0.100165668013603,0,0,0.00036319562998899,0.0227857587394843,0,0.0034350139813019,0,0,0.0692915571907141
"J11_p1_rep1_B",0.0794690505621919,0.0983761587332103,0.0930997216136488,0,0,0.00035000356819762,0.0145705573748531,0,0,0,0,0.06455443935787
"J11_p1_rep2_B",0.0792107514323211,0.0995253189844133,0.0944988955531186,0,0,0.0004909380001972,0.0186504463026556,0,0.00069320359974037,0,0,0.0637809877935103
"J14_p1_rep1_B",0.0815255630937699,0.0779804408940148,0.0736969010652174,0,0,0.00069798296091297,0.0046936541993607,0,0,0,0,0.0681812580379128
"J14_p1_rep2_B",0.081135585868964,0.0816158166369037,0.0770954192672085,0,0,0.001011081700736,0.0073570465370804,0,0,0,0,0.0704354642984468
