"","Quantiseq_Macrophage_M1","Epidish_CCLE_TIL10_Macrophages.M1","DeconRNASeq_CCLE_TIL10_Macrophages.M1","Epidish_CD226_M1","DeconRNASeq_CD226_M1","Epidish_TIL10_Macrophages.M1","DeconRNASeq_TIL10_Macrophages.M1","CBSX__LM22__Macrophages_M1","CBSX__TIL10__Macrophages.M1","CBSX__CCLE.TIL10__Macrophages.M1","CBSX__CD226__M1"
"R3388_YZ_23",0.220161618296192,0.642211380381081,0.353693555594468,0.241012312360389,0.219313858443432,1,0.339794499823726,0,0.410953844603811,0.637512141300328,0.246154234297077
"R3388_YZ_24",0.0431346601717671,0.312433169335057,0.222893570897058,0.203832053668027,0.309255284162639,0.800526776749906,0.184159411473007,0.0379637440176604,0.384385312195494,0.2380869494541,0.31782381392127
"R3388_YZ_25",0.201505742148735,0.613374030528377,0.363786105025968,0.199356915092157,0.260387437457466,0.87371186758195,0.34326445577807,0.0270174722979822,0.677407204331961,0.429596224300878,0.320238653089211
"R3388_YZ_26",0.184861510021163,0.475570182746384,0.462388599515674,0.223904422002886,0.526721040637623,0.622593651152252,0.443674881275695,0.00691258618270135,0.695444509796797,0.45749391135098,0.294543972217958
"R3388_YZ_27",0.0734323368591911,0.118305648616433,0.167405485076014,0.146980379391858,0.255461231946307,0.592409138284146,0.154911155276764,0.0130722606984392,0.243179558275234,0.108378996698215,0.233206004130791
"R3388_YZ_28",0.165300404660742,0.399179839742755,0.511086188541935,0.240795313864564,0.326030931067251,0.650266030311637,0.52450910867795,0.0367812867785339,0.493707188778558,0.363213862851952,0.340510022511195
"R3388_YZ_29",0.0564772621641611,0.454724193105255,0.244304404522707,0.118015786553471,0.250314774053508,0.53322102265058,0.251664556288442,0.0236536851331868,0.258245051216753,0.403906233973366,0.279240895426276
"R3388_YZ_30",0.0868463794821034,0.469925848660482,0.400478439345275,0.228546176111951,0.328664191929338,0.840179103578364,0.375079485709291,0.0591988682890493,0.459997905288629,0.446680018805037,0.258484193493348
"R3388_YZ_31",0.0337483384746362,0.250548420769107,0.22306258532274,0.235385521530944,0.250684954680478,0.339259930103682,0.218439493947756,0.0132193450736301,0.207565067736688,0.254583337689464,0.368027245726251
"R3388_YZ_32",0.0592820598999587,0.543797423683626,0.320822950019418,0.187303682654927,0.317963205225382,1,0.307939530088108,0,0.678271610044055,0.484621137326653,0.21960738990588
"R3388_YZ_33",0.0598788621888304,0.382440557437034,0.180167724675809,0.270886268198683,0.249123487837425,0.489062790248301,0.175537880247099,0.0111733567875786,0.29394978861705,0.397251128117384,0.325757538072327
"R3388_YZ_34",0.0554633110890902,0.34186814707626,0.273904246854295,0.178279941868353,0.141333095799934,0.489777268182947,0.257103288880674,0.0308726437632211,0.333180817628048,0.221846368752234,0.283126073434542
"R3388_YZ_35",0.131718817774868,0.271046880365025,0.375359614631776,0.269973004416336,0.283388113344727,0.312067854846942,0.355812449309273,0.0492850926161989,0.299348987200233,0.268516639638789,0.403722355015261
"R3388_YZ_36",0.0815912383402527,0.479931742772673,0.264606289077265,0.339923344856365,0.267161660423254,0.670261048483359,0.261311130575582,0.00057875939441292,0.509430883240217,0.315613922260393,0.260340526253767
"R3388_YZ_37",0.124800913959487,0.618452292955664,0.347619486211238,0.419701575155167,0.621616366168937,0.954707501081817,0.339017328770055,0.0089687107133913,0.772634127607885,0.530332304266834,0.335449790925084
"R3388_YZ_38",0.0537397387356651,0.344843005943655,0.304966547328444,0.238918464006635,0.250651026886087,0.498032632199494,0.296049975889268,0.100648233870628,0.26751972955934,0.283122416615426,0.335938360483508
"R3388_YZ_39",0.137080811005911,0.280583369935889,0.266993449163587,0.220215130593065,0.241903614579071,0.465859532545066,0.255566537267338,0.0731196210155806,0.314825181967065,0.300611850367758,0.326922286884018
"R3388_YZ_40",0.0743777179194445,0.244571757307153,0.222210266328046,0.290344877932454,0.23275835729649,0.658494404695506,0.271247808340492,0.062193167347528,0.550779739444098,0.251042446708456,0.292853026764357
"R3388_YZ_41",0.0634405943585224,0.212083691510127,0.198685592511042,0.135144735176065,0.163466590328573,0.27306928757507,0.181918648478277,0.0173019158845046,0.202651411058279,0.194045142808362,0.331130714926626
"R3388_YZ_42",0.0334898805723138,0.313959038354336,0.118590612075074,0.306475041303849,0.209460366020876,0.651075970581546,0.144524041180297,0.0234754358511344,0.227337581898136,0.251917256975776,0.288295629849391
"R3388_YZ_43",0.0972070112945124,0.592822230849981,0.328559634046268,0.195604437958886,0.29497079679401,1,0.300907907759725,0.0058787396979471,0.80365832085968,0.536829158112661,0.264971330164903
"R3388_YZ_44",0.165922702002928,0.400351029945045,0.382030876990625,0.399959009160651,0.362138168706963,0.769814786791679,0.399310471392985,0.0675646218079982,0.391843600641005,0.384302997009653,0.345856519609894
"R3388_YZ_47",0.0610114670847518,0.349951754871292,0.21439631589244,0.367496544599078,0.249141669248814,0.784391630400469,0.222946762430565,0.0332577174873114,0.552570242809621,0.320304268615242,0.259291860010757
"R3388_YZ_48",0.183209603728036,0.515670406436755,0.412117955985155,0.250276905894806,0.300229113124224,0.913356305821454,0.423770875011733,0.0240265419995354,0.649792302712159,0.448484863092411,0.288508462119387
"R3388_YZ_49",0.0635868138252794,0.231113090170801,0.24061580894685,0.243540852843808,0.249535386151457,0.525673589308413,0.232512473060325,0.0532789377534855,0.275383035724352,0.174717710272335,0.392191851019323
"R3388_YZ_50",0.0588082855970756,0.151720792272375,0.218629984672263,0.175414095929531,0.173444246423088,0.283799850700427,0.148397234774505,0.0358606514322509,0.21435694444997,0.173373251891632,0.314246152572902
"R3388_YZ_51",0.087580429376303,0.246658497230484,0.254758484360922,0.188845078270328,0.20133865580468,0.720754269771383,0.295254738024748,0.0646018583531198,0.393946795159,0.183377064311152,0.336171782252088
"R3388_YZ_52",0.155918709459883,0.597072686360256,0.427206880308112,0.300283335117467,0.376411210033543,0.978973540387475,0.395208176315553,0.00328993763180999,0.710038499339814,0.549529143170873,0.334106694323992
"R3388_YZ_54",0.187560694076415,0.406032488996326,0.43876924298375,0.202086103643668,0.262110119112409,0.621814698764381,0.40233626940711,0.0184385129341292,0.452072554737272,0.348733535733927,0.350258650652808
"R3388_YZ_55",0.163519428102294,0.38897399357639,0.444968593494769,0.407746307775696,0.410195593943718,0.644233379634047,0.495631819198755,0.022822701690364,0.585990951199753,0.360982700680551,0.363621397333059
"R3388_YZ_57",0.185056357239857,0.595985356028429,0.346898164975941,0.154482919286008,0.251770495635235,1,0.331130298731646,0.010522272917451,0.709106934406363,0.523866125693863,0.267926361744421
"R3388_YZ_58",0.0959788104607542,0.354675749024343,0.241702671869736,0.130467663568412,0.198774805041615,0.637313942356549,0.234120201069444,0.0253095590867165,0.351706151417688,0.334062635565568,0.218997015447444
"R3388_YZ_60",0.0617720263097623,0.235365509809735,0.195860223410565,0.129229484217313,0.208777140185363,0.591540702401161,0.176100949375482,0.016647853712654,0.239608878705049,0.185893809650611,0.31759104641321
"R3388_YZ_61",0.108629467366997,0.595511918950742,0.417675973737396,0.288604988405868,0.366864472190586,0.874038996523928,0.327078903596263,0.00294267755420345,0.549227915967998,0.445232469709321,0.358547564004393
"R3388_YZ_62",0.0412213121400227,0.3886270041711,0.180001333717451,0.159108861751206,0.216502063366325,0.790429655838045,0.166431908063546,0,0.730432739378833,0.35365327595097,0.342717889615625
"R4163_YZ_1",0.291290909407403,0.175763710228941,0.476491290645263,0.142695084783412,0.251810229433398,0.204157915070098,0.462227140165515,0,0.266003405363415,0.236756366588549,0.332486805607848
"R4163_YZ_2",0.218843978371381,0.239416043560962,0.465523800831597,0.189548192552727,0.171736027028441,0.24926485299588,0.437551573984569,0,0.25867534623788,0.230726247339559,0.304486567787788
"R4163_YZ_3",0.149953585255217,0.197356815327738,0.399441964543838,0.0855165118972395,0.108275774105413,0.239372728554505,0.39251765387478,0,0.250125768464504,0.253368218577503,0.246424031984088
"R4163_YZ_5",0.268401976813275,0.469600091423619,0.632862016137496,0.250560495418699,0.194631839174572,0.560792666229628,0.480774132096425,0,0.526087708564539,0.507997591399889,0.270591240046087
"R4163_YZ_7",0.313231162226209,0.259828288204069,0.438170583958465,0.229245537463878,0.235274322533926,0.466154539607236,0.413054739843386,0,0.38649441956712,0.468773753431455,0.23799104968304
"R4163_YZ_8",0.104129766641544,0.13771807518076,0.298459887137576,0.292406128802303,0.169374384099493,0.159278777428109,0.259698021108156,0,0.0972529774008275,0.172101957996171,0.335321230637713
"R4163_YZ_9",0.242502649433683,0.548182586616188,0.497363065628457,0.32061549085509,0.231024623672827,0.824371082659997,0.492979195107192,0.00656508411585455,0.61544349476582,0.486052634430897,0.282668333074171
"R4163_YZ_16",0.389038388121211,0.593393310412836,0.456325781698521,0.246872730953932,0.293398120798087,0.812808663219178,0.458434795540081,0,0.737123133878701,0.534991500110562,0.295710778754367
"R4163_YZ_17",0.366933029116958,0.351373303166764,0.492016425141269,0.148816264402799,0.153035251600788,0.361398919240828,0.475670197899023,0,0.341431314414026,0.403706520904598,0.316015529876691
"R4163_YZ_18",0.33384459314694,0.324093555295544,0.498096671446307,0.221416022025222,0.16316414086616,0.387364946857807,0.482707867735205,0.00470361835505975,0.31771478217743,0.378494807961325,0.279104959993874
"R4163_YZ_19",0.342305864909563,0.516128574120281,0.562768367546742,0.248939338878966,0.190624157654306,0.607690250335785,0.533029834595954,0,0.526386041205922,0.446968414555286,0.291791703205395
"R4163_YZ_20",0.268718029388189,0.716341175107103,0.46035952615035,0.250635208587639,0.264547262484864,0.932383571580423,0.461840372208821,0.00623319733740312,0.711761100386107,0.669786536950331,0.297374436877882
"R4163_YZ_21",0.345555536922125,0.347528191125047,0.466074969070222,0.167495400287745,0.190605875636578,0.454798171570271,0.451487006909393,0,0.449132003484379,0.342281688318943,0.384532276735787
"R4163_YZ_22",0.244579741797179,0.595969963332347,0.593450194067362,0.264555710412144,0.252367366745586,0.730284207896431,0.580697691963649,0.0143049434445886,0.748405143743745,0.513760462116059,0.299315266428736
"R4163_YZ_23",0.181537199808712,0.393093454207619,0.467072615855471,0.307252768519638,0.218863401339043,0.598256516348725,0.445282766749622,0.028815372261435,0.488057195519667,0.325060959707488,0.317033335618275
"R4163_YZ_25",0.324594780663457,0.558955392995788,0.584340241868709,0.230731728280921,0.225295216390099,0.713049509724086,0.506935109393707,0,0.454050335704237,0.499178205108985,0.379183481013975
"R4163_YZ_26",0.0428735451995314,0.274844022334304,0.171508534276108,0.10495630600434,0.153810552473964,0.309340150965372,0.162210768176484,0,0.254520542990121,0.218992730534816,0.246486791987574
"R4163_YZ_28",0.231711096694107,0.195805435549159,0.404851268862311,0.141575556888368,0.226579503388947,0.197034464791156,0.39374296129631,0,0.225603364185288,0.200393461637742,0.313259861114858
