"","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Macrophages","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_Macrophages","CBSX__scRNA.melanoma__Macrophages","CBSX__HNSCC__Macrophages"
"J1_p1_rep1_B",0,0.0131480457909429,1.19566471139e-06,0
"J1_p1_rep2_B",0,0.0110075390821416,0,0
"J4_p1_rep1_B",0,0.029597632100138,0,0
"J4_p1_rep2_B",0,0.0300470149923399,0,0
"J8_p1_rep1_B",0,0.0368370452148907,0,0
"J8_p1_rep2_B",0,0.0438136724177903,0,0
"J11_p1_rep1_B",0,0.0313514364240948,0,0
"J11_p1_rep2_B",0,0.0311811711347115,0,0
"J14_p1_rep1_B",0,0.0249180864144356,0,0
"J14_p1_rep2_B",0,0.0240015050076126,0,0
"J1_p2_rep1_B",0,0.0020050998128607,0,0
"J1_p2_rep2_B",0,0,0,0
"J4_p2_rep1_B",0,0,2.621504010634e-05,0
"J4_p2_rep2_B",0,0.0069815405368182,0,0
"J8_p2_rep1_B",0,0.0035932104205538,0,0
"J8_p2_rep2_B",0,0.0044265061402178,2.227138126218e-05,0
"J11_p2_rep1_B",0,0,0,0
"J11_p2_rep2_B",0,0,0,0
"J14_p2_rep1_B",0,0,0,0
"J14_p2_rep2_B",0,0,0,0
"J1_p3_rep1_B",0,0.0317676032639419,0,0
"J1_p3_rep2_B",0,0.0304612805666861,0,0
"J4_p3_rep1_B",0,0.0339365836086879,0,0
"J4_p3_rep2_B",0,0.0322408553969952,0,0
"J8_p3_rep1_B",0,0.0363677983491158,0,0
"J8_p3_rep2_B",0,0.036177258347585,0,0
"J11_p3_rep1_B",0,0.0317866102757652,0,0
"J11_p3_rep2_B",0,0.0296029730356399,0,0
"J14_p3_rep1_B",0,0.0243302150702822,0,0
"J14_p3_rep2_B",0,0.0245032785218853,0,0
"J1_p1_rep1_hetero",0.0127714571221225,0.0884204377807579,0.0497046832744263,0.0145225692704639
"J2_p1_rep1_hetero",0.0275995945242023,0.0839433245054737,0.0737532042774537,0.0242212625976234
"J3_p1_rep1_hetero",0.0310698122604465,0.0750035399169339,0.0520749180707779,0.0243236655479764
"J4_p1_rep1_hetero",0.0294241862925933,0.0685772934761016,0.0386001498082024,0.030081065158926
"J5_p1_rep1_hetero",0.052131258469228,0.0707479407986141,0.0294436469705497,0.0643689623559372
"J6_p1_rep1_hetero",0.0229816339520477,0.057148783164013,0.0164912104121476,0.0204181513237212
"J7_p1_rep1_hetero",0.0186852676693374,0.0522815025853464,0.0134037131738423,0.0193025169337818
"J8_p1_rep1_hetero",0.0301413397815492,0.0630658770306525,0.021650653047294,0.0322753784739493
"J9_p1_rep1_hetero",0.0452548459415575,0.0679258593618078,0.0257733312649955,0.0489956907043614
"J11_p1_rep1_hetero",0.0197277585626771,0.0547281152028592,0.0177135825726628,0.0077222452698252
"J13_p1_rep1_hetero",0.0045977988410697,0.0472291617782459,0.0133573524691566,0
"J1_p1_rep2_hetero",0.0118500079219954,0.0875138603690231,0.0534610843998517,0.0111082186094371
"J2_p1_rep2_hetero",0.0261140073563744,0.0852130128564931,0.0827734176388958,0.018786972442522
"J3_p1_rep2_hetero",0.0296404490473021,0.0751287981218253,0.0516883919557623,0.0302376758908119
"J4_p1_rep2_hetero",0.0304050939464269,0.0674610198832082,0.037891576557516,0.0275674995377912
"J5_p1_rep2_hetero",0.0493534535448296,0.07286993147699,0.0277088128498052,0.0529855164453095
"J6_p1_rep2_hetero",0.0278431651490032,0.0595820281498238,0.0154375331771455,0.0297721634366171
"J7_p1_rep2_hetero",0.020111058638984,0.0537709051146747,0.0130824097710189,0.0171411859654845
"J8_p1_rep2_hetero",0.0337951543291447,0.0626333907784437,0.022670532569703,0.0366575650410719
"J9_p1_rep2_hetero",0.0513247112788793,0.0708420171348656,0.0274961586796326,0.0436223210410322
"J11_p1_rep2_hetero",0.0181645346534706,0.0555843661437641,0.0175252735363106,0.0061832336947218
"J13_p1_rep2_hetero",0.0067889705394458,0.0480990558900216,0.0130461399665669,0.0007472280599528
"J1_p2_rep1_hetero",0.0150259781221229,0.0704573834159907,0.0332478255049246,0.0211157467815903
"J2_p2_rep1_hetero",0.0598791479292297,0.10536422245137,0.110355156051235,0.0570338379810498
"J3_p2_rep1_hetero",0.165980695558601,0.128645073603356,0.099592530664107,0.13554723194592
"J4_p2_rep1_hetero",0.140872872274864,0.121178103231671,0.063478235410243,0.132577178180129
"J5_p2_rep1_hetero",0.0797776020794757,0.0865348347137661,0.0352502883137958,0.0500218231867073
"J6_p2_rep1_hetero",0.0565709630911496,0.080315143607693,0.0294743711903757,0.0339435983381939
"J7_p2_rep1_hetero",0.0337413003514023,0.06495503316107,0.0287450105350573,0.0100142157237245
"J8_p2_rep1_hetero",0.0204077196342201,0.0613423728467197,0.0220400815980794,0.008456800036083
"J9_p2_rep1_hetero",0.0249886535341945,0.0579227998989615,0.0243039048991611,0.0070680205926792
"J10_p2_rep1_hetero",0.0235271479221937,0.0642957719845656,0.0244884472075224,0.0126458035063959
"J11_p2_rep1_hetero",0.0531080740074927,0.0696333706117485,0.0451686817511057,0.0422297948213225
"J12_p2_rep1_hetero",0.0399837903395098,0.0664373127903444,0.0321370265067844,0.0274934364822651
"J13_p2_rep1_hetero",0.0447287249737627,0.0734401972455986,0.0402984235971605,0.0256359240731255
"J1_p2_rep2_hetero",0.0126821470105666,0.0707093409821859,0.0333817574736066,0.0098709674741768
"J2_p2_rep2_hetero",0.0587327538264473,0.10585585156141,0.102619330577919,0.0624335889920988
"J3_p2_rep2_hetero",0.162494249980774,0.130836680773747,0.0990461889889167,0.135326515977043
"J4_p2_rep2_hetero",0.15259287369039,0.125330089705451,0.0696059561299865,0.149417051296956
"J5_p2_rep2_hetero",0.081603815361559,0.0892417087863835,0.0333870777685485,0.0553717885185603
"J6_p2_rep2_hetero",0.0635337053381246,0.0819552838895516,0.0319534936606087,0.0553930947376849
"J7_p2_rep2_hetero",0.037520287057735,0.0666666942010135,0.0224219342957545,0.009220106021865
"J8_p2_rep2_hetero",0.0216148233038304,0.0628905564536777,0.0193629734575763,0.0069157586146614
"J9_p2_rep2_hetero",0.0288395165013663,0.0586898288755492,0.0221447627639899,0.0103854121185078
"J10_p2_rep2_hetero",0.0268332333512271,0.0656697065893754,0.0228068061488231,0.0124371061585622
"J11_p2_rep2_hetero",0.0563837592936482,0.0695866325960678,0.0400132166216614,0.0333079989104538
"J12_p2_rep2_hetero",0.0446519866687394,0.0659778311824334,0.0307702352093732,0.0232522551891502
"J13_p2_rep2_hetero",0.0503649597540507,0.0728181255742719,0.0405133414471392,0.0343764129424486
"J1_p1_rep1_auto",0,0.0183475805080894,0.00085136624498637,0
"J1_p1_rep2_auto",0,0.0149394150038526,0.00071920413799409,0
"J4_p1_rep1_auto",0,0.0365880393415083,0.0041568738336881,0
"J4_p1_rep2_auto",0,0.0344837316807324,0.0031605763473871,0
"J8_p1_rep1_auto",0,0.0398079997075896,0.0038726835656158,0
"J8_p1_rep2_auto",0,0.0374966207641493,0.0034971467628498,0
"J11_p1_rep1_auto",0,0.0357534919713711,0.0056700958051992,0.0033183189855102
"J11_p1_rep2_auto",0,0.0374021374183074,0.0105525024087356,0.0031015624236938
"J14_p1_rep1_auto",0,0.0285322059498192,0.0042772864379505,0
"J14_p1_rep2_auto",0,0.0264937093619371,0.0038889850246826,0.00049125955503116
"J1_p2_rep1_auto",0,0.007323487428354,0.0092225280451759,0.0009647238061459
"J1_p2_rep2_auto",0,0.0101777358918852,0.0058249846072338,0.00054112120248796
"J4_p2_rep1_auto",0,0.0021620081778857,0.0054150580104001,0
"J4_p2_rep2_auto",0,0.00072222721917063,0.0058206759602272,0
"J8_p2_rep1_auto",0,0.0107728932669891,0.0027158275634433,0
"J8_p2_rep2_auto",0,0.0122166605950947,0.0027754255006853,0
"J11_p2_rep1_auto",0,0.0024076153638809,0.0023888673841694,5.899199793202e-05
"J11_p2_rep2_auto",0,0,0.00069289788666741,4.674629442081e-05
