"","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Endothelial.cells","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Endothelial.cells","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Endothelial.cells","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_Endothelial.cells","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Endothelial.cells","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Endothelial.cells","CBSX__scRNA.melanoma__Endothelial_cells","CBSX__HNSCC__Endothelial_cells"
"LP.01.04",0.00794048685282584,0.145047379378491,0.112899237787677,0.113073984878492,0.00794048685282584,0.145047379378491,0.00133363107752319,0.104670412911703
"LP.01.12",0.158629928381211,0.123591649530384,0.27883601116473,0.128802796221142,0.158629928381211,0.123591649530384,0.170282967957344,0.281035545174215
"LP.01.14",0.0142348333168134,0.0745574250586575,0.0795252490598504,0.0988556795546305,0.0142348333168134,0.0745574250586575,0.00854116339450914,0.0719103068785618
"LP.01.15",0.0859754832003475,0.115807526215834,0.196102392212806,0.141919196291507,0.0859754832003475,0.115807526215834,0.102835730419497,0.209856159761123
"LP.01.17",0.116161303802567,0.100746081625932,0.206319754186617,0.095688585186817,0.116161303802567,0.100746081625932,0.0748628474020416,0.206746026768962
"LP.01.18",0.00949318278105243,0.0737823502648596,0.0814571618056511,0.0972555240524981,0.00949318278105243,0.0737823502648596,0.00898885157264905,0.0660989799623701
"LP.01.20",0.0233700543848441,0.112058487392634,0.0952578883815528,0.0913295421959251,0.0233700543848441,0.112058487392634,0.0140356641870481,0.118151031778925
"LP.01.22",0.0784570159749201,0.209911402877892,0.230187992789857,0.136008914101678,0.0784570159749201,0.209911402877892,0.0929869209254503,0.259901177489736
"LP.01.25",0.0106695363056961,0.0819727634545085,0.12975356461064,0.111960769529378,0.0106695363056961,0.0819727634545085,0.00223043176185575,0.130377975618325
"LP.01.28",0.0667441734688765,0.129246200227924,0.181602247799362,0.129802732589404,0.0667441734688765,0.129246200227924,0.105189109305231,0.183333775715842
"LP.01.29",0.00573082974941115,0.115738131282428,0.152081241513931,0.100714888235616,0.00573082974941115,0.115738131282428,0,0.215635500597034
"LP.01.31",0.0822749188029369,0.155949873070204,0.243841737953361,0.135463714261441,0.0822749188029369,0.155949873070204,0.116194843420624,0.261486307775582
"LP.01.37",0.00405117617413086,0.113248647101716,0.0408439713962834,0.066504884707076,0.00405117617413086,0.113248647101716,0.0300880286890689,0.0419456397726142
"LP.01.38",0,0.156905485660186,0.162280712612524,0.0920484906692671,0,0.156905485660186,0,0.198431195947914
"LP.01.40",0.00799305391922324,0.135041905431449,0.0766989994134841,0.0764800508956631,0.00799305391922324,0.135041905431449,0.0178356741034913,0.0839935225433197
"LP.01.43",0.00205426076589002,0.0652602084486058,0.0698391090660414,0.0902058684409828,0.00205426076589002,0.0652602084486058,0.00331456206662745,0.0763999852583923
"LP.01.45",0,0.155694273182928,0.173748064020507,0.108366829858044,0,0.155694273182928,0.00026076525306057,0.212576197353191
"LP.01.47",0.0137576257246666,0.155324942325644,0.0485601996935354,0.0786150336390267,0.0137576257246666,0.155324942325644,0.003240679296598,0.0330708694297323
"LP.01.48",0.0103348169065575,0.139515547987282,0.143989046389049,0.0780408194286102,0.0103348169065575,0.139515547987282,0.00298347938660736,0.199548104236176
"LP.01.52",0,0.0903125918377496,0.103536923282788,0.078610026220754,0,0.0903125918377496,0,0.0708323379400914
"LP.01.57",0.0118229996839909,0.0758838020170294,0.0831233593765353,0.0937622677793303,0.0118229996839909,0.0758838020170294,0.00520082820774753,0.0408985538854476
"LP.01.61",0.0246486512957333,0.155593265552991,0.104706056397549,0.100496830470326,0.0246486512957333,0.155593265552991,0,0.116196478829735
"LP.01.63",0,0.146240591653399,0.0552358248430258,0.0730289240626076,0,0.146240591653399,0,0.0173925192561938
"LP.01.64",0.00193826369028572,0.119342885291491,0.094583715481718,0.0848122624690522,0.00193826369028572,0.119342885291491,0.00288277143422997,0.10735016120772
"LP.01.66",0.0117323574761465,0.0705229400930142,0.0903272957605728,0.0783605501041832,0.0117323574761465,0.0705229400930142,0.00080791134024415,0.0577345266932431
"LP.01.70",0.0469574494646189,0.113960624708956,0.126907275270157,0.0854406797630972,0.0469574494646189,0.113960624708956,0.0472297577878984,0.150290718872007
"LP.01.72",0,0.167654532945236,0.0210011531962096,0.0661373261290502,0,0.167654532945236,0,0.0302323268095143
"Test.FFPE.01",0.0211268926261859,0.128886040554292,0.11774991741597,0.117608830154074,0.0211268926261859,0.128886040554292,0.0132740396726751,0.14385094985406
