"","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Endothelial.cells","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Endothelial.cells","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Endothelial.cells","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_Endothelial.cells","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Endothelial.cells","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Endothelial.cells","CBSX__scRNA.melanoma__Endothelial_cells","CBSX__HNSCC__Endothelial_cells"
"Test.FFPE.02",0.00971025112747675,0.05992936302976,0.0674284975892404,0.0804865857165161,0.00971025112747675,0.05992936302976,0.00735045654056935,0.0430921259140579
"Test.FFPE.04",0.0170806289109484,0.10890957235205,0.174293896300584,0.127108993999788,0.0170806289109484,0.10890957235205,0.00980285667788279,0.154541756363519
"Test.FFPE.05",0.0171092580006476,0.0797947297202406,0.0366604957469313,0.0526130381352847,0.0171092580006476,0.0797947297202406,0.0218430533377762,0.0320207509003842
"Test.FFPE.06",0.0015196997348497,0.126415566613067,0.124121120202563,0.0995105032656612,0.0015196997348497,0.126415566613067,0.00417127117330001,0.0860896910077683
"Test.FFPE.07",0.00156740662188089,0.0704319041742785,0.0840810215745609,0.0898960806343232,0.00156740662188089,0.0704319041742785,0,0.120021316193297
"IP.108b",0,0.107642135005121,0.0704192615179865,0.0692777325969681,0,0.107642135005121,0,0.0969153751767137
"IP.115b",0,0.153002454862922,0.25923609468229,0.10657356400158,0,0.153002454862922,0,0.22167392913187
"IP.124b",0.0132058941132502,0.093855571149018,0.0772179216434617,0.08934107509199,0.0132058941132502,0.093855571149018,0.0133541133100139,0.0797698826766435
"IP.127",0,0.174000125688712,0.496037123412005,0.10620756451818,0,0.174000125688712,0,0.33412309662987
"IP.138b",0.0152063965543306,0.0922712528153465,0.164214869953012,0.108653377483323,0.0152063965543306,0.0922712528153465,0.0220447080668753,0.140443082759068
"IP.140b",0.00582892049734212,0.106702593896136,0.273482134190199,0.106995553886129,0.00582892049734212,0.106702593896136,0,0.278172195262536
"IP.148",0,0.105053262399642,0.170301744480726,0.10144598079207,0,0.105053262399642,0,0.172948637162215
"IP.197",0,0.174984419669826,0.166548819804996,0.0964917923059647,0,0.174984419669826,0,0.148960552992271
"IP.214",0,0.189788258149107,0.0814649079815552,0.0996135286392751,0,0.189788258149107,0,0.0869158976369843
"IP.28",0,0.186003846374844,0.176926146024141,0.0929588221605229,0,0.186003846374844,0,0.284612495520208
"IP.31b",0.00466628059539518,0.100058672634658,0.0976154045915231,0.0805427504348473,0.00466628059539518,0.100058672634658,0.00149453895978705,0.0960443683803967
"IP.36",0,0.158904720595874,0,0.0866055594669441,0,0.158904720595874,0,0.022698422555483
"IP.38b",0,0.197050359161905,0.201918582849877,0.106608735653312,0,0.197050359161905,0,0.163990019230187
"IP.52",0,0.133225128126685,0.108967292502637,0.0909472082205261,0,0.133225128126685,0,0.123030237469722
"IP.57",0,0.101434350286722,0.0908521836967232,0.0857516039538177,0,0.101434350286722,0,0.0905025838558261
"IP.58b",0.0101768361170832,0.0697149180460106,0.202751529553901,0.0924091484025537,0.0101768361170832,0.0697149180460106,0.00708606085275799,0.211597939626828
"IP.67b",0,0.194963021936224,0.0710194772516555,0.0876554208115361,0,0.194963021936224,0,0
"IP.73",0.000525073584395562,0.0960293007550694,0.108601939110641,0.0723417414034466,0.000525073584395562,0.0960293007550694,0.00215791065854418,0.13280064499265
"IP.82b",0.00766493482749783,0.139940669754646,0.223371405464848,0.111691906984818,0.00766493482749783,0.139940669754646,0,0.223648339876577
