"","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Endothelial.cells","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Endothelial.cells","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Endothelial.cells","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_Endothelial.cells","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Endothelial.cells","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Endothelial.cells","CBSX__scRNA.melanoma__Endothelial_cells","CBSX__HNSCC__Endothelial_cells"
"R3388_YZ_1",0.0909346881270578,0.156469117405365,0.166183131106984,0.16028245601565,0.0909346881270578,0.156469117405365,0.112750549863579,0.164607279243686
"R3388_YZ_2",0.0510613498887665,0.0652537998685445,0.23862735747233,0.111530887269717,0.0510613498887665,0.0652537998685445,0.0947516821669542,0.250872354780376
"R3388_YZ_3",0.121511905053786,0.151586779283101,0.238413215115241,0.178610379999047,0.121511905053786,0.151586779283101,0.0928092266466853,0.230676168073252
"R3388_YZ_4",0.0309135189353563,0.109406787121512,0.459387558781721,0.141383997010289,0.0309135189353563,0.109406787121512,0.0915800393449382,0.483448611278666
"R3388_YZ_5",0.0320502516477381,0.101091514758973,0.148267079431146,0.0950401516568285,0.0320502516477381,0.101091514758973,0.027160607050122,0.125603000090705
"R3388_YZ_6",0.0347340031160282,0.13602528999263,0.525691534419759,0.118931731201105,0.0347340031160282,0.13602528999263,0.00325802682483625,0.513570956060225
"R3388_YZ_7",0.151747389779913,0.140980850298108,0.280659716558559,0.199335015271416,0.151747389779913,0.140980850298108,0.121364371512659,0.277571373596208
"R3388_YZ_9",0.00411142829276648,0.0597114047933669,0.052030746857034,0.0758950944637224,0.00411142829276648,0.0597114047933669,0,0.0232736637826752
"R3388_YZ_10",0.0652224896695436,0.148932438974045,0.164314517231987,0.152710477203746,0.0652224896695436,0.148932438974045,0.0887424474837173,0.167273654801026
"R3388_YZ_11",0.0717255051222121,0.146142712204657,0.30769434610143,0.131816880980391,0.0717255051222121,0.146142712204657,0.0916861637139355,0.264970032152953
"R3388_YZ_12",0.00273648435657268,0.0800652531729655,0.0825531171147224,0.0585812292159344,0.00273648435657268,0.0800652531729655,0.00159412554398845,0.0626467436446824
"R3388_YZ_13",0.02268182815627,0.126384002240982,0.306393717557664,0.14541493647808,0.02268182815627,0.126384002240982,0.0195933206079183,0.313027446542626
"R3388_YZ_14",0,0.0645027533780489,0.294553735044903,0.100046043785548,0,0.0645027533780489,0,0.247150059552087
"R3388_YZ_15",0.0813907868368439,0.109815603254718,0.466524349036377,0.181437097030855,0.0813907868368439,0.109815603254718,0.100511243521854,0.468924331643263
"R3388_YZ_16",0.0134612592395356,0.120020933419777,0.221896976853559,0.152086048296551,0.0134612592395356,0.120020933419777,0.0102443410029375,0.270778666676117
"R3388_YZ_17",0,0.0727299079461762,0,0.0605083019257108,0,0.0727299079461762,0,0.0259506015442361
"R3388_YZ_19",0.0153635860378296,0.06859363490734,0.0958323649927984,0.0900043091813347,0.0153635860378296,0.06859363490734,0.0266269571078144,0.0829545999321277
"R3388_YZ_20",0,0.0664286446299856,0.152332823619852,0.0691051278896964,0,0.0664286446299856,0,0.172721018159563
"R3388_YZ_21",0.0154402647503834,0.0668031662415306,0.217244485304314,0.149708441290141,0.0154402647503834,0.0668031662415306,0.00953628337053153,0.291428113379593
"R3388_YZ_23",0.0573115479845717,0.12393379233999,0.214803568109217,0.136817659450636,0.0573115479845717,0.12393379233999,0.0462684042894223,0.26984821443647
