"","Epidish_CBSX_LM22_Dendritic.cells.activated","DeconRNASeq_CBSX_LM22_Dendritic.cells.resting","DeconRNASeq_CBSX_LM22_Dendritic.cells.activated","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Dendritic.cells","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_Dendritic.cells","Epidish_CCLE_TIL10_Dendritic.cells","Epidish_LM22_Dendritic.cells.activated","DeconRNASeq_LM22_Dendritic.cells.resting","DeconRNASeq_LM22_Dendritic.cells.activated","Epidish_TIL10_Dendritic.cells","DeconRNASeq_TIL10_Dendritic.cells","CBSX__LM22__Dendritic_cells_activated","CBSX__HNSCC__Dendritic_cells","CBSX__TIL10__Dendritic.cells","CBSX__CCLE.TIL10__Dendritic.cells"
"R3388_YZ_1",0.0430995166749953,0.0338569280548757,0.0920506604976639,0.0199411590019603,0.0771427978031794,0,0.0430995166749953,0.0338569280548757,0.0920506604976639,0,0.0346464405718016,0.0297411135531386,0.00604472422929013,0,0
"R3388_YZ_2",0.000458797070949992,0.0517578202434375,0.0337093685430705,0.0169070377571906,0.0714195762906941,0,0.000458797070949992,0.0517578202434375,0.0337093685430705,0,0.0311330807602683,0.00252740946581299,0.0278398893650636,0,0
"R3388_YZ_3",0.00378028755422186,0.0417380426991068,0.0566974547693183,0.0159871906110777,0.0629432109764519,0,0.00378028755422186,0.0417380426991068,0.0566974547693183,0,0,0.0169830357149599,0.0302159827497965,0,0
"R3388_YZ_4",0.0328768770651226,0.0595871024253237,0.0799966553824708,0.0789613905150436,0.0877785105443383,0,0.0328768770651226,0.0595871024253237,0.0799966553824708,0,0.0153105867014052,0.0261549694440148,0.10431762104504,0,0
"R3388_YZ_5",0,0,0.031396162033009,0.020984155952535,0.0729060239050312,0.0264457537065759,0,0,0.031396162033009,0,0,0.00315506026524132,0.0382883978836579,0.138997095849263,0.0382727287433715
"R3388_YZ_6",0.0349428381789938,0.0209405772956636,0.135883430463624,0.0880675314504471,0.0928645949520978,0,0.0349428381789938,0.0209405772956636,0.135883430463624,0,0.0508156015902257,0.0382173264232672,0.137144908938852,0,0.13240927749467
"R3388_YZ_7",0.0188149530360546,0.0292381577013126,0.0871540993761975,0.0196585353100669,0.0617376650324913,0,0.0188149530360546,0.0292381577013126,0.0871540993761975,0,0,0.0123818062184877,0.0224403178188867,0,0
"R3388_YZ_9",0,0.0770137204499708,0.0722604026992318,0.167330207091046,0.0864340928841549,0,0,0.0770137204499708,0.0722604026992318,0.0493857020344979,0,0,0.180765348204494,0.142649622603375,0.0460516790938307
"R3388_YZ_10",0.0133822878733523,0.0450141065636106,0.0772037285024605,0.00845135822918833,0.0704179765966703,0,0.0133822878733523,0.0450141065636106,0.0772037285024605,0,0.00447623783346491,0.0161988537993184,0.0201646395731437,0,0.0377888981421309
"R3388_YZ_11",0.0216991806601164,0.050293540232335,0.0742437277477274,0.0790513695094157,0.0877450672870576,0.00929675377697301,0.0216991806601164,0.050293540232335,0.0742437277477274,0,0.0314493601805214,0.00411941884365055,0.088478148112865,0.0646168027481812,0.0267847843105825
"R3388_YZ_12",0.0235146478017143,0,0.127240053795577,0.0231270750335901,0.0766669387244344,0.108457782714006,0.0235146478017143,0,0.127240053795577,0,0,0.0055475839510152,0.0171853694116037,0,0
