"","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_CAFs","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_CAFs","CBSX__scRNA.melanoma__CAF","CBSX__HNSCC__CAFs"
"R4163_YZ_1",0.00945646311295752,0.106170834771264,0.0761162355509841,0.0262809843655628
"R4163_YZ_2",0.0701398778669242,0.14862691465377,0.110269958744664,0.0938096127534291
"R4163_YZ_3",0.0208611390333636,0.10837081405157,0.0615054754647813,0.0135066346489734
"R4163_YZ_5",0,0.113406695885779,0.0218023641897196,0.0009539877077578
"R4163_YZ_7",0.126049396620085,0.15794579550173,0.213419894978901,0.125795033964747
"R4163_YZ_8",0.0118525008438492,0.0857208638968173,0.0188991090163636,0.00253616151203102
"R4163_YZ_9",0.02245344637307,0.132889182737122,0.0863540025294841,0.0295303153014634
"R4163_YZ_16",0.0689071222502328,0.132910722258494,0.300324060455968,0.0632116141940731
"R4163_YZ_17",0.0166511885848068,0.0940345717251025,0.0476310570700328,0.0254522299220734
"R4163_YZ_18",0.10237934370899,0.167302948667874,0.160571864134966,0.143000975436933
"R4163_YZ_19",0.303477319604878,0.226618931469645,0.378640415078713,0.308185638029524
"R4163_YZ_20",0.396467829579195,0.245199256476797,0.547595296334683,0.385613066590823
"R4163_YZ_21",0.383091262035558,0.251694593401935,0.674234406881759,0.382554474040326
"R4163_YZ_22",0.50687993011597,0.304548457513741,0.532579943422063,0.528249083129848
"R4163_YZ_23",0.171066009948378,0.183814686936095,0.240130499071921,0.181208036322713
"R4163_YZ_25",0.233903679616596,0.221937593191576,0.320984079694941,0.231117759122335
"R4163_YZ_26",0.452001270040402,0.255856929656715,0.620547528347218,0.439553503423369
"R4163_YZ_28",0,0.0595545619475029,0.0812602395019958,0.00547073266505056
