"","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_CAFs","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_CAFs","CBSX__scRNA.melanoma__CAF","CBSX__HNSCC__CAFs"
"LP.01.01",0.52901897669003,0.221475755944523,0.496714681481429,0.534259759274407
"LP.01.02",0.412867776942748,0.22051581914397,0.434390194522146,0.440013626745164
"LP.01.03",0.315116324185568,0.200291664015647,0.297576956828994,0.363413704286848
"LP.01.04",0.631199639567379,0.221576755048834,0.780261313969423,0.634068215962461
"LP.01.08",0.636638199765259,0.277061737268994,0.607945318365566,0.683612187657908
"LP.01.10",0.537987439474146,0.269746583117901,0.596772467389663,0.533168141684093
"LP.01.12",0.384756236265008,0.226608056643297,0.359545521134515,0.402420573062818
"LP.01.14",0.447530556978552,0.247355686542455,0.519418363603448,0.4816443918671
"LP.01.15",0.495376630089736,0.256551551651711,0.620608794806797,0.512686852988268
"LP.01.16",0.471328561482488,0.272505718788464,0.621787408636175,0.480982313234852
"LP.01.18",0.365243724775333,0.208468438576862,0.536874269177087,0.391512204698554
"LP.01.19",0.360908091511383,0.182068428902962,0.534409063114364,0.358524599490551
"LP.01.20",0.703690736241152,0.261506927796095,0.767109534691448,0.700156523726188
"LP.01.22",0.476987665289483,0.148856809905263,0.754873146075136,0.465943955723
"LP.01.23",0.490426726702377,0.238619005415218,0.583094920241364,0.535572829234839
"LP.01.24",0.375011197730154,0.231173332552367,0.371605326325146,0.36655267101218
"LP.01.25",0.456707342334519,0.2725192970849,0.527632579660203,0.503833085806736
"LP.01.28",0.548664196551886,0.277289208953689,0.608346245978145,0.563437759700268
"LP.01.31",0.503244439609686,0.191008929831519,0.664100906112511,0.472970361909613
"LP.01.32",0.605562487532993,0.267639302762902,0.627333008914402,0.618090052291226
"LP.01.34",0.479414635562041,0.251993582856214,0.688280406130135,0.481994488934564
"LP.01.35",0.455912356897381,0.262082617454845,0.498786520097472,0.492310768650326
"LP.01.40",0.391630285103851,0.189692303111671,0.758801756390589,0.350683298215973
"LP.01.42",0.543022264010545,0.258981345611327,0.767848385609587,0.551533733467946
"LP.01.46",0.419361990246515,0.181012337781394,0.509806812133735,0.427628945833966
"LP.01.47",0.322303427063145,0.208236262527117,0.417137765501285,0.391648083091782
"LP.01.57",0.35480854288964,0.242473221056656,0.530139361915002,0.428428036861879
"LP.01.58",0.503112809196871,0.213787432034914,0.69020062114216,0.560407794086339
"LP.01.61",0.389561715653859,0.166150338940444,0.629681657523731,0.41316609552834
"LP.01.64",0.396745081544247,0.196601185698084,0.625234529699834,0.363898334572164
"LP.01.66",0.373092768235794,0.248083451660449,0.455348630207104,0.396530965968546
"LP.01.67",0.45233656551774,0.23945702002522,0.492801488132766,0.492177813776893
"LP.01.68",0.301526174095625,0.182624489423803,0.226836918617742,0.310631748068755
"Test.FFPE.01",0.521537235322219,0.227360684096442,0.737717430225879,0.526892190308709
"Test.FFPE.02",0.501786397599647,0.242127877368259,0.572364430762997,0.556046932685519
"Test.FFPE.03",0.376704945463565,0.218214206067306,0.333514764268336,0.355837820899127
"Test.FFPE.04",0.540376436265618,0.252272119952905,0.661266752140336,0.590146291214488
"Test.FFPE.05",0.461564256177805,0.251375860008344,0.569450995206017,0.484075060190344
"Test.FFPE.06",0.666256120638712,0.229469262009506,0.743366802921194,0.713795807549013
"Test.FFPE.08",0.709849335906151,0.251286759978513,0.713673670084525,0.715039355403111
"Test.FFPE.09",0.617714118974734,0.247663560044595,0.856227626948263,0.604726015434462
"Test.FFPE.10",0.430536849762039,0.239624990136057,0.474624848109032,0.423003793612719
"R3388_YZ_1",0.707657266374762,0.315279905404628,0.680922272868589,0.724613564128644
"R3388_YZ_2",0.479712113561661,0.260121821357322,0.381033670310198,0.487313189803507
"R3388_YZ_3",0.635076331262998,0.277937354747251,0.71869697996696,0.624568629910874
"R3388_YZ_4",0.260420252191674,0.156213606727957,0.40402132481778,0.202337203049532
"R3388_YZ_5",0.546021354181363,0.26014918405975,0.467065683532054,0.551994875080091
"R3388_YZ_6",0.369483748811358,0.139627609761248,0.70941352444067,0.277589601626159
"R3388_YZ_7",0.537516853612985,0.266270093840385,0.61429285935709,0.530827810564263
"R3388_YZ_9",0.460827131365109,0.251055221883196,0.654102642674164,0.497184440378139
"R3388_YZ_10",0.670203179632368,0.304158073439283,0.573956744562104,0.669078620965963
"R3388_YZ_11",0.544224984941419,0.177511244107356,0.681361133465432,0.555189374774864
"R3388_YZ_12",0.735422031288894,0.226849963520599,0.812959421358098,0.746713137620113
"R3388_YZ_13",0.367605913107674,0.183379574981158,0.620325969874209,0.368873205512832
"R3388_YZ_14",0.0639887230370248,0.156768861234452,0.298357553670967,0.0958144135177306
"R3388_YZ_15",0.501289039306097,0.229435042100209,0.856716863689578,0.484463838225233
"R3388_YZ_16",0.363241467192573,0.200245424409914,0.470201838498769,0.355048466809463
"R3388_YZ_17",0.494604833672274,0.222632209725751,0.618636365092018,0.516135036067527
"R3388_YZ_19",0.505486641693519,0.229843392030746,0.553894183005452,0.548426896676733
"R3388_YZ_20",0.667582387472988,0.227818214101696,0.869263624703006,0.604431954785503
"R3388_YZ_21",0.47606169468945,0.262200135268519,0.539540425135839,0.511835861493317
"R3388_YZ_23",0.506419745401352,0.209806818941218,0.625864751744301,0.496737349882321
"R3388_YZ_24",0.522431239739241,0.25223898366513,0.642880275094965,0.524143543606577
"R3388_YZ_25",0.468114434392286,0.263332976233235,0.593729262875147,0.506267400150977
"R3388_YZ_26",0.397848897927154,0.241055317896955,0.671614601196282,0.380725370611652
"R3388_YZ_27",0.169071536131733,0.171968301582983,0.364201342755908,0.192385746256766
"R3388_YZ_28",0.445272301561705,0.241014799840716,0.610882739784055,0.413879609958536
"R3388_YZ_29",0.513055324860589,0.181490786469933,0.58641033295379,0.473997167643157
"R3388_YZ_30",0.444042659721658,0.239416520008792,0.67119970416841,0.43850497210272
"R3388_YZ_31",0.716931649636742,0.225839303319889,0.888189265522287,0.739016783893186
"R3388_YZ_32",0.644939718121052,0.255029942096529,0.750181727275733,0.642005081664041
"R3388_YZ_33",0.559497746001537,0.219675853877122,0.849384690511912,0.518701244523191
"R3388_YZ_34",0.443390659610871,0.233325080088848,0.638672313915704,0.365735077911271
"R3388_YZ_35",0.345306432963907,0.246345550457255,0.500455305084676,0.365669697143923
"R3388_YZ_36",0.542508908170124,0.237441410112271,0.719721701616693,0.537134796912419
"R3388_YZ_37",0.468910127753327,0.259856550600106,0.734352114915446,0.537302488968888
"R3388_YZ_38",0.414191846087906,0.234986363373663,0.490782555908515,0.432648153298315
"R3388_YZ_39",0.43151698572413,0.251036142034359,0.611023038539983,0.411390168087992
"R3388_YZ_40",0.274001260881788,0.182468955276656,0.442137121040521,0.282395528116824
"R3388_YZ_41",0.426110117915447,0.266272248447026,0.458767258096516,0.495821391226381
"R3388_YZ_42",0.532674988996805,0.196371057262089,0.742174961945819,0.486971594932798
"R3388_YZ_43",0.517712288388518,0.244931481561416,0.723369306497979,0.50878697233697
"R3388_YZ_44",0.395114322749804,0.211077150886221,0.484618143511653,0.368717650648135
"R3388_YZ_47",0.57925519463455,0.213687940543294,0.832718584622458,0.591179263778561
"R3388_YZ_48",0.705328974635705,0.24186936776029,0.889824415532669,0.69527110451325
"R3388_YZ_49",0.21106510188626,0.199755411826283,0.506889169595326,0.25994378984052
"R3388_YZ_50",0.31311238084924,0.212201609609353,0.373083880429244,0.288452627258301
"R3388_YZ_51",0.222961742663663,0.170404280864366,0.528544688243231,0.23893580539451
"R3388_YZ_52",0.434881135560806,0.264853952176239,0.564125534323139,0.504608237550724
"R3388_YZ_54",0.626506376394299,0.272626593250667,0.627683074109018,0.603490840161671
"R3388_YZ_55",0.468093627454155,0.222181159463132,0.617712409260282,0.502090858565221
"R3388_YZ_57",0.427435105110138,0.228750348425618,0.707441684906403,0.437737015337195
"R3388_YZ_58",0.536041635391204,0.231575453521168,0.744134827689534,0.533806847073222
"R3388_YZ_60",0.372459395904662,0.196783043055425,0.611034605132754,0.403542135856317
"R3388_YZ_61",0.801733831141518,0.265257052763586,0.888426171240729,0.79944546784786
"R3388_YZ_62",0.453590405278008,0.22453906456982,0.569974442227412,0.462770735898622
