"","Quantiseq_Macrophage_M2","DeconRNASeq_BPRNACan3DProMet_M2","DeconRNASeq_BPRNACanProMet_M2","Epidish_CCLE_TIL10_Macrophages.M2","DeconRNASeq_CCLE_TIL10_Macrophages.M2","Epidish_CD226_M2","Epidish_TIL10_Macrophages.M2","DeconRNASeq_TIL10_Macrophages.M2","CBSX__TIL10__Macrophages.M2","CBSX__CCLE.TIL10__Macrophages.M2","CBSX__CD226__M2"
"Gide_PD1_10_Post",0.0327032194023292,0.195340734582117,0.195717898436873,0.0414567725946862,0.0371817887493616,0.039318166304034,0.159030257564233,0.0570243240990277,0.328935131052527,0.103823215237364,0.229444346856733
"Gide_PD1_10_Pre",0.0207515938394073,0.187922898329814,0.187575555271513,0,0.0456816906929173,0.0902983539264904,0.37042822962603,0.0665806952425989,0,0,0.279537992850086
"Gide_PD1_11_Pre",0.028012544455964,0.20707919186693,0.207828460118337,0.0536674011190696,0,0,0,0.0354063707385498,0,0.0783651816598771,0.113846883398096
"Gide_PD1_12_Pre",0.00609236547142656,0.165710988616947,0.168191671806855,0.00309192860595788,0.099464303935801,0,0,0.146860811790892,0.123053311740551,0,0.125370623019943
"Gide_PD1_13_Post",0.0102737131529465,0.177998021565682,0.177634030910991,0,0.0535998125040804,0,0,0.100258928089887,0,0,0.149270842460768
"Gide_PD1_13_Pre",0.012470351012344,0.194722945587414,0.193821886246479,0,0.0359810852900785,0,0,0.0588064256588868,0.106368545025999,0.0202782575230839,0.152615677205068
"Gide_PD1_14_Pre",0.0499805836062691,0.174627114628032,0.175671072267704,0.0476167815414308,0.0495221574507509,0.0015979655209218,0.112426180731112,0.0704636024437627,0.133954123242332,0.0495877989808694,0.131051522139061
"Gide_PD1_15_Pre",0.0156922189667834,0.210355293113438,0.211120790491144,0.000961905482180046,0.00984103001522564,0,0,0.0297583871244852,0,0,0.0675049065166691
"Gide_PD1_16_Pre",0.0149495865801157,0.172704056305666,0.175540218771759,0,0.0646923991622034,0,0,0.100342214762054,0.198248614442168,0.0781944266167481,0.0905807125463492
"Gide_PD1_17_Post",0.0462519800345986,0.165004289725871,0.167957275673697,0.298399664617768,0.0925790545246692,0.0711052049049999,0.207246319478216,0.110686866662592,0.357364839499407,0.24984153422578,0.290088369943183
"Gide_PD1_17_Pre",0.0207461103053419,0.163261003242279,0.165924558574834,0.0228200195630041,0.0402107023348948,0.0391205847256031,0.116404275384072,0.063671882387872,0.0184675693213861,0.0155426899190457,0.306846896837201
"Gide_PD1_18_Pre",0.00138744146624514,0.169841480620743,0.172612598246438,0.0346181328967993,0.0738499044510462,0,0.159046454979871,0.109755254018752,0.301323292894603,0.0983496344624527,0.18183469352739
"Gide_PD1_19_Pre",0.0133003796133977,0.191710218024623,0.190485609368387,0,0.0506010693241044,0.00456856495644223,0,0.0857717830303661,0.0238749758729871,0,0.162300019613877
"Gide_PD1_2_Pre",0.0576265656813309,0.164165664125723,0.167511311609576,0.558936091014998,0.125230551321609,0.00481762044552438,0.528818645849153,0.142728077059483,0.123288560895346,0.28363288839466,0.268467441558859
"Gide_PD1_21_Pre",0.0142507126558245,0.198085541443058,0.19802928086336,0.0339858106860983,0.0303545453714723,0,0.0616835008156586,0.0790434881562592,0,0,0.178448488872105
"Gide_PD1_23_Pre",0.0271118819574381,0.16527588815426,0.166516201141071,0.264377164529302,0.0599500452713666,0,0.522766837210958,0.0856588679365136,0.527363466460227,0.306722999929873,0.123831411640308
"Gide_PD1_25_Post",0.027582347410308,0.190712311714432,0.192192508621034,0.0595107654323929,0,0,0.010373057141534,0,0,0,0.203389541431406
"Gide_PD1_25_Pre",0.021123950304893,0.182935090231186,0.184149831152043,0.0377364217229088,0.0569764846461458,0,0.115796495827921,0.08885703955011,0.0209630172676277,0.114621090467617,0.182330548235833
"Gide_PD1_27_Pre",0,0.192184494232776,0.190662386492309,0,0.0616051259075069,0,0,0.133206862211523,0.350494870637448,0.0424373114091956,0.0494863598705597
"Gide_PD1_29_Post",0,0.186274052517289,0.18629106455438,0,0.0196382591418275,0,0.058106927327719,0.0204462964210034,0.313293905331683,0.0278793833132889,0.115804246026716
"Gide_PD1_29_Pre",0,0.186721840878916,0.187462505832963,0,0.0388425031000512,0,0.0608764714415722,0.0726430079671256,0.215336306343998,0.0275624018423053,0.088306041634088
"Gide_PD1_3_Pre",0,0.20358250203294,0.20353420323672,0.0257548735143778,0.0706404409103557,0,0,0.0917244865822112,0.130491936928782,0,0.146678675767764
