"","Epidish_BPRNACan_cancer","DeconRNASeq_BPRNACan_cancer","Epidish_BPRNACan3DProMet_cancer","DeconRNASeq_BPRNACan3DProMet_cancer","Epidish_BPRNACanProMet_cancer","DeconRNASeq_BPRNACanProMet_cancer","Epidish_CCLE_TIL10_Cancer.cells","DeconRNASeq_CCLE_TIL10_Cancer.cells","CBSX__CCLE.TIL10__Cancer.cells"
"J1_p1_rep1_B",0.0117194971671737,0.15020220864463,0.0351435537815834,0.170987067923174,0.187924378266283,0.184761542643769,0.00077487311771071,0,0
"J1_p1_rep2_B",0.0132275002434257,0.149962745824901,0.0365318919649089,0.170083014293262,0.193801260589218,0.183929997704014,0.003048301873351,0,0
"J4_p1_rep1_B",0.015126146144369,0.15354990962351,0.0441689283870315,0.185095737613111,0.200266463237075,0.204346872957358,0.0053914886128723,0.0100454182115163,0.010584701248541
"J4_p1_rep2_B",0.0159146018640956,0.154134379146585,0.0441780143835178,0.184763028299866,0.199461927070133,0.203014778034094,0.0045483069056189,0.0072962348263769,0.00026607941091485
"J8_p1_rep1_B",0.0539460900799662,0.166211189122624,0.0692273853901735,0.204034299987549,0.216228889175329,0.2242000187627,0.0057314903776958,0.0092442929253235,0
"J8_p1_rep2_B",0.0672753125701011,0.176389002788528,0.0961186874613456,0.212298464454068,0.227560221393679,0.230300357639432,0.0083831171057343,0.0127894074681707,0
"J11_p1_rep1_B",0.0650423020937163,0.17341821165254,0.0746532835833907,0.193582330324672,0.16139731601569,0.206743858169006,0.006552774648134,0,0
"J11_p1_rep2_B",0.0697261632403616,0.172437758798646,0.0648140974693612,0.191870154975371,0.15949403706373,0.20441332550224,0.0065622354260963,0,0
"J14_p1_rep1_B",0.0248387203115888,0.166354977449045,0.0451882115605788,0.166111135495433,0.15070333801334,0.182517045788033,0.0031150124413364,0,0.0053326058187074
"J14_p1_rep2_B",0.0271022519253032,0.166167458280721,0.0472007195787997,0.168222373091734,0.148159247741228,0.18337271664401,0.0020168067265907,0,0.0034984548214402
"J1_p2_rep1_B",0.0208331744841781,0.162833753772389,0.0493684920236523,0.166344738794125,0.116546294793811,0.181447503212937,0.0169409675465438,0,0.0023789452402396
"J1_p2_rep2_B",0.0239010950863906,0.161781792403299,0.0475423297508757,0.165760656193331,0.116570546710657,0.181115773472944,0.0159540868250708,0,0.0054576454107442
"J4_p2_rep1_B",0.0288826923672555,0.155962755934425,0.0693280687204488,0.168616316270587,0.125679470400532,0.177224400452943,0.00086959082701868,0,0
"J4_p2_rep2_B",0.032829536864352,0.152611084452613,0.0724853839916346,0.170058171838722,0.126125529722455,0.179741614451954,0,0,0
"J8_p2_rep1_B",0.0423260202824061,0.164526752496403,0.0926965202681786,0.183937982924387,0.173450442091238,0.195865148007434,0.0028570851771521,0,0.0050122146898942
"J8_p2_rep2_B",0.042059003351171,0.157356119823477,0.102861057787138,0.17999591642136,0.150639147249174,0.192107611421442,0.0025937406128171,0.00013682396543285,0
"J11_p2_rep1_B",0.0511226626022461,0.151914997219756,0.104969110550193,0.190092165785809,0.160252627980532,0.221477095757925,0.0228470631856781,0.0047752797121897,0.0145632769206906
"J11_p2_rep2_B",0.0585770204851684,0.159138545843718,0.11066621851078,0.185554145883006,0.160724756577653,0.206519882344221,0.0105839378020436,0.00097473412441445,0.0068160162983341
"J14_p2_rep1_B",0.0533595921166856,0.149184306387644,0.107682835002766,0.18030265824458,0.156655900614816,0.207302647963738,0.0133303658358645,0,0.0113702497210527
"J14_p2_rep2_B",0.106379833054861,0.166677314047122,0.189345130233465,0.217638081265233,0.296487999205148,0.267625981424573,0.0226611218215836,0.0106747050323739,0.0146125379185881
"J1_p3_rep1_B",0.0204365971299724,0.154417840312871,0.0291268015260251,0.159748376709745,0.167590860906068,0.175726253352477,0.003228629151931,0,0.0107839279911283
"J1_p3_rep2_B",0.02405085266765,0.15443045540764,0.0306032241054865,0.158625247302679,0.159436952715375,0.174063662178819,0.0046550026295892,0,0.0087027651097937
