"","DeconRNASeq_BPRNACan_M2","DeconRNASeq_BPRNACan3DProMet_M2","DeconRNASeq_BPRNACanProMet_M2","Epidish_CCLE_TIL10_Macrophages.M2","DeconRNASeq_CCLE_TIL10_Macrophages.M2","Epidish_TIL10_Macrophages.M2","DeconRNASeq_TIL10_Macrophages.M2","CBSX__TIL10__Macrophages.M2","CBSX__CCLE.TIL10__Macrophages.M2","CBSX__CD226__M2"
"Patient100",0.031476014535032,0.0355687035374912,0.0417618833825495,0.0841453886569398,0,0.0504800457066109,0,0.127049126323845,0,0.130347627690187
"Patient102",0.12431682246021,0.12651498769851,0.130716089103214,0.162055247144248,0.0915607307995533,0.279911183525362,0.166119316401279,0.345354339707212,0.229522537574238,0.147361821307548
"Patient105",0.102958643596064,0.101387168914088,0.102939604067974,0.0034864501997786,0.0299571500853061,0.156056447028276,0.0753145831926144,0.433882481147779,0.0311254422996445,0.0223998183101858
"Patient106",0.0569243581411597,0.0578106680068085,0.0591494548333121,0.0392774003544999,0.058624123550833,0.189732209739386,0.100724130805795,0.0783247284531755,0.0209651349904737,0.0834125015353037
"Patient107",0.0810528989512661,0.0824171836352709,0.0923772184156201,0.0267257039527396,0.0692050063278944,0,0.124876596303495,0,0.0420185811743878,0.0250995770098187
"Patient108",0.100246458728447,0.100548960402476,0.104115701143781,0.0180507920033987,0.0697171445668053,0,0.108023342614752,0.131783583164121,0.0158630123851846,0.042918409684775
"Patient10",0.108854007418083,0.103640765497707,0.100496595058905,0.0143986696555891,0.0197473948501733,0.207388375476995,0.0655785194879161,0.126789666617998,0.00267967333491716,0.0861294253988571
"Patient112",0.0476056685089206,0.0516017213264847,0.0524324062863568,0,0.00429041842598221,0,0.0237491819933405,0,0.0241303065555433,0.0928815971409944
"Patient116",0.054745707067533,0.0576919082113556,0.0629589744315194,0.00340027944015018,0.0207029443266958,0,0.0550468640776569,0.15928664478577,0.0295563174652026,0.0992525175671187
"Patient117",0.0409152315516034,0.0443141753198151,0.0482410879430793,0.363712914722337,0.0794984001025068,0.288805325629275,0.106868364383417,0.162733402944585,0.288051058057414,0.172624639987265
"Patient11",0.0871998760992814,0.0889201910193818,0.0911290953155122,0.0553341147425173,0.0196467587467755,0.208014430944555,0.0650917524969345,0.26463432341294,0.0467768050502725,0.0964139297529445
