"","Epidish_BPRNACan_CD4","Epidish_BPRNACan3DProMet_CD4","Epidish_BPRNACanProMet_CD4","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD4","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD4","Epidish_CCLE_TIL10_T.cells.CD4","Epidish_TIL10_T.cells.CD4","CBSX__LM22__T_cells_CD4_memory_resting","CBSX__scRNA.melanoma__T_cells_CD4","CBSX__HNSCC__T_cells_CD4","CBSX__TIL10__T.cells.CD4","CBSX__CCLE.TIL10__T.cells.CD4","CBSX__CD226__CD4"
"LP.01.01",0.00323447857959298,0.00400778207333312,0.0108703842963268,0.145145971394846,0.0283794742571806,0.288487122121614,0.239008997068809,0.390475901829382,0.0908673034264804,0.118007035962595,0,0.241600843702402,0.24219762264692
"LP.01.02",0.00604241750362132,0.00335043544230266,0.0144621226508322,0.11339402844023,0.0232966626296201,0.15027029864354,0,0.35479727030777,0.0914600872871417,0.0613093214881137,0.33220767250402,0.151478335730141,0.274805589137278
"LP.01.03",0.0212618920039073,0.0198255567414813,0.0348654180356689,0.123103199106517,0.021455819870937,0.0989456097866494,0,0.250813198418941,0.153748436705528,0.116834085966598,0.243158758068133,0.273828318708409,0.217244372175762
"LP.01.04",0,0,0.00152566229337987,0.013481556120069,0,0.0406129466640295,0.096217638656494,0.208834173126167,0.0494542619920042,0.0326099732843333,0.0235505807142885,0.0278318271726042,0.292018779175847
"LP.01.08",0,0,0,0.105311965159819,0.0183178145887428,0.204035215679949,0.293547625387802,0.166873783791329,0,0.0922128939606238,0.271378528661548,0.0762773558841791,0.284032774052137
"LP.01.10",0.008904190591909,0.00707534587522017,0.0175772600011934,0.0934856782617776,0.018186801013529,0.221319867269386,0.209494552113234,0.3469332125337,0.05846799366641,0.0847200415949519,0.338380374671388,0.128634549992667,0.25959674692036
"LP.01.12",0.00701626554628,0.00349843624607375,0.0155849001401983,0.124411946668955,0.0185574616931959,0.0948414995267457,0,0.180415532516185,0.0804900918537232,0.0917936758070498,0.188683226784669,0.142585273326678,0.159215498822748
"LP.01.14",0.00675090108933947,0.00256479686558275,0.0114990115374034,0.219519744246862,0.0379578746383649,0.0915290619207134,0.0221079899932704,0.232407239960412,0.0507476510864387,0.197093317617122,0.128824078552182,0.0232983360410215,0.255946999089447
"LP.01.15",0.0455311564046596,0.04602337292151,0.0521683746737631,0.0483089712201614,0.0099253130546968,0.135248831918149,0.0974499392608588,0.240920319062325,0.0434404835192156,0.0253525132688867,0.26736938563821,0.184917628078316,0.310705325776128
"LP.01.16",0.00107086189564234,0,0.00696249158436353,0.184108888779368,0.0272649809053992,0,0,0.212901291904955,0.0529383602339339,0.163756377093023,0.0418158364635502,0.136262874819739,0.219281412207065
"LP.01.18",0.00940419808396619,0.00522296833228847,0.0109035758325484,0.14620018645855,0.0111941583727148,0,0,0.236459180118149,0.0467695291317218,0.113468792466889,0.172516822354225,0.0597605558745297,0.314503547368515
"LP.01.19",0.0245782676868509,0.0221038502576187,0.0374025689529649,0.259012525983138,0.0405138366781685,0.163758619048291,0.0115061602466079,0.434491625214531,0.0923484596064018,0.241641217447086,0.276797721782904,0.489218788146364,0.2079348122671
"LP.01.20",0,0,0.00861386578184427,0.0603389963622828,0.00947321677996883,0.128774231063872,0.0178775572112231,0.265248328931637,0,0.0489301990461166,0.339621618314866,0.403501124417348,0.192874319519304
"LP.01.22",0,0,0.00247141604144011,0,0,0.165965223838502,0.272179413972349,0.207431414450778,0,0.0485284340399592,0.265632498423439,0,0.300457475841353
"LP.01.23",0.00670785354508352,0.00392625780498915,0.0149236448222478,0.139937864942922,0.0170970344162128,0.0676486824622406,0,0.34635322661091,0,0.115234014663236,0.283075421007394,0.1236554580481,0.240029922028616
"LP.01.24",0.00882752746326533,0.00200591983494817,0.0119307574062812,0.248320706169168,0.0531279513245787,0.217871341020944,0,0.212555712747334,0.219804138583383,0.257447918557789,0.572058615901781,0.258870092228126,0.166916245898313
"LP.01.25",0.0140651636940032,0.0118043896384056,0.0213490867928852,0.162257711336669,0.0271059405752954,0.0497343375138911,0,0.304301398419206,0.112128962461202,0.0930231019886716,0.286355162439208,0.282413856319698,0.238389122703721
"LP.01.28",0.00235762433294914,0,0.00762613500050178,0.110346718118931,0.0167339048540673,0.11819380630464,0,0.225560774999569,0.0270851825397649,0.0942378018678782,0.221225038350834,0.138780859376566,0.197785401271072
"LP.01.31",0,0,0.00329765039097723,0.0386397340097401,0.00363714650468037,0.0510207210288285,0,0.201076133489335,0.00394374217756154,0.0465994813959822,0.113757332725333,0,0.28266966055918
"LP.01.32",0,0,0.00262641384789386,0.062375251757561,0.00713459014368562,0.0662086295477489,0,0.195885085833256,0.0648424083174309,0.0649261916645122,0.315625627505028,0.0337640754790348,0.314185160613294
"LP.01.34",0.0195266954707767,0.0163380243241534,0.0300999945173396,0.234221260551014,0.0305655601401154,0,0,0.426870135905402,0.109887006269898,0.228730487848146,0.0685565973464888,0,0.195930186986845
"LP.01.35",0.0459074340588823,0.0414362704721092,0.0562264831221164,0.250532192482453,0.0356940666522201,0.0865645340073439,0,0.348645987246725,0.175808207770046,0.252011526981965,0.169331017649046,0.249778546543412,0.169670178304044
"LP.01.40",0.0225318747114537,0.0237196639319324,0.0299475034555378,0.107016968779069,0.025811766463287,0,0,0.250086561718328,0.0313518473262431,0.108563172513052,0.0474836490504225,0.0178800387591047,0.291492081730488
"LP.01.42",0.00524396441938331,0.00280412005116039,0.015909458150895,0.170323904719377,0.0237333092621939,0,0,0.306837605744648,0.119412807706684,0.185931329940042,0,0.110517923896982,0.320454679461713
"LP.01.46",0.0198681139390573,0.0223014055205256,0.0239783292084483,0.124411551009508,0.0121372575606503,0.197896964255128,0.255668150182902,0.387126710051393,0.043787084720453,0.0463622309701048,0.319798663322233,0.100475543200517,0.35720933961042
"LP.01.47",0.0190470984851257,0.0152051300493133,0.0283653130505674,0.188973874601467,0.0315433347511479,0.0932491227315128,0,0.314531061331689,0.106549740647114,0.113173909148297,0.210710321235145,0.105302404783046,0.303973830092428
"LP.01.57",0.00109164327114747,0,0.00615412700302589,0.150619957645667,0.019956218124159,0.0410408154122326,0,0.308101360531577,0.0815412625682122,0.104323268287316,0.308809791873607,0.116964113126625,0.211469195062252
