"","Epidish_BPRNACan_M1","DeconRNASeq_BPRNACan_M1","Epidish_BPRNACan3DProMet_M1","DeconRNASeq_BPRNACan3DProMet_M1","Epidish_BPRNACanProMet_M1","DeconRNASeq_BPRNACanProMet_M1","Epidish_CCLE_TIL10_Macrophages.M1","DeconRNASeq_CCLE_TIL10_Macrophages.M1","Epidish_CD226_M1","DeconRNASeq_CD226_M1","Epidish_TIL10_Macrophages.M1","DeconRNASeq_TIL10_Macrophages.M1","CBSX__TIL10__Macrophages.M1","CBSX__CCLE.TIL10__Macrophages.M1","CBSX__CD226__M1"
"J1_p1_rep1_B",0,0.0683220628916847,0,0.0817596562998677,0,0.079155434711419,0.0030008190703482,0.0230164616842507,0.0152208742113404,0,0.0058592217344559,0.0074853358186715,0.0181304599586092,0.0048549790542107,0.0547617837200704
"J1_p1_rep2_B",0,0.0661730782411786,0,0.0780639056417706,0,0.0762615240112362,0.0028880282936294,0.023481206304779,0.0182022836409115,0,0.0051635897176578,0.0071234964260315,0.0167607573890726,0.0049332421487299,0.0548637287284008
"J4_p1_rep1_B",0,0.0521332776447199,0,0.0747590844038907,0,0.0695551889097447,0.0041156424356967,0.0474014212073905,0.0106907876302639,0,0.0060595539370012,0.0161519888353311,0.0161025995138241,0.008701256373345,0.0693611531765272
"J4_p1_rep2_B",0,0.0519752578589202,0,0.0742828716418371,0,0.0694504382096573,0.0036197829795371,0.0457341750957383,0.0116006846809733,0,0.0062566205990306,0.0159892959785849,0.0156808820179805,0.0082206018369307,0.0701885154578614
"J8_p1_rep1_B",0,0.0485237207074257,0,0.0680824325854595,0,0.0639911833230174,0.0038653837898778,0.049410175642698,0.0105021279811149,0,0.0093670532079046,0.0176325988142982,0.0203848309725065,0.0076975336357557,0.0671921742550653
"J8_p1_rep2_B",0,0.0496251933629615,0,0.0676079755113464,0,0.0637451569868639,0.0033571053754869,0.0492869467274901,0.0112058411383424,0,0.0070954636910999,0.0180285103436941,0.0216873690586971,0.0076072319874488,0.0624760125024872
"J11_p1_rep1_B",0,0.04995206986997,0,0.062788576637372,0,0.0632496179670554,0.0039264656399994,0.0359840777752241,0.0096562700666648,0,0.007063625585646,0.0147696001816634,0,0.0087309830743701,0.0573710110834731
"J11_p1_rep2_B",0,0.0497225948249586,0,0.0636340646604945,0,0.0637306706482291,0.0031912209382532,0.0354848332802192,0.0098357295416152,0,0.0070837371336352,0.0143866620636617,0.0223440293419876,0.0083250016821952,0.057100275400144
"J14_p1_rep1_B",0,0.051625986447869,0,0.0476459379150295,0,0.049013264480166,0.0044080341859606,0.024936263855111,0.0118213736298785,0,0.0057674003224262,0.0102132487227174,0.0194128863008789,0.0075627545255273,0.0524495864519552
"J14_p1_rep2_B",0,0.0513887596987868,0,0.0505129231777801,0,0.0512021687311479,0.0045561574197186,0.0277724159155734,0.0134450049230537,0,0.0070846467405687,0.0116944226245573,0.0189543316633701,0.0075370721573059,0.0466415055642127
"J1_p2_rep1_B",0.00011203387968642,0.0532497114179716,6.0214381841936e-05,0.0571536096633918,0.0001138636383229,0.0558962107907171,0.0057362157874976,0.0279972139232607,0.009744301160147,0,0.0068869667927671,0.0102213954149336,0.0017535585099932,0.0013197763464669,0.0674908008114924
"J1_p2_rep2_B",9.54707060626017e-05,0.0527009453262854,5.16842044197394e-05,0.0569812431171952,0.0001057702831096,0.0554943535691589,0.004769045476551,0.0274520857013579,0.0109379554707912,0,0.0059541254282854,0.0100022672551123,0.0016606854545359,0.0018720079700719,0.0663348917247865
"J4_p2_rep1_B",3.86092495330953e-05,0.0528866708576583,0,0.0653770475586895,0,0.0639519151162978,0.0046764795128218,0.0263538411510896,0.0089515080840133,0,0.0086748949202898,0.0112209853648709,0.0037526340508517,0.0066126747306414,0.0538142954965246
"J4_p2_rep2_B",3.63118293676039e-05,0.0553765376637483,2.26480015789675e-05,0.0706776847317759,7.7187327214614e-05,0.0682408488171068,0.0043439386512475,0.0299255611366118,0.0083060967417661,0,0.0077430457588328,0.0110851409756094,0.0040812531376333,0.0069203839252758,0.0352303668893066
"J8_p2_rep1_B",5.34712988137359e-06,0.0478594380324884,0,0.0666634045337174,8.78991787121692e-05,0.0636675360970548,0.0082500184614477,0.0433417280075373,0.0052221797296747,0,0.0132096560773773,0.0179491246719367,0.004036854414049,0.007245386552278,0.0425489208064199
"J8_p2_rep2_B",0,0.0497820650177978,0,0.070883570911515,0.00010625234901682,0.0675459188916585,0.0072415837866168,0.0423307177224284,0.0055741102565153,0,0.0107958198883128,0.0166568887348645,0.0042599706372022,0.0022276439863059,0.0287031557876721
"J11_p2_rep1_B",7.79689837806561e-06,0.0502908446840532,0,0.0715412282790242,6.20561823537064e-05,0.062637239192398,0.0094962183221781,0.040230200004257,0.0048672997768953,0,0.0153642731194608,0.0192730096169295,0.003027823009254,0.0028721961745323,0.028520507136781
"J11_p2_rep2_B",7.81426970472421e-05,0.0465849812982663,7.76759181258986e-05,0.0662928422960477,0.00015230316631291,0.0602337376826394,0.0082167976920748,0.0423899763873035,0.005881553425167,0,0.0147795384667572,0.0190156275978639,0.0095930832246016,0.004520669485127,0.0280279372545204
"J14_p2_rep1_B",5.94054988805751e-05,0.0494533158407767,4.65218101365383e-05,0.0704380831022569,5.07874116200687e-05,0.0631530382771436,0.0079518729497041,0.0365076585191003,0.0047883658029961,0,0.011835269244685,0.0175823040503303,0.0040689640878551,0.0034475271511197,0.0277859580345617
"J14_p2_rep2_B",0.00023954152312841,0.0479930371983177,0.00015571832308311,0.0674836053946036,0,0.0534712563303283,0.0069655413891898,0.0341764286917368,0.0135913060915498,0,0.0085769999375202,0.0173357999917893,0.0022800910527435,0.0034942858193753,0.0412630635636618
"J1_p3_rep1_B",0,0.0559342729991551,0,0.049985459692576,0,0.0498383464248652,0.0079581831119386,0.026343160237728,0.0131898161897456,0,0.0113078940785857,0.0080595744033615,0,0.0078921517924212,0.0339673146906638
"J1_p3_rep2_B",0,0.0558607258951743,0,0.048299453750317,0,0.0483933399868258,0.0066549679226675,0.0266339667605961,0.0124622354993268,0,0.010238873958653,0.0088349086280388,0,0.0070483887628019,0.0289984753346421
"J4_p3_rep1_B",0,0.0527841748874114,0,0.050463499702311,0,0.0495144198382651,0.008717848983952,0.0389471263909901,0.013982831158523,0,0.0149920265767867,0.0165335779350568,0.0176500271887887,0.0045445496092514,0.0677941269199968
