"","Epidish_CBSX.melanoma_Macrophages","DeconRNASeq_CBSX.melanoma_Macrophages","Epidish_CBSX.HNSCC_Macrophages","DeconRNASeq_CBSX.HNSCC_Macrophages","Epidish_melanoma_Macrophages","DeconRNASeq_melanoma_Macrophages","CBSX_scRNA.melanoma_Macrophages","CBSX_HNSCC_Macrophages"
"LUNG-NSCLC2-0553",0.0692775107818114,0.164570853236992,0.0226194491061202,0.0542761755838855,0.0692775107818114,0.164570853236992,0.0280060318834641,0.0396425635680193
"LUNG-NSCLC2-0560",0.0865734227008221,0.188558249389739,0.0484866428616245,0.0484552000828482,0.0865734227008221,0.188558249389739,0.0920364178104751,0.0663173895911811
"LUNG-NSCLC2-0565",0.0808001831085493,0.137616307334825,0,0.0454269384035789,0.0808001831085493,0.137616307334825,0.0515411764532608,0.0253196428370297
"LUNG-NSCLC2-0566",0.118146865929033,0.282017447762603,0.0588527506755317,0.0694182987857134,0.118146865929033,0.282017447762603,0.127063720276137,0.116830913190313
"LUNG-NSCLC2-0568",0.316930736514457,0.262304157115659,0.214956011833654,0.0797494319440551,0.316930736514457,0.262304157115659,0.289977900027804,0.281969770032558
"LUNG-NSCLC2-0569",0.239107994676808,0.231099871358401,0.17814795239256,0.0793409194812048,0.239107994676808,0.231099871358401,0.248915167998303,0.27970087895699
"LUNG-NSCLC2-0571",0.260926339874014,0.176812313595044,0.0628415872922562,0.0580676133358843,0.260926339874014,0.176812313595044,0.167125297635805,0.127477702360685
"LUNG-NSCLC2-0580",0.130111995948005,0.187300208298199,0.0538057172802912,0.0425913243107465,0.130111995948005,0.187300208298199,0.137576551786869,0.0966316986487306
"LUNG-NSCLC2-0584",0.163933341724354,0.286021701658737,0.0507533812062132,0.0487871440084551,0.163933341724354,0.286021701658737,0.194862344240281,0.100702551538073
"LUNG-NSCLC2-0585",0.133233249679053,0.156611925607509,0.0301394028501578,0.0510892104770736,0.133233249679053,0.156611925607509,0.14722983298437,0.134995808467533
"LUNG-NSCLC2-0588",0.113233496009345,0.189948505358914,0.0181439269360768,0.0371352994187933,0.113233496009345,0.189948505358914,0.168254298366276,0.0500206150583449
"LUNG-NSCLC2-0590",0.287826690958648,0.202303314874411,0.0862507752503531,0.0613456232072068,0.287826690958648,0.202303314874411,0.269171066783626,0.16421230468525
"LUNG-NSCLC2-0592",0.487923803055955,0.492823068718496,0.436720409993075,0.134991497019699,0.487923803055955,0.492823068718496,0.496630607920854,0.563936258657151
"LUNG-NSCLC2-0593",0.0902507078334636,0.242419549462449,0.000843728703510922,0.090503239349206,0.0902507078334636,0.242419549462449,0.0830837525977984,0.0729382714222885
"LUNG-NSCLC2-0595",0.276068605968968,0.230869730661197,0.0405652548728638,0.071228445471506,0.276068605968968,0.230869730661197,0.209216589352771,0.256647745276124
"LUNG-NSCLC2-0596",0.137427553203969,0.138879506818229,0.100321496969777,0.0592595009785148,0.137427553203969,0.138879506818229,0.132792448310408,0.143032053681949
"LUNG-NSCLC2-0599",0.286289732898086,0.322209346654276,0.159644087447876,0.116822444512358,0.286289732898086,0.322209346654276,0.348660512008225,0.245733620574541
"LUNG-NSCLC2-0602",0.210258456141551,0.238029900810926,0.188472396561395,0.0816022134230123,0.210258456141551,0.238029900810926,0.185284485088723,0.243244573955311
"LUNG-NSCLC2-0603",0.123418634999574,0.165623191288941,0.0879304716940454,0.0624226007341712,0.123418634999574,0.165623191288941,0.166326496528629,0.181408765346453
"LUNG-NSCLC2-0608",0.296867578763414,0.27032399580441,0.0881349929954903,0.0690335840998441,0.296867578763414,0.27032399580441,0.35845314935363,0.271441164365229
"LUNG-NSCLC2-0610",0.145305829920832,0.200226582503352,0.0709067331985634,0.0548248175452865,0.145305829920832,0.200226582503352,0.160495553131369,0.115575326876009
"LUNG-NSCLC2-0611",0.212427709761489,0.275938888153341,0.0876591745937341,0.0544064835592602,0.212427709761489,0.275938888153341,0.242002352503023,0.0951629824262955
"LUNG-NSCLC2-0622",0.362863100327352,0.33515100863614,0.216518348013905,0.113616648288853,0.362863100327352,0.33515100863614,0.377894825957265,0.375485536428761
"LUNG-NSCLC2-0623",0.0738864568602739,0.133046855172196,0.0441711962146104,0.0323760494046796,0.0738864568602739,0.133046855172196,0.0688488808225885,0.0879038421540201
"LUNG-NSCLC2-0630",0.161388659803316,0.175499887129592,0.089538722919745,0.0648290901185659,0.161388659803316,0.175499887129592,0.141551856889606,0.157485435834654
"LUNG-NSCLC2-0631",0.130090920755448,0.211495720901447,0.0816020836566737,0.061893911302905,0.130090920755448,0.211495720901447,0.133167300127548,0.142201705002152
"LUNG-NSCLC2-0632",0.136476036090644,0.213080317153232,0.0522826865366074,0.0481205214767676,0.136476036090644,0.213080317153232,0.135288891033442,0.134139522024603
"LUNG-NSCLC2-0633",0.295714910467847,0.308205185548602,0.193958610333535,0.107349591915131,0.295714910467847,0.308205185548602,0.393643607848368,0.345048455792134
"LUNG-NSCLC2-0635",0.048353879327188,0.0800861108795278,0,0.041638676060043,0.048353879327188,0.0800861108795278,0.0293768578527134,0
"LUNG-NSCLC2-0641",0.177497461159021,0.165912453946021,0.0416255612171774,0.050106837513161,0.177497461159021,0.165912453946021,0.170202019177924,0.0870833626101176
"LUNG-NSCLC2-0648",0.238175775208447,0.308278647387721,0.133119576570639,0.0720084884918428,0.238175775208447,0.308278647387721,0.268504143087698,0.207615899893538
"LUNG-NSCLC2-0652",0.177718530778434,0.268274548454736,0.117317837537939,0.0700726164159929,0.177718530778434,0.268274548454736,0.18671353366719,0.184173831548509
"LUNG-NSCLC2-0657",0.167515154749511,0.357229592284451,0.127344986607625,0.0870698776348556,0.167515154749511,0.357229592284451,0.171446647567359,0.236444806472436
"LUNG-NSCLC2-0660",0.169582472128193,0.218957946836073,0.0886318199798663,0.0661794156983562,0.169582472128193,0.218957946836073,0.148666612749611,0.137760221937107
"LUNG-NSCLC2-0678",0.100145357350586,0.0934166965773932,0.0623694635023424,0.0469840448743722,0.100145357350586,0.0934166965773932,0.0844139911114666,0.115200950986191
"LUNG-NSCLC2-0683",0.201507577341119,0.24569435334863,0.13208170498065,0.0724978609336773,0.201507577341119,0.24569435334863,0.186754802966807,0.195826682600546
"LUNG-NSCLC2-0685",0.158244355663061,0.186797300775968,0.085980637378849,0.0549509849334308,0.158244355663061,0.186797300775968,0.193060730659871,0.174184356149494
"LUNG-NSCLC2-0687",0.192811781740318,0.247741729858673,0.1139891497033,0.0827431013150878,0.192811781740318,0.247741729858673,0.191230360475886,0.176513089823137
"LUNG-NSCLC2-0689",0.246003670595687,0.228944654753724,0.0425229132803289,0.048629344835422,0.246003670595687,0.228944654753724,0.252447221347978,0.120776256194732
"LUNG-NSCLC2-0695",0.10277219593867,0.161116359519985,0,0.0267247580901886,0.10277219593867,0.161116359519985,0.166152457812805,0.0195821703243827
"LUNG-NSCLC2-0696",0.152071170954236,0.23804342888247,0.0349305886889931,0.047075503454175,0.152071170954236,0.23804342888247,0.208223147862917,0.141771537657401
"LUNG-NSCLC2-0698",0.144383552051738,0.256442567584072,0.0722029572100286,0.0645941079712456,0.144383552051738,0.256442567584072,0.110126608063832,0.159443196949415
"LUNG-NSCLC2-0704",0.124713294912739,0.214222314204085,0.0392466943670939,0.0508042928706767,0.124713294912739,0.214222314204085,0.118249072570301,0.0801918070245778
"LUNG-NSCLC2-0705",0.115094927164735,0.12483732076564,0.0788469624912254,0.0469134052806614,0.115094927164735,0.12483732076564,0.104063685072504,0.117046764423725
"LUNG-NSCLC2-0707",0.370265700141436,0.316170069227838,0.182003045553307,0.114025476068274,0.370265700141436,0.316170069227838,0.439538804941701,0.37548286922874
"LUNG-NSCLC2-0709",0.0835087026613187,0.178541460328187,0.0074527068413643,0.0671615892386143,0.0835087026613187,0.178541460328187,0.0611192627227163,0.0349463752213978
"LUNG-NSCLC2-0712",0.146400672939965,0.125422837041845,0.0457708540649106,0.0430018857229816,0.146400672939965,0.125422837041845,0.138300990044293,0.0766983815975635
"LUNG-NSCLC2-0714",0.222915936319821,0.190174451893289,0.0962190388943895,0.0598347934632384,0.222915936319821,0.190174451893289,0.167707590017343,0.173076648193223
"LUNG-NSCLC2-0715",0.15943651503186,0.192149795838548,0.0531400942523376,0.0470333573124462,0.15943651503186,0.192149795838548,0.208940376414976,0.129954112312592
"LUNG-NSCLC2-0718",0.215818605458101,0.233787005712514,0.180797340869003,0.0786035927499174,0.215818605458101,0.233787005712514,0.197847954695194,0.296973037110336
"LUNG-NSCLC2-0720",0.133280695721684,0.242457150556563,0.0789885252202064,0.102444337320519,0.133280695721684,0.242457150556563,0.154135495931335,0.131071890155458
"LUNG-NSCLC2-0727",0.220390917636752,0.262111896126848,0.125481758821671,0.0692741525959225,0.220390917636752,0.262111896126848,0.210690492158954,0.172688270930229
"LUNG-NSCLC2-0728",0.264568425358362,0.361461598144629,0.087535402679529,0.105678081863254,0.264568425358362,0.361461598144629,0.337967598165902,0.196834182872565
"LUNG-NSCLC2-0729",0.160882411993367,0.19872928424711,0.0745841408787854,0.046618660501522,0.160882411993367,0.19872928424711,0.159451937676427,0.075868321868949
"LUNG-NSCLC2-0730",0.104847700418849,0.12516846060559,0.0492473361128225,0.0421475728960116,0.104847700418849,0.12516846060559,0.0950230769158859,0.0933947564001824
"LUNG-NSCLC2-0732",0.17156948052403,0.181478430586673,0.091111368108337,0.0631870142696901,0.17156948052403,0.181478430586673,0.15131421094154,0.129777233073277
"LUNG-NSCLC2-0734",0.301766382303174,0.348467009187769,0.174201494628096,0.0824024253293911,0.301766382303174,0.348467009187769,0.362502790900105,0.301824718542371
"LUNG-NSCLC2-0736",0.216819875867297,0.273260463713373,0.0622518135801793,0.104673238512794,0.216819875867297,0.273260463713373,0.173931617052121,0.152973196880686
"LUNG-NSCLC2-0737",0.215894501933631,0.275170399164562,0.132676036049532,0.0775145288939692,0.215894501933631,0.275170399164562,0.239841807206261,0.181782006716883
"LUNG-NSCLC2-0740",0.0705628129294014,0.113646040772,0,0.0290727407724231,0.0705628129294014,0.113646040772,0.087603159617202,0.0121692646748701
"LUNG-NSCLC2-0742",0.168899032385444,0.192907215103922,0.06892158142372,0.0587599713351971,0.168899032385444,0.192907215103922,0.169244880556833,0.146709689863106
