"","DeconRNASeq_BPRNACan_NK","DeconRNASeq_BPRNACanProMet_NK","Epidish_CCLE_TIL10_NK.cells","DeconRNASeq_CCLE_TIL10_NK.cells","DeconRNASeq_TIL10_NK.cells","CBSX__LM22__NK_cells_resting","CBSX__TIL10__NK.cells","CBSX__CCLE.TIL10__NK.cells"
"LP.01.01",0.0418023564543996,0.0835392262279206,0.0634291823442048,0.274385315326015,0.296507233269616,0.0345412618789281,0.00897963817302364,0.080538693876774
"LP.01.02",0.0508388165035795,0.0842257057498895,0.0238058340000925,0.253406504139968,0.258733000120628,0.00366998447802939,0,0
"LP.01.03",0.0441273190252123,0.0831569943780522,0.0404932282296451,0.199075222495611,0.206381288027244,0,0,0
"LP.01.04",0.0605955574460631,0.0837393664697518,0.00718560076099606,0.230018347233978,0.276364882563769,0.0657699098068966,0,0.00368742856989146
"LP.01.10",0.0300990721116745,0.0618259087089007,0.0539769468108626,0.171989691888426,0.190862291018812,0.0424249376832462,0,0.0970505401650319
"LP.01.12",0.0616236152567146,0.0981561647815204,0.0375166924005162,0.109540877221204,0.107598360019414,0.0243331309848515,0.0203263710069456,0.046786639413548
"LP.01.14",0.0401358693421159,0.0643144437189162,0.039263287288423,0.263280147257272,0.283336542329059,0.0230917474568143,0,0.0485430882569572
"LP.01.16",0.0520186778644108,0.0782766514188884,0.0328428815095331,0.0899677958463425,0.119880324243326,0,0.0199589501836417,0.0565143458811219
"LP.01.18",0.03626143544397,0.070470516793504,0.00887754541871399,0.216695935903963,0.239825734289683,0.030389253534853,0.0373981584518629,0
"LP.01.19",0.0432391667884642,0.0772290134768003,0.0527593128997434,0.156231210320856,0.162021895583638,0.0216117627894175,0.0336612087635338,0.0146168670243267
"LP.01.20",0.0515522281105433,0.0690737635371788,0.0427007708672382,0.0956522499963901,0.112422974358785,0,0,0
"LP.01.22",0.0618575173347929,0.0827822573536691,0.0113613464612156,0.314826448041617,0.350244401292826,0,0,0
"LP.01.24",0.0283701428539096,0.0647691886901323,0.0484654122503876,0.0986100130475784,0.104884650614924,0,0,0.0360394932251369
"LP.01.25",0.0444487375581919,0.0761694495787986,0.0486877906865762,0.18052257665349,0.194437794192485,0.0106904453022887,0,0.013922080699148
"LP.01.28",0.0530285592213044,0.0924744745217634,0.0453161382654482,0.106563855934064,0.112841507601339,0,0,0.0403584647731556
"LP.01.31",0.054260086524229,0.0850042527018085,0.0425402028937846,0.438870777626811,0.446604728303933,0,0,0.00547766269280887
"LP.01.35",0.0437872405574533,0.0733379961823157,0.0670263108642815,0.0989193383965042,0.103751494362444,0,0.0269860353886223,0.00849473427438536
"LP.01.40",0.0795117272397273,0.105035877835465,0,0.0848981183633062,0.138155865997767,0.0776264995348177,0.0766014784129688,0.00343364031802107
"LP.01.42",0.0459088517385058,0.0662270371192221,0,0.0698821142787696,0.111503869440061,0.0163653359834153,0.0585025008933019,0.009038135112519
"LP.01.46",0.0343845039147277,0.0669048740645206,0.027476569535988,0.266999292732908,0.285792555534169,0.0399341386449466,0.0283800467873689,0.0798485250665011
"LP.01.58",0.0806845785560327,0.102049330560962,0,0.0624456978021809,0.0919522490537013,0.0277224975848317,0,0.00625206826199834
"LP.01.61",0.0355050624768342,0.0774925065992172,0,0.0726309946881334,0.134828811580928,0.00540376248654264,0,0
"LP.01.66",0.0363625388211168,0.0704536602679951,0.0453574612601037,0.0654113240046829,0.0864565824426207,0.0329594287837229,0,0.0373482284819878
"LP.01.67",0.0422994868382991,0.0795695577655448,0.0346394692584453,0.180279529413197,0.186242363166892,0,0,0.016914293002358
"LP.01.68",0.05185935745301,0.083425582095568,0.0316186602860605,0.137860190248282,0.148395746131793,0.010887341575425,0.0432594480098887,0.0191513260059186
"Test.FFPE.01",0.0292097251805813,0.0644807862588624,0,0.0733003054267854,0.123966103964913,0,0.0541204434492496,0.00226219891994974
"Test.FFPE.03",0.0365468933387065,0.0588177036260841,0.0332690282450485,0.152486133576979,0.152004809205536,0.0972990510733104,0,0.0656929719514671
"Test.FFPE.04",0.0415867549053594,0.0897304664861209,0.0100468677537114,0.0805170344296975,0.112484489420407,0.0337587648254898,0,0
"Test.FFPE.05",0.0531822404272188,0.0836723484064065,0.00305228945430838,0.0587589547231619,0.077832978189007,0.018687122500989,0,0
"Test.FFPE.06",0.0350468048345408,0.062586911661064,0,0.0553799888765812,0.0969995823042075,0.0349934299410875,0,0
"Test.FFPE.08",0.0550067968929795,0.0712217208294979,0,0.0701862153708943,0.117125364044816,0.0217102537607737,0,0
