"","Quantiseq_NoSignature_CD8","DeconRNASeq_BPRNACan_CD8","Epidish_CBSX.NSCLC.scRNAseq_CD8","DeconRNASeq_CBSX.NSCLC.scRNAseq_CD8","Epidish_CBSX.LM22_CD8","Epidish_CBSX.melanoma_CD8","DeconRNASeq_CBSX.melanoma_CD8","DeconRNASeq_CBSX.HNSCC_CD8","Epidish_CCLE.TIL10_CD8","DeconRNASeq_CCLE.TIL10_CD8","DeconRNASeq_CD226_CD8CD226negPostAct","DeconRNASeq_CD226_CD8CD226plusNoAct","DeconRNASeq_CD226_CD8CD226plusPostAct","Epidish_NSCLC.scRNAseq_CD8","DeconRNASeq_NSCLC.scRNAseq_CD8","Epidish_LM22_CD8","Epidish_melanoma_CD8","DeconRNASeq_melanoma_CD8","DeconRNASeq_TIL10_CD8","CBSX_LM22_CD8","CBSX_NSCLC.scRNAseq_CD8","CBSX_scRNA.melanoma_CD8","CBSX_CD226_CD8CD226plusNoAct","CBSX_CD226_CD8CD226plusPostAct"
"LUNG-NSCLC2-0553",0,0.0130849020143214,0,0.0031891271775031,0,0,0,0.0627985160420981,0,0.0180318880859229,0.0838110951342632,0.0040424984051808,0.141919263603633,0,0.0031891271775031,0,0,0,0.0332566379707454,0,0,0,0.0838214605132959,0.125218861808362
"LUNG-NSCLC2-0560",0.0061228093753821,0.0455825254471714,0,0.0075670640736152,0,0,0,0.0665469404821658,0,0.0213147172422607,0.0849919680067295,0.0184221819053182,0.0788112005162714,0,0.0075670640736152,0,0,0,0.0283487589667162,0.101071488065245,0.191370610667525,0,0.100500469266914,0.0743926748028149
"LUNG-NSCLC2-0565",0.0376983099711495,0.0214885053395487,0.0873349730198512,0.044072828515093,0.136182797288064,0.0641818015133056,0,0.0954137918452869,0.0924775265055066,0.0691322598817305,0.131459418019384,0.0693420252225905,0.162716705071598,0.0873349730198512,0.044072828515093,0.136182797288064,0.0641818015133056,0,0.103724551586212,0.0410635252582181,0.0918763317928266,0.0676329628606035,0.101785396829143,0.193289282550496
"LUNG-NSCLC2-0566",0.0417137402589429,0.0481643613498713,0.136321712944313,0.0550673814758592,0.092916207092941,0.100138192603164,0.0314084497557826,0.0632057584257483,0.0683301623550951,0.0573648116606669,0.236829471279449,0,0,0.136321712944313,0.0550673814758592,0.092916207092941,0.100138192603164,0.0314084497557826,0.0889608289601377,0.0949112792237534,0.113537702786063,0.119794761368314,0.0895229516912398,0.0823592470614892
"LUNG-NSCLC2-0568",0,0.0296090779104405,0,0.0142971634018819,0,0.040708267954168,0.0469748350963557,0.0691460626082951,0,0.0189336258425459,0.0602780934827354,0,0.0065203312660967,0,0.0142971634018819,0,0.040708267954168,0.0469748350963557,0.0407542171115614,0.0155422400389912,0.0943673418726024,0.015499684499515,0.0858420357081311,0.0780636506698967
"LUNG-NSCLC2-0569",0.0032238936342193,0.0327175040081122,0,0.0126191274249049,0,0,0,0.0646053167103186,0,0.0451524160750436,0.056449186997413,0,0.222415498996413,0,0.0126191274249049,0,0,0,0.0560636708151496,0,0.108863054634452,0,0.0791261037369979,0.095821996882087
"LUNG-NSCLC2-0571",0.0021069033050969,0.0055173343767315,0,0.000193501850684397,0,0.0077049340556062,0.0041041527828954,0.0665921626769449,0,0.026048871146131,0,0.233022917073957,0.236465304912387,0,0.000193501850684397,0,0.0077049340556062,0.0041041527828954,0.0564774836869413,0,0.118479232498597,0,0.0686503266109188,0.12890212176308
"LUNG-NSCLC2-0580",0.0190427923882855,0.0448224651978991,0,0.0190414265604307,0.0396717834882321,0.0026789935655453,0.0282540923133741,0.0687256897119224,0.0041291131300439,0.0289928303937395,0.0787720502723435,0,0.14485061754761,0,0.0190414265604307,0.0396717834882321,0.0026789935655453,0.0282540923133741,0.048982144464837,0.0896094904046098,0.0829582238262559,0,0.0450926787476291,0.160617274195804
"LUNG-NSCLC2-0584",0,0.053853568891886,0,0.0098007750359157,0,0.0085453373130653,0,0.0639137094606503,0,0.0032866408690959,0.147605016492783,0,0,0,0.0098007750359157,0,0.0085453373130653,0,0.0166551456366325,0.0085537605262114,0.129085419886155,0.0440698101394238,0.064032130270672,0.0995022712990056
"LUNG-NSCLC2-0585",0,0.0208856939506275,0,0,0,0.0291259555936396,0.008839520461041,0.0798560464438474,0,0.0366520918266792,0.0386455870066394,0.0618767152598108,0.166113133585647,0,0,0,0.0291259555936396,0.008839520461041,0.0567443012509847,0.0031512131671309,0.0570236384777717,0.0215326441154293,0.0456706349874172,0.117709261237437
"LUNG-NSCLC2-0588",0,0.0514996381901961,0,0.0213736166311095,0,0,0,0.0682941546336755,0,0.0425381797813718,0.145768861260967,0.0724363528818527,0,0,0.0213736166311095,0,0,0,0.0570185118187546,0.0332486171304408,0.113944366548018,0,0.0730980385724447,0.0668807167467049
"LUNG-NSCLC2-0590",0.0049654196980813,0.0235480301877194,0,0.000232618525658979,0,0.0016661778879064,0,0.074104067432011,0,0.039517145205199,0,0.0882906769495821,0.329322071778469,0,0.000232618525658979,0,0.0016661778879064,0,0.0505948779662471,0.0515497702309141,0.166406267304329,0,0.0814581799514509,0.161673741966707
