"","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Macrophages","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Macrophages","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Macrophages","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_Macrophages","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Macrophages","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Macrophages","CBSX__scRNA.melanoma__Macrophages","CBSX__HNSCC__Macrophages"
"Patient100",0.366706112669496,0.193172702730518,0.579189480410332,0.301740879289879,0.366706112669496,0.193172702730518,0.354563229130464,0.553582386883064
"Patient102",0.0615063185448397,0.200150540266534,0.174125599424549,0.0858520440746234,0.0615063185448397,0.200150540266534,0.0598796369527599,0.20108664243323
"Patient105",0.016882318756316,0.125387755188576,0,0.0720059171197387,0.016882318756316,0.125387755188576,0.0147965171017827,0.0584956057573795
"Patient106",0.0928463131295382,0.144546736271281,0.594735459048591,0.102914751576026,0.0928463131295382,0.144546736271281,0.0915417285305627,0.600259703338862
"Patient107",0.0255195594944434,0.12253063955267,0.00688000154136744,0.0683482357150664,0.0255195594944434,0.12253063955267,0.0178982191107398,0.0515832722518426
"Patient108",0.0226563171684308,0.132881727511684,0.0755897525563461,0.0671417468319233,0.0226563171684308,0.132881727511684,0.0297620657239072,0.0767893454918595
"Patient10",0.0420514409770404,0.131065659116573,0.215668053758983,0.0799771434880393,0.0420514409770404,0.131065659116573,0.0473965999122829,0.155714975044655
"Patient112",0.0404297216963852,0.127544340657173,0.112910704801338,0.0758811969169861,0.0404297216963852,0.127544340657173,0.0413906769962044,0.0835033146078623
"Patient116",0.0285273434721895,0.131845827540395,0.0870359606585061,0.0739380132842464,0.0285273434721895,0.131845827540395,0.0249826838987406,0.102639930391012
"Patient117",0.286045560773932,0.262558381958992,0.653041962735783,0.265396669314264,0.286045560773932,0.262558381958992,0.283372508253519,0.644865894945458
