"","Quantiseq_NK_cell","MCP_NK_cells","DeconRNASeq_BPRNACan_NK","DeconRNASeq_BPRNACan3DProMet_NK","DeconRNASeq_BPRNACanProMet_NK","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NK.cells","Epidish_CBSX_LM22_NK.cells.resting","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_NK.cells","DeconRNASeq_CCLE_TIL10_NK.cells","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NK.cells","Epidish_LM22_NK.cells.resting","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_NK.cells","DeconRNASeq_TIL10_NK.cells","CBSX__LM22__NK_cells_resting","CBSX__NSCLC.scRNAseq__NKT_cells","CBSX__TIL10__NK.cells"
"Pt66_Pre_AD667850.6",0.139224121303869,0.327902085990753,0.0912701674958112,0.10375880681577,0.101267721976284,0.282855604027381,0.127942222725261,0.203262958489493,0,0.0284799418732452,0.162634282970493,0.282855604027381,0.127942222725261,0.203262958489493,0,0.0284799418732452,0.208343246115543,0,0.149561432429786,0
"Pt94_Pre_AD732850.6",0.0195539061802594,0.748905639451127,0.044255274132522,0.0498160807167784,0.0406785670487892,0,0.0786209405740815,0.184541172777598,0.0223041540683354,0.0286381681376897,0.0313708961007363,0,0.0786209405740815,0.184541172777598,0.0223041540683354,0.0286381681376897,0.0837939071553236,0.0568589628710263,0,0
"Pt84_Pre_AD486532.5",0.0200512044700507,0.0428293661776324,0.063760965364248,0.069559721640654,0.0599682700589416,0.152597763528434,0.125612185701219,0.191879594555298,0,0.0307574430722645,0.0612598894563301,0.152597763528434,0.125612185701219,0.191879594555298,0,0.0307574430722645,0.113481769238149,0,0.222511836299609,0
"Pt62_Pre_AD608303.5",0.0063659756414855,0.195154900438521,0.0564850915200571,0.0660969204283352,0.0545405851403452,0.107769364804029,0.132938293647886,0.167115687692522,0,0.0196990190773916,0.0720029741004657,0.107769364804029,0.132938293647886,0.167115687692522,0,0.0196990190773916,0.122092097991626,0,0,0.0341527844141063
"Pt72_Pre_AD793922.5",0.0827838043820778,0.195884979975383,0.0561552272237023,0.066887157812592,0.0680289323054122,0.0387481215294804,0.115281828012031,0.206822357554197,0.0119517238423916,0.0222295021893346,0.0751929447162309,0.0387481215294804,0.115281828012031,0.206822357554197,0.0119517238423916,0.0222295021893346,0.140257844623818,0.00287661405759717,0,0.00460529684566446
"Pt3_Pre_E9024733.3",0.020859342773066,0.15919363761359,0.0569007107452241,0.059000926039547,0.0662842181865028,0.101162784132945,0.128683928485421,0.177084352735073,0.0757161673357324,0.0139529754100811,0.0434849932680531,0.101162784132945,0.128683928485421,0.177084352735073,0.0757161673357324,0.0139529754100811,0.115713495799325,0.0716613945419475,0.12047645849167,0
"Pt5_Pre_E9021022.6",0.0224490727407207,0.995092469299406,0.0740400978321603,0.0707876913190829,0.0666175969760395,0,0.0227975981959932,0.120526667982257,0.0406334734348797,0.00835015709588293,0,0,0.0227975981959932,0.120526667982257,0.0406334734348797,0.00835015709588293,0.0630845926546381,0,0.00672790094546252,0.00454413469611051
"Pt9_Pre_E9021024.6",0.108477388504888,0.367058876737814,0.036291011037023,0.022954042892447,0.0341515822928177,0.0278529787127205,0.128985096991228,0.1623023476857,0.0265651620769528,0.00659985707888002,0.108037210561132,0.0278529787127205,0.128985096991228,0.1623023476857,0.0265651620769528,0.00659985707888002,0.161296640645751,0.0108840039300854,0.178504914479907,0
"Pt18_Pre_E9024732.6",0.0667767997033461,4.0190348957537,0.0429491789037395,0.046123769535469,0.0396456430783017,0,0,0.113370747947305,0.0177838517118066,0,0.0373198095559664,0,0,0.113370747947305,0.0177838517118066,0,0.084703540531634,0.0218239523814355,0,0
"Pt24_Pre_AD436687.5",0.0187850180370995,0.768272973961731,0.101921513073615,0.116125635530696,0.120925557868407,0,0,0.0705628076119806,0.00801034046115112,0.067402199596511,0.0368038244493088,0,0,0.0705628076119806,0.00801034046115112,0.067402199596511,0.0472077289076437,0.0174047922913452,0,0
"Pt27_Pre_AD453873.5",0.0175722529878683,1.14102358100558,0.0732559126564412,0.085679431007803,0.0826018382417844,0.128387217965767,0.122792608395276,0.0870971306095495,0.0690295121679584,0.0291710445183503,0.00261653255578558,0.128387217965767,0.122792608395276,0.0870971306095495,0.0690295121679584,0.0291710445183503,0.0649676692565106,0.0636065257558444,0.138263208238132,0
"Pt29_Pre_AD497504.5",0.105587728017105,0.287449257454619,0.0369889208470818,0.0368665170151216,0.0367781660713984,0.0256170023931074,0.103421676371454,0.12711636326792,0.00105839301967651,0,0.096269813795617,0.0256170023931074,0.103421676371454,0.12711636326792,0.00105839301967651,0,0.164890914948629,0.0146329114717041,0.0800096551935397,0
"Pt30_Pre_AD497503.5",0.0405678050618922,0.926018932901864,0.0613370331783658,0.073409781932239,0.0685051762529883,0.201282035675207,0.149289240200848,0.147769707451306,0,0.0730126692523031,0.0386801846878419,0.201282035675207,0.149289240200848,0.147769707451306,0,0.0730126692523031,0.116980210370038,0.0437511437537431,0,0
"Pt31_Pre_AD453872.5",0.0863985726858308,0.315469933477005,0.0716700486098849,0.0611412374892475,0.0612272353791833,0.0304688863993456,0.111207285119044,0.121392352850048,0.011080985997833,0.0351447094010074,0.113322597761257,0.0304688863993456,0.111207285119044,0.121392352850048,0.011080985997833,0.0351447094010074,0.140837770069916,0.0208468746139425,0,0
