"","Epidish_BPRNACan_cancer","DeconRNASeq_BPRNACan_cancer","Epidish_BPRNACan3DProMet_cancer","DeconRNASeq_BPRNACan3DProMet_cancer","Epidish_BPRNACanProMet_cancer","DeconRNASeq_BPRNACanProMet_cancer","Epidish_CCLE_TIL10_Cancer.cells","DeconRNASeq_CCLE_TIL10_Cancer.cells","CBSX__CCLE.TIL10__Cancer.cells"
"Gide_PD1_10_Post",0.956056131760597,0.270988582704298,0.914603692162885,0.306610428265637,0.885127275971324,0.302732273580479,0.71945689775317,0.366872885424261,0.68519385471018
"Gide_PD1_10_Pre",0.95353179686026,0.317515813623614,0.917588636406002,0.351863982625414,0.903500735445858,0.349145668848151,0.93200657680581,0.404895453773042,0.802056713629487
"Gide_PD1_11_Pre",0.978945372992447,0.236785239745585,0.937065225635116,0.279094463602092,0.93604644537814,0.274822665184837,0.103517580274268,0.127082667529602,0.239027998599826
"Gide_PD1_12_Pre",0.99134249964078,0.391669796881828,0.971852996904752,0.435083598733128,0.951724672765156,0.422611459341364,0.62576076557281,0.282738224074978,0.474624108158386
"Gide_PD1_13_Post",0.97540429463037,0.349927645390627,0.947823846829709,0.393708058015368,0.933976427748341,0.388538839999661,0.802676259684266,0.406339839135367,0.864488186573044
"Gide_PD1_13_Pre",0.988677087414564,0.286659525868155,0.959934960311528,0.332782788163958,0.949934624173075,0.32956108151577,0.701153317282963,0.349475870949324,0.705202078413532
"Gide_PD1_14_Pre",0.97614251058068,0.393214478440684,0.96595331735485,0.429535660888999,0.937154255234973,0.418414615427862,0.466743525880015,0.315735840229013,0.472823759064949
"Gide_PD1_15_Pre",0.955033380248779,0.224241964185438,0.897554354139998,0.263009457278412,0.838935808589305,0.258585536596739,0.00612082288404047,0.146580427457937,0
"Gide_PD1_16_Pre",0.98811314474496,0.407376234369219,0.982050082815704,0.432437427620698,0.963557122793996,0.417676846112366,0.746343095739529,0.287709532112012,0.614579876829903
"Gide_PD1_17_Post",0.930233172795607,0.413515500621032,0.868570014678457,0.431673747953261,0.864409763715991,0.419595739501044,0.0465308584768334,0.1159836050023,0.0411547906504596
"Gide_PD1_17_Pre",0.968276027535929,0.438920651439504,0.946837233033453,0.462157895153671,0.9433576624517,0.45122532193571,0.727271578814807,0.298618923676131,0.733933494439583
"Gide_PD1_18_Pre",0.972326226248775,0.408228532119734,0.953258556285088,0.434301776708665,0.958873849068424,0.423282782445342,0.665387511978921,0.306584316483024,0.66477885990382
"Gide_PD1_19_Pre",0.96779448024689,0.299477923481918,0.944297532136627,0.335344906921989,0.947280304441798,0.335440337672797,0.801655050607455,0.391712112387297,0.831981759418474
"Gide_PD1_2_Pre",0.924084855252162,0.420850162633488,0.87737177272516,0.438940342434403,0.867742682807463,0.428041336662347,0.0775332723455603,0.125111022289915,0.0503202104550058
"Gide_PD1_21_Pre",0.949624465316433,0.260016034720747,0.91819831210068,0.300562233067035,0.912352769592449,0.297579560219613,0.459434177554976,0.220452235442412,0.313632606076227
"Gide_PD1_23_Pre",0.966132379734903,0.33957851278003,0.942840210655698,0.36615876393817,0.95925286929187,0.360353561903469,0.527727346433827,0.226902549823206,0.42326761617832
"Gide_PD1_25_Post",0.917148818014896,0.286783508248557,0.852679432910531,0.319198786419467,0.852497826517117,0.312527192244374,0.0880534768165866,0.154513275042902,0.0656650198170364
"Gide_PD1_25_Pre",0.962268680508778,0.335107929876584,0.938282729345724,0.370921231856487,0.918830111769509,0.36380859887834,0.604024231062834,0.330609417340478,0.597514538736699
"Gide_PD1_27_Pre",0.954879316298936,0.302651852088102,0.911771130243366,0.347776599351783,0.872419501136501,0.345577538887027,0.942469536058525,0.426191314190194,0.941072811037048
"Gide_PD1_29_Post",0.972034961481617,0.309729970004832,0.930431096150275,0.349078744081226,0.90161675547283,0.34396560478635,0.822372315717054,0.387279718813963,0.865506975166021
"Gide_PD1_29_Pre",0.991547265247527,0.339563807875335,0.966413529316873,0.37790126976387,0.939376502813917,0.370831145047792,0.831854557490018,0.380755616795991,0.828575965080695
"Gide_PD1_3_Pre",0.987195316715873,0.257669843958987,0.961925329513315,0.295496746911314,0.949236288485296,0.29259250257215,0.48450605181255,0.18807955967159,0.342297751022032
"Gide_PD1_30_Pre",0.987355025550138,0.399617451246168,0.963592775354672,0.422756919892735,0.956039181105762,0.409213256685004,0.869030801469379,0.421135951846562,0.7742070867573
"Gide_PD1_34_Pre",0.903523458303829,0.41599296854339,0.841388620618973,0.461012079609999,0.824556477537904,0.45037518335368,0.644126666525204,0.279255426126517,0.662192587871746
"Gide_PD1_35_Pre",0.855818636605611,0.25224028890799,0.742447808583232,0.288267912038324,0.714003766775043,0.283212444427638,0.0423742632631715,0.115455441933263,0.0404659855555173
"Gide_PD1_36_Pre",0.942105246557944,0.331294972609369,0.893809761717056,0.362416124829455,0.887231000656755,0.352995032141966,0.482754770718738,0.197829216414269,0.365878932894007
"Gide_PD1_38_Pre",0.9496046287383,0.396714315653906,0.879448195610724,0.415038590433451,0.881920221916262,0.403191048421783,0.303072747609746,0.204412052359669,0.413558717400447
"Gide_PD1_4_Pre",0.907564760585105,0.270789736532374,0.863190275005508,0.302183879026272,0.864151986117447,0.30777442662692,0.383062881131802,0.22053374649072,0.448356535941444
"Gide_PD1_40_Pre",0.855500043440246,0.421527851020815,0.835346509103832,0.440292113848909,0.815018682258061,0.428768882188123,0.286643213757622,0.18795399627167,0.287725870892988
"Gide_PD1_41_Post",0.910091341055261,0.327791272795317,0.859332029944311,0.352207997208673,0.832888427839657,0.343765622750241,0.21714142433185,0.167187866803472,0.192799370574451
