"","Quantiseq_Neutrophil","MCP_Neutrophils","DeconRNASeq_CCLE_TIL10_Neutrophils","DeconRNASeq_TIL10_Neutrophils","CBSX__CCLE.TIL10__Neutrophils"
"Pt66_Pre_AD667850.6",0,18.0846158501481,0.0160984828971293,0.0380536756809166,0
"Pt94_Pre_AD732850.6",0.0409918043906946,18.7829793553335,0.0408953644580977,0.101576628993377,0
"Pt84_Pre_AD486532.5",0.0105947437385548,16.507661421036,0.0869690359739382,0.137718370974596,0
"Pt62_Pre_AD608303.5",0.520934970803293,8.87357384034746,0.315580233365509,0.372800230227058,0.00960539945106748
"Pt72_Pre_AD793922.5",0,18.3057312143853,0.0575927920760413,0.107250014377723,0
"Pt3_Pre_E9024733.3",0.267003871799664,18.852165405166,0.10976667591785,0.244558423172128,0
"Pt5_Pre_E9021022.6",0.154277502747578,35.8162210914265,0.0536598143793716,0.111201374098278,0.0184068069564002
"Pt9_Pre_E9021024.6",0,23.5427348978432,0,0.0297705025333793,0
"Pt18_Pre_E9024732.6",0.0639990987740391,21.5243550943871,0,0.0253468605949287,0
"Pt24_Pre_AD436687.5",0.0654916976237934,16.3712996838427,0.00504982442889821,0.00913678506339578,0
"Pt27_Pre_AD453873.5",0.153356985816461,31.2216766028068,0.0519695704787616,0.129491651178682,0
"Pt29_Pre_AD497504.5",0,17.8209311716327,0.0359444899591928,0.0577380107735584,0
"Pt30_Pre_AD497503.5",0,12.8038523320919,0,0,0
"Pt31_Pre_AD453872.5",0,16.1919771978504,0,0,0
"Pt8_Pre_AD153354.6",0,18.6354768561734,0.0532466611841133,0.0788412191549044,0
"Pt11_Pre_AD153352.6",0,30.1749055267408,0.0256820094942609,0.0518694333282327,0
"Pt28_Pre_AD297619.6",0,16.3043501640975,0.035347472854657,0.0474125841265007,0
"Pt44_Pre_AD467790.6",0.0450878384767112,21.3932069068113,0.043509137322047,0.072703294612543,0
"Patient100",0.0689710994069212,8.92110823689987,0.0564950222967399,0.0856747097082511,0.00337562715093203
"Patient102",0.00699447305765052,27.0944941631886,0.0648292134097833,0.113835703538193,0
