"","Quantiseq_Neutrophil","MCP_Neutrophils","DeconRNASeq_CBSX_LM22_Neutrophils","DeconRNASeq_CCLE_TIL10_Neutrophils","DeconRNASeq_LM22_Neutrophils","DeconRNASeq_TIL10_Neutrophils","CBSX__TIL10__Neutrophils"
"Gide_PD1_10_Post",0.0909189413836032,15.0047346276359,0,0.113437976673082,0,0.169560180637582,0
"Gide_PD1_10_Pre",0.071306411887814,11.2873260268125,0.0209855953209835,0.105190796614013,0.0209855953209835,0.160338838120493,0
"Gide_PD1_11_Pre",0.166002589068926,32.1783311002918,0.019235802687141,0.132298083879464,0.019235802687141,0.144402695335403,0
"Gide_PD1_12_Pre",0.0480552309428926,14.1405814706045,0.00492332182272092,0.130444755116229,0.00492332182272092,0.178771615842358,0.00020279497508122
"Gide_PD1_13_Post",0.119776558574603,14.3085604984352,0.0500181835603946,0.134486217269263,0.0500181835603946,0.244178089437351,0.0290105604087398
"Gide_PD1_13_Pre",0.0205816362650583,13.7126895711417,0.0464708963408393,0.10414379525762,0.0464708963408393,0.151546459567819,0
"Gide_PD1_14_Pre",0.0868007044743903,8.38212940479761,0.0290097257418715,0.0817872390714566,0.0290097257418715,0.0743606504366986,0
"Gide_PD1_15_Pre",0.0361945420252417,14.6146249262144,0.0282026735597247,0.114866970100491,0.0282026735597247,0.128760495777767,0
"Gide_PD1_16_Pre",0.029403205983584,12.8620993524158,0.0390428305454302,0.133739429928878,0.0390428305454302,0.158874716583081,0
"Gide_PD1_17_Post",0.251257025195145,26.9408414181858,0.0288887605116726,0.180931980551432,0.0288887605116726,0.182123081864213,0.0159535625204093
"Gide_PD1_17_Pre",0.191430903610004,11.0959430980812,0.0292968685758023,0.104048168810778,0.0292968685758023,0.127224729517361,0.102421210074274
"Gide_PD1_18_Pre",0,16.3694633417959,0,0.132409778579318,0,0.155902044113146,0.0246504180804096
"Gide_PD1_19_Pre",0.160711498684725,11.8084501790563,0.0277423435274485,0.150862878314512,0.0277423435274485,0.288473626135453,0.124734026298925
"Gide_PD1_2_Pre",0.164955275480443,14.1112031401175,0.00373229242160896,0.131191051921504,0.00373229242160896,0.132960761934942,0.100323729697319
"Gide_PD1_21_Pre",0.137628704710948,20.5450258907161,0.0887883769729652,0.125781330989574,0.0887883769729652,0.151548088976892,0.201573196097046
"Gide_PD1_23_Pre",0.136534810294332,15.14646317767,0,0.224573135741588,0,0.261347882221666,0
"Gide_PD1_25_Post",0.158204988379334,26.5929949794701,0,0.169911010528166,0,0.19094617830313,0.0245368919934022
"Gide_PD1_25_Pre",0.0680031143596139,11.1738747105081,0.0128576411027984,0.102279712719247,0.0128576411027984,0.138788137795706,0
"Gide_PD1_27_Pre",0,12.0809292089221,0.0293329601233479,0.0700709440295471,0.0293329601233479,0.112455162100208,0
"Gide_PD1_29_Post",0,9.63999180189086,0.0302339754991133,0.104751431514935,0.0302339754991133,0.155899927754509,0
"Gide_PD1_29_Pre",0,9.72478112580194,0.0317458277305385,0.0818863068678484,0.0317458277305385,0.130587753640431,0
"Gide_PD1_3_Pre",0.0191702243275765,15.4016820237307,0.0416634839902366,0.143106673831528,0.0416634839902366,0.161664165879045,0.137722495696751
"Gide_PD1_30_Pre",0.0643091689156264,11.7721357449117,0.0260300001646463,0.0990517642874043,0.0260300001646463,0.180729118844095,0
"Gide_PD1_34_Pre",0.0874913107406632,10.2306943869456,0,0.111775894952539,0,0.13538239019669,0.00365079445256448
"Gide_PD1_35_Pre",0.111876070996954,23.3825178814896,0,0.155249385857244,0,0.161523297573671,0
"Gide_PD1_36_Pre",0.504601847831587,11.7315439330176,0.0123433720813219,0.331883640098349,0.0123433720813219,0.366461370439408,0.0707026126173202
"Gide_PD1_38_Pre",0.116591862637305,12.2952654908696,0,0.14642351318406,0,0.163614501049149,0.00768893273120339
"Gide_PD1_4_Pre",0.231025925119119,14.9682770647298,0,0.127088218473917,0,0.146201683384901,0
"Gide_PD1_40_Pre",0.0794576830874792,13.6620267849503,0,0.144299076340032,0,0.15500868524744,0
"Gide_PD1_41_Post",0.239413696165561,9.2025354366695,0,0.162118953188705,0,0.175626018217353,0.00321043590463404
"Gide_PD1_41_Pre",0.18885467024761,8.51415815635521,0.0187006705748484,0.147373249445442,0.0187006705748484,0.224245581333602,0.0136546666544225
"Gide_PD1_42_Pre",0.0962574976352329,13.2773904261161,0.0307464448286896,0.155592557495094,0.0307464448286896,0.200399336819424,0
"Gide_PD1_44_Pre",0.106559414734927,9.24917815284402,0,0.122457930402497,0,0.130937363042074,0
"Gide_PD1_45_Pre",0.054074625211446,10.3538171011058,0.011631721859874,0.129625433777584,0.011631721859874,0.133415340828386,0
"Gide_PD1_46_Pre",0.13122592070873,13.0470276108864,0.0131224587309404,0.157213895341162,0.0131224587309404,0.23161249874865,0.0367879281070269
"Gide_PD1_47_Post",0.0686045019255769,11.1476220389355,0,0.107643322974451,0,0.121007284321486,0
"Gide_PD1_47_Pre",0.109983999841716,13.1879982153943,0,0.113733504712102,0,0.115643288816314,0
"Gide_PD1_48_Post",0.135279411233385,10.2917880594196,0,0.130181739113378,0,0.130971054277684,0.00273302662640267
"Gide_PD1_48_Pre",0.0455426934618311,9.96728363196704,0.00482127220888962,0.113405193051144,0.00482127220888962,0.130454233513387,0
"Gide_PD1_49_Pre",0.158338528919273,13.5576077662322,0.0278830104122882,0.161690479913038,0.0278830104122882,0.251121251017233,0
"Gide_PD1_5_Pre",0.0319542880547896,17.3666364125224,0.0371068599849387,0.118901268236121,0.0371068599849387,0.15714032362511,0.0793359930490443
"Gide_PD1_50_Pre",0.0699981398498765,14.3071539798888,0.0117485854003267,0.129942034580229,0.0117485854003267,0.186235622437847,0
"Gide_PD1_52_Pre",0.219935925283807,27.2742146642038,0.0880830895039579,0.156407930186381,0.0880830895039579,0.188444121608109,0.244667178692351
"Gide_PD1_53_Pre",0.241934713575761,12.6279395127942,0,0.226000616408259,0,0.24323854559733,0.00918820195276214
"Gide_PD1_54_Pre",0.303690624226984,12.3606624000959,0,0.191760006206278,0,0.33105882836252,0.0668369477945158
"Gide_PD1_6_Pre",0.0299869046989765,11.3640448047929,0.0190850951321355,0.102179029301833,0.0190850951321355,0.0947373351832284,0.00084037794351198
"Gide_PD1_7_Pre",0.0749663755689789,9.92536895341479,0.00887801314531268,0.148999736541506,0.00887801314531268,0.167214570276002,0
"Gide_PD1_8_Post",0.0620385920758005,13.3741257545036,0.00809647894109164,0.0744275933214752,0.00809647894109164,0.113783364589188,0.00944325790780726
"Gide_PD1_8_Pre",0,10.6573753235384,0.0207781935994376,0.0786201014594897,0.0207781935994376,0.084141311729887,0
"Gide_PD1_9_Pre",0.117352934746518,14.9056648760603,0.00604979846999702,0.0864156276645473,0.00604979846999702,0.109461817310402,0
