"","Quantiseq_B_cell","Epidish_BPRNACan_B","DeconRNASeq_BPRNACan_B","Epidish_BPRNACan3DProMet_B","DeconRNASeq_BPRNACan3DProMet_B","Epidish_BPRNACanProMet_B","DeconRNASeq_BPRNACanProMet_B","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_B.cells","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_B.cells","Epidish_CCLE_TIL10_B.cells","DeconRNASeq_CCLE_TIL10_B.cells","Epidish_CD226_B","DeconRNASeq_CD226_B","Epidish_TIL10_B.cells","DeconRNASeq_TIL10_B.cells","CBSX__NSCLC.scRNAseq__B_cells","CBSX__scRNA.melanoma__B_cells","CBSX__HNSCC__B_cells","CBSX__TIL10__B.cells","CBSX__CCLE.TIL10__B.cells","CBSX__CD226__B"
"J1_p1_rep1_B",0.980464466992018,0.988280502832826,0.472420800267088,0.964764251620234,0.556328603765061,0.812075621733717,0.553402533130421,0.0123390766144366,0.144835572448178,0.927511010083974,0.645105267903033,0.918265909493976,0.679217568317245,0.899206741429257,0.623302282373969,0.998361108502922,0.92651535092782,0.0181220735894962,0.773143996845909,0.866927097505515,0.357799522706345
"J1_p1_rep2_B",0.965160665761874,0.986735447908796,0.480417323718893,0.963259400841135,0.56856786609898,0.806198739410782,0.563986528722803,0.0120921113181737,0.143284674599947,0.922152411670073,0.64138612704659,0.914627657041138,0.681453151785476,0.901853758232559,0.619362344489496,1,0.908125386629039,0.0166488690946007,0.783560204363472,0.877851471198763,0.351673716715735
"J4_p1_rep1_B",1,0.984862515186602,0.570079539444057,0.95544669621226,0.605582073958515,0.799733536762925,0.603036577634284,0.0314056665462996,0.161819743493234,0.854639680310258,0.621725470201918,0.939253395316968,0.703948685303728,0.895492809319537,0.616708707260439,1,0.914467943181221,0.0305069705986816,0.825613631457711,0.808899702356139,0.346302060470207
"J4_p1_rep2_B",1,0.984085398135904,0.570014017165051,0.955628373058121,0.607361811680768,0.800538072929867,0.604768727707577,0.0299600080796028,0.160693945903667,0.871520039199545,0.615763433312743,0.938819487968474,0.699720621692135,0.894116472509023,0.608626812129036,1,0.902220550300665,0.0312256977468825,0.818559672872016,0.797081016226648,0.349011089748593
"J8_p1_rep1_B",0.930867783934812,0.946053909920034,0.574874627794727,0.930470940895213,0.609053235358292,0.783771110824671,0.603792353502834,0.0454820594599556,0.171074552527818,0.93727243996686,0.603767384745825,0.915694590339548,0.69600156153301,0.864111728759138,0.600894773634846,1,0.903656933336333,0.0395477095991741,0.836737867881652,0.859824743685561,0.338187382364924
"J8_p1_rep2_B",0.94700989311091,0.932659998833079,0.554939765136948,0.903568454556756,0.599162656866282,0.772439778606321,0.595848268215924,0.0398126682956317,0.163312161694561,0.967406794410058,0.576900852546675,0.931427336591819,0.698628933195175,0.925749474529869,0.572869510764755,1,0.874478535966057,0.0368568346224487,0.777775266040063,0.941110743473027,0.325423048946711
"J11_p1_rep1_B",0.896604143010111,0.934893886537585,0.549317796856948,0.924368192214348,0.620729934442916,0.837066853905193,0.614880848265834,0.0453047119895329,0.168650908294106,0.969948294245779,0.593739003638502,0.945404997071123,0.72038320404263,0.93637194818023,0.579005582174501,1,0.873360536186063,0.0406327899340941,0.751107040759774,0.91743523579047,0.324773918680603
"J11_p1_rep2_B",0.911440342531803,0.930249443943577,0.551454235152405,0.934371790194436,0.621310288568675,0.83886013487225,0.615966258546607,0.0442684290391636,0.167324925723368,0.969753222785472,0.588277942410166,0.946899098732023,0.715950886982376,0.923424231483391,0.572899035379516,1,0.884102303864459,0.0395449147673096,0.728869257725441,0.925777286266198,0.321119680049801
"J14_p1_rep1_B",0.864415706525508,0.974797600693446,0.538954800375556,0.95396548382914,0.652258587930351,0.845756925815642,0.643209368497826,0.0438342264952257,0.164884945888622,0.958753482350942,0.593137086748758,0.951671975727269,0.744435966770166,0.93337038336221,0.576442477111037,1,0.870576105793961,0.038026683294365,0.737087987012885,0.897277125134066,0.319179921036802
"J14_p1_rep2_B",0.873727243833439,0.972845411896962,0.541655628387153,0.951501955814921,0.651605959604554,0.848360768903784,0.64461410919487,0.0433598021571271,0.164068293402385,0.963245003314077,0.596753260473429,0.955752679385882,0.748378774783995,0.921236743679098,0.579624535051209,1,0.88033909209692,0.0366922407281817,0.747101244528422,0.901566433939414,0.318162893060557
"J1_p2_rep1_B",0.779695719263216,0.978655982338388,0.532323877406778,0.949909994793618,0.638898508794264,0.882294796800173,0.625844682963812,0.0014757182947892,0.113118451818734,0.693833707492231,0.43537820418047,0.94764581197782,0.621143801908226,0.565896702689617,0.417027380490396,0.999946134841024,0.872468218356073,5.462205338023e-05,0.630240892950122,0.699551576418599,0.351367046912702
"J1_p2_rep2_B",0.791081797588812,0.975585592227976,0.535935076165037,0.951871728896388,0.64201183593156,0.882367121619636,0.629198107779076,0.0019681004467265,0.112808127275685,0.715543112708973,0.435845564619782,0.949904879075819,0.616954936048224,0.579993204438233,0.41745127256392,1,0.87624617893399,6.366014105695e-05,0.661771055854991,0.688151221743699,0.352590012371627
"J4_p2_rep1_B",0.917810951401954,0.970880819226499,0.538730018173305,0.930452417135031,0.627587014794928,0.873830040701295,0.616505548763441,0.0065980357090698,0.121870611630778,0.918198756363812,0.513781877813628,0.968213632198128,0.712619060014879,0.715839762942753,0.494260629528797,1,0.911814134202227,1.06540757308e-05,0.781091938606765,0.863964137407989,0.34109939310184
"J4_p2_rep2_B",0.888921075543219,0.967008348687236,0.532736843951777,0.927491968006787,0.615325661700311,0.873796596987078,0.6064666339113,0.0037459077686549,0.12477692419735,0.928998410571185,0.50820691754665,0.966405950399111,0.723758685482665,0.764141269128277,0.488534840217659,0.999820984779225,0.90900298088717,0.00021467596584513,0.79097863815658,0.905943261079196,0.346470176791549
"J8_p2_rep1_B",0.933396855602579,0.957523515765076,0.571793853412541,0.907303479731821,0.633239209653101,0.82646165873005,0.625537162020246,0.02460501931112,0.138019318680562,0.842684504316062,0.481234281508122,0.976767608803927,0.727361831025532,0.70393377507035,0.465055152852201,1,0.903323776189473,0.0233472250051764,0.756229060972709,0.82227541990831,0.34246213619882
"J8_p2_rep2_B",0.931700896640064,0.957823378758323,0.57069101837972,0.897138942212862,0.626507278842684,0.849254600401809,0.620102979692794,0.0214646412468106,0.138914001113986,0.812824706328589,0.485225524147617,0.973229920198137,0.723076191983815,0.684468162297793,0.468953792974343,1,0.906043128530931,0.0168363607129831,0.718541780034832,0.818897202689086,0.355512929404172
"J11_p2_rep1_B",0.815920814153116,0.948869540499376,0.573457064955582,0.895030889449807,0.620702316159212,0.839685315837115,0.613106691866107,0.0210369719703574,0.135832372355416,0.42789536955352,0.427619198954673,0.975269927780182,0.641249804526425,0.652497360562968,0.413652577020819,1,0.895394969137254,0.010806990607038,0.639561031591203,0.423847363065434,0.363548903565148
"J11_p2_rep2_B",0.868718250246871,0.941099119170467,0.585160495647915,0.889256105571094,0.636966081005123,0.839122940256034,0.630360607236882,0.0209142982872546,0.133325962470442,0.601055726989251,0.442531711446355,0.974382585970057,0.68321646513991,0.636613642317205,0.427351084717525,1,0.900224887695133,0.0132552294859981,0.718015521785812,0.604270979783755,0.366474698190342
"J14_p2_rep1_B",0.865428026443772,0.946551982109203,0.584728667711727,0.892270643187097,0.6310037500912,0.843293311973564,0.621424429653836,0.0215365787000547,0.13427426289451,0.525395236361532,0.456531625736592,0.970953902913083,0.641529192592394,0.640920797119232,0.440390609810541,1,0.900680780966343,0.013432756357408,0.705334165334996,0.529377576567247,0.362311383081875
"J14_p2_rep2_B",0.656105354942805,0.89337618652133,0.570497798455293,0.810499151443451,0.602960572170533,0.703512000794852,0.581863007879162,0.0204054029319891,0.135146516608487,0.740688989044523,0.46701591626213,0.961492782135938,0.613835743304572,0.852696132983768,0.454143563460146,0.999394862610401,0.867967237120057,0.0199639861486328,0.931898117847313,0.730530633610192,0.335399423525328
"J1_p3_rep1_B",1,0.979545773281447,0.539849107679891,0.970043352047216,0.651398527439904,0.829223305129617,0.635458924093525,0.0841173655703671,0.188357396643841,0.916743753501236,0.52674143390068,0.953007163591327,0.707121275023824,0.833360455217595,0.508672519026385,1,0.856238448548561,0.0886878144889382,0.733619087625311,0.87714310096621,0.346503250452115
