"Patient1" "Patient10" "Patient100" "Patient102" "Patient105" "Patient106" "Patient107" "Patient108" "Patient11" "Patient112" "Patient116" "Patient117" "Patient121" "Patient125" "Patient126" "Patient127" "Patient13" "Patient130" "Patient131" "Patient132" "Patient133" "Patient134" "Patient135" "Patient137" "Patient14" "Patient140" "Patient141" "Patient143" "Patient144" "Patient145" "Patient146" "Patient147" "Patient148" "Patient15" "Patient150" "Patient155" "Patient156" "Patient158" "Patient162" "Patient163" "Patient165" "Patient166" "Patient167" "Patient168" "Patient169" "Patient173" "Patient179" "Patient18" "Patient181" "Patient183" "Patient184" "Patient187" "Patient188" "Patient189" "Patient191" "Patient195" "Patient196" "Patient197" "Patient20" "Patient200" "Patient201" "Patient203" "Patient204" "Patient205" "Patient206" "Patient21" "Patient22" "Patient23" "Patient24" "Patient25" "Patient27" "Patient31" "Patient32" "Patient33" "Patient34" "Patient36" "Patient37" "Patient38" "Patient4" "Patient40" "Patient42" "Patient44" "Patient45" "Patient47" "Patient48" "Patient51" "Patient56" "Patient58" "Patient62" "Patient63" "Patient67" "Patient72" "Patient73" "Patient75" "Patient77" "Patient78" "Patient79" "Patient82" "Patient83" "Patient87" "Patient9" "Patient94" "Patient96" "Patient98" "Patient99"
"ADNP" -3.57606009066116 -0.498157688991228 5.79911048299525 -1.27321014286818 -6.41931657652746 -3.16337525304869 -2.03773793702654 -2.95881395616974 -3.41050434387475 4.52981324669528 -1.08066606197237 5.44518515812307 2.79539094359651 2.42095261902225 2.04243841523219 2.81647365465638 -1.93682556039328 0.608343745679082 -1.60950527088719 3.90455821548409 -4.03049308509198 2.21323281143205 -5.90576547116701 4.04484867381187 -2.72833595085776 -2.18318813620348 -1.6398818624489 -2.52089136204318 -2.14109917657483 -0.266423019487903 -2.41250412029737 -1.26539111982327 -3.07551881259138 -2.49322355129265 -1.14360769912036 -0.0623213052852132 -2.23902241036129 -5.70302929254547 -1.64553571730995 -2.8641459705209 -3.4403647464237 -4.47949129485646 3.87739946296594 -2.5655608690068 -3.09023658279136 -0.446117819778071 -2.44802168255715 -3.16464686498088 -1.58112888809916 -0.114117156778374 3.09646257673468 -2.10829425344657 -6.18971364203287 6.66458403398849 -0.647998252278765 -1.62442055922163 -3.76239190110025 1.35352213702949 1.91688935924929 5.56968696858316 0.74258619660181 5.37552758591439 -1.46197467917509 0.974771068332201 1.65575329127176 -2.98131319994983 -0.768149948162804 -1.59565625467937 0.43291342901035 1.14927459003665 -4.53701881695568 -3.74226926782241 -4.01048010149678 2.36607325771398 1.81944445315934 -1.23010358070356 1.20090544739993 -4.88365145597123 -2.39884879216349 -4.75139317832676 -3.16173391131812 4.22727557138763 1.09606465780329 -5.94931614870523 -4.40913876173008 1.81488756799699 4.42243858938895 -0.254760097868282 3.57818282860254 -6.36388869485559 -7.04206686194476 -2.33452112543801 0.587983120174907 1.92686451464085 0.315074279618544 4.20225230007885 4.04323780501597 -0.563293576352957 -4.27273702069957 -1.73071221608717 -0.735064846445761 -2.84041120426589 0.769515132584307 -1.2817801777243 1.20382856892289
"AHR" -1.38099272048595 0.159575405089864 1.42081799412292 0.6447688919311 -4.21887502621625 -1.22547871113004 -1.8559459431344 -2.21331996619662 -1.42811110649657 -0.163886055852756 1.43282968956981 1.90068571061638 -3.89180919468392 -1.76891293923852 1.19290846950234 -0.860050589872508 -0.87819354250323 -0.219528537400115 2.88523659708811 0.401142988122383 -1.86224693190048 -0.202567272887701 -1.88139553942106 0.545075287625803 1.81879970450147 -1.5459223644977 -1.53717387404033 -0.529401243546185 -0.812736211030674 4.00942729224778 -1.49326248064963 -0.186994527403522 -2.15775184049179 0.394959253025828 -2.5081781316055 -2.95753949840784 0.995771940849013 -4.00177270487352 -1.89896804421029 -1.05918568877823 -0.970104992711072 -0.148015868966579 -0.551090189353132 -1.0066760980151 -2.87050532591062 0.550256528012096 -1.29864715245071 -1.03312496200232 1.63690069765019 -0.47698973856538 0.613323906295057 -0.278084278855732 -4.00419874073814 2.35862667522641 -1.77008133780035 -3.15856204205056 -2.71867012362706 -0.927793125439877 1.4689339165668 -0.796131094926033 -1.17016798722466 3.77147356157873 -2.1040344910043 -0.224645914952168 3.51981981416542 -3.4855719942739 -1.49603956111656 1.93504337354155 1.08864702311909 1.0411085464036 -2.05701299088488 -0.951438500281654 -0.999481455159996 2.11666476412782 -0.311408232300229 0.998571663624445 3.32086061217574 -4.03033058635248 -0.107607444720858 -1.54022793446 -1.6851590683947 -0.156705670260971 -0.423892047852653 -0.721688646739242 -3.21461076371991 3.29277279705285 1.31148578674608 -2.07031558634842 3.27327589226289 -3.05837899513356 -3.47046704645814 0.799065940255374 -2.50927610088329 -1.00472588995048 -2.78302416152502 3.27967196937692 2.64413515325936 1.21924057312143 -1.58294354021158 -1.27091195881972 1.47530481495203 0.913743836905738 -3.25849315435289 0.526344948951675 0.125048620198922
"AR" 0.467650954980423 -0.279481336268497 -2.67933249776062 -0.522023144140116 -1.17198078607519 1.75767936032138 -0.439252324734273 1.7277420844644 1.00964299762423 0.0584662634488504 -2.14901840987579 -0.459228022388156 -1.02719666821422 -3.32887370403214 -0.822307058954934 0.300354103106652 -1.96213353709731 -0.32312383912535 -1.46368438988515 2.79637753943657 -2.14741128596825 -1.87195262189766 0.142789454909449 -1.12074820946106 -2.54624233677611 0.192664525499484 0.593126243435953 -1.92128938088281 -0.303628393135671 -0.722339118729284 0.296668879169009 -0.614501539713837 -0.484745719194889 -2.72985895375607 1.80676737938697 2.2695426502414 -0.384393288935813 1.16904747774351 0.585521699669667 -2.80665266655768 1.16722838033957 -0.330754006991467 0.684858611110267 0.471332307996234 -1.36068985277236 -3.0331734134564 -0.272773293880039 -0.617947230467215 -2.70656148237231 -1.24731006760837 1.33110842639991 1.93634644959731 -1.28139762757425 -0.417787070435715 0.345749006306174 -0.933406605306628 0.0588252368562718 -0.730121360778395 0.121244079225832 0.617911242332784 0.511842852245635 0.293857942515523 -1.19876091588873 1.8737574922265 0.0395758187983365 -0.0465119684335529 -0.248892960191528 -0.500183662301676 0.934088897306864 -3.7290503075682 -1.85542626541161 -1.46309592264712 -2.81626251685682 -3.17881092084864 -1.40993408717841 -1.87723727879055 -1.41522756223685 -1.23707199891809 -1.83640496476862 -0.700510658770205 -2.16782817893927 0.761403493726802 -1.15538338671248 -3.61463140593791 0.049471076090127 0.696732725846517 -1.53998627795394 1.07462620976187 -1.21369300283152 -0.862895681728834 -1.26568457651864 -3.2080545806148 0.191390446546707 0.445287186788058 1.62205034617012 0.578608254778442 0.576440439737349 1.54035167106994 -2.84774424539264 -2.10187143159846 0.475693325912132 -2.9992575180967 0.287943659823712 0.308202169864789 3.20036519861747
"ARID2" 2.52784879925317 -2.46108234933957 -0.648127022503775 -2.95079888086052 0.759248815090188 -5.24327320627053 -4.15674889489732 5.41624201688375 -0.473002601888471 -1.64551409238976 1.3600544240894 -3.52884662766019 -3.08354219539752 0.90542984919708 1.50376223951213 -0.339485693508161 3.34725675304625 -0.656377186862389 3.40862746827367 -1.50414939611943 0.769148577061512 1.51934695537075 1.64129419653803 -0.746667065361482 2.55604870255312 2.2471044034271 0.605561117271852 -4.56547632974581 -0.582836172277346 1.73938339210836 -1.36039367720059 2.47745321638751 -0.100767743452838 1.81286398874819 -2.64398867037547 -6.03116808269372 -3.18420473147255 -2.80771564544485 1.67012317298624 0.454567297360159 0.420795627149297 -1.64660154800579 -4.14862294100798 -1.41430736127321 -1.12015637426007 1.74969535141576 1.2478846791686 -0.798406983688116 -0.846818187490705 2.39387242566698 -3.00697771056914 -2.55579049263143 0.45589099540043 -1.36411340233554 -0.0167311030973893 -2.14219861979097 -3.48507128964313 -5.84385656786556 -1.59074802756611 -1.17637327601228 -5.33549204294256 -1.3562260608008 -0.990434676843063 -4.68449794392152 -1.80818717095589 0.368774405118912 -0.493357607404405 1.03478310138916 -5.47578267664139 2.87648554593102 5.42407093891365 1.15419116114729 3.60058859402903 2.31232103279327 0.822935099147699 3.42909367429824 1.24568845765035 1.28237866957643 1.82341692874721 -0.585074857686508 -1.33857398230172 -3.8742677353186 -5.12922180379617 2.84130725541884 1.43800916412358 -2.03352792318775 -0.363003722653972 -3.99186090221105 -0.775330796238392 3.38035423894522 1.65088486420778 1.84696384568285 0.790300400239285 -5.22989758470183 -2.38716114492911 -3.77108254314434 -3.27199703798853 1.00540979444284 2.90567966309362 2.31982599715431 -0.108073804827271 -0.467303394382864 -0.657170600838351 3.59572853840973 -2.01156705961452
"ARID3A" -1.86749934942211 -2.12554540834341 5.69030104745289 2.63394545818513 -5.27884985947332 -0.646502137405035 -1.95393291772256 -3.14814582661452 -0.153078912694554 3.9189667055183 -3.21785034339084 3.18983716034855 2.85993539639764 4.63477405724513 1.83710413570672 1.50169802911728 -0.126078888492851 1.10136328117239 -2.22382463684976 3.76698725251741 -0.15502889765077 0.269171837532365 -3.43318317940913 2.91559583625792 -2.03764243661449 -1.28886207751962 0.0709413846168781 -2.56216676006707 -3.02529448344066 -1.33012297360215 -1.68705498357895 -2.84324840858286 -0.862128995058595 -2.23391054081766 -1.5325424570556 0.0347368549509467 1.16930742502627 -0.551600118877802 1.75864845711419 -3.39517325692321 -3.78454808794378 -1.46490878698377 1.29723478981705 -2.73409113106055 -2.34140300543597 -1.10970958021132 -0.052283504777278 -4.41835389431552 -0.524373717359017 -0.999208869454858 1.80503615108926 -1.72723644448169 -2.64565434018962 1.48927196177436 0.241427307491682 1.25024226974665 -0.700698992125857 -0.017586517759139 1.82094045414481 2.11981716391077 -0.471875541550421 1.02670526529514 0.793371969447337 1.35684904918524 -0.118006177952293 -1.33995329214267 -0.177345020233997 -2.38072209526357 1.04169720452789 0.402243697723803 -0.967246705672583 -1.27344207341334 -1.81742589645054 2.57095723554595 -0.581362981021672 -0.795600995936528 -1.02364202744731 -3.14910994378379 -1.45302517896163 -4.5332059221422 2.16485406471471 3.83419426625686 3.2051396789658 -3.21880481215017 -0.56003291694372 -0.33064229949147 1.25137870332969 -0.81263024539013 0.928109780189542 -3.112860063396 -4.16486177724674 0.198660366269035 -0.54985950784844 3.22913659655937 -0.452255345223826 1.69109772664803 1.54321460611206 -0.32120754957187 -2.9461023591095 2.82491590828392 0.483293153566632 -2.67422867874155 2.87975694533951 0.589729267627023 3.14612447153921
"ARNT" 0.195281251405698 -0.728498294177601 -1.21405127204572 -1.20772519351515 -1.98328289264473 -2.2816496766784 -2.21251887779211 0.709715827864095 -1.69258789017421 -0.882206002513958 3.36700227893919 0.0412217626118766 -3.63349524290635 -4.1429237898868 -1.15526504771414 1.10774183615093 0.206382872843546 2.60003437422448 1.22951333348166 -1.54196866354212 -2.55285711057261 0.412987301348008 -2.76162631464272 -2.67120571596856 0.96769205896233 -0.77957723973846 -0.813543328157307 0.163573721588056 0.675165566715206 2.68438395251833 -2.00933606032974 0.954869801944992 -0.661230698657636 -0.325964194278991 -0.245853149198098 -2.34289621564726 0.914909142940871 -1.56093930758298 0.232588443602511 0.0850498660701339 -0.98407732749298 -1.33491596860684 -0.903715902647953 -1.9561162592284 -1.91740388691953 0.140705070137969 -0.189664585044538 -0.75357947555928 1.79379931494399 0.702462297422885 -0.854287258112842 0.75674600030656 -2.54350485845244 2.51003812471429 -3.50424105905642 -1.42114017817908 -5.24582923143751 -1.28326684991531 -1.50940089223808 -0.0497042052759372 -0.257149799756769 2.99068531172212 -0.887863088941425 -0.567353735276671 1.03724916989205 -3.87929652693243 -2.17147252578457 -0.319141059064528 -1.13127973431694 1.28613485772957 -1.70907254479535 -3.45392948122609 1.25446177308284 1.59778834053267 1.57839379735182 3.68663386996832 0.542919609177334 -1.37322393470594 -0.877256071706919 -0.301711607504793 -1.79850521987374 -1.71260880221519 -2.91575666842928 0.458857490091946 -4.16573006290983 2.97275154481383 2.53982783677898 -1.75856933197358 2.152077475033 -3.78928030483731 -1.79537836310732 1.96310199836578 -2.31244601233285 -3.70982729926227 -1.04110507583699 0.111924146824596 1.61242215441047 1.72636460462471 -1.88924357694443 0.264212149260814 -0.751505090071863 -1.12963118014214 -1.24190500262574 -0.0942044319249223 -1.53183450134589
"ARNTL" -1.46905866497013 -1.86947690320551 -0.773076579519375 -3.11594878949554 -1.05012382867038 -2.54576165983927 -1.80009322228473 0.144298512043248 0.348236745624046 2.0478964724495 0.635433657336889 -2.01452695781371 0.420550308734457 -1.96238163275199 -1.37875298181812 2.14394003898305 -0.679850273868409 -1.11261284281427 -1.86537827748824 1.58704795521888 -0.353397008115911 0.267342502476125 -0.0024153148252808 -0.821486359483457 0.145327206367399 -3.22258537748866 1.10628862336938 -2.61150334618166 0.252993809006604 0.573758885857417 -1.85571392783958 1.11127452952624 2.00763286615268 0.630588684041258 -0.669724825051872 1.83152251721017 -0.68536513201895 -2.05977910415168 2.91971071064892 -0.757459344065486 -1.7291014075181 -2.19439103728857 -1.66432870904046 -2.16324048177787 -0.734257506307249 -0.619823908789081 -0.32467976968704 0.194429121935235 1.6034025434826 1.01810348730416 0.125672053189957 0.974944873251381 -1.41311078396317 5.07578389771027 0.791574235755214 -0.388744297077597 -2.7603393609002 -1.74856993570725 -3.04804796234309 1.01832464654988 1.04380772159377 2.18676932814599 0.114269145785493 1.08954945539729 1.838904977625 -1.72896663214148 0.44871756661458 -2.04050671558177 -0.151439758988654 -0.511243540531553 0.914371850965963 -2.49704981200608 -1.32973917033782 2.21979474049215 3.67702788584656 -0.0328840954155288 2.80563386378987 -1.46024130520761 -0.401218097575606 -2.70700520165783 0.558122626375346 0.529391224692479 -0.770461198707349 0.288045774736604 -2.0348431530255 2.8036451867233 -0.673646480611055 0.674872578004557 1.58523905164799 -1.24356654410379 -1.76487809909946 0.0541014595799967 -3.77173536267671 0.631748516866919 -1.47891855403225 -1.60767461060704 -0.0228685123610038 0.716487228637002 1.20688593470464 -0.908030794992578 2.55558851761242 -0.332182644971616 2.03115717841115 -0.680073515649922 -0.928988748123332
"ASCL1" 0.876328049729299 -0.458395082979542 2.58307582150911 -0.190677171604518 -3.09357040540348 -2.86833487832482 -0.551951810724393 -2.58809545482126 -1.67057930146226 3.76658782390558 1.36991857741543 1.26811067502636 3.65511375428432 -0.719636782093108 -0.0879276477944633 2.21620803825759 0.0453504246712996 3.18349951676313 -1.29510453170196 1.22844068427691 -2.1493599487544 -1.09438513674329 -2.51838608851057 0.773317249295697 -0.464326002896638 -1.90565966376541 -3.31301629220464 -0.578299542414925 -0.983168454491557 -0.689806001076756 -0.952164340272909 1.44052869361158 -0.931816144258122 -1.32046433990772 -0.621924220591637 -0.261174719768947 0.147364536854827 -2.35674982886236 -1.74278217506496 1.64158158013753 -1.83173250721838 -1.0392453294539 3.86739845229918 -0.59485325154259 -2.47423433463885 -0.565089497638407 -1.81802350335367 -1.75778006322076 -0.868998270766897 -1.54152263106865 2.89469028474111 -2.13711460339408 -1.94412170424813 2.84143969769658 -2.0622510701061 -1.54629472877506 -1.95756472189994 1.30409751285409 0.720651523636237 3.62284816078832 1.24472086042392 3.080623797642 -1.33518060240798 -0.340379855462015 0.873741493384375 -0.733447408816395 -0.964357274914375 0.914187639457087 1.2092515164978 1.06613215793553 -1.91621715051144 -0.69225632789803 -1.28252352282935 0.0166154289432636 0.798283324139648 0.0253505911978238 1.4308449505078 -1.87234424209799 -1.37306253220984 -4.61408529598071 -2.58692270023679 1.77618494652686 -0.165720982218906 -2.62677773516473 -2.40307806360003 1.76566020921036 2.55730078348806 0.24265813203648 1.81429761238886 -2.45625069196843 -3.79943232358389 -1.62067088321216 -0.846064642005661 0.238791644956547 -3.05355453106474 2.93171008743281 1.92907853679387 -2.11678382405504 -2.05624553253726 -0.865680953408262 0.182907661860501 -1.1877032490985 1.88417178598021 -1.50839317351789 0.593015687282431
"ATF1" -1.21621281986197 -0.468581195084386 0.629762686932569 1.45143362478152 -0.633799298767859 0.881798059748496 0.611963660101476 0.0536508279667757 -1.34202018061325 -0.905948675600906 0.0906422295858215 -1.48757191695637 -0.165275490865429 -1.23964110661007 -0.793693062116315 -0.140130866267084 -0.125505929513175 1.55566492260084 1.28259623758304 1.1838235267025 -0.350562432453268 -0.467800660277731 0.390143229572172 1.31100980619299 1.00726131061996 -0.351641821869024 0.307000021064729 0.902630985776004 0.263007903343125 0.224224263396019 -0.0881097704544426 0.790741525877747 -0.461099612369115 -1.23772673871901 -1.40229491885556 -0.031699366941141 1.4519389635339 0.29530563113802 -1.29878302244726 0.160874915861092 0.0984823091240737 0.0295978960377544 1.56060609434082 1.3940677092264 -1.1369737891964 0.167913075682347 -1.78394200011984 0.609843351552018 -0.750002138632534 -0.806548240500068 1.47737346403114 0.0251038602063824 0.258721050243839 0.521008243625991 1.68186405442435 1.547171112156 -1.17651714209349 -1.67470350247878 1.43563507499151 -1.43370955223231 -0.365575112395358 0.616054289780869 -0.0368098642942166 0.78955657867227 0.0376650178153699 -0.554475972668936 -1.23914536691485 -0.181991522792198 0.110668010676624 -0.350311774705077 -1.57737218128883 -1.39169196960939 0.19632171748946 -0.862849336475647 -0.645007594627852 0.0724599999986875 1.35447251074569 -1.88641503939046 -1.05845406492232 0.500076248571867 -0.505343131488914 0.216393779044226 -0.501744893369361 -1.06763337850412 -1.00850305333147 0.827957745398038 -0.0518853252823733 -0.4406379346758 1.17041767177345 -1.41504246840414 -1.13079427796481 -3.21740233833462 -1.55991452094313 0.231072231108335 0.471112795543237 3.26965435956765 0.869384031219657 1.02560548174528 -1.80740125479171 -1.0289738368103 -0.523930517342133 0.460319837427046 -1.11790993598806 0.187287937569078 1.21661958184236
"ATF2" -1.19086299668777 -0.165721595133579 1.56788580111385 -0.981455702722727 -2.07090550844312 2.09588350798987 0.482122677069754 0.658760470269049 -0.302497375170703 0.656452104066125 -2.49358439317556 -0.00974523029147406 -0.772312758291439 0.117966969270698 -0.396206900763653 -1.69781999050737 0.776414723320831 2.49907074587322 0.302965816604993 1.86226473759147 -0.127936788524151 0.324713850655838 0.319229436618271 0.871646014610887 -0.6613652567777 -1.05929932545875 2.23025067226465 0.451609177040496 -0.637725616205481 0.929975525121246 -1.74362331776244 0.578107086914165 -2.14719666343345 -0.818906116887229 -1.03968244760274 -1.29179958730516 -1.07157548973813 -0.866740149014678 -0.458719408729029 -1.63280467208971 -0.416439377832643 0.405395362202275 -0.227277681983331 -0.460216670408763 -0.675279364036918 -1.45125696651771 1.02671664063037 -0.145629518563164 0.120469060009119 0.0701369249005562 0.362521965828479 -1.95713399671884 -1.23526648008195 1.01761559212214 -0.16765554625699 1.57307872568596 -1.35993826679641 -1.25533813485887 2.84321774485289 -0.924941420807798 0.150583388556204 0.364364032224125 -1.03407062579952 0.876543341375724 -0.465237595605386 0.468262009706427 -0.778089966897049 -0.656163601704987 -0.389136687101287 -1.74152315555037 -0.614674901940897 -1.60323007937159 -0.907011637976179 -0.378323444022131 -0.98846463930107 -0.319398461046234 1.68107057590803 -0.151331096727573 -1.53689863120018 -0.704547904149767 0.495371506795771 1.03736312488692 0.222565721285558 -1.79753916954841 -1.91512593050013 1.05623923370786 -0.7585159818807 0.711474355254597 -1.06596881289253 -0.832890707611278 -1.97208340420083 -1.92740748677198 -1.0832207571202 0.889232014898384 2.70389474353452 0.28425069824643 -0.936166288256835 1.08771798006612 -1.66511899790741 -1.1398708785196 1.27798657401062 -0.672369208791957 -1.16341234944734 2.08101959528368 2.23321895555145
