"","CBSX_cd226.signature_B","CBSX_nsclc.scRNAseq_B","DeconRNASeq_til10.signature_B","DeconRNASeq_bprnacan.signature_B","Epidish_cd226.signature_B","Epidish_nsclc.scRnaPbmc.signature_B","B_Subgroup_1","B_Subgroup_2","B_Subgroup_4","DeconRNASeq_LM22_B.NAIVE","B.NAIVE_Subgroup_1","DeconRNASeq_LM22_B.MEMORY","B.MEMORY_Subgroup_1","DeconRNASeq_hnscc.signature_MACROPHAGES","DeconRNASeq_melanoma.Tirosh.signature_MACROPHAGES","CBSX_ccle.til10_MACROPHAGES","CBSX_cd226.signature_MACROPHAGES","DeconRNASeq_LM22_MACROPHAGES","DeconRNASeq_cd226.signature_MACROPHAGES","DeconRNASeq_til10.signature_MACROPHAGES","DeconRNASeq_bprnacan.signature_MACROPHAGES","Epidish_cd226.signature_MACROPHAGES","MACROPHAGES_Subgroup_1","MACROPHAGES_Subgroup_2","MACROPHAGES_Subgroup_3","MACROPHAGES_Subgroup_4","DeconRNASeq_LM22_M0","M0_Subgroup_1","CBSX_ccle.til10_M1","CBSX_cd226.signature_M1","Quantiseq_no.Signature_MACROPHAGE.M1","DeconRNASeq_cd226.signature_M1","DeconRNASeq_til10.signature_M1","Epidish_cd226.signature_M1","M1_Subgroup_1","M1_Subgroup_2","CBSX_ccle.til10_M2","CBSX_cd226.signature_M2","CBSX_til10.signature_M2","Quantiseq_no.Signature_MACROPHAGE.M2","DeconRNASeq_LM22_M2","DeconRNASeq_cd226.signature_M2","DeconRNASeq_til10.signature_M2","DeconRNASeq_bprnacan.signature_M2","Epidish_til10.signature_M2","M2_Subgroup_1","CBSX_ccle.til10_MONOCYTES","CBSX_cd226.signature_MONOCYTES","CBSX_til10.signature_MONOCYTES","DeconRNASeq_LM22_MONOCYTES","DeconRNASeq_cd226.signature_MONOCYTES","DeconRNASeq_nsclc.scRnaPbmc.signature_MONOCYTES","Epidish_cd226.signature_MONOCYTES","Epidish_til10.signature_MONOCYTES","MONOCYTES_Subgroup_Similarity1","MONOCYTES_Subgroup_1","CBSX_cd226.signature_NEU","Quantiseq_no.Signature_NEUTROPHIL","DeconRNASeq_cd226.signature_NEU","DeconRNASeq_til10.signature_NEU","Epidish_cd226.signature_NEU","CBSX_ccle.til10_NK","CBSX_til10.signature_NK","DeconRNASeq_til10.signature_NK","DeconRNASeq_nsclc.scRnaPbmc.signature_NK","DeconRNASeq_melanoma.Tirosh.signature_NK","Epidish_til10.signature_NK","DeconRNASeq_LM22_NK","NK_Subgroup_1","NK_Subgroup_2","NK.ACTIVATED_Subgroup_Similarity1","NK.RESTING_Subgroup_1","CBSX_nsclc.scRNAseq_NKT","DeconRNASeq_nsclc.scRnaPbmc.signature_NKT","Epidish_nsclc.scRnaPbmc.signature_NKT","CBSX_ccle.til10_CD4","CBSX_cd226.signature_CD4","CBSX_nsclc.scRNAseq_CD4","CBSX_til10.signature_CD4","DeconRNASeq_til10.signature_CD4","DeconRNASeq_melanoma.Tirosh.signature_CD4","Epidish_til10.signature_CD4","Epidish_bprnacan.signature_CD4","Epidish_nsclc.scRnaPbmc.signature_CD4","CD4_Subgroup_1","CD4_Subgroup_2","CD4_Subgroup_3","DeconRNASeq_LM22_CD4.MEMORY.RESTING","CD4.RESTING_Subgroup_1","DeconRNASeq_LM22_FOLLICULAR.HELPER","CD4.FOLLICULAR.HELPER_Subgroup_1","CBSX_ccle.til10_CD8","CBSX_cd226.signature_CD8.CD226.Pos.NoAct","CBSX_nsclc.scRNAseq_CD8","CBSX_scRNA.melanoma_CD8","Quantiseq_no.Signature_CD8.","DeconRNASeq_cd226.signature_CD8.CD226.Neg.NoAct","DeconRNASeq_cd226.signature_CD8.CD226.Neg.PostAct","DeconRNASeq_cd226.signature_CD8.CD226.Pos.NoAct","DeconRNASeq_cd226.signature_CD8.CD226.PosAct","DeconRNASeq_hnscc.signature_CD8","DeconRNASeq_til10.signature_CD8","DeconRNASeq_nsclc.scRnaPbmc.signature_CD8","Epidish_til10.signature_CD8","Epidish_nsclc.scRnaPbmc.signature_CD8","Epidish_melanoma.Tirosh.signature_CD8","DeconRNASeq_cd226.signature_CD8","CD8_Subgroup_Similarity1","CD8_Subgroup_1","CBSX_ccle.til10_TREGS","CBSX_til10.signature_TREGS","Quantiseq_no.Signature_TREGS","DeconRNASeq_til10.signature_TREGS","Epidish_til10.signature_TREGS","CBSX_ccle.til10_DENDRITIC","CBSX_til10.signature_DENDRITIC","DeconRNASeq_LM22_DENDRITIC.RESTING","DeconRNASeq_hnscc.signature_DENDRITIC","DeconRNASeq_til10.signature_DENDRITIC","Epidish_til10.signature_DENDRITIC","DeconRNASeq_LM22_DENDRITIC","DENDRITIC_Subgroup_1","DENDRITIC_Subgroup_2","DeconRNASeq_LM22_DENDRITIC.ACTIVATED","DENDRITIC.ACTIVATED_Subgroup_1","data","DeconRNASeq_hnscc.signature_CANCER","DeconRNASeq_bprnacan.signature_CANCER","DeconRNASeq_melanoma.Tirosh.signature_CANCER","Epidish_bprnacan.signature_CANCER","CANCER_Subgroup_1","DeconRNASeq_LM22_MAST","MAST_Subgroup_Similarity1","MAST.ACTIVATED_Subgroup_1","DeconRNASeq_LM22_MAST.RESTING","MAST.RESTING_Subgroup_1","data.1","DeconRNASeq_melanoma.Tirosh.signature_ENDOTHELIAL","ENDOTHELIAL_Subgroup_1","ENDOTHELIAL_Subgroup_2","DeconRNASeq_melanoma.Tirosh.signature_CAF","CAF_Subgroup_1","data.2"
"R3388_YZ_42",0.228274,0.811759,0.113091,0.091962,0.285895,0.968938,0.00957425,0.1360235,0.0580535,0.03142,0.053063,0,0.004991,0.068604,0.17024,0.346572,0.23946,0.059909,0.245743,0.325022,0.22662,0.295726,0.057165,0.2125165,0.0430735,0.547354,0.020089,0,0.27183,0.120374,0.04427,0.135219,0.167265,0.295726,0.4261215,0.01991,0.074742,0.119086,0.127747,0.081594,0,0.110525,0.157757,0.14042,0.114717,0.0430735,0,0.146885,0,0.094399,0.093284,0.254674,0.36869,0,0.0476125,0.0005795,0.033785,0.021731,0.246353,0.145998,0.043663,0.025592,0.01839,0.281127,0.133079,0.091703,0.046339,0.028953,0,0.0414155,0.021658,0.0197575,0,0.138876,0.025726,0.307969,0.264879,0.057216,0.367086,0.073458,0.094212,0.160843,0.029701,0,0.161285,0.2537305,0.440045333333333,0.00373,0.4611995,0.217475,0.0877035,0,0.037648,0.131024,0,0.008751,0,0.064214,0.057232,0.160359,0.077005,0.043366,0,0,0.004177,0,0.281805,0,0.019983,0.03484,0.055866,0.07026,0.073458,0,0.145388,0.225065,0.0092,0.082471,0.017938,0.076838,0.172699,0.225925,0.1040075,0.163499,0.1040075,0.0092,0.119952,0.502485,0.187323,0.892361,0.258801333333333,0.065093,0.0497925,0.0397256666666667,0.045502,0,0.155588,0.219848,0.185201666666667,0.109835,0.110691,0.2167154,0.686419
"R3388_YZ_43",0.177168,0.910279,0.13059,0.07801,0.189837,0.913593,0.019294,0.17211875,0.073503,0.077176,0.048931,0,0.024572,0.111885,0.232604,0.575449,0.416566,0.062296,0.292483,0.439208,0.2226,0.241303,0.1133735,0.227236,0.236393,0.7489815,0.040317,0.0863305,0.575449,0.145393,0.106301,0.23137,0.361954,0.233061,0.7489815,0,0,0.271173,0,0.050792,0.021978,0.061112,0.077253,0.133945,0,0.1500625,0,0.141038,0,0.093792,0.188413,0.271713,0.562923,0,0.038559,0.009537,0.024986,0.050217,0.143757,0.153872,0,0,0,0.125785,0.099612,0.041382,0,0,0,0.053624,0,0.053624,0,0.102638,0.067333,0.336141,0.13881,0,0.299591,0.076115,0.079738,0.187765,0.023814,0,0.171767333333333,0.093381,0.333815,0.075876,0.3670675,0.143925,0.0237545,0,0.044298,0.089721,0,0.011922,0,0.056127,0.059119,0.098381,0.052689,0.052636,0.020974,0,0,0,0.213627,0,0.020422,0,0,0.089444,0.076115,0,0,0.014681,0.023925,0.05389,0.021794,0,0.179034,0.1285005,0.076699,0.155109,0.076699,0.023925,0.103561,0.49096,0.119214,0.845959,0.124834,0.069159,0.0618675,0.0543776666666667,0.029761,0,0.14951,0.169042,0.158727666666667,0.1535735,0.246913,0.2810266,0.574571
"R3388_YZ_44",0.190178,0.938594,0.057134,0.053051,0.227179,0.858556,0,0.07283175,0.0038455,0,0.0038455,0,0,0.114213,0.333936,0.419571,0.425403,0.423506,0.321342,0.508751,0.247173,0.455457,0.3464795,0.512439,0.317038,0.774857,0.078762,0.0918305,0.357455,0.229138,0.182253,0.321342,0.405345,0.455457,0.6917995,0.12621025,0.062116,0.196265,0.123198,0.065569,0.157565,0,0.103407,0.132231,0.042917,0.159966,0,0.12072,0,0.044501,0.118852,0.144561,0.299354,0,0.0392065,0.0223815,0.014246,0.062179,0.080229,0.043646,0.010187,0.04867,0.094498,0.328835,0.070901,0.008873,0.046415,0,0,0.0637255,0,0.0637255,0,0.073763,0.026282,0.041692,0.117103,0,0.071708,0.032955,0.030105,0,0.012534,0,0.220370666666667,0.160979,0.336382333333333,0.066043,0.3498125,0.114324,0.042045,0,0.028283,0.054144,0,0.023663,0,0,0,0.119749,0.074358,0.028679,0.013001,0,0.077661,0.009225,0.119749,0,0.050215,0.015117,0.044079,0.083485,0.032955,0,0.038159,0.105657,0.035242,0.04494,0,0.132007,0.069013,0.07087,0,0.03377,0,0.035242,0.126012,0.50725,0.046942,0.86344,0.390864333333333,0.023799,0.037097,0.0300776666666667,0.00776,0,0.092211,0.077562,0.0230663333333333,0,0.330329,0.2243714,0.508943
"R3388_YZ_47",0.172623,0.409145,0.083276,0.06341,0.267006,0.915151,0.00192325,0.061372,0.039809,0.007693,0.039809,0,0,0.070287,0.212913,0.31656,0.376114,0.057511,0.222108,0.352144,0.255452,0.25894,0.113729,0.3275,0.0738845,0.5135725,0.024599,0.000749,0.251241,0.184389,0.07412,0.179748,0.243446,0.25894,0.4429675,0.01647075,0.065319,0.191725,0.134005,0.056674,0,0.04236,0.108698,0.152782,0.007205,0.073107,0,0.136711,0,0.09975,0.123547,0.24851,0.466869,0,0.042103,0.0095,0,0,0.153453,0.055164,0,0.09449,0.044908,0.324201,0.116885,0.059237,0.097828,0.02823,0,0.0420265,0,0.0420265,0,0.139747,0.065849,0.149018,0.196683,0.223602,0.483367,0.094513,0.078726,0.018727,0.030236,0,0.176006666666667,0.1948575,0.420241333333333,0.075706,0.4848965,0.169925,0.02265,0,0.0528,0.367254,0.007439,0.010711,0,0,0.103394,0.11305,0.070516,0.056742,0,0,0,0,0.216444,0,0.056867,0.072938,0.070856,0.054376,0.094513,0,0.190025,0.113028,0.032247,0.069766,0.03396,0.214997,0.143435,0.218471,0.071148,0.111187,0.071148,0.032247,0.122626,0.48507,0.135581,0.898284,0.231616666666667,0.087493,0.0768965,0.0582213333333333,0.066622,0,0.154211,0.17801,0.111565333333333,0.010283,0.203354,0.303705,0.693617
"R3388_YZ_48",0.206683,0.744896,0.075292,0,0.147568,0.883588,0,0.0411555,0.103065,0,0.103065,0,0,0.044698,0.072666,0.569028,0.242715,0.07989,0.270903,0.545597,0.23779,0.266249,0.0523875,0.0538495,0.1064855,0.819697,0.023717,0.0156035,0.569028,0.133848,0.203085,0.257957,0.465485,0.266249,0.819697,0.0068995,0,0.108867,0,0.061757,0.042374,0.012946,0.080113,0.131789,0,0.0908815,0,0.153408,0,0.080489,0.150649,0.282968,0.552112,0,0.0321335,0.0180235,0.036723,0.026487,0.160986,0.12872,0.024549,0,0,0.145079,0.169766,0.056211,0,0.020575,0,0.076488,0,0.076488,0,0.121773,0.080365,0.095083,0.153636,0.022646,0.253459,0.058082,0.046873,0.100282,0.00399,0,0.096562,0.0299545,0.35362,0.137209,0.3483435,0.095309,0.0270515,0,0.06375,0.232458,0,0.010566,0.078169,0.012795,0,0.181976,0.093086,0.04723,0.007175,0,0,0.008526,0.27294,0,0.0218435,0,0,0.070538,0.058082,0,0,0.006866,0.009205,0.053536,0,0,0.148744,0.1294865,0.0930685,0.139539,0.0930685,0.009205,0.117223,0.552417,0.073407,0.917713,0.269347,0.068061,0.0710225,0.0552796666666667,0.044268,0,0.157813,0.098236,0.0757126666666667,0.027137,0.539331,0.6224964,0.559813
"R3388_YZ_49",0.222853,0.684763,0.084864,0.089586,0.303678,0.786821,0.01666125,0.1805515,0.051812,0.015712,0.0014865,0,0.050325,0.063853,0.244168,0.397054,0.422191,0.184894,0.259923,0.368254,0.210085,0.232006,0.124506,0.2284625,0.1050345,0.5538525,0,0,0.210706,0.286154,0.074005,0.204844,0.263959,0.232006,0.4505385,0.0677215,0.186347,0.136037,0.153436,0.089224,0.080843,0.055079,0.104295,0.12347,0.053192,0.073643,0.032931,0.163575,0.027192,0.050318,0.102333,0.173059,0.413399,0,0.039609,0,0.029209,0.131725,0.158271,0.175044,0.044507,0.142799,0.247933,0.273997,0.115144,0.010436,0.181757,0,0.002344,0.099737,0,0.099737,0,0.069076,0,0.18032,0,0.210599,0.178191,0.041369,0.066962,0.113691,0.061422,0.173236,0.234562666666667,0.2720085,0.445474666666667,0.339907,0.4740095,0,0.022767,0.019851,0.07031,0.097605,0,0.043357,0,0.149607,0,0.0559,0.070611,0.056472,0.026501,0.11022,0.039942,0,0.205507,0,0.0369255,0.096664,0.019955,0.083074,0.041369,0,0,0,0.005643,0.057162,0,0,0.188172,0.1470915,0.1089975,0.182529,0.1089975,0.005643,0.095172,0.496351,0.067613,0.793191,0.168984,0.02902,0.0251275,0.0167516666666667,0.02902,0,0.073552,0.111262,0.252706666666667,0.03477,0.334213,0.1596496,0.457493
"R3388_YZ_50",0.230044,0.723177,0.13954,0.125291,0.199725,0.707029,0.0286365,0.19975475,0.0617075,0.057028,0.0241085,0,0.037599,0.110081,0.349741,0.352287,0.374521,0.121709,0.164532,0.265296,0.213405,0.153315,0.153778,0.255269,0.1025185,0.327535,0.006472,0,0.216624,0.218407,0.067725,0.115882,0.161278,0.153315,0.236125,0.03888825,0.135663,0.156114,0.10961,0.063877,0.065882,0.04865,0.104018,0.122765,0.07321,0.074096,0,0.14109,0,0.077452,0.1702,0.104587,0.6388,0,0.0544795,0,0.016398,0.134685,0.149756,0.135482,0.003912,0.061173,0.067425,0.174057,0.080143,0.02628,0.079416,0,0,0.07947,0,0.07947,0,0.027423,0,0.367107,0.151966,0.273992,0.596324,0.164611,0.064266,0.488913,0.065501,0.292971,0.262421666666667,0.332467,0.449814666666667,0.219749,0.4692175,0.075357,0.0448795,0,0.033848,0.002831,0,0.013011,0,0.069434,0,0,0.027665,0.089108,0.03207,0,0,0,0.069434,0,0.031835,0.127508,0.084404,0.114124,0.164611,0.098018,0.09519,0.076281,0.030729,0.190674,0.0298,0.036571,0.203017,0.212325,0.0945835,0.172288,0.064886,0.030729,0.091854,0.466703,0.090385,0.712959,0.0710053333333333,0.043411,0.03531,0.0308833333333333,0.021381,0,0.079813,0.128263,0.111296666666667,0.030204,0.109661,0.128173,0.455723
"R3388_YZ_51",0.201481,0.723843,0.056012,0.101459,0.399647,0.753099,0.0091035,0.05895375,0.0179155,0.036414,0,0,0.0179155,0.10713,0.314824,0.233451,0.378238,0.187895,0.155104,0.433931,0.21348,0.187986,0.335682,0.4942055,0.168964,0.664802,0.01652,0.0137955,0.206635,0.204149,0.101451,0.142446,0.338513,0.187986,0.492371,0.06281825,0.026816,0.174089,0.169253,0.056203,0.074509,0.012658,0.095418,0.118934,0.17561,0.126399,0,0.121475,0,0.058894,0.134776,0.122389,0.405446,0,0.0321645,0.023435,0.009995,0.105461,0.118648,0.177536,0,0.018596,0.05528,0.224003,0.08233,0.050657,0.021509,0.000221,0,0.083407,0,0.083407,0,0.041326,0.177262,0.167369,0.175213,0.096452,0.151892,0.059089,0.051136,0.023062,0.022387,0.049163,0.219123666666667,0.3844665,0.383280666666667,0.096989,0.4170505,0.098577,0.025855,0,0.038673,0.153311,0,0.020799,0,0.029875,0,0.124353,0.06877,0.049429,0.025687,0.009586,0,0,0.154228,0,0.055246,0.089544,0.108673,0.055606,0.059089,0.023062,0,0.225987,0.058804,0.077407,0,0.180439,0.209112,0.1438745,0.0688695,0.150308,0.0688695,0.058804,0.139634,0.464019,0.126518,0.860434,0.545633,0.07657,0.0581825,0.046949,0.052087,0,0.086185,0.142089,0.173376333333333,0.004741,0.108766,0.0386666,0.614787
"R3388_YZ_52",0.184646,0.817733,0.062326,0.034689,0.170486,0.892063,0.000735,0.091885,0.0173945,0.00294,0.012947,0,0.0044475,0.099913,0.255311,0.768577,0.530488,0.150391,0.388695,0.481893,0.248443,0.359604,0.2762095,0.3196035,0.315246,0.8703235,0.052547,0.151793,0.579596,0.253303,0.171895,0.360279,0.449662,0.359604,0.8703235,0.0036885,0.188981,0.277185,0,0.064088,0.090467,0.028416,0.032232,0.143226,0,0.163453,0,0.13041,0,0.103848,0.099531,0.183122,0.420848,0,0.043211,0.0084675,0.038522,0.093516,0.160468,0.17619,0.046424,0.039303,0.043217,0.156855,0.121743,0.002639,0,0,0.000819,0.0633965,0,0.0633965,0,0.036728,0,0.172878,0.054204,0.049543,0.186012,0.082125,0.033009,0,0.013358,0,0.150352333333333,0.0861945,0.355238666666667,0.086992,0.417212,0.144301,0,0.002512,0.013397,0.132724,0,0.023653,0,0.051622,0,0,0.065362,0.040611,0.031317,0,0.088544,0,0.051622,0,0.026277,0.050606,0.186012,0.091876,0.082125,0,0,0,0.046826,0.031956,0,0,0.160715,0,0.043748,0.113888,0.034462,0.046826,0.0991,0.497634,0.03735,0.847242,0.0260626666666667,0.047981,0.027206,0.0150986666666667,0.047981,0.004558,0.17055,0.068059,0.0856143333333333,0.0071135,0.478997,0.4046372,0.457762
"R3388_YZ_54",0.259177,0.787629,0.158813,0.061939,0.353136,0.959444,0.10145525,0.2604205,0.1618415,0.109234,0.0029115,0,0.15893,0.050783,0.178344,0.48246,0.317589,0.154334,0.254205,0.521446,0.25014,0.218738,0.0203825,0.069516,0.114613,0.6205555,0.144837,0.04812,0.48246,0.201628,0.200728,0.217744,0.431141,0.218738,0.6205555,0.00859475,0,0.115962,0,0.07602,0,0.036462,0.090304,0.126452,0,0.0588015,0,0.139795,0,0.038215,0.118223,0.22516,0.398982,0,0.0165425,0,0.042429,0.05915,0.195161,0.047124,0.023086,0.043688,0,0.157146,0.113515,0.023992,0.007717,0,0,0.0748575,0,0.0748575,0,0.101975,0.009805,0.302825,0.136758,0.055125,0.282038,0.070719,0.077812,0.19288,0.012793,0.030751,0.219527,0.068939,0.348650666666667,0.143646,0.361128,0.057751,0.025755,0.010215,0.00409,0.157246,0.024443,0.026011,0.075902,0.052788,0,0.052874,0.070319,0.044752,0.010899,0,0,0,0.181563,0,0.037115,0.06818,0,0.118576,0.070719,0.044346,0.052562,0,0,0.054676,0,0.006759,0.137627,0.099407,0.0415155,0.137627,0.0415155,0,0.105988,0.503094,0.068555,0.834675,0.052511,0.063287,0.0575225,0.0383483333333333,0.063287,0,0.121056,0.115755,0.0464763333333333,0.006519,0.388504,0.4534206,0.334822
"R3388_YZ_55",0.221626,0.807065,0.101473,0.062279,0.298507,0.779827,0.00512175,0.122766,0.0304985,0,0.0304985,0,0,0.069415,0.148151,0.353399,0.390799,0.37435,0.37733,0.586606,0.216959,0.428253,0.230432,0.2115455,0.2543705,0.6136645,0.234084,0.1792375,0.353399,0.282725,0.177687,0.37733,0.531696,0.428253,0.6136645,0.05383325,0,0.108074,0,0.032927,0.058851,0,0.054909,0.103336,0,0.0488815,0,0.1327,0,0.008417,0.065914,0.190019,0.22241,0,0.0272045,0,0.034459,0.073712,0.129913,0.03877,0.046516,0.006362,0.075173,0.148397,0.122793,0.035202,0.036163,0.005254,0.008298,0.13861,0,0.13861,0.000186,0.079032,0.03613,0.142579,0.117967,0.159569,0.089624,0.073427,0.050337,0.119431,0.021265,0.182957,0.230283333333333,0.1695175,0.375381333333333,0.217388,0.3868375,0.078502,0.0282905,0,0.031335,0.009372,0,0.026546,0,0.006853,0,0.190018,0.086373,0.051327,0.022918,0,0,0.025741,0.196871,0,0.011207,0,0.055044,0.09833,0.073427,0,0.124337,0.207102,0.026061,0.057875,0,0.215656,0.072792,0.1057705,0.001772,0.046732,0.001772,0.026061,0.124878,0.550451,0.059575,0.852101,0.353717333333333,0.045432,0.0684395,0.0607703333333333,0,0,0.037874,0.074182,0.016291,0,0.500829,0.339081,0.457674
"R3388_YZ_57",0.203724,0.758094,0.063622,0.023133,0.272017,0.555811,0.0061875,0.03862875,0.0092675,0.02475,0.0092675,0,0,0.093866,0.277635,0.724987,0.366978,0.28354,0.216577,0.428759,0.261654,0.141754,0.1685465,0.266685,0.264515,0.922408,0.21314,0.155949,0.597718,0.19812,0.203976,0.195889,0.36061,0.139434,0.92154,0.0312355,0.127269,0.168858,0.001736,0.05616,0.007928,0.020688,0.068149,0.119092,0,0.108566,0,0.133069,0,0.041365,0.15028,0.208801,0.580418,0,0.0356745,0.256191,0.021058,0.12912,0.101908,0.207146,0,0,0,0.212506,0.080537,0.018851,0,0.03489,0,0.075494,0,0.075494,0,0.089602,0.173713,0.16549,0.177136,0,0.133482,0.050673,0.02066,0.021702,0.02946,0,0.113454333333333,0.106522,0.334259,0.04201,0.405326,0.105762,0,0,0.028419,0,0,0.007835,0,0.021865,0,0.081564,0.057156,0.037294,0.005798,0,0,3.5e-05,0.103429,0,0.008153,0.03555,0,0.063967,0.050673,0,0,0,0.011147,0.034606,0,0,0.131031,0.0096055,0.073107,0.119884,0.073107,0.011147,0.099711,0.501892,0.059343,0.878789,0.087974,0.083426,0.060803,0.0405353333333333,0.083426,0,0.060335,0.101401,0.217176666666667,0.0433805,0.367434,0.4262052,0.483444
"R3388_YZ_58",0.23452,0.820453,0.112624,0.077545,0.491699,0.890513,0.00194725,0.08563,0.009362,0.007789,0.009362,0,0,0.084379,0.284758,0.410325,0.261558,0.103756,0.130559,0.340294,0.224726,0.126656,0.189349,0.3398085,0.09599,0.574522,0.012133,0.0018585,0.32454,0.143292,0.112131,0.130559,0.257895,0.126656,0.463283,0.0137335,0.085784,0.118266,0.216209,0.055603,0.064156,0,0.082399,0.131915,0.00627,0.0941315,0,0.113633,0,0.089352,0.116705,0.168871,0.374088,0,0.0581585,0.025086,0.00276,0.015124,0.09158,0.162876,0,0.077139,0.027736,0.177355,0.098734,0.01779,0.069218,0.009565,0,0.075859,0,0.075859,0,0.074814,0.070083,0.102732,0.249117,0,0.241214,0.084671,0.030382,0,0.020507,0,0.171392333333333,0.0806845,0.346953,0.061455,0.402086,0.111224,0.013219,0,0.023032,0.168779,0,0.009181,0.000436,0,0,0.230793,0.063816,0.069339,0.01583,0,0,0,0.23123,0,0.056924,0.008738,0.067784,0.060223,0.084671,0,0.178212,0.228149,0.073894,0.086408,0.05284,0.281982,0.215132,0.199424,0.0996585,0.141238,0.0966375,0.073894,0.122557,0.518017,0.069394,0.868811,0.215088666666667,0.079548,0.0766825,0.0647183333333333,0.038758,0,0.106519,0.086994,0.0473623333333333,0,0.335681,0.3574566,0.623783
"R3388_YZ_60",0.204406,0.731056,0.103685,0.124949,0.32496,0.968547,0.038192,0.27718675,0.1220035,0.096825,0.061944,0,0.0600595,0.091179,0.224583,0.328081,0.286722,0.117393,0.202682,0.258444,0.286792,0.190542,0.049229,0.1992885,0.1167065,0.554632,0.049191,0.0565185,0.328081,0.182519,0.07199,0.114941,0.203926,0.190542,0.554632,0.025089,0,0.104204,0,0.055325,0.018024,0.087741,0.054518,0.166195,0,0.060188,0,0.18424,0,0.064428,0.165439,0.200717,0.440196,0,0.050022,0,0.067605,0.167623,0.253444,0.248734,0.040169,0.087547,0,0.188325,0.125006,0.086074,0.256232,0.042564,0.001327,0.070098,0,0.070098,0,0.090273,0,0.404486,0.178604,0.1438,0.490993,0.116143,0.088698,0.039043,0.037583,0,0.287632666666667,0.3058935,0.358642,0.066807,0.41844,0.08954,0.024809,0.036236,0.028788,0.121163,0,0.008809,0,0.074087,0,0,0.049856,0.044412,0.016128,0,0.031453,0,0.074087,0,0.0147595,0.079939,0.095597,0.069534,0.116143,0.039043,0.066474,0.04731,0.048972,0.149822,0.040257,0.015344,0.158035,0.2470935,0.06517,0.109062,0.06517,0.048972,0.10079,0.387752,0.158745,0.775977,0.0293876666666667,0.09236,0.0500765,0.0333843333333333,0.09236,0,0.084916,0.18693,0.10198,0.0013595,0.076164,0.1177876,0.502006
"R3388_YZ_61",0.187248,0.836554,0.086878,0.013734,0.09168,0.917233,0.009335,0.02147225,0.0234365,0.03734,0.0234365,0,0,0.053248,0.126193,0.563363,0.450005,0.185249,0.374248,0.47643,0.2793,0.293772,0.1162205,0.137024,0.334187,0.836057,0.082074,0.099903,0.563363,0.257391,0.124277,0.352303,0.36178,0.293772,0.777615,0.000927,0,0.192614,0.116884,0.089124,0.10132,0.021945,0.11465,0.15873,0,0.2342835,0,0.146314,0,0.100432,0.090198,0.255313,0.567065,0,0.051663,0.029042,0.056868,0.026958,0.237596,0.083714,0.04524,0.025428,0.090628,0.186884,0.158543,0.031551,0,0,0,0.065803,0,0.065803,0,0.099528,0,0.190835,0.097316,0,0,0.083108,0.033878,0.140276,0.005172,0,0.0975046666666667,0.0205405,0.333026666666667,0.172661,0.386857,0.019506,0,0.008773,0.004237,0.153922,0.009438,0.010322,0,0.066984,0,0.017868,0.089598,0.081568,0.013387,0,0.034207,0.019932,0.084852,0,0.034858,0,0,0.062063,0.083108,0,0.147472,0,0.042927,0.040711,0.001418,0.083741,0.156672,0,0.038562,0.113745,0.038562,0.042927,0.11628,0.486567,0.053996,0.916838,0.0865583333333333,0.075468,0.039168,0.0272676666666667,0.072001,0,0.124943,0.095005,0.0229246666666667,0.0098865,0.547893,0.6669184,0.61622
"R3388_YZ_62",0.216878,0.721075,0.083042,0.103933,0.195633,0.922297,0.00032425,0.0461865,0.0118405,0.001297,0.0118405,0,0,0.063122,0.238718,0.547862,0.312966,0.058283,0.257237,0.257843,0.277227,0.219024,0.0383555,0.2566025,0.160494,0.758468,0.030619,0.0688885,0.412436,0.187979,0.051345,0.166873,0.186383,0.219024,0.758468,0.01885175,0.135426,0.124987,0,0.101683,0,0.090364,0.071459,0.160437,0,0.0815655,0.250836,0.168424,0.310979,0.116051,0.135223,0.232756,0.561696,0.095277,0.0715065,0.017292,0.012336,0.163557,0.177898,0.19813,0.014454,0.074126,0.021636,0.182333,0.146496,0.069285,0,0.035946,0.0143733333333333,0.1107695,0.0074745,0.1032955,0,0.078596,0,0.099176,0.123256,0.278925,0.041735,0.11381,0.068745,0,0.062431,0,0.133934333333333,0.234461,0.359153333333333,0.058274,0.417744,0.183698,0,0.027999,0.116462,0,0,0,0,0.07061,0.108521,0,0.071876,0.058296,0.024435,0,0,0,0.179132,0,0.0616685,0.035985,0,0.140745,0.11381,0,0,0,0.035154,0.031018,0.002362,0,0.159445,0,0.04177,0.124291,0.04177,0.035154,0.089871,0.353827,0.135446,0.786002,0.020177,0.081902,0.0758335,0.0168173333333333,0.081902,0.0506075,0.165614,0.209102,0.340103,0.3331845,0.15209,0.239456,0.41454
