"","B_LungPredict_Subgroup_6","B_LungPredict_Subgroup_7","B_LungPredict_Subgroup_1_2_5_4","CAF_LungPredict_Subgroup_1_2","Cancer_LungPredict_Subgroup_3","CD4_LungPredict_Subgroup_1_3_4","CD8_LungPredict_Subgroup_4","CD8_LungPredict_Subgroup_1_6_5","CD8_LungPredict_Subgroup_2_7","M1_LungPredict_Subgroup_1_5_3","M1_LungPredict_Subgroup_4_6","M2_LungPredict_Subgroup_3","M2_LungPredict_Subgroup_1_4","Mono_LungPredict_Subgroup_1_2","Neutrophils_LungPredict_Subgroup_1_2","NK_LungPredict_Subgroup_2","Dendritic_LungPredict_Subgroup_1","Dendritic_LungPredict_Subgroup_2_3","Endothelial_LungPredict_Subgroup_1_2","Macrophages_LungPredict_Subgroup_1_2"
"LP.01.01",0.230591219483243,0.774277934162022,0.0419927817202066,0.525818586898753,0.110783412332643,0.143652794761335,0.0125708590365508,0,0.0131410298746721,0.261396805124345,0.183336081773619,0.0604788331021529,0.180119037387664,0.0524266761287842,0.0895800678874697,0.0719839381104894,0.0228385967092828,0.0362491053847282,0.115350682173135,0.239078276830382
"LP.01.02",0.202766107885333,0.607424444397566,0.0360289667471683,0.427765617290321,0.046956203993361,0.109434306911977,0.0984740004973537,0,0.0726250648815076,0.381071290475177,0.189601794048387,0.0752506219525412,0.112452533207131,0.0689189641793258,0.179627851252137,0.0119029170000463,0.0390090479973341,0.0558851443452746,0.218968870809367,0.195627574643395
"LP.01.03",0.169338722965091,0.610065545671796,0.0439989267568117,0.332317004668339,0.0252357860583569,0.150184744890348,0.0201591799227468,0,0.0295309383066444,0.344904339109931,0.196847840064923,0.129679892760947,0.13753729581392,0.0930217164635947,0.199180460631288,0.0202466141148226,0.0147090586101033,0.11717268758576,0.194023008314457,0.246946708092329
"LP.01.04",0.279188398458957,0.611960196815803,0.0298635999695689,0.657238492132337,0.512708065101813,0.0387826466636098,0.049415865832663,0.0105830275003268,0.176697009996567,0.246388105462545,0.168117345600036,0.0342092343066667,0.0816767748079109,0.0697983768530412,0.0753319814614856,0.00543651466544376,0.0389087977596161,0.139168127247753,0.0966044309282364,0.0930021235776211
"LP.01.10",0.18766367672063,0.634214276519696,0.0282185414012942,0.545776903380877,0.170678438685929,0.0965281069510751,0.0207987638650722,0.0078936008162277,0.0561257282545372,0.344204272657063,0.210971339767569,0.0610931025662624,0.135443596527438,0.0708559588458895,0.0963614504049404,0.0755137434879472,0.0103176721117773,0.0890557541328723,0.0979844388312897,0.195710353984381
"LP.01.12",0.096035233770998,0.542137701785481,0.0281760846914621,0.387914590742347,0.00726594525804927,0.101177493467551,0.0229838921225729,0.0120813641063837,0.02149275034781,0.522732433342086,0.213862104233005,0.159678699141572,0.0798385882680603,0.0987516915345963,0.156512079199498,0.0421516659070321,0.0449446263015804,0.00795666839736758,0.222148723824693,0.239432149963827
"LP.01.14",0.245093296354935,0.589680424152077,0.0735590450540877,0.47372595595293,0.277951020631376,0.118585276263206,0.0189493592676629,0.0606688358816903,0.106446989797661,0.371449651401863,0.256596462770505,0.0604208156158675,0.0652508102686069,0.0718678755798132,0.0641775003646379,0.0439031877726901,0.00983899549649467,0.0408754352969064,0.0740692557764511,0.199992263181161
"LP.01.16",0.16733329113277,0.562892904469321,0.0494926484794406,0.500427432571588,0.248070475474561,0.121789484381545,0.0193149984569601,0.0287954968971404,0.0816261898235698,0.464234626230041,0.346775643957215,0.0885289913906946,0.0549947344555941,0.105243610002104,0.0924193238236709,0.0446786136953275,0.0186851724529795,0.124982169001152,0.0360434028930973,0.182835273838522
"LP.01.18",0.215675255685006,0.616180057537084,0.0241430922493559,0.404794015476967,0.265292421969765,0.0911349526495274,0.0157115448458006,0.00730483518686296,0.0932364375053603,0.452329811106955,0.285716979039285,0.0514125064067555,0.0870227697251859,0.0819339494413901,0.14218010092893,0.00443877270935699,0,0.113618542933205,0.0725270089775659,0.297332539883938
"LP.01.19",0.124293048357398,0.567778968571333,0.031422977202564,0.388831798436533,0.0519306178519178,0.237954766292845,0.0172225175407595,0.00156162111177645,0.033568155255943,0.481142371836491,0.267500251300814,0.0997491728093657,0.0525046067007985,0.0942438967152692,0.131412185252634,0.0336880899620351,0.00195897203787026,0.0427050720851559,0.18582980275082,0.186970476010986
