"","B_ImmunoPredict_Subgroup_1_3","B_ImmunoPredict_Subgroup_2_7_6","B_ImmunoPredict_Subgroup_4_8","B_ImmunoPredict_Subgroup_5_6","CAF_ImmunoPredict_Subgroup_1_3_2_4_3","Cancer_ImmunoPredict_Subgroup_1_5_4","Cancer_ImmunoPredict_Subgroup_2_3","CD4_ImmunoPredict_Subgroup_1","CD4_ImmunoPredict_Subgroup_6","CD4_ImmunoPredict_Subgroup_7","CD4_ImmunoPredict_Subgroup_2_3","CD4_ImmunoPredict_Subgroup_4_13_9","CD4_ImmunoPredict_Subgroup_5_10_11_8","CD4_ImmunoPredict_Subgroup_12_14","CD8_ImmunoPredict_Subgroup_4","CD8_ImmunoPredict_Subgroup_3_7_5","CD8_ImmunoPredict_Subgroup_1_6_2_6","M0_ImmunoPredict_Subgroup_1","M0_ImmunoPredict_Subgroup_2","M1_ImmunoPredict_Subgroup_4","M1_ImmunoPredict_Subgroup_5","M1_ImmunoPredict_Subgroup_1_9_8_6_9_8","M1_ImmunoPredict_Subgroup_2_7_3_7","M2_ImmunoPredict_Subgroup_1","M2_ImmunoPredict_Subgroup_2_3_4","Mono_ImmunoPredict_Subgroup_3","Mono_ImmunoPredict_Subgroup_4","Mono_ImmunoPredict_Subgroup_6","Mono_ImmunoPredict_Subgroup_1_5_2_7_5_8","Neutrophils_ImmunoPredict_Subgroup_1","Neutrophils_ImmunoPredict_Subgroup_2","NK_ImmunoPredict_Subgroup_3","NK_ImmunoPredict_Subgroup_4","NK_ImmunoPredict_Subgroup_9","NK_ImmunoPredict_Subgroup_6_13_8","NK_ImmunoPredict_Subgroup_7_11","NK_ImmunoPredict_Subgroup_1_2_12_14_10_5_10_12","Dendritic_ImmunoPredict_Subgroup_1","Dendritic_ImmunoPredict_Subgroup_3","Dendritic_ImmunoPredict_Subgroup_5_2_4","Endothelial_ImmunoPredict_Subgroup_1","Endothelial_ImmunoPredict_Subgroup_2","Endothelial_ImmunoPredict_Subgroup_3_4","Macrophages_ImmunoPredict_Subgroup_1_2"
"IP.108b",0.0630643682736187,0.0840656542955334,0.391944411200405,0.150557048675268,0.717659694096981,0.588068866363839,0.489021051309897,0.016012084145645,0.121782969040521,0.0307176008564563,0.0154173681390082,0.0567494157115806,0.113325195050195,0.195038851516317,0.0566817690995921,0.0493069037811833,0.00949868748510243,0,0.225587832745778,0.0377213991280827,0.0758729500229352,0.376164551725877,0.0837976905987043,0.0262647073557172,0.0945645149262852,0.429029271613934,0.305361382561442,0.0422402437269291,0.0500600055223553,0.183726744106024,0.00260731397250486,0.103364616033751,0.0693292691729043,0.000885056025980546,0.0830713714446378,0.0506158014558793,0.0773603213943091,0.0344769301391023,0,0.132265567102998,0,0.107642135005121,0.0812690540556198,0.0523838610386452
"IP.115b",0.0656102210694998,0.106710287088508,0.571550414846309,0.186229501587975,0.554058823435994,0.881445081040975,0.42326214896832,0.00411600109227624,0.0499890602972037,0.0147581636618473,0.0607547456833719,0.0677871931613244,0.086517010896376,0.134099907894185,0.0521261478841529,0.0772154996972112,0,0.0126956437511601,0.0178686069513026,0.0180869616379159,0.106756532640751,0.18200747544983,0.0645839188337478,0.0390774277156264,0.0984617919019725,0.129339493473075,0.269709443078176,0.07142494404058,0.0547016690440006,0.0788164147308122,0.0290383186574678,0.157694725381533,0.0661784288911099,0.0110596663886969,0.0594579351178626,0.0438198364928007,0.0857582859802208,0.0441352315352097,0.0355844361047715,0.18088912380529,0,0.153002454862922,0.218141437256163,0.137005626801474
"IP.124b",0.196905645684534,0.10416245495504,0.796578176328827,0.203277862111731,0.679409763121466,0.426673428139474,0.528677320925804,0.0141858533628966,0,0,0.00375527231922754,0.0547092865100076,0.109821404755356,0.484362901351572,0.06169431693001,0.0431048018298134,0.014601818960139,0.0323256210108636,0.0107808914663816,0.0158747068570421,0.0287739242904519,0.179895324190748,0.0343585276564552,0.0403650626235984,0.0796239918095736,0,0.242806071154359,0.0648059342952433,0.059056949800897,0.0662341889045803,0,0,0.0443560043328542,0,0.0421210469336307,0.0415979184212202,0.0692036605012632,0.0537530399991843,0,0.0203408798523912,0.0132058941132502,0.093855571149018,0.0803017643153755,0.0563798354083155
"IP.127",0.0621483895086473,0.140921618980213,0.822448937763769,0.209044689323021,0.41357725014431,0.737889359647646,0.290497334531483,0,0,0.00195316450019591,0.0344429632852289,0.0833207983015348,0.0810960830479345,0.199208631181988,0.0589912272002667,0.0372902688514403,0,0,0.14269377502054,0,0.0712824877960016,0.200009562532736,0.0792878764325999,0.0406866034128557,0.134320807759282,0.0183676782815766,0.250712320997351,0.0680684665310647,0.027418461465039,0.16986388925684,0.0224625503113772,0,0.0603597931442764,0.014527923397687,0.0381382941235244,0.101510778133796,0.116979453995346,0.0760656309653837,0.0133455681542277,0.22699861656079,0,0.174000125688712,0.363601352437145,0.179096649202494
"IP.138b",0.0556662677415886,0.100027088500047,0.722182247219911,0.296550916488759,0.574760425466002,0.530479398458155,0.478359759643279,0.0013587407431724,0.0382151707718513,0.00905957138703032,0.00951493019432621,0.0175762146615279,0.123957222652496,0.278114723107627,0.0439440165677245,0.0259510984037693,0.0176916004021265,0.0113086240963754,0.0991647309706301,0.00419193103790312,0.0248069041471421,0.406944801144086,0.0431039748456445,0.0632128204142093,0.0943529453509174,0.0245764467066228,0.199385370902817,0.0427003845417066,0.0940165594300733,0.126742029753012,0.00921681931682659,0,0,0.0423540585696478,0.027234717507233,0.0657169114709346,0.0531214823174333,0.00420731303459332,0.0153869537064487,0.0268206344646685,0.0152063965543306,0.0922712528153465,0.145049709877254,0.221891651694326
"IP.140b",0.0386052382078828,0.102174449782541,0.688219006945654,0.256115829520931,0.45961087043768,0.612604139084225,0.411226754290388,0.00114548124731031,0.118342486630823,0.0125589242237456,0.0157297446184603,0.032919291623327,0.128126325510653,0.0849476243553021,0.0662663849581461,0.0440986918030785,0.00763492889184535,0.00142614057181746,0.0203761302770362,0.0161707588327371,0.093140746953717,0.236154115644813,0.0675476808287197,0.151487489508613,0.0998397507804505,0.0332504022286091,0.211291257336845,0.0647038955513926,0.0880867253419179,0.0704912920909774,0.0213618032514739,0,0,0,0.0472623567604965,0.0689419224276962,0.0762714446681235,0.0830945794159131,0.0119971553799352,0.0137596247160776,0.00582892049734212,0.106702593896136,0.247688562919661,0.291073675790655
"IP.148",0.0842136319526601,0.102037186906625,0.777077959481188,0.219984955605396,0.539659945929964,0.615604658768742,0.510293991084362,0.0331812775395168,0,0.00547106194801508,0.0278322214716847,0.0599493321906505,0.172674690650361,0.109901562622405,0.0091211556857572,0.0719572538081635,0.010288056313853,0.0100123917427508,0.0161549616509346,0.00947495222176392,0.0212865754535798,0.370588221946372,0.0609521852176097,0.0515378519347632,0.0794137181597397,0,0.235164025730234,0.014039042611987,0.0615745381765029,0.112165166513335,0,0.0434616391452294,0.0941447277945005,0,0.0128207672009246,0.19220308668159,0.0627414124906782,0.00154512281109617,0.00515979045586242,0.101285623346824,0,0.105053262399642,0.15992865581657,0.137603216760506
"IP.197",0.0433834230567141,0.122347495095075,0.601381656953585,0.209998393413754,0.610612667505536,0.898898451460888,0.376260656649606,0.00124506469340398,0,0.0939561563775348,0.0219669439038651,0.0945122161205305,0.0652993997033761,0.0739965934170063,0.0358514254304294,0.0983667026970623,0.000544248301517803,0,0.0155057217401314,0,0,0.143071061908629,0.0698085217467018,0.0501881877674639,0.11702121726874,0.111986733837634,0.244958341422231,0.0516009407114818,0.0292677574791158,0.0821366753018416,0.0319035792277244,0.105963350111729,0.038912702074432,0,0.0325534733018737,0.1415056671871,0.109832596496881,0.113320613577144,0.00630230910166645,0.279970065754607,0,0.174984419669826,0.147544204049855,0.0739348410913984
"IP.214",0.072677983102855,0.12780831357062,0.74794760850755,0.18466120899523,0.474839679424468,0.848352446401778,0.381797565724839,0.0011093673118705,0.0300816930943835,0.0166142365714389,0.0417440352238592,0.0733395014849421,0.110096469442436,0.0494516474992468,0.0587114515291618,0.0796071503706126,0.00251553615653268,0,0.0341522681037154,0.00642620143068399,0.0757824058129671,0.0464539707182861,0.0765342094336442,0.12280829563931,0.115416452710437,0.0668171767240635,0.260093525563961,0.0560048318733272,0.0512139861424017,0.119261501384206,0.063345806858661,0,0.0661754506761003,0.044741216233395,0.0344860706769217,0.0749795851821016,0.100584156829843,0.27828610983873,0.0439762582922188,0.222741633219133,0,0.189788258149107,0.0867609237809373,0.177633934365257
"IP.28",0.0552634768409506,0.138339926195257,0.199125712926384,0.164924203090111,0.609770496400305,0.917737166154596,0.380965669197862,0.00101855549148375,0,0,0.00251617604956291,0.107161820204847,0.0890731547353484,0.213804160323408,0.0617007752121581,0.0645286888948055,0,0,0.179287055945942,0,0.0182942403686264,0.0262786836814448,0.0700251816778579,0.0539261664952264,0.110321332245235,0.608396277877124,0.279559801782012,0.0554526889534817,0.0255550506403614,0.114868675917547,0.0907774372493252,0.040593894653704,0.0618942697884588,0.0561902164599503,0.00543807773705941,0.0652475718508135,0.100185744785175,0.213615767993551,0.0254944088668463,0.192794787796317,0,0.186003846374844,0.207800904336899,0.0227213551370363
