"","B_Liu_Subgroup_1_8_7_5","B_Liu_Subgroup_3_6","CAF_Liu_Subgroup_1_2","CAF_Liu_Subgroup_3_4","Cancer_Liu_Subgroup_3_4","CD4_Liu_Subgroup_2","CD4_Liu_Subgroup_3_9_8","CD4_Liu_Subgroup_4_10","CD4_Liu_Subgroup_5_11","CD4_Liu_Subgroup_7_12","CD8_Liu_Subgroup_1_5_3_2_4_3_5","M0_Liu_Subgroup_2_3","M1_Liu_Subgroup_6","M1_Liu_Subgroup_1_5_7","M1_Liu_Subgroup_3_8","M2_Liu_Subgroup_2","M2_Liu_Subgroup_4","Mono_Liu_Subgroup_2","Mono_Liu_Subgroup_1_8","Mono_Liu_Subgroup_4_10","Mono_Liu_Subgroup_6_9_7","NK_Liu_Subgroup_5_8","Dendritic_Liu_Subgroup_1_8","Dendritic_Liu_Subgroup_6_9","Dendritic_Liu_Subgroup_3_5_4_7_4_5","Endothelial_Liu_Subgroup_2","Macrophages_Liu_Subgroup_1_4_3_2"
"Patient100",44.8285282814747,0.530520555466424,0.258940911270105,0.222513069486031,0.298095667441944,0.0510132059259765,0.096463391320775,0.0323181915113242,0.163543654554295,0.113779087374421,1.55432758018213,0.0318639501917282,0.287017946886037,0.403255520497047,0.0657159629501075,0.0420726943284699,0.088764586015228,0,7.77092811128345,0.0219069981529208,0.00780488963173233,0,0.742413543618996,0,0.0101679609121287,0.0076463851973406,0.371455330503647
"Patient102",2.56484389248482,0.70066106692417,0.212494903196566,0.597155549051612,0.469536040699276,0.0586774239098184,0.225104559432569,0.258896853122386,0.0559586436942043,0.267025429736876,0.0503469136250463,0.0937005172744274,0.313896728511611,0.195375951131417,0.00110312587635472,0.195788892359243,0.312632761616287,0.1143687132708,2.16570084999421,0.0106782799330822,0.0520595245462704,0.0554932052308913,1.29591088480237,0,0.0374222586329515,0.0204716253967136,0.144813239401598
"Patient105",0.503648828331251,0.409588573555966,0.0915141702713557,0.303060872538826,0.82499676826828,0.0444656851121756,0.41700789198598,0.117788139871871,0.0624444848446649,0.0357024656384441,0.245313154554867,0.0371702133801013,0.0707940333870052,0.0696175491060978,0.0249625629493359,0.0173059462497115,0.294969464088027,0,0.270284115461477,0.020837911216031,0.0669048207229393,0.0899746841710791,0.11499984007199,0.160360600250619,0.248224043884447,0.0765748838436346,0.0561380957722474
"Patient106",9.48946593210944,0.930865449568985,0.0982437656090555,0.283802601843227,0.747551241593694,0.00657288608745779,0.302167610107804,0.0360632551068555,0.0509918614647767,0.0627701074524442,0.0703013888298896,0.313399603138122,0.225439239464307,0.204950216218459,0.0453401893356399,0.0301212676724868,0.134028469096281,0.0143589537404853,1.71918250223099,0,0.0442205691544786,0.023339396534069,0.857579554163853,0.00126332559911561,0.0251478941114689,0.0308497258175973,0.266871371680878
"Patient107",2.88323322602837,0.450276692099702,0.195567140449255,0.623610877781533,0.648276304493967,0.0139923402907348,0.377693397058328,0,0.556556186906703,0.00443132197672897,0.0173181824745727,0.0660019484190921,0.168503604671199,0.244051133932343,0.00573000670286802,0.0343721425635637,0,0,0.0528282023075114,0.0349279489753077,0.00710871336740464,0.256783617933521,0.0101502796321842,0.0176534894114272,0.0893298086920156,0.0289279092243589,0.0574606637470765
"Patient108",0.1776285560366,0.653380204463545,0.100122687573024,0.491327101460919,0.5942897227063,0.026604734501168,0.411573428768178,0.226722144790223,0.292006530821242,0,0.0803472035724947,0.0426283072507766,0.090224929201915,0.150306907354364,0.0165892185933976,0.0169569021942916,0.0658917915820605,0.0196205332880294,0.489078443097819,0.000999570690739373,0.0172634040253934,0.0273774234283942,0,0.160082583740577,0.188514256057313,0,0.0760352628878941
"Patient10",3.39695590449561,0.812847574749292,0.120652595541519,0.525308351365695,0.847719823723915,0.0257761875052157,0.340097186308663,0.29774528432885,0.0733101863696185,0.32497510566725,0.0748621738362362,0.0645898145468492,0.130244782511213,0.129516920329464,0.027517367549815,0.00853917149525313,0.167089021047497,0.0193778669686572,1.26371591165835,0.0411408404376812,0.0744041821236918,0.0584915479941282,0.278111269006427,0.0655892722544999,0.0539657648518154,0.101273708337185,0.116553551422353
"Patient112",7.34402009881486,0.795701282255534,0.133390193084966,0.518989428989207,0.597048004444336,0.0372206866764689,0.279119578595934,0.282182404224843,0.0222301557312244,0.0735444332667572,0.124762279496895,0.0335127218523768,0.186620161733739,0.190280522227562,0.0631518498281434,0.0120651532777716,0,0.0236234127719307,1.14909896304964,0.033464311735082,0.207487649225178,0.090789934511455,0.45715924403259,0,0.0414909369027101,0.0772642394557784,0.0869264106862799
"Patient116",0.622055911797395,0.926474810839135,0.174926220442328,0.547024020819372,0.75965029436332,0.00750332887207533,0.314008899436474,0.0913010656424572,0.0753890810671063,0.188503334083096,0.0106965362648891,0.0801832806241834,0.221504697558972,0.0774078068731712,0.0500231876093229,0.0164782984526764,0.079643322392885,0.0537612431801099,1.1704939578514,0.0621710282397038,0.19924679238319,0.0476631814792818,0.378905575123867,0,0.0519098002066257,0.10150697129571,0.0825493574071008
"Patient117",11.5667885073748,0.96534608305488,0.227998185830207,0.282261114531301,0.200580795609275,0,0.149010975481836,0.0571604535154338,0.02780037651527,0.0922995305766741,0.0608352068182144,0.039643523130644,0.263315437671271,0.331712783555813,0.00369396518864339,0.325881986389876,0.22576936428693,0.00397251359619697,7.50406230006788,0.00512657218321914,0.0844044498118905,0.0190610084983314,0.719922579497695,0,0.009526396421931,0.0391911175007403,0.391163117289025
