"","B_KRAS_Subgroup_4","B_KRAS_Subgroup_7","B_KRAS_Subgroup_1_8_2_9_3_6_2_5_6_3_6_2","CAF_KRAS_Subgroup_1_3_4_2","Cancer_KRAS_Subgroup_1","Cancer_KRAS_Subgroup_4","Cancer_KRAS_Subgroup_2_3","CD4_KRAS_Subgroup_3","CD4_KRAS_Subgroup_5","CD4_KRAS_Subgroup_8","CD4_KRAS_Subgroup_9","CD4_KRAS_Subgroup_13","CD4_KRAS_Subgroup_1_11_2_10_17","CD4_KRAS_Subgroup_4_15_7","CD4_KRAS_Subgroup_6_16","CD4_KRAS_Subgroup_12_14","CD8_KRAS_Subgroup_4","CD8_KRAS_Subgroup_5","CD8_KRAS_Subgroup_6","CD8_KRAS_Subgroup_8","CD8_KRAS_Subgroup_9","CD8_KRAS_Subgroup_10","CD8_KRAS_Subgroup_12","CD8_KRAS_Subgroup_1_2_7","CD8_KRAS_Subgroup_3_11","M0_KRAS_Subgroup_1","M0_KRAS_Subgroup_2","M0_KRAS_Subgroup_3_4","M1_KRAS_Subgroup_2","M1_KRAS_Subgroup_3","M1_KRAS_Subgroup_1_6_7","M1_KRAS_Subgroup_4_5","M2_KRAS_Subgroup_2","M2_KRAS_Subgroup_3","M2_KRAS_Subgroup_4","M2_KRAS_Subgroup_1_5","Mono_KRAS_Subgroup_5","Mono_KRAS_Subgroup_6","Mono_KRAS_Subgroup_7","Mono_KRAS_Subgroup_8","Mono_KRAS_Subgroup_9","Mono_KRAS_Subgroup_1_2","Mono_KRAS_Subgroup_3_4","Neutrophils_KRAS_Subgroup_1_4_2_4_3","NK_KRAS_Subgroup_3","NK_KRAS_Subgroup_7","NK_KRAS_Subgroup_9","NK_KRAS_Subgroup_12","NK_KRAS_Subgroup_6_14","NK_KRAS_Subgroup_11_17","NK_KRAS_Subgroup_1_13_15_16_2_8_15","NK_KRAS_Subgroup_4_10_5_10","Dendritic_KRAS_Subgroup_2","Dendritic_KRAS_Subgroup_3","Dendritic_KRAS_Subgroup_4","Dendritic_KRAS_Subgroup_5","Dendritic_KRAS_Subgroup_8","Dendritic_KRAS_Subgroup_1_9","Dendritic_KRAS_Subgroup_6_7","Endothelial_KRAS_Subgroup_1_4_3_2_4","Macrophages_KRAS_Subgroup_1_4_3_2"
"LP.01.17",0.776002963996506,-0.000510299089263053,0.121551115098962,0.501546126408653,0.789735239319162,0.0280096147150923,0.498096873075086,0.0488876623223255,0.367882630862086,0.179439639860838,-0.00170747586428836,0.0516779069477072,0.124033822085626,0.0302972447734197,0.00423084575836866,0.513087975517983,-0.00498575381299706,0.00047486563625181,0.018337554957902,0.0225881022095297,0.0369615469069842,0.068446056019275,0.00871686728113997,0.0089023661002923,-0.00388640402570841,0.0025534138756797,0.0234998928210355,0.0296934303866386,0.00248199324052623,0.0607431843110908,0.195995513634851,0.0335575651386102,0.00378093840279076,0.121217041886306,0.0650690032540574,0.0545259890243909,0.0858661039390446,0.0680136273578288,0.0133449074489415,0.246904131026222,0.30296838699214,0.0907708503492294,0.110979795746942,0.0269621035276132,0.0461009610556526,-0.000421849284961735,0.00594839727112634,0.118358282078477,0.0796243502487447,0.02453931464958,0.0115924697037505,0.0738351298811504,0.00109293530577197,0.0139679257311026,0.0148658773995823,0.0901857860893091,0.131240772209478,0.00774080414049214,0.00333891323716399,0.129584379193651,0.0970229292338644
"LP.01.29",0.718170667847218,-0.000510299089263053,0.116920306367292,0.359756402064595,0.874583212510172,0.455869119329399,0.45611783956745,-2.72410542895632e-05,0.25602277027567,0.0164229466644013,-0.00170747586428836,0.0231228744751528,0.100058954278401,-0.000491531923298543,0.00188998641537632,0.094680750855182,0.0201108680606579,0.00047486563625181,0.00131758172566708,0.0142860247218098,0.0652638319282829,0.0244779241375464,0.00271385378063332,0.00795040048277579,-0.00388640402570841,0.0025534138756797,-0.00803242050672576,0.0773814640347677,0.00522632431030309,0.103179824414052,0.270962013819627,0.0172381213009145,-0.000439023673192703,0.109191432003363,0.0781339937769234,0.0374184992308754,0.0916841395009909,0.0560138923343837,0.0133449074489415,-0.0239913103089983,0.14359024148467,0.0834557538127423,0.184208892232918,0.110423009938195,0.0980416796908862,-0.000421849284961735,0.00594839727112634,0.134593627056547,0.0903780515988986,0.0362932356100971,0.0144348977954248,0.0675300036591329,0.00109293530577197,0.0521268296732593,0.0148658773995823,0.0899721336425018,0.0388480331380235,0.0202587289370359,0.0798453015582252,0.0971834536207198,0.234090684502457
"LP.01.37",0.581396071247928,-0.000510299089263053,0.104412464310318,0.479888299640918,0.91832177762151,0.388495500799437,0.479235214094348,0.0205729347057665,0.28975802389999,0.0164229466644013,0.0188774679762829,0.0376645650334695,0.0411370979538536,-0.000491531923298543,0.00272989621669413,0.125642166313735,-0.00498575381299706,0.00240419014625285,0.0124483770482702,0.0190975644321305,0.0892398799815845,0.00133977528305212,-0.00343789690790073,0.00751444037851057,-0.0035211259366432,0.0025534138756797,-0.00803242050672576,0.163802825749554,0.00449791802944609,0.0986466537726948,0.391497291801281,0.129774066688957,-0.000439023673192703,0.108289346223509,0.0899766755885849,0.0310329128881754,0.012444028480485,0.0250486809801786,0.0133449074489415,-0.0239913103089983,0.177448014693344,0.0621118305342493,0.264116596340497,0.0645854578016092,0.123340516042197,0.0239839552558039,0.00594839727112634,0.0913534677377959,0.043946962179465,0.02453931464958,0.0132364274830592,0.0788703739898653,0.00109293530577197,0.0139679257311026,0.0206726158447823,0.0604422100305358,0.0253368804389254,0.0111226691276077,0.141703056272894,0.0588131578623601,0.205602993939587
"LP.01.38",0.775100109098139,-0.000510299089263053,0.102060204134565,0.314111616536461,0.929250804162163,0.608203865860819,0.449409201475214,0.0643168082301665,0.461186156864597,0.0902003580209162,0.031915215899611,0.234589679570062,0.0374150872552931,-0.000491531923298543,0.00188998641537632,0.0961846566387679,-0.00498575381299706,0.00047486563625181,-0.00166565958879723,0.00322092290639146,0.149449790353664,0.00133977528305212,-0.0104226875184487,0.00694753840065171,0.011910517797713,0.0025534138756797,-0.00803242050672576,0.167619356628034,0.00459381679021549,0.105348508082624,0.184844990142742,0.0124455799886508,-0.000439023673192703,0.112743867114871,0.0729323718285469,0.0933983434972543,-0.00319482935779612,0.0657332047376304,0.0133449074489415,-0.0238842184997298,0.0157525386248034,0.0449681119513609,0.160381042499621,0.0507385323073243,0.0956828138940631,-0.000421849284961735,0.00594839727112634,0.199860295731565,0.0446684271868967,0.0260550179171063,0.0204122398062683,0.108024217429671,0.00109293530577197,0.0633709855896187,0.0519206722212106,0.141036061369469,0.00791785052654427,0.0315196227626266,0.384819117481092,0.109129891919685,0.191428530384663
"LP.01.43",0.86688409778835,0.00839150773287428,0.133680218623194,0.442848185801432,0.782751797373137,-0.00115558801287037,0.525358780993034,-0.00982903846239262,0.328908670042805,0.0164229466644013,-0.00170747586428836,0.0604438289693278,0.0939989250967129,-0.000491531923298543,0.0195965806989633,0.131289536302781,0.0035488154999037,0.0229065710834719,0.034188927026106,0.0137294650965629,0.0137679575157895,0.0406109786308189,0.119111049584131,0.0354364094343388,-0.00175531436904928,0.0025534138756797,0.0450284075814284,0.0332519733783462,0.00241491045455101,0.0393372712818221,0.400668781841386,0.0218931418525642,-0.000439023673192703,0.081925353432699,0.0652698825476694,0.0647495859445354,0.144081899321215,0.0512650667826598,0.0133449074489415,-0.0239913103089983,0.376374221064615,0.130291678333959,0.130214934570609,0.0344755556614418,0.0306132612595864,-0.000421849284961735,0.00594839727112634,0.133249527518197,0.0507251784352516,0.0402568483394279,0.0181007120564591,0.0356706353911651,0.00116554073475525,0.0586649099716844,0.0276712319760978,0.0650924609193091,0.0354776719250487,0.00274361543857583,-0.000207867126530478,0.0483320385423971,0.249468543280997
"LP.01.44",0.795319857553024,-0.000510299089263053,0.100546472261667,0.629686030805302,0.914873997149881,0.132826603312036,0.473807685174994,0.0214763558390248,0.25003871762222,0.0164229466644013,-0.00170747586428836,0.0297278935041855,0.0427643179131289,0.000197672497186361,0.00188998641537632,0.114403542405982,-0.00176962442877983,0.0219993992743828,0.023892963518891,0.00910465250307234,0.02615821246479,0.0355748935546222,-0.01083557569752,0.0102403694226656,-0.00137047632994009,0.0025534138756797,-0.00266232690400412,0.107338327904594,0.0029682170133265,0.0966245412225055,0.5673997446554,0.114632614145807,-0.000439023673192703,0.111431544175253,0.0907154560859149,0.0188968419953449,0.0247694506006143,0.0312238009618122,0.0133449074489415,-0.0239913103089983,0.181779859278337,0.0754903027674628,0.162875764760089,0.0406194077977654,0.0468551310483827,0.018225785033296,0.00594839727112634,0.0901188522622086,0.0505137728110273,0.02453931464958,0.0209726937727829,0.0838665183970765,0.00472379528482013,0.0139679257311026,0.0391064360450477,0.0463175610670706,0.0347358007733916,0.000330072697585111,0.000449752120983743,0.0387377303998519,0.128449107525332
"LP.01.45",0.678646716590086,-0.000510299089263053,0.117617159703488,0.487192846888356,0.926877834283687,0.491394911578468,0.365256084091338,0.066553626679177,0.272010040249371,0.0164229466644013,0.0229134596222457,0.0622102477492555,0.0404351626624414,0.000457110517023401,0.00188998641537632,0.105326559850069,0.01700863836971,0.00047486563625181,-0.00166565958879723,0.0703014500535161,0.108688548080999,0.00133977528305212,-0.0108518048066229,0.00904798979349994,0.0214514995531313,0.00261033163284752,-0.000627213196973854,0.0647970310028685,0.00179589358110442,0.110262203471347,0.267979956245049,-0.00345976236713307,-0.000439023673192703,0.129586484659546,0.0702090835530019,0.046393063309019,-0.00346886806612582,0.0398199611375921,0.0133449074489415,-0.0239913103089983,0.189323893240219,0.0540718684643458,0.184459584978855,0.0476225119757728,0.141504599519097,0.00239047423639129,0.00594839727112634,0.143557225761554,0.0530824814247507,0.02453931464958,0.0177815709498169,0.0944192969112816,0.00109293530577197,0.0281306356374996,0.0148658773995823,0.128446767249541,0.0203934422352051,0.0279717099472446,0.206675511668423,0.113047242258968,0.071164533548628
"LP.01.48",0.926916821250246,0.000502473341353518,0.115802231185482,0.437375751627083,0.882554851027392,0.48623897416314,0.431630285877225,0.0396545733910687,0.22071877648939,0.0269247529409302,-0.00438110180633194,0.107764062262875,0.0758716721060148,0.00143834068349245,-0.00440045490954436,0.155208351517017,0.00041576674770975,-0.00330463838542862,0.00248100345528483,0.019087360410298,0.120133549938552,0.0150856131171426,0.00678978674024809,0.0103336952035582,0.000718028469164844,0.00242618064805189,-0.0028783938535318,0.241846669004173,0.00966353363968649,0.0996236575150175,0.136276585008007,0.0240353635447599,8.98716532779947e-05,0.11536373529474,0.0702921677815472,0.0592217476105744,0.024903946685857,0.0565109394991651,0.00550729485378618,0.00608185210049316,0.133782413850462,0.0732243519387423,0.0728906144409815,0.198075086070599,0.0218715502721621,-0.000389525373744885,0.0206643572405229,0.0797735653136356,0.0881597333768127,0.025296963368254,0.0212442314050941,0.102959198014532,-0.000310399271467916,0.0139738661844291,0.0147093287405492,0.11976307338748,0.0191631827582234,-0.00107244534067928,0.115940493218518,0.113163094767734,0.164085381826116
"LP.01.52",1.0012443715822,0.000502473341353518,0.133488559625109,0.311781050482316,0.855100716483082,-0.0931508829309633,0.430458130156377,-0.00693711126080588,0.242971389028097,0.0478192962030472,-0.0021893121493771,0.0189151056789382,0.0612318744690646,0.00143834068349245,-0.00440045490954436,0.147714884853671,0.00041576674770975,-0.00330463838542862,0.00248100345528483,0.00662487503244628,0.000635970146953521,0.0303612819400178,0.0142742667401862,0.0100655172422575,0.000718028469164844,0.00261693520188774,-0.0028783938535318,0.183496347603372,0.00275624263363776,0.110011053033099,0.417706316629309,0.00301276425761787,8.98716532779947e-05,0.117644692445512,0.146716313543121,0.193734977340675,0.052748429903074,0.0442683124957969,0.00550729485378618,0.00608185210049316,0.302092436091146,0.0917472105547204,0.000247066523946717,0.0361856396433795,0.00516735625977747,0.00878890383710332,-0.00602322895011585,0.177681344184279,0.030723296013207,0.025296963368254,0.0119307732510838,0.0525419221992966,-0.000310399271467916,0.0291050494477386,0.0638638631311901,0.0378869998528714,0.061453774142084,0.00797002889530392,0.0864475264426805,0.070312547471717,0.416795389481359
"LP.01.53",0.751706667216637,0.000502473341353518,0.111718615558418,0.565224977975278,0.910656006347191,0.347083171331803,0.478484293344092,0.0514869264297616,0.377583992610554,0.0889966635793922,-0.00438110180633194,0.0419287388865323,0.0497752839837089,0.00286918209479365,-0.00440045490954436,0.151890903825541,0.00041576674770975,-0.00330463838542862,0.0189144786106433,0.0549882977561124,0.0771092013675087,0.0150856131171426,0.00678978674024809,0.0100597207185859,0.000718028469164844,0.00242618064805189,-0.0028783938535318,0.0781649633417559,0.00160524931835249,0.0877862660165641,0.36655941147704,0.0183843133461505,8.98716532779947e-05,0.11438883194063,0.0633844164128937,0.0137689446324854,0.0891513623084535,0.0800172634530565,0.00550729485378618,0.00608185210049316,0.341110756715009,0.051942533810773,0.0787776932566006,0.0232329087747755,0.189414749674638,-0.000389525373744885,0.0345655386295249,0.120688031124474,0.0784019957286132,0.025296963368254,0.0118597169978766,0.0893016957796374,-0.000310399271467916,0.0491541814753105,0.0248117645690379,0.0621390262811681,0.0706870141477594,0.0185460416685405,0.0693464041771191,0.154265491740623,0.0518912956006932
