"","B_Hugo_Subgroup_4","B_Hugo_Subgroup_1_6","B_Hugo_Subgroup_2_7_3_5","Cancer_Hugo_Subgroup_1_2","CD4_Hugo_Subgroup_5","CD4_Hugo_Subgroup_6","CD4_Hugo_Subgroup_2_8_7_9_8","CD8_Hugo_Subgroup_3","CD8_Hugo_Subgroup_1_10_8_2_9","CD8_Hugo_Subgroup_5_7","M1_Hugo_Subgroup_5","M1_Hugo_Subgroup_1_2","M2_Hugo_Subgroup_2_4_3_5","Mono_Hugo_Subgroup_1_4_5_3_2","Neutrophils_Hugo_Subgroup_1_3","NK_Hugo_Subgroup_2_3","Dendritic_Hugo_Subgroup_1","Dendritic_Hugo_Subgroup_2_3_4","Macrophages_Hugo_Subgroup_1_2"
"J1_p1_rep1_B",0.0584322408840369,0.787019689674569,0.762937916052324,0.0618573328885028,0.984769424898033,0.0913498160842315,0.156576968099963,0.0130780981079032,0.00111313587782858,0.0163043559135876,0.0349913289657054,0.0229237153902971,0.0269879257446694,0.00727495711683,0.00160149429328022,0,0,0.00158417814817623,0.00547865132907072
"J1_p1_rep2_B",0.0573418850042405,0.78194072388263,0.765781831737813,0.0628027511972026,0.985629509793613,0.0766598885361185,0.157038834569201,0.0137735127829446,0.00097440228708681,0.0185423835608053,0.0365330061846562,0.0220498507894185,0.0258036063620063,0.00711639420281041,0.00136274197784929,0.000224879666192367,0,0.00161848817145626,0.004586474617559
"J4_p1_rep1_B",0.0745774602127383,0.783481746695473,0.76346097860922,0.0712164395090261,0.969043681427509,0.139195822884064,0.14174368429925,0.00716974182615697,0.0010768017927307,0.0258533823057236,0.0400259704033956,0.0196447550958355,0.01612371633902,0.00243098724032157,0.00193530341199268,0.00492691242867433,0,0.00415606145006389,0.0123323467083908
"J4_p1_rep2_B",0.0739598839100508,0.7796266794877,0.764666226703916,0.0688073309236761,0.969407147086757,0.143700598379451,0.145345656053429,0.00753822398509913,0.00097128168188231,0.0277870903384904,0.0408946000694174,0.0195708567710415,0.016886064482098,0.00236501621325609,0.00188671019408113,0.00500703280561152,0,0.0038377051399905,0.0125195895801416
"J8_p1_rep1_B",0.0853681071956491,0.749910417768655,0.770777201683949,0.0803166199270317,0.957485115470435,0.0848966243808657,0.144556308699234,0.00493511383140967,0.00132464655606062,0.0485887351325821,0.0388471511180901,0.0180597336615903,0.0141228840868039,0.00331690222757097,0.00233430566838121,0.0114028507342806,0,0.00218588875909455,0.0153487688395378
"J8_p1_rep2_B",0.0799938882042137,0.755632432738052,0.773828861004373,0.0876905912879137,0.956041206915287,0.0287732619887568,0.154987708064806,0.0041240486526528,0.00140722908675071,0.0499852835529482,0.0368409268204148,0.0180978325861172,0.012626664667345,0.00418205540672423,0.00196881697381764,0.0159307249928308,0.00559543075450168,0.00172431977425507,0.018255696840746
"J11_p1_rep1_B",0.084862803405911,0.751430169250836,0.78672413535837,0.0739952375946069,0.952534618150432,0.0384015944724838,0.167185573853735,0.00592999938793583,0.00145320742122705,0.0420292788495553,0.0335136405750689,0.0175990264474397,0.0103568921210607,0.00433831412853783,0.0024411389563884,0.00116769857182767,0.00449663088775405,0.00300037666584765,0.0130630985100395
"J11_p1_rep2_B",0.083712756509947,0.749010387951219,0.788870559411928,0.0729900006584919,0.951939344378032,0.0340296310481192,0.165851890466038,0.00391506148890637,0.00161131331099128,0.0414807741504747,0.0334680024708796,0.0177087330133682,0.0109815271006218,0.0049777232111159,0.00239019217936994,0.00148431748730403,0.00615398371873115,0.00318539532601832,0.0129921546394631
"J14_p1_rep1_B",0.0822486185594042,0.741841413436878,0.798964385189256,0.0627173887615089,0.959069545105205,0.0545971383422564,0.169367021924375,0.006799931570448,0.00152482661344636,0.0301452006197643,0.0321354800409168,0.0148285188843064,0.00927785269091774,0.00480640055061642,0.00199083175607792,0.00831038725683313,0,0.00099509287471775,0.0103825360060148
"J14_p1_rep2_B",0.0813734454292313,0.742835445759294,0.800112211576692,0.0626046075298216,0.959973978557346,0.0510142882617408,0.168146761865959,0.00578029646367153,0.00143635569532328,0.0276915851092069,0.0300432552436332,0.0153103851607715,0.00998556786187266,0.00347129312122832,0.00204215700601373,0.0212955512514647,0,0.00123884792760554,0.0100006270865053
"J1_p2_rep1_B",0.0382162640556346,0.549499501655925,0.74262427293873,0.0613344818878883,0.999229627459318,0.266530939273973,0.265727712377266,0.100100450923912,0.000261558938569647,0.0134925457637204,0.0386175509858197,0.0166890248676822,0.0209928456641581,0.0101292683956614,0.000283503467833421,0,0,0.0123705415100831,0.000835458255358625
