"","B_LPVan_Subgroup_5","B_LPVan_Subgroup_1_6_4_2_3_2","CAF_LPVan_Subgroup_1_2","Cancer_LPVan_Subgroup_3","Cancer_LPVan_Subgroup_1_2","CD4_LPVan_Subgroup_3","CD4_LPVan_Subgroup_1_2","CD8_LPVan_Subgroup_1","CD8_LPVan_Subgroup_2_3","M1_LPVan_Subgroup_1_5","M1_LPVan_Subgroup_2_6","M1_LPVan_Subgroup_3_4","M2_LPVan_Subgroup_1_3","Mono_LPVan_Subgroup_1_2_3_4","Neutrophils_LPVan_Subgroup_1_2","NK_LPVan_Subgroup_1_3","Dendritic_LPVan_Subgroup_1_3","Endothelial_LPVan_Subgroup_1_3_2","Macrophages_LPVan_Subgroup_1_2"
"LP.01.01",0.230591219483243,0.0596014373812047,0.448932781712377,0.110783412332643,0.719038376613281,0.231914572944441,0.0690805113464302,0.0193136819498509,0.0181516686470017,0.14229070167857,0.103584834275444,0.326237383419725,0.195896967317729,0.0786223225609331,0.0794630009844858,0.0551958745103684,0.0400492698090404,0.122613639674115,0.239078276830382
"LP.01.02",0.202766107885333,0.053256039626277,0.379677627840627,0.046956203993361,0.697729938057366,0.197750715437094,0.0528425997307742,0.014575411442109,0.0713183552009773,0.107508243012423,0.093992065078912,0.522762432257856,0.117207332810698,0.0882162691687816,0.159899404302585,0.0173534144164274,0.0560873152754813,0.232857686523776,0.195627574643395
"LP.01.03",0.169338722965091,0.0643506624637436,0.303610839625859,0.0252357860583569,0.638396273083223,0.173349176996426,0.0825586268165409,0.0162087509320714,0.0359571651619759,0.127382759551289,0.102103985395751,0.459059571587008,0.122668664605769,0.0998033508313838,0.174494167043047,0.0166601358451839,0.119951994185828,0.201957104128882,0.246946708092329
"LP.01.04",0.279188398458957,0.0492601322212556,0.554832771002701,0.512708065101813,0.71727387741748,0.0794094332667167,0.0189090487220273,0.0206867106046785,0.130115147055331,0.128573153102549,0.0850931261639071,0.309019976231606,0.0807261308405884,0.0825212762866359,0.0688358420377068,0.0106475962616274,0.137973110116228,0.100217113636212,0.0930021235776211
"LP.01.08",0.270864433967497,0.0704007712625993,0.561534432196514,0.26410487314364,0.727819125990527,0.202422501880961,0.0361912265927621,0.0172566281223209,0.0213913917032848,0.138085507907958,0.0814628599272315,0.371156151386796,0.0755140195004873,0.0635236535512951,0.0822642536511462,0.0172402907353706,0.00682750995274867,0.0814505591332269,0.17417408890609
"LP.01.10",0.18766367672063,0.0411975359292984,0.478716689291816,0.170678438685929,0.759000226766382,0.248952511316075,0.0481018670456847,0.0174773214884938,0.0473157636986419,0.245380253420667,0.0846388848800468,0.403337099782624,0.138236199690549,0.102459734665979,0.0839699874087397,0.0505743622602195,0.0886021159607823,0.106435956854388,0.195710353984381
"LP.01.12",0.096035233770998,0.0492219124908077,0.348377545836919,0.00726594525804927,0.663696506415471,0.121305106430856,0.0574850496100756,0.0238755753512073,0.023874615593441,0.225137450332027,0.106069590475245,0.680517016198206,0.078160240885697,0.125252739356575,0.139840214581846,0.0330619391720058,0.00596988326903869,0.233198092998836,0.239432149963827
"LP.01.14",0.245093296354935,0.0826624235698742,0.423682238343905,0.277951020631376,0.717872827466894,0.0996333412935199,0.0887159528514527,0.0293202455518333,0.0743134088883877,0.34076388497016,0.095803216080835,0.394091206742809,0.0610196683335654,0.0735514301893389,0.0572249122842885,0.0339643593110521,0.0401962053410071,0.0752696236358967,0.199992263181161
"LP.01.15",0.353630945281651,0.0493665951057022,0.463754980807462,0.320927262303071,0.692250586187956,0.185181220791572,0.0344151779530977,0.0198559738062256,0.0929950797928517,0.170628527256015,0.0997310007601449,0.322050275078971,0.12942506925277,0.0699475024953345,0.150796760519392,0.00666225680492974,0.0679274835437696,0.180515107894838,0.147902750354898
"LP.01.16",0.16733329113277,0.0572000063390397,0.450721721898081,0.248070475474561,0.695445363860915,0.0781960006376488,0.0745079985191623,0.0289678426567592,0.0629543638519067,0.29028440624899,0.0812498833237798,0.559453264322308,0.0494639576043761,0.0701833525487223,0.0814815943148846,0.0363394248719909,0.12064396983133,0.0343802350640002,0.182835273838522
"LP.01.18",0.215675255685006,0.0398012716807822,0.36560019392735,0.265292421969765,0.726589927323646,0.0937473116693807,0.0561176851554118,0.0143987782373218,0.0692797252042131,0.290213455978876,0.0879440301316659,0.539037001880438,0.0865418807163979,0.0869985623374384,0.125902310124727,0.0118120398240981,0.118297788232237,0.0729684840799123,0.297332539883938
"LP.01.19",0.124293048357398,0.0486744814912689,0.344121882784428,0.0519306178519178,0.682388760504321,0.27515458288774,0.117405188350107,0.0135577369991703,0.0410275224184735,0.307816850899365,0.095699337926187,0.57706308641426,0.0454372927949202,0.102233419846177,0.115194813464357,0.0325460747734056,0.0475329408421823,0.202832898107548,0.186970476010986
"LP.01.20",0.232708450330123,0.0674511995703554,0.602241995323702,0.18905402716427,0.734486051831345,0.231004571987789,0.0204275749908735,0.0133415137568164,0.0963624427953788,0.223612455667908,0.059617802290887,0.287035823441719,0.0157083879610953,0.0794632808756134,0.113831620227968,0.0177257878986103,0.0836294281340354,0.0970460929011756,0.0568038417196305
"LP.01.22",0.273004150465231,0.0588581212899124,0.436667652588336,0.334890064090786,0.728753237981358,0.182241710137014,0.0103160417617782,0.0134724668054319,0.0955926346500171,0.0434283108723434,0.0918974208055899,0.133003396962146,0.250321300375424,0.0274922100598654,0.0825298860937031,0.0118185495226099,0.201544595413779,0.207590294087395,0.0748275965467154
"LP.01.23",0.165510748843583,0.0461181363837964,0.461730371358944,0.146921841831761,0.722559547100015,0.164146557625729,0.0471910146904438,0.0095696459398437,0.0638629588637666,0.241609377513114,0.099724056286015,0.707968637786505,0.0576995795556547,0.086608818409588,0.104659585649829,0.0157219848144608,0.0174279221498601,0.150965503491686,0.215114547818469
"LP.01.24",0.146368808869605,0.0808966793878961,0.33495970006905,0.0239931457727226,0.647218074295219,0.252271152379637,0.143432940426885,0.0263355342360792,0.0473146039825433,0.206326361760929,0.0989092032624438,0.425573278609786,0.126783609731122,0.109210568590526,0.167730489927492,0.0319133293754544,0.0637796211234841,0.136182735851155,0.199231613668409
"LP.01.25",0.224054813736112,0.0539934998202003,0.442116930356485,0.0959486660745839,0.70053860607148,0.184560950938401,0.072604184974435,0.0145430231852604,0.0609216787209076,0.21576838176651,0.0663425180211163,0.615564419472401,0.0583643976803108,0.0945524223279886,0.148474884527852,0.0263210466394552,0.034111480298169,0.114938609356128,0.217535282722048
"LP.01.28",0.177263030924383,0.0642965275897106,0.496923109201872,0.0306741566850749,0.680499438869641,0.140752095806322,0.0433871716388436,0.0200152120002163,0.0370140903942163,0.169164053972126,0.0891586698140762,0.365884151227172,0.329498737761654,0.0970746245698103,0.12390118855059,0.0327899277807386,0.0301512315309302,0.163006077420895,0.16257662058181
"LP.01.31",0.255664371586858,0.0541479487017753,0.439380774207251,0.121905730620216,0.731701576500414,0.0731708374486993,0.0163923480500956,0.0102179972859738,0.0828322631414944,0.0763582686285254,0.0926850439083993,0.564188485031561,0.177491578012126,0.0559288505795147,0.0771808234226526,0.0206812594240124,0.0939686604190143,0.213461894911912,0.126796095243972
"LP.01.32",0.283975237199177,0.0553765201856285,0.529929930219969,0.407245413067179,0.743729094712969,0.122296683673014,0.0365372722331923,0.0182263201430994,0.10513885898668,0.170487715037642,0.0669418671059423,0.431676489196989,0.0841530938997867,0.0404330300504444,0.105944821621124,0.00791391757703456,0.115212855486913,0.126385105267621,0.0904761375371824
"LP.01.34",0.104026418501833,0.0515464596038374,0.458445273052151,0.252687625906665,0.690911810809454,0.0990853466503782,0.111687853398682,0.0104737587237801,0.0809236519962853,0.322978013605264,0.0949188815981714,0.65269802657169,0.0312687387979007,0.109753555656362,0.0550546555002814,0.00544009775941753,0.065261802689477,0.0502592957092217,0.141191614326182
"LP.01.35",0.100684189821899,0.0603912440389701,0.429766620800489,0.0157455023609631,0.648195557641553,0.170864017089305,0.13984608165728,0.0159147335239747,0.026628814818937,0.345718091736225,0.0978887797391697,0.744111378623922,0.0271452230227715,0.0966334530913648,0.0901419666360166,0.032788492542914,0.0321961586355299,0.0431369078100207,0.19624753980163
"LP.01.40",0.139403393596311,0.0444415315147791,0.385279790283647,0.599156669996489,0.690652284746462,0.063090049905571,0.0542534550853319,0.0219162603006524,0.086997555612867,0.241706199321708,0.100821605355146,0.272793268930011,0.0255924502557624,0.0832754863068389,0.1083000422969,0.0171132016506732,0.264691445198107,0.0747783698122943,0.117537298841081
"LP.01.42",0.086644315530094,0.0686715886347768,0.513029500284498,0.403944906180238,0.699050722362805,0.083471105928326,0.0918447514144003,0.0104905183604514,0.0971913500925063,0.27628132628823,0.0612105959344211,0.568957639478413,0.0142885657475527,0.0817815564054717,0.0647066131401662,0.0137755164758033,0.154362356321368,0.0276332789699143,0.0776951232438579
"LP.01.46",0.308455803314192,0.0532777968800206,0.378293278939543,0.158399922325041,0.685985406196488,0.252193206202435,0.0423734673591928,0.0181052066242324,0.107964076394254,0.146447762588406,0.0758597161578741,0.314346673634436,0.21014441152879,0.0926217611655163,0.0737157633831159,0.0410303125767906,0.135451816325202,0.106782192101457,0.278223695006932
"LP.01.47",0.14466881008826,0.0400110243172129,0.33848596568076,0.0908763394605071,0.696646963063047,0.144758582016279,0.0811871512378003,0.0146651074979016,0.0739666573270465,0.213863195877342,0.108143543621663,0.662960938823868,0.0912653838021313,0.115396152528852,0.0786781340115284,0.0241880058026434,0.206541934606779,0.0458433938702455,0.26516273871718
"LP.01.57",0.126509287375563,0.0662542374894885,0.386621304757387,0.16323954771205,0.719561832105347,0.154983216188808,0.0623106315993243,0.0243990229456094,0.050634240254992,0.256459026411556,0.0716628568393453,0.662502257706177,0.0362758021548847,0.0978369490744902,0.113254821116767,0.0143844772643374,0.162141188025257,0.0616958732585485,0.230874581996361
"LP.01.58",0.16775985156279,0.0706578923470186,0.485835677267875,0.297518265948935,0.69179190150185,0.113709461915655,0.0591666249836682,0.00886621827773953,0.105037594947705,0.282444813139079,0.107319542568243,0.663289918251796,0.0280737972952263,0.0637392370145291,0.0993979563349024,0.00689196631121895,0.0962791840000888,0.0877534775206115,0.0902074213383083
"LP.01.61",0.110164209217472,0.0562994366662953,0.383564020068184,0.698275738243457,0.670838025337665,0.0366353189902912,0.0098189653530243,0.0183987813306524,0.0477916153999872,0.146701777538468,0.100396422518991,0.343369790625933,0.0383272614378948,0.104739242219034,0.0782132548753444,0.00721636960578435,0.263622828922355,0.0997159212293583,0.219168336721108
"LP.01.64",0.0747460258840803,0.0452976445229364,0.371104537703603,0.556150619537029,0.726931261113929,0.144385482014685,0.0492614808498238,0.0154674058063631,0.104747109990395,0.264138663085388,0.103251930266328,0.42202165412201,0.0196010740074804,0.063998331346423,0.0743289663946149,0.0124109139525702,0.22594202024814,0.089818459277095,0.149790178808376
"LP.01.66",0.145945055163072,0.0940070127236031,0.365315665142489,0.22085679363751,0.664124774610895,0.141463937255248,0.0850172461258724,0.0315548120001524,0.0706034269350482,0.314749688874983,0.0837351784232408,0.561649440836251,0.0630947510954538,0.103996431344839,0.0710204410460592,0.0324221007416748,0.0632898868846023,0.0662953402000606,0.263673072913248
"LP.01.67",0.196413803179682,0.0538401030016841,0.422461353021761,0.0190901330077365,0.672498111495316,0.241893498000353,0.0767283454331036,0.0129241082453463,0.059110937125063,0.264344597345596,0.093954156278781,0.611043002401874,0.0461756112870177,0.0967926449320092,0.168416058993203,0.0224125530461793,0.11575581974847,0.138289751034691,0.182120345466491
"LP.01.68",0.135224060239179,0.0694208689481829,0.263146532836826,0.0277512069313982,0.630179454777298,0.161961947530939,0.0715264835332343,0.0156590265177032,0.0285592390860431,0.158591203440349,0.0984110075476687,0.480213725096076,0.13553649550969,0.132073969837793,0.179849812239651,0.0265728361991399,0.003607091545586,0.172973585437946,0.399085916955996
"Test.FFPE.01",0.1862616792267,0.0462823338434758,0.486254361244089,0.538746571560907,0.721808222291199,0.0714999640325674,0.0652533665146713,0.0312806309554424,0.146110880621029,0.238308102314564,0.0943951174096779,0.376745149463206,0.0417240671468753,0.0694780791016911,0.108921654760442,0.0120307529335482,0.100253211506863,0.119883752637759,0.106531179097779
"Test.FFPE.02",0.24507314705432,0.0756628840785477,0.471243329354805,0.390831462947169,0.709675990101075,0.179606513261983,0.0929044729657482,0.0414383401660192,0.0594630675783989,0.270865746083957,0.0789903989379648,0.423980347719413,0.0325070089181687,0.114615580585611,0.0644057914730963,0.0176533392714819,0.0107751322890809,0.0555463613356774,0.174180682186127
"Test.FFPE.03",0.151767400022971,0.0619344070735629,0.32118926184678,0.0345206658573787,0.638543569736274,0.241637954755669,0.10548411709315,0.0383380649387991,0.0295931869414631,0.307754096773463,0.141176016583117,0.405389699697654,0.158317674635417,0.121711554148913,0.0647512817722723,0.0336395818989186,0.00597345951215025,0.0728789990271804,0.363468931955349
"Test.FFPE.04",0.24647890845492,0.0735713689654223,0.509236182728589,0.260337813500389,0.694298913007585,0.111989559873244,0.0806290217987042,0.0211087495140991,0.0719685661980108,0.217680564177366,0.0896840409191749,0.427743095306462,0.13921200759801,0.0603792520740798,0.108684183777807,0.00879921425596428,0.00572082095223745,0.140560025783049,0.0959078382532206
"Test.FFPE.05",0.239234698697334,0.0830728259253159,0.4363777819787,0.159680939947516,0.700352999747854,0.0582335210448442,0.0884140422046698,0.0587841707333782,0.0787103958408695,0.394611341903559,0.0937995737106733,0.682444213257471,0.00439755409547953,0.0726662452478712,0.0538286307457132,0.00621415294630668,0.0524935154806245,0.0374806174571954,0.157104891907848
