"","B_Immucan_Subgroup_4","B_Immucan_Subgroup_1_9_2_7_3","B_Immucan_Subgroup_5_8_6","CAF_Immucan_Subgroup_1_3_2","Cancer_Immucan_Subgroup_3","Cancer_Immucan_Subgroup_1_2","CD4_Immucan_Subgroup_3","CD4_Immucan_Subgroup_4","CD4_Immucan_Subgroup_7","CD4_Immucan_Subgroup_1_6_5_2_5_8_6","CD8_Immucan_Subgroup_5","CD8_Immucan_Subgroup_8","CD8_Immucan_Subgroup_1_9_2_3_6_7_4_3","M0_Immucan_Subgroup_1","M0_Immucan_Subgroup_3","M0_Immucan_Subgroup_2_4","M1_Immucan_Subgroup_4","M1_Immucan_Subgroup_1_6","M1_Immucan_Subgroup_2_3","M1_Immucan_Subgroup_5_7","M2_Immucan_Subgroup_4","M2_Immucan_Subgroup_1_2_5_3_5","Mono_Immucan_Subgroup_4","Mono_Immucan_Subgroup_5","Mono_Immucan_Subgroup_6","Mono_Immucan_Subgroup_7","Mono_Immucan_Subgroup_1_2","Mono_Immucan_Subgroup_3_8","NK_Immucan_Subgroup_2","NK_Immucan_Subgroup_4","NK_Immucan_Subgroup_7","NK_Immucan_Subgroup_8","NK_Immucan_Subgroup_10","NK_Immucan_Subgroup_11","NK_Immucan_Subgroup_5_12","NK_Immucan_Subgroup_6_13","NK_Immucan_Subgroup_1_9_3_9","Dendritic_Immucan_Subgroup_1","Dendritic_Immucan_Subgroup_3","Dendritic_Immucan_Subgroup_7","Dendritic_Immucan_Subgroup_2_4","Dendritic_Immucan_Subgroup_5_6","Endothelial_Immucan_Subgroup_1_2_3_4_2","Macrophages_Immucan_Subgroup_1_2"
"LUNG-NSCLC2-0553",0.834592903615324,0.123894063024557,0.404566609495392,0.464396752217529,0.101369716648087,0.702202169931063,0.346462654717655,0,0.611750277604451,0.0334359042476566,0.0940086889252301,0.0729808810044069,0.00570532401956414,0,0.056595824572837,0.0105760170257815,0.0200258131574758,0.176859856724354,0.0916391952942631,0.263015819692175,0.152746512159862,0.0737124108331015,0.230696109831126,0.111624809187532,0.108347615775982,0.239916791118017,0.0460199665719432,0.0158004353019362,0.148098979866541,0.141204643520294,0.0096308569080649,0.0195228831201891,0.00932012455166945,0.212145102239314,0.0971819375853195,0.000647904320922867,0.0762251339118992,0.00809373859192645,0.0230071835062007,0.0187677790509383,0.086015724249231,0.0568191857585376,0.13746489837089,0.0867852869551009
"LUNG-NSCLC2-0560",0.842704231748864,0.0718569547073663,0.384029831651687,0.488532697489985,0.0102433726304379,0.685303068797629,0.414663033367254,0,0.298965178416037,0.0462636971869827,0.0704698076424904,0.0486166912107948,0.00839379098929257,0,0.0638522733863834,0.073754794964348,0.0188134382942189,0.379801358139581,0.0911980694429197,0.407560987789223,0.0805376186590705,0.0753010394555593,0.229651029446926,0.130157644622505,0.126709362342287,0.22538164264299,0.0553255596814254,0.0110191372492889,0.148002993062308,0.151191017640937,0.0463234085269299,0,0.0903757998518439,0.183404832662827,0.174083966956122,0,0.0667298552611884,0,0.0155550611296106,0.059857963018214,0.0839058983817134,0.0620948281819355,0.141662591185593,0.108927346043547
"LUNG-NSCLC2-0565",0.771893617828451,0.169599072528199,0.418768772932943,0.353881856123825,0.275993991809626,0.651934650908296,0.467312510355363,0.018626003229246,0.230149740930178,0.112341666223427,0.144351537197891,0.116029365147094,0.0511569811115218,0.00176309818810213,0.0437772877421526,0.0208334617931145,0.0298805704485854,0.163880928956721,0.0959675199518493,0.228796272737542,0.0930452432092388,0.0583929214301894,0.192471449460464,0.0612742702503566,0.0775449270243058,0.177156148889828,0.0521749764663006,0.00528680516248742,0.0219249409169927,0.131083386392819,0.0183715900823114,0.0181805708248632,0.0302076474795654,0.12056916784545,0.0719601335141215,0.0147127465769884,0.078811234255679,0.0267409249695289,0.0190557387147464,0.149896875730809,0.0535295672055287,0.00805115041250855,0.124481645426461,0.0772893773962771
"LUNG-NSCLC2-0566",0.714874258970111,0.218283138412755,0.462166727019849,0.294294497972849,0.260328191708437,0.615284563889745,0.485670163909543,0,0.132450852554506,0.146089939927778,0.0727825027436187,0,0.0654519811516991,0.0011627360044225,0.0276624041424667,0.0137563511831771,0.14098302061968,0.165746159686953,0.0848783133075989,0.340795303761501,0.148152239569662,0.0544653602404186,0.227879423160074,0.0300989053452094,0.0592458577473908,0.160102204832684,0.08605798434394,0.126582266370281,0,0.082450759175195,0,0,0.082209693825127,0.152359945343605,0.0242570102246141,0.0153594514828014,0.0155058241613209,0.0319333617420556,0.0465688232776815,0.168070964683047,0.0106291200688825,0.195773676118496,0.0540468614180274,0.159479643985158
"LUNG-NSCLC2-0568",0.905765704867746,0.0701182824505501,0.498507391922301,0.448739383334291,0.2837734170558,0.724052074026192,0.43218351323483,0.0223834767347622,0.100589832873482,0.0335150140289737,0.0736048566390959,0.00326016563304835,0.0235330407637685,0.00823531775549893,0.0201532354786701,0.0388224766835165,0.0857776392910828,0.221895396926013,0.072382725992523,0.446145594996394,0.0871215887721824,0.0764103509658025,0.141291760646398,0.0444840938907638,0.0832115830184539,0.205854835125919,0.0699320206434904,0.0537469920650353,0.0346034633071111,0.111711256440007,0,0,0.0145981243203833,0.204422927427299,0.0561209269623605,0.0139117728135879,0.0253876824494762,0.00826260193672175,0.017361969337072,0.0530675856300108,0.106384083656344,0.0595111417756068,0.0856982627476417,0.242802806521522
"LUNG-NSCLC2-0569",0.922701255326816,0.187423430014754,0.417396733786715,0.361696316347951,0.611859525452544,0.676462463866055,0.326794808967088,0.0188012256847635,0.102557572446468,0.0949300632140383,0.0802136567962028,0.111207749498206,0.010786838599925,0,0.132874153542894,0.106636904061887,0.101719155088174,0.257551175960037,0.0874836270883054,0.308564265150316,0.042182900152769,0.0498127025852094,0.210349584917385,0.0533326369950514,0.0366328044514234,0.215274493241499,0.0766955327363438,0.0251615071511458,0.0504244226054341,0.113528777364391,0.0135091041047751,0,0,0.117242879760054,0.0876162307453179,0,0.0504589163249534,0.0240125505248658,0.102700226424188,0.112225428008082,0,0.0842653951181565,0.0470148615512289,0.208754775903148
"LUNG-NSCLC2-0571",0.926309944078968,0.0455705895005906,0.35735822508847,0.511999234961304,0.275108174542042,0.737290360683923,0.461862085395852,0,0.0187716049696079,0.0451899166342846,0.0977471422200124,0.234744110993172,0.00494377989346029,0.0052162982730199,0.0472374523720858,0.0360728392590907,0.0144016824967664,0.140660595770296,0.0972869483968542,0.548463240059783,0.159800553443522,0.0917999224449477,0.266444251720701,0.0790090732665077,0.11056273268768,0.197828557136464,0.0556902861960341,0.0491156807847739,0.0186592830076785,0.149927257374537,0.000343781006650619,0.0394009502299083,0,0.183708492337618,0.0372790135890492,0.0072933815979857,0.0622423879951945,0.0478757133893542,0.0440355851927858,0.0824517427922574,0.0807988044536802,0.096828095064302,0.0956241144131617,0.156545100124673
"LUNG-NSCLC2-0580",0.946378729179871,0.124257659591518,0.454953754259801,0.498903898305205,0.203176388969294,0.702475355230637,0.441367577633861,0.000927347381089398,0.27281694048763,0.0626964343955658,0.114671481953863,0.072425308773805,0.0248634328239063,0,0.0765537919884455,0.0599989204822176,0.0394456217079264,0.332984751468999,0.093347272741884,0.360986975631132,0.0829631439415942,0.0849077698856117,0.178186513889863,0.0656855891097589,0.086016961523759,0.224830276282384,0.0575552207092685,0.00159447522747883,0.0517079005471546,0.125886924813566,0.0093230988287278,0.000196522017525493,0.0517879154441724,0.11621177970314,0.0839653465826498,0,0.0359929805889214,0,0.0145276298646888,0.0155594574946968,0.0609071655509676,0.0265654555360436,0.106219653463369,0.124355752779047
"LUNG-NSCLC2-0584",0.98394310847468,0.168710603925694,0.467033739845967,0.331154439455759,0.00633180092399783,0.589793039881241,0.497614250661235,0,0.154933630798965,0.0600646543137823,0.081707990379828,0,0.00956078215707751,0.0131093720963625,0.0463533090393363,0.100902724401624,0.0261378809582625,0.229477537069531,0.109615294134014,0.429559848841098,0.0970416446034504,0.134798966238736,0.189397001249905,0.0535450440803289,0.113598677558827,0.208052818083494,0.0704379157825428,0.00417337838592175,0.0110488374622141,0.105965130519702,0.0060028417528214,0.0338712479478648,0.0855075847107438,0.337372499496297,0.0505072778593237,0.0129040859961513,0.0669570469162453,0,0.0389374396613807,0,0.0702856464206991,0.0623034153161253,0.147093857726374,0.170890253930982
"LUNG-NSCLC2-0585",0.770536956907982,0.0730411887002871,0.36304031248855,0.524861163117992,0.486593019279127,0.748241892100829,0.536560672411229,0.0036091381666681,0.0327417575826874,0.0332077109471363,0.0987826538406422,0.113994924422729,0.00867507074741932,0,0.0634660044320177,0.030376299125877,0.0360129626716639,0.151354583387334,0.078987350742814,0.209930337416289,0.0979253782764475,0.0622891177059191,0.244420205882698,0.0462073309814135,0.0825959871341468,0.194719490628822,0.0510089779425679,0.08018194949621,0.134006525579978,0.157574916041462,0.0429961250669748,0.0014911530723687,0.0462514487789471,0.211468717116976,0.0886054430067587,0.0221038587860936,0.0630110815132822,0,0.0460926665852377,0.228988060508159,0.0615998865639758,0.14791385259528,0.0777411062715887,0.118601997981365
