"","B_Gide_Subgroup_7","B_Gide_Subgroup_1_8_2_5","B_Gide_Subgroup_3_9","B_Gide_Subgroup_6_10_5","CAF_Gide_Subgroup_1_2","CAF_Gide_Subgroup_3_4","Cancer_Gide_Subgroup_1_3","CD4_Gide_Subgroup_2_12","CD4_Gide_Subgroup_4_15","CD4_Gide_Subgroup_5_16","CD4_Gide_Subgroup_1_10_14_8_13_9_3_17_8_11_13","CD8_Gide_Subgroup_1_9_8_5_4_2_3_10","CD8_Gide_Subgroup_6_7","M0_Gide_Subgroup_1_2","M1_Gide_Subgroup_5","M1_Gide_Subgroup_1_4_6_3_6_4","M2_Gide_Subgroup_1_4","Mono_Gide_Subgroup_1_10_9","Mono_Gide_Subgroup_4_5_6","Mono_Gide_Subgroup_3_11_12_7_12_11_8","NK_Gide_Subgroup_1","NK_Gide_Subgroup_5_9","NK_Gide_Subgroup_2_7_3_6_8_6","Dendritic_Gide_Subgroup_3","Macrophages_Gide_Subgroup_1_2"
"Gide_PD1_10_Post",0,0.225252583198546,0.7538484991582,0.0569348138421616,0.35940654961221,0.602066918030776,0.754551789630403,0.0649234194213735,0.248150636775992,0.0321383643189571,0.0402854601796829,0.112877944398235,0.09405910886042,0.257174959750432,0.361828067432995,0.135167514584008,0.158670918069088,2.89040861892204,0.15537452614553,0.103714835347755,0.223407620279988,0.0370830129958045,0.0944281729276627,0.00038766340763081,0.0756461603867343
"Gide_PD1_10_Pre",0,0.160312493143099,0.813842413980883,0.0403668021560942,0.22787419557679,0.349525132423517,0.818929985486743,0.0790714700353038,0.121978568464465,0,0.00861336611138724,0.0337097577361597,0.106251864872565,0.419340530480519,0.391479405097449,0.0786382548805404,0.0634180141868345,2.75484377355238,0.158856919026448,0.148294321347394,0.134951322718827,0.020028789785501,0.0788575667150953,0.0474428911579069,0.075327034088618
"Gide_PD1_11_Pre",0,0.192729424757351,0.611103782698595,0.0694031395848246,0.622267586443595,0.242730612814161,0.553614215068233,0.148401697807485,0.21081383063629,0,0.0118524160136023,0.0725473003667123,0.123729341912133,0.146098906474827,0.30025922438189,0.0765027008875397,0.0424156296343865,2.43811573977249,0.183621409554043,0.469602604914163,0.157116646364119,0.00825081634791192,0.107689851429813,0,0.0588154663475564
"Gide_PD1_12_Pre",0.0242166733888205,0.104686512777187,0.754102060339503,0.0566701276182601,0.618949109221652,0.791101769316262,0.716340544519477,0.10323000238825,0.150116795678395,0,0.0875897182285665,0.0297144856232077,0.110011721364613,0.426293297115403,0.565440562552663,0.0866574685474212,0.0419762376932484,2.00886200924508,0.158622091678275,0.123440859033168,0.176310952355263,0.0401128082237629,0.0991641061099255,0,0.051384792881566
"Gide_PD1_13_Post",0.0347249894927805,0.151012518130807,0.791316070959092,0.0373180842531711,0.261913784832196,0.215332984512019,0.821784809100183,0.175295640360403,0.267956019627972,0,0.0105168714784143,0.0220008063836351,0.129501195386026,0.140687291382336,0.481272701138842,0.0976801980129223,0.0132953796344762,1.34995107076607,0.181714091257454,0.146028443916805,0.0867442822930883,0.0135593544360898,0.0564356738052187,0,0.0638827227676368
"Gide_PD1_13_Pre",0.0328436454831866,0.14537930729207,0.59709376257029,0.0548268240250146,0.234821997392487,0.242023378517847,0.775729656424164,0.237524530857205,0.312314412349284,0,0.00986615840383738,0.0300135415190875,0.138517909490414,0.0844552454838873,0.412853882368053,0.0771405531453775,0.0471087244489787,0.684363323113514,0.170827385051597,0.189866963871391,0.0943581394581227,0.00338738553605587,0.137235149367081,0,0.0266929450105079
"Gide_PD1_14_Pre",0,0.114090831153619,0.611562276271781,0.0299247668060745,0.337436819742206,0.28428520092444,0.689092201390747,0.177560762818673,0.161021781474354,0.0724403365385449,0.0105828930010025,0.00758051240214226,0.12958086885889,0.0865779916481801,0.433202367814945,0.0759189165481697,0.0785738832657724,2.2468087758915,0.187010102069902,0.372909655390678,0.0920173632585249,0.0105134579506973,0.0846738398811282,0,0.104809396865492
"Gide_PD1_15_Pre",0,0.37046518493045,0.760191397620584,0.0892809299741132,0.34557019036333,0.764383510686452,0.474037465553343,0.154936111185985,0.213346306072941,0,0.0464427864602349,0.0543433012731217,0.116131993259876,0.0323987042252656,0.310213074779205,0.058094967525593,0.00701325258046938,1.3379368388726,0.180309479050269,0.448062118042024,0.284704173366109,0.0919665443950617,0.106845951028352,0.0589218419189212,0.0514985161817991
"Gide_PD1_16_Pre",0,0.0873746141475275,0.787749577250352,0.0522565975680325,0.61152354032334,0.833460570362207,0.763725475839351,0.164538042161241,0.201450608883143,0,0.0160809094267815,0.0118197844276979,0.0624257191053713,0.315858069619734,0.548242764709548,0.128498185234643,0.0844211540766634,2.0696627093556,0.161901896662753,0.0533462324768686,0.21963886009898,0.0873949434209065,0.0833839053523145,0,0.0509629571080979
"Gide_PD1_17_Post",0,0.251195602794787,0.66923448585583,0.0157913987434383,0.546379594707418,0.578186360662711,0.477813700886608,0.0614489305863337,0.243525654085174,0.0435149099677681,0.038991103860535,0.277824992638042,0.0421006819720056,0.0634847895218218,0.39324772386303,0.231678276801377,0.248712682865009,8.11736117038771,0.18045252568918,0.0425329626365294,1.7758383798085,0.00063916943141487,0.025619309000148,0,0.218655103203466
